7.1 Utredningens förslag i sammanfattning;I//PP//case//68 mycket//AB|POS//advmod//66 starkt//AB|POS//advmod//67 ägosplittrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//68 områden//NN|NEU|PLU|IND|NOM//obl//69 införs//VB|PRS|SFO//parataxis//8 dock//AB//advmod//69 en//DT|UTR|SIN|IND//det//72 särbestämmelse//NN|UTR|SIN|IND|NOM//nsubj:pass//69 för//PP//mark//75 att//IE//mark//75 underlätta//VB|INF|AKT//advcl//69 bildandet//NN|NEU|SIN|DEF|NOM//obj//75 av//PP//case//78 viltvårdsområden//NN|NEU|PLU|IND|NOM//nmod//76 .//MAD//punct//8
7.1 Utredningens förslag i sammanfattning;För//PP//case//82 ett//DT|NEU|SIN|IND//det//82 viltvårdsområde//NN|NEU|SIN|IND|NOM//obl//84 skall//VB|PRS|AKT//aux//84 gälla//VB|INF|AKT//conj//8 ,//MID//punct//89 oavsett//AB|POS//mark//89 om//SN//mark//89 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//89 bildas//VB|PRS|SFO//advcl//84 frivilligt//AB|POS//advmod//89 eller//KN//cc//92 med//PP//case//93 tvång//NN|NEU|SIN|IND|NOM//obl//89 ,//MID//punct//93 att//SN//mark//97 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//97 främjar//VB|PRS|AKT//acl//93 viltvården//NN|UTR|SIN|DEF|NOM//nsubj//97 .//MAD//punct//8
7.1 Utredningens förslag i sammanfattning;Vidare//AB|KOM//punct//8 införs//VB|PRS|SFO//conj//8 en//DT|UTR|SIN|IND//det//103 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj:pass//101 som//HP|-|-|-//nsubj//105 innebär//VB|PRS|AKT//acl:relcl//103 att//SN//mark//107 fastigheter//NN|UTR|PLU|IND|NOM//ccomp//105 som//HP|-|-|-//nsubj:pass//119 genom//PP//case//110 avtal//NN|NEU|PLU|IND|NOM//obl//115 eller//KN//cc//114 på//PP//case//114 annat//JJ|POS|NEU|SIN|IND|NOM//amod//114 sätt//NN|NEU|SIN|IND|NOM//obl//115 samordnat//VB|SUP|AKT//amod//116 viltvården//NN|UTR|SIN|DEF|NOM//nsubj:pass//119 inte//AB//advmod//119 får//VB|PRS|AKT//aux//119 anslutas//VB|INF|SFO//acl:relcl//107 till//PP//case//122 ett//DT|NEU|SIN|IND//det//122 viltvårdsområde//NN|NEU|SIN|IND|NOM//obl//119 utan//PP//case//125 ägarens//NN|UTR|SIN|DEF|GEN//nmod:poss//125 samtycke//NN|NEU|SIN|IND|NOM//obl//119 .//MAD//punct//8
7.1 Utredningens förslag i sammanfattning;Verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 inom//PP//case//3 ett//DT|NEU|SIN|IND//det//3 viltvårdsområde//NN|NEU|SIN|IND|NOM//nmod//0 regleras//VB|PRS|SFO//ROOT//4 tydligare//AB|KOM//advmod//4 .//MAD//punct//4
7.1 Utredningens förslag i sammanfattning;Vad//HP|NEU|SIN|IND//dislocated//9 som//HP|-|-|-//nsubj//9 får//VB|PRS|AKT//csubj//19 respektive//AB//cc//13 inte//AB//advmod//13 får//VB|PRS|AKT//aux//13 beslutas//VB|INF|SFO//conj//9 av//PP//case//16 en//DT|UTR|SIN|IND//det//16 viltvårdsområdesförening//NN|UTR|SIN|IND|NOM//obl:agent//13 skall//VB|PRS|AKT//aux//19 tydligt//AB|POS//advmod//19 framgå//VB|INF|AKT//parataxis//4 av//PP//case//21 lag//NN|UTR|SIN|IND|NOM//obl:agent//19 eller//KN//cc//23 underlydande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//21 författning//NN|UTR|SIN|IND|NOM//conj//21 .//MAD//punct//4
7.1 Utredningens förslag i sammanfattning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//27 föreslår//VB|PRS|AKT//parataxis//4 att//SN//mark//42 en//DT|UTR|SIN|IND//det//30 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj:pass//42 med//PP//case//32 förebild//NN|UTR|SIN|IND|NOM//nmod//30 från//PP//case//34 lagen//NN|UTR|SIN|DEF|NOM//nmod//30 (//PAD//punct//36 1973:1150//RG|NOM//appos//30 )//PAD//punct//36 om//PP//case//39 förvaltning//NN|UTR|SIN|IND|NOM//obl//42 av//PP//case//41 samfälligheter//NN|UTR|PLU|IND|NOM//nmod//39 införs//VB|PRS|SFO//ccomp//27 .//MAD//punct//4
7.1 Utredningens förslag i sammanfattning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//45 innebär//VB|PRS|AKT//parataxis//4 bl.a.//AB|AN//advmod//45 att//SN//mark//52 en//DT|UTR|SIN|IND//det//49 viltvårdsområdesförening//NN|UTR|SIN|IND|NOM//nsubj//52 inte//AB//advmod//52 får//VB|PRS|AKT//aux//52 driva//VB|INF|AKT//ccomp//45 verksamhet//NN|UTR|SIN|IND|NOM//obj//52 som//HP|-|-|-//nsubj//56 är//VB|PRS|AKT//cop//56 främmande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//53 för//PP//case//59 det//DT|NEU|SIN|DEF//det//59 ändamål//NN|NEU|SIN|IND|NOM//obl//56 föreningen//NN|UTR|SIN|DEF|NOM//nsubj//62 skall//VB|PRS|AKT//aux//62 tillgodose//VB|INF|AKT//acl:relcl//59 .//MAD//punct//45
7.1 Utredningens förslag i sammanfattning;De//DT|UTR/NEU|PLU|DEF//det//65 möjligheter//NN|UTR|PLU|IND|NOM//nsubj//76 som//HP|-|-|-//nsubj//67 finns//VB|PRS|SFO//acl:relcl//65 i//PP//advmod//67 dag//NN|UTR|SIN|IND|NOM//fixed//68 för//PP//case//72 en//DT|UTR|SIN|IND//det//72 förening//NN|UTR|SIN|IND|NOM//obl//67 att//IE//mark//74 inskränka//VB|INF|AKT//acl//72 jaktutövningsrätten//NN|UTR|SIN|DEF|NOM//obj//74 minskar//VB|PRS|AKT//ccomp//45 .//MAD//punct//45
7.1 Utredningens förslag i sammanfattning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//79 föreslår//VB|PRS|AKT//parataxis//45 att//SN//mark//91 inskränkningar//NN|UTR|PLU|IND|NOM//nsubj//91 i//PP//case//83 rätten//NN|UTR|SIN|DEF|NOM//nmod//81 att//IE//mark//85 jaga//VB|INF|AKT//acl//81 inom//PP//case//88 ett//DT|NEU|SIN|IND//det//88 viltvårdsområde//NN|NEU|SIN|IND|NOM//obl//85 endast//AB//advmod//91 får//VB|PRS|AKT//aux//91 gälla//VB|INF|AKT//ccomp//79 älg//NN|UTR|SIN|IND|NOM//obj//91 ,//MID//punct//94 kronhjort//NN|UTR|SIN|IND|NOM//conj//92 och//KN//cc//96 dovhjort//NN|UTR|SIN|IND|NOM//conj//92 samt//KN//cc//99 endast//AB//advmod//99 avse//VB|INF|AKT//conj//91 regler//NN|UTR|PLU|IND|NOM//obj//99 om//PP//case//102 områdesjakt//NN|UTR|SIN|IND|NOM//nmod//100 ,//MID//punct//104 gemensamhetsjakt//NN|UTR|SIN|IND|NOM//conj//102 och//KN//cc//107 avskjutningens//NN|UTR|SIN|DEF|GEN//nmod:poss//107 omfattning//NN|UTR|SIN|IND|NOM//conj//102 .//MID//punct//79
7.1 Utredningens förslag i sammanfattning;Om//SN//mark//111 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//111 behövs//VB|PRS|SFO//advcl//122 för//PP//case//113 begränsning//NN|UTR|SIN|IND|NOM//obl//111 av//PP//case//115 viltskador//NN|UTR|PLU|IND|NOM//nmod//113 får//VB|PRS|AKT//aux//122 dock//AB//advmod//116 föreningen//NN|UTR|SIN|DEF|NOM//nsubj//122 vid//PP//case//121 enstaka//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//121 tillfällen//NN|NEU|PLU|IND|NOM//nmod//118 besluta//VB|INF|AKT//advcl//79 om//PP//case//124 områdesjakt//NN|UTR|SIN|IND|NOM//obl//122 och//KN//cc//126 gemensamhetsjakt//NN|UTR|SIN|IND|NOM//conj//124 beträffande//PP//advmod//122 annat//JJ|POS|NEU|SIN|IND|NOM//fixed//127 vilt//NN|NEU|SIN|IND|NOM//fixed//127 .//MID//punct//122
