Verkställighet av utländska domar och beslut;–//RG|NOM//punct//4 en//DT|UTR|SIN|IND//det//3 ny//JJ|POS|UTR|SIN|IND|NOM//amod//3 Bryssel//PM|NOM//nsubj//4 I-förordning//NN|UTR|SIN|IND|NOM//ROOT//4 m.m.//AB|AN//punct//4
Verkställighet av utländska domar och beslut;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//3 Bryssel//PM|NOM//nmod//3 I-utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Verkställighet av utländska domar och beslut;Stockholm//PM|NOM//ROOT//0 2013//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 13//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//1 2012//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 föreslå//VB|INF|AKT//acl//12 de//DT|UTR/NEU|PLU|DEF//det//17 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 författningsbestämmelser//NN|UTR|PLU|IND|NOM//obj//14 som//HP|-|-|-//obl//23 den//DT|UTR|SIN|DEF//det//21 reviderade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//21 Bryssel//PM|NOM//nmod//22 I-förordningen//NN|UTR|SIN|DEF|NOM//nsubj//23 gav//VB|PRT|AKT//acl:relcl//17 anledning//NN|UTR|SIN|IND|NOM//obj//23 till//PP//case//18 samt//KN//cc//28 att//IE//mark//28 överväga//VB|INF|AKT//conj//1 ett//DT|NEU|SIN|IND//det//31 generellt//JJ|POS|NEU|SIN|IND|NOM//advmod//31 överflyttande//NN|NEU|SIN|IND|NOM//obj//28 av//PP//case//33 prövningen//NN|UTR|SIN|DEF|NOM//nmod//31 i//PP//case//36 första//RO|NOM//amod//36 instans//NN|UTR|SIN|IND|NOM//nmod//33 av//PP//case//38 frågor//NN|UTR|PLU|IND|NOM//nmod//36 om//PP//case//43 exekvatur//NN|UTR|SIN|IND|NOM//nmod:poss//43 från//PP//case//42 Svea//PM|GEN//nmod//40 hovrätt//NN|UTR|SIN|IND|NOM//nmod//38 till//PP//case//45 tingsrätt//NN|UTR|SIN|IND|NOM//nmod//43 och//KN//cc//48 att//IE//mark//48 lämna//VB|INF|AKT//conj//28 de//DT|UTR/NEU|PLU|DEF//det//50 författningsförslag//NN|NEU|PLU|IND|NOM//obj//48 som//HP|-|-|-//mark//54 dessa//DT|UTR/NEU|PLU|DEF//det//53 överväganden//NN|NEU|PLU|IND|NOM//nsubj//54 motiverade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//48 (//PAD//punct//54 dir//NN|AN//appos//54 .//MAD//punct//54
Till statsrådet och chefen för Justitiedepartementet;2012:125//RG|NOM//obl//54 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 hovrättslagmannen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 ,//MID//punct//4 numera//AB//advmod//7 justitieombudsmannen//NN|UTR|SIN|DEF|NOM//appos//4 ,//MID//punct//9 Cecilia//PM|NOM//conj//4 Renfors//PM|NOM//flat//9 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 20//RG|NOM//nummod//10 december//NN|UTR|SIN|IND|NOM//obl//4 2012//RG|NOM//nummod//13 professor//NN|UTR|SIN|IND|NOM//nmod//13 Michael//PM|NOM//nmod//10 Hellner//PM|NOM//flat//13 ,//MID//punct//13 advokaten//NN|UTR|SIN|DEF|NOM//nmod//17 Karin//PM|NOM//appos//13 Grauers//PM|NOM//flat:name//17 ,//MID//punct//13 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//21 Monica//PM|NOM//appos//13 Nilsson//PM|NOM//flat:name//21 ,//MID//punct//21 kansliråden//NN|UTR|SIN|DEF|NOM//nmod//26 Danijela//PM|NOM//nmod//26 Pavic//PM|NOM//appos//10 och//KN//cc//28 Erik//PM|NOM//conj//10 Tiberg//PM|NOM//flat//28 (//PAD//punct//10 Justitiedepartementet//PM|NOM//appos//10 )//PAD//punct//10 samt//KN//cc//38 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//35 Frank//PM|NOM//compound//38 Walterson//PM|NOM//flat:name//35 (//PAD//punct//38 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//10 )//PAD//punct//38 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anställdes//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//7 med//PP//conj//5 den//DT|UTR|SIN|DEF//det//10 13//RG|NOM//nummod//10 december//NN|UTR|SIN|IND|NOM//obl//4 2012//RG|NOM//nummod//12 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//10 Nathalie//PM|NOM//flat//12 Dahlén//PM|NOM//flat//13 .//MAD//punct//10
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//appos//10 ,//MID//punct//16 som//HP|-|-|-//nsubj//20 har//VB|PRS|AKT//aux//20 antagit//VB|SUP|AKT//acl:relcl//16 namnet//NN|NEU|SIN|DEF|NOM//nmod//22 Bryssel//PM|NOM//nmod//23 I-utredningen//NN|UTR|SIN|DEF|NOM//obj//20 (//PAD//punct//23 Ju//KN//advmod//26 2012:15//RG|NOM//appos//23 )//PAD//punct//10 ,//MID//punct//29 överlämnar//VB|PRS|AKT//conj//4 härmed//AB//advmod//29 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//32 Verkställighet//NN|UTR|SIN|IND|NOM//obj//29 av//PP//case//35 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 domar//NN|UTR|PLU|IND|NOM//nmod//32 och//KN//cc//37 beslut//NN|NEU|PLU|IND|NOM//conj//35 –//PAD//punct//41 en//DT|UTR|SIN|IND//det//41 ny//JJ|POS|UTR|SIN|IND|NOM//amod//41 Bryssel//PM|NOM//conj//32  //_SP////41 I-förordning//NN|UTR|SIN|IND|NOM//conj//32  //_SP////43 m.m.//AB|AN//conj//32  //_SP////45 (//PAD//punct//32 SOU//PM|NOM//appos//32 2013:63//RG|NOM//nummod//48 )//PAD//punct//32 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
