Demokrativillkor för bidrag till civilsamhället;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Demokrativillkorsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Demokrativillkor för bidrag till civilsamhället;Stockholm//PM|NOM//ROOT//0 2019//RG|NOM//nummod//0

Till statsrådet Amanda Lind;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 8//RO|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//obl//1 2018//RG|NOM//nummod//4 att//IE//mark//7 uppdra//VB|INF|AKT//xcomp//1 åt//PP//case//11 en//DT|UTR|SIN|IND//det//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//13 se//VB|INF|AKT//acl//11 över//PL//case//15 demokrativillkoren//NN|UTR|SIN|DEF|NOM//obl//13 i//PP//case//17 statsbidragsförordningar//NN|UTR|PLU|IND|NOM//obl//13 och//KN//cc//19 tillämpningen//NN|UTR|SIN|DEF|NOM//conj//17 av//PP//case//22 dessa//DT|UTR/NEU|PLU|DEF//det//22 villkor//NN|NEU|PLU|IND|NOM//nmod//19 .//MAD//punct//1
Till statsrådet Amanda Lind;Samma//DT|UTR/NEU|SIN/PLU|IND//det//25 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//26 utsågs//VB|PRT|SFO//parataxis//1 f.d.//JJ|AN//amod//28 justitierådet//NN|NEU|SIN|DEF|NOM//nmod//29 Karin//PM|NOM//nsubj//26 Almgren//PM|NOM//flat:name//29 som//KN//mark//33 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//33 utredare//NN|UTR|SIN|IND|NOM//xcomp//26 .//MAD//punct//1
Till statsrådet Amanda Lind;Den//DT|UTR|SIN|DEF//det//2 2//RO|NOM//nummod//2 maj//NN|UTR|SIN|IND|NOM//obl//4 2018//RG|NOM//nummod//2 utsågs//VB|PRT|SFO//ROOT//4 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 personer//NN|UTR|PLU|IND|NOM//nsubj:pass//4 att//IE//mark//8 ingå//VB|INF|AKT//acl//6 i//PP//case//11 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 expertgrupp//NN|UTR|SIN|IND|NOM//obl//8 ://MID//punct//4
Till statsrådet Amanda Lind;universitetslektorn//NN|UTR|SIN|DEF|NOM//parataxis//4 ///MID//cc//16 docenten//NN|UTR|SIN|DEF|NOM//nmod//16 Susanne//PM|NOM//conj//13 Wallman//PM|NOM//flat:name//16 Lundåsen//PM|NOM//conj//13 ,//MID//punct//20 professorn//NN|UTR|SIN|DEF|NOM//nmod//21 Staffan//PM|NOM//appos//13 Johansson//PM|NOM//flat:name//21 ,//MID//punct//21 ordföranden//NN|UTR|SIN|DEF|NOM//nmod//25 Rosaline//PM|NOM//conj//13 Marbinah//PM|NOM//flat:name//25 ,//MID//punct//25 politiskt//AB|POS//advmod//29 sakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//30 Ludvig//PM|NOM//appos//13 Sandberg//PM|NOM//flat:name//30 ,//MID//punct//30 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//35 Anders//PM|NOM//nmod//35 Nordh//PM|NOM//conj//13 ,//MID//punct//35 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//38 Lotta//PM|NOM//conj//13 Persson//PM|NOM//flat:name//38 ,//MID//punct//38 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//42 Mikael//PM|NOM//appos//13 Lindman//PM|NOM//flat:name//42 ,//MID//punct//45 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//46 Matilda//PM|NOM//appos//13 Wärmark//PM|NOM//flat//46 ,//MID//punct//46 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//50 Julia//PM|NOM//conj//46 Grosse//PM|NOM//flat:name//50 och//KN//cc//53 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//54 Johan//PM|NOM//conj//46 Axhamn//PM|NOM//flat:name//54 .//MAD//punct//4
Till statsrådet Amanda Lind;Den//DT|UTR|SIN|DEF//det//59 28//RG|NOM//nummod//59 september//NN|UTR|SIN|IND|NOM//obl//61 2018//RG|NOM//nummod//59 entledigades//VB|PRT|SFO//parataxis//4 Johan//PM|NOM//nsubj:pass//61 Axhamn//PM|NOM//flat//62 från//PP//case//66 sitt//PS|NEU|SIN|DEF//nmod:poss//66 uppdrag//NN|NEU|SIN|IND|NOM//obl//61 som//KN//mark//68 expert//NN|UTR|SIN|IND|NOM//acl//66 .//MAD//punct//61
Till statsrådet Amanda Lind;Samma//DT|UTR/NEU|SIN/PLU|IND//det//71 dag//NN|UTR|SIN|IND|NOM//obl//72 förordnades//VB|PRT|SFO//parataxis//61 ämnessakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//74 Karin//PM|NOM//nsubj:pass//72 Olsson//PM|NOM//flat:name//74 som//KN//mark//77 expert//NN|UTR|SIN|IND|NOM//xcomp//72 .//MAD//punct//4
Till statsrådet Amanda Lind;Som//KN//mark//1 huvudsekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anställdes//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 21//RG|NOM//nummod//10 mars//NN|UTR|SIN|IND|NOM//nmod//13 2018//RG|NOM//nummod//10 kanslirådet//NN|NEU|SIN|DEF|NOM//appos//10 Daniel//PM|NOM//dep//4 Lindvall//PM|NOM//flat:name//13 .//MAD//punct//4
Till statsrådet Amanda Lind;Samma//DT|UTR/NEU|SIN/PLU|IND//det//17 dag//NN|UTR|SIN|IND|NOM//obl//18 anställdes//VB|PRT|SFO//parataxis//4 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//20 Marie//PM|NOM//nsubj:pass//18 Ericsson//PM|NOM//flat:name//20 och//KN//cc//28 från//PP//advmod//28 och//KN//fixed//23 med//PP//fixed//23 den//DT|UTR|SIN|DEF//det//28 1//RO|NOM//nummod//28 maj//NN|UTR|SIN|IND|NOM//obl//30 2018//RG|NOM//nummod//28 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//4 Linda//PM|NOM//flat:name//30 Ferry//PM|NOM//flat:name//31 som//KN//case//34 sekreterare//NN|UTR|SIN|IND|NOM//obl//30 i//PP//case//36 utredningen//NN|UTR|SIN|DEF|NOM//nmod//34 .//MAD//punct//4
