En översyn inom Sevesoområdet;–//RG|NOM//punct//1 förslag//NN|NEU|PLU|IND|NOM//ROOT//1 till//PP//case//5 en//DT|UTR|SIN|IND//det//5 förstärkt//PC|PRF|UTR|SIN|IND|NOM//amod//5 organisation//NN|UTR|SIN|IND|NOM//nmod//1 för//PP//mark//8 att//IE//mark//8 förebygga//VB|INF|AKT//advcl//1 och//KN//cc//10 begränsa//VB|INF|AKT//conj//8 följderna//NN|UTR|PLU|DEF|NOM//obj//10 av//PP//case//14 allvarliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 kemikalieolyckor//NN|UTR|PLU|IND|NOM//nmod//11
En översyn inom Sevesoområdet;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
En översyn inom Sevesoområdet;En//DT|UTR|SIN|IND//det//2 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//2 Sevesolagstiftning//NN|UTR|SIN|IND|NOM//ROOT//2
En översyn inom Sevesoområdet;Stockholm//PM|NOM//ROOT//0 2013//RG|NOM//nummod//0

Till statsrådet och chefen för Försvarsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 vid//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 sammanträde//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//7 25//RG|NOM//nummod//7 augusti//NN|UTR|SIN|IND|NOM//obl//1 2011//RG|NOM//nummod//7 att//IE//mark//10 tillkalla//VB|INF|AKT//acl//7 en//DT|UTR|SIN|IND//det//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 utredare//NN|UTR|SIN|IND|NOM//obj//10 med//PP//case//15 uppdrag//NN|NEU|SIN|IND|NOM//obl//10 att//IE//mark//17 se//VB|INF|AKT//acl//15 över//PL//case//19 regelverket//NN|NEU|SIN|DEF|NOM//obl//17 kring//PP//case//21 verksamheter//NN|UTR|PLU|IND|NOM//obl//17 som//HP|-|-|-//nsubj//23 hanterar//VB|PRS|AKT//acl:relcl//21 farliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 kemiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 ämnen//NN|NEU|PLU|IND|NOM//obj//23 av//PP//case//29 visst//JJ|POS|NEU|SIN|IND|NOM//amod//29 slag//NN|NEU|SIN|IND|NOM//nmod//26 och//KN//cc//32 viss//JJ|POS|UTR|SIN|IND|NOM//amod//32 mängd//NN|UTR|SIN|IND|NOM//conj//29 ,//MID//punct//32 s.k.//AB|AN//amod//35 Sevesoverksamheter//NN|UTR|PLU|IND|NOM//obj//23 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Det//DT|NEU|SIN|DEF//det//39 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 syftet//NN|NEU|SIN|DEF|NOM//appos//1 med//PP//case//42 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//42 arbete//NN|NEU|SIN|IND|NOM//nmod//39 är//VB|PRS|AKT//cop//39 att//IE//mark//45 presentera//VB|INF|AKT//acl//39 en//DT|UTR|SIN|IND//det//49 reviderad//PC|PRF|UTR|SIN|IND|NOM//amod//49 s.k.//AB|AN//amod//49 Sevesolagstiftning//NN|UTR|SIN|IND|NOM//obj//45 ,//MID//punct//49 med//PP//case//52 mål//NN|NEU|SIN|IND|NOM//obl//45 att//SN//mark//56 lagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj//56 ska//VB|PRS|AKT//aux//56 bli//VB|INF|AKT//ccomp//45 mer//AB|KOM//advmod//58 effektiv//JJ|POS|UTR|SIN|IND|NOM//xcomp//56 ,//MID//punct//60 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//conj//56 och//KN//cc//62 överblickbar//JJ|POS|UTR|SIN|IND|NOM//conj//60 .//MAD//punct//39
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//2 25//RG|NOM//nummod//2 augusti//NN|UTR|SIN|IND|NOM//obl//4 2011//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 hovrättsrådet//NN|NEU|SIN|DEF|NOM//nmod//6 Maj//PM|NOM//nsubj//4 Johansson//PM|NOM//flat:name//6 som//KN//mark//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//xcomp//4 för//PP//case//13 detta//DT|NEU|SIN|DEF//det//13 uppdrag//NN|NEU|SIN|IND|NOM//obl//4 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 fr.o.m.//AB|AN//case//8 den//DT|UTR|SIN|DEF//det//8 10//RG|NOM//nummod//8 januari//NN|UTR|SIN|IND|NOM//nmod//11 2012//RG|NOM//nummod//8 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//11 Karin//PM|NOM//dep//4 Måwe//PM|NOM//flat:name//11 ,//MID//punct//14 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//14 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//17 Mikael//PM|NOM//conj//11 Andersson//PM|NOM//flat:name//17 ,//MID//punct//20 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//20 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//23 Susanne//PM|NOM//conj//11 Gerland//PM|NOM//flat:name//23 ,//MID//punct//23 Miljödepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//11 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//29 Carin//PM|NOM//appos//11 Kappe//PM|NOM//flat:name//29 ,//MID//punct//29 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//34 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//36 Katariina//PM|NOM//nmod//36 Parker//PM|NOM//conj//11 ,//MID//punct//36 Naturvårdsverket//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//40 myndighetsjuristen//NN|UTR|SIN|DEF|NOM//conj//11 Per-Olof//PM|NOM//conj//11 Wikström//PM|NOM//flat//41 ,//MID//punct//11 Myndigheten//NN|UTR|SIN|DEF|NOM//appos//11 för//PP//case//46 samhällsskydd//NN|UTR|SIN|IND|NOM//nmod//44 och//KN//cc//48 beredskap//NN|UTR|SIN|IND|NOM//conj//46 ,//MID//punct//50 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//51 Carina//PM|NOM//conj//11 Fredström//PM|NOM//flat:name//51 ,//MID//punct//11 Myndigheten//NN|UTR|SIN|DEF|NOM//appos//11 för//PP//case//56 samhällsskydd//NN|UTR|SIN|IND|NOM//nmod//54 och//KN//cc//58 beredskap//NN|UTR|SIN|IND|NOM//conj//56 ,//MID//punct//61 arbetsmiljöhandläggaren//NN|UTR|SIN|DEF|NOM//nmod//61 Tommy//PM|NOM//conj//11 Eriksson//PM|NOM//flat:name//61 Wikén//PM|NOM//flat:name//11 ,//MID//punct//65 Arbetsmiljöverket//PM|NOM//conj//11 ,//MID//punct//67 miljöskyddshandläggaren//NN|UTR|SIN|DEF|NOM//nmod//68 Martin//PM|NOM//conj//11 Wiss//PM|NOM//flat:name//68 ,//MID//punct//11 länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//11 i//PP//case//74 Jönköpings//PM|GEN//nmod:poss//74 län//NN|NEU|SIN|IND|NOM//nmod//71 och//KN//cc//76 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//77 Tove//PM|NOM//conj//11 Göthner//PM|NOM//flat//77 ,//MID//punct//11 Sveriges//PM|GEN//nmod:poss//81 Kommuner//NN|UTR|PLU|IND|NOM//conj//11 och//KN//cc//83 Landsting//NN|UTR|SIN|IND|NOM//conj//81 .//MID//punct//11
Till statsrådet och chefen för Försvarsdepartementet;Karin//PM|NOM//nsubj//88 Måwe//PM|NOM//flat:name//85 var//VB|PRT|AKT//cop//88 förordnad//PC|PRF|UTR|SIN|IND|NOM//parataxis//11 som//KN//mark//90 expert//NN|UTR|SIN|IND|NOM//advmod//88 t.o.m.//AB|AN//case//94 den//DT|UTR|SIN|DEF//det//94 18//RG|NOM//nummod//94 april//NN|UTR|SIN|IND|NOM//obl//88 2012//RG|NOM//nummod//94 .//MAD//punct//11
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//99 19//RG|NOM//nummod//99 april//NN|UTR|SIN|IND|NOM//obl//101 2012//RG|NOM//nummod//99 förordnades//VB|PRT|SFO//parataxis//11 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//103 Martin//PM|NOM//nsubj//101 Ratcovich//PM|NOM//flat:name//103 ,//MID//punct//106 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//103 ,//MID//punct//106 som//KN//case//109 expert//NN|UTR|SIN|IND|NOM//acl:relcl//106 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anställdes//VB|PRT|SFO//ROOT//4 fr.o.m.//AB|AN//case//8 den//DT|UTR|SIN|DEF//det//8 8//RO|NOM//nummod//8 november//NN|UTR|SIN|IND|NOM//obl//4 2011//RG|NOM//nummod//10 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//8 Anna//PM|NOM//flat:name//10 Tengberg//PM|NOM//flat:name//11 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//2 19//RG|NOM//nummod//2 januari//NN|UTR|SIN|IND|NOM//obl//8 och//KN//cc//6 den//DT|UTR|SIN|DEF//det//6 25//RG|NOM//nummod//6 oktober//NN|UTR|SIN|IND|NOM//conj//2 2012//RG|NOM//nummod//6 beslutade//VB|PRT|AKT//ROOT//8 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//8 om//PP//case//12 förlängd//PC|PRF|UTR|SIN|IND|NOM//amod//12 tid//NN|UTR|SIN|IND|NOM//obl//8 för//PP//case//14 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//12 .//MAD//punct//8
Till statsrådet och chefen för Försvarsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//obj//1 En//DT|UTR|SIN|IND//det//5 översyn//NN|UTR|SIN|IND|NOM//obj//1 inom//PP//case//7 Sevesoområdet//PM|NOM//nmod//5 –//RG|NOM//punct//9 förslag//NN|NEU|SIN|IND|NOM//obl//1 till//PP//case//13 en//DT|UTR|SIN|IND//det//13 förstärkt//PC|PRF|UTR|SIN|IND|NOM//amod//13 organisation//NN|UTR|SIN|IND|NOM//nmod//9 för//PP//mark//16 att//IE//mark//16 förebygga//VB|INF|AKT//advcl//9 och//KN//cc//18 begränsa//VB|INF|AKT//conj//16 följderna//NN|UTR|PLU|DEF|NOM//obj//18 av//PP//case//22 allvarliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 kemikalieolyckor//NN|UTR|PLU|IND|NOM//nmod//19  //_SP////22 (//PAD//punct//9 SOU//PM|NOM//appos//9 2013:14//RG|NOM//nummod//25 )//PAD//punct//9 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 med//PP//case//4 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//5 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//5 .//MAD//punct//5
Till statsrådet och chefen för Försvarsdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 mars//NN|UTR|SIN|IND|NOM//obl//0 2013//RG|NOM//nummod//2 .//MAD//punct//0
