Juridiskt kön och medicinsk könskorrigering;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 åldersgränsen//NN|UTR|SIN|DEF|NOM//nmod//2 för//PP//case//6 fastställelse//NN|UTR|SIN|IND|NOM//nmod//4 av//PP//case//9 ändrad//PC|PRF|UTR|SIN|IND|NOM//amod//9 könstillhörighet//NN|UTR|SIN|IND|NOM//nmod//6
Till statsrådet Gabriel Wikström;Med//PP//case//13 anledning//NN|UTR|SIN|IND|NOM//obl//17 härav//AB//nmod//13 har//VB|PRS|AKT//aux//17 betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//17 skrivits//VB|SUP|SFO//conj//2 i//PP//case//19 vi-form//NN|UTR|SIN|IND|NOM//obl//17 .//MAD//punct//17
Till statsrådet Gabriel Wikström;En//PN|UTR|SIN|IND|SUB/OBJ//nsubj//27 av//PP//case//24 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 experter//NN|UTR|PLU|IND|NOM//nmod//21 har//VB|PRS|AKT//aux//27 emellertid//AB//advmod//27 framfört//VB|SUP|AKT//parataxis//17 avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 mening//NN|UTR|SIN|IND|NOM//obj//27 i//PP//case//32 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 delar//NN|UTR|PLU|IND|NOM//obl//27 .//MAD//punct//2
Till statsrådet Gabriel Wikström;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 antog//VB|PRT|AKT//ROOT//1 namnet//NN|NEU|SIN|DEF|NOM//nmod//3 Utredningen//NN|UTR|SIN|DEF|NOM//obj//1 om//PP//case//5 åldersgränsen//NN|UTR|SIN|DEF|NOM//nmod//3 för//PP//case//7 fastställelse//NN|UTR|SIN|IND|NOM//nmod//5 av//PP//case//10 ändrad//PC|PRF|UTR|SIN|IND|NOM//amod//10 könstillhörighet//NN|UTR|SIN|IND|NOM//nmod//7 .//MAD//punct//1
Till statsrådet Gabriel Wikström;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//obj//1 Juridiskt//JJ|POS|NEU|SIN|IND|NOM//advmod//5 kön//NN|NEU|SIN|IND|NOM//xcomp//1 och//KN//cc//8 medicinsk//JJ|POS|UTR|SIN|IND|NOM//amod//8 könskorrigering//NN|UTR|SIN|IND|NOM//conj//5 ,//MID//punct//5 SOU//PM|NOM//conj//5 2014:91//RG|NOM//conj//5 .//MAD//punct//1
Till statsrådet Gabriel Wikström;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//1 är//VB|PRS|AKT//ROOT//1 i//PP//case//5 och//KN//fixed//2 med//PP//fixed//2 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//6 slutfört//PC|PRF|NEU|SIN|IND|NOM//xcomp//1 .//MAD//punct//1
Till statsrådet Gabriel Wikström;Göteborg//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//nmod//0 2014//RG|NOM//nummod//2
Till statsrådet Gabriel Wikström;Lotta//PM|NOM//nmod//1 Vahlne//PM|NOM//compound//2 Westerhäll//PM|NOM//compound//4 /Therese//RG|NOM//cc//4 Bäckman//PM|NOM//ROOT//4


1.1 Förslag till lag om ändring av juridiskt kön;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj:pass//1 .//MAD//punct//1
1.1 Förslag till lag om ändring av juridiskt kön;1//RG|NOM//nummod//5 §//NN|AN//obl//9  //_SP////5 Denna//DT|UTR|SIN|DEF//det//8 lag//NN|UTR|SIN|IND|NOM//nsubj//9 innehåller//VB|PRS|AKT//parataxis//1 bestämmelser//NN|UTR|PLU|IND|NOM//obj//9 om//PP//case//12 ändring//NN|UTR|SIN|IND|NOM//nmod//10 av//PP//case//17 en//DT|UTR|SIN|IND//det//15 persons//NN|UTR|SIN|IND|GEN//nmod:poss//17 juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 kön//NN|NEU|SIN|IND|NOM//nmod//12 i//PP//case//19 folkbokföringen//NN|UTR|SIN|DEF|NOM//nmod//17 .//MAD//punct//9
