Tillstånd och medling;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 upphovsrätts-//NN|UTR|-|-|SMS//nmod//2 och//KN//cc//7 bolagsrättsärenden//NN|NEU|PLU|IND|NOM//conj//5
Tillstånd och medling;Stockholm//PM|NOM//ROOT//0 2013//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 15//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//1 2011//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//13 att//IE//mark//13 utreda//VB|INF|AKT//advcl//7 frågor//NN|UTR|PLU|IND|NOM//obj//13 om//PP//case//18 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 civilrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 förvaltningsärenden//NN|NEU|PLU|IND|NOM//nmod//14 inom//PP//case//20 upphovsrätt//NN|UTR|SIN|IND|NOM//obl//13 och//KN//cc//22 bolagsrätt//NN|UTR|SIN|IND|NOM//conj//20 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 utsåg//VB|PRT|AKT//ROOT//3 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//3 samma//DT|UTR/NEU|SIN/PLU|IND//det//6 dag//NN|UTR|SIN|IND|NOM//obj//3 hovrättspresidenten//NN|UTR|SIN|DEF|NOM//nmod//8 Lennart//PM|NOM//obj//3 Svensäter//PM|NOM//flat:name//8 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;På//PP//case//13 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 sida//NN|UTR|SIN|IND|NOM//obl//14 framgår//VB|PRS|AKT//parataxis//3 vilka//HD|UTR/NEU|PLU|IND//det//16 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//14 och//KN//cc//18 experter//NN|UTR|PLU|IND|NOM//conj//16 som//HP|-|-|-//nsubj//21 har//VB|PRS|AKT//aux//21 medverkat//VB|SUP|AKT//acl:relcl//18 i//PP//case//24 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 arbete//NN|NEU|SIN|IND|NOM//obl//21 .//MAD//punct//14
Till statsrådet och chefen för Justitiedepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//27 Peter//PM|NOM//nsubj//32 Krikström//PM|NOM//flat//27 har//VB|PRS|AKT//aux//32 varit//VB|SUP|AKT//cop//32 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//32 sekreterare//NN|UTR|SIN|IND|NOM//obl//14 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Utredningen//NN|UTR|SIN|DEF|NOM//obj//2 om//PP//case//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 upphovsrätts-//NN|UTR|-|-|SMS//nmod//4 och//KN//cc//9 bolagsrättsärenden//NN|NEU|PLU|IND|NOM//conj//7 (//PAD//punct//4 Ju//NN|AN//advmod//12 2011:15//RG|NOM//appos//4 )//PAD//punct//2 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 formellt//AB|POS//advmod//4 ett//DT|NEU|SIN|IND//det//4 uppdrag//NN|NEU|SIN|IND|NOM//ROOT//4 för//PP//case//7 Lennart//PM|NOM//nmod//7 Svensäter//PM|NOM//nmod//4 som//KN//mark//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//14 har//VB|PRS|AKT//aux//14 bedrivits//VB|SUP|SFO//parataxis//4 i//PP//case//17 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 samråd//NN|NEU|SIN|IND|NOM//obl//14 med//PP//case//20 de//DT|UTR/NEU|PLU|DEF//det//20 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//17 och//KN//cc//22 experterna//NN|UTR|PLU|DEF|NOM//conj//20 ,//MID//punct//25 men//KN//cc//25 övervägandena//NN|NEU|PLU|DEF|NOM//nsubj//31 och//KN//cc//27 slutsatserna//NN|UTR|PLU|DEF|NOM//conj//25 är//VB|PRS|AKT//cop//31 ytterst//AB|SUV//advmod//31 utredarens//NN|UTR|SIN|DEF|GEN//nmod:poss//31 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//14 .//MAD//punct//14
Till statsrådet och chefen för Justitiedepartementet;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//35 har//VB|PRS|AKT//aux//35 markerats//VB|SUP|SFO//conj//14 genom//PP//mark//40 att//SN//mark//40 betänkandetexten//NN|UTR|SIN|DEF|NOM//nsubj:pass//40 har//VB|PRS|AKT//aux//40 utformats//VB|SUP|SFO//advcl//35 –//RG|NOM//punct//48 inte//AB//advmod//48 i//PP//case//48 den//DT|UTR|SIN|DEF//det//48 numera//AB//advmod//46 vanliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//48 ”//PM|NOM//punct//48 vi-formen//NN|UTR|SIN|DEF|NOM//obl:agent//40 ”//PAD//punct//48 –//RG|NOM//punct//53 utan//KN//cc//53 som//KN//mark//53 uttryck//NN|NEU|SIN|IND|NOM//conj//35 för//PP//punct//53 ”//RO|NOM//punct//56 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//57 ”//RG|NOM//nmod//58 överväganden//NN|NEU|PLU|IND|NOM//nmod//53 och//KN//cc//60 slutsatser//NN|UTR|PLU|IND|NOM//conj//58 .//MAD//punct//14
