Till statsrådet Maj-Inger Klingvall ;Barbro//PM|NOM//nsubj//4 Holmberg//PM|NOM//flat:name//0 8.1//RG|NOM//flat:name//0 Vara//VB|INF|AKT//cop//4 pådrivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//4 i//PP//case//6 genomförandet//NN|NEU|SIN|DEF|NOM//obl//4 av//PP//case//8 barnkonventionen//NN|UTR|SIN|DEF|NOM//nmod//6 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;187//RG|NOM//nummod//11 8.1.3//RG|NOM//nmod//12 Barns//NN|NEU|PLU|IND|GEN//parataxis//4 och//KN//cc//12 ungdomars//NN|UTR|PLU|IND|GEN//nmod:poss//15 delaktighet//NN|UTR|SIN|IND|NOM//conj//12 i//PP//case//18 utvärderings8.7.2//NN|NEU|SIN|IND|NOM//amod//18 Målgrupper//NN|UTR|PLU|IND|NOM//nmod//15 för//PP//case//20 information//NN|UTR|SIN|IND|NOM//obl//4 ://MID//punct//20
Till statsrådet Maj-Inger Klingvall ;Barn//NN|NEU|PLU|IND|NOM//appos//20 och//KN//cc//24 ungdomar//NN|UTR|PLU|IND|NOM//conj//22 samt//KN//cc//26 13.1//RG|NOM//conj//22 Förslaget//NN|NEU|SIN|DEF|NOM//flat:name//26 till//PP//case//29 lag//NN|UTR|SIN|IND|NOM//nmod//26 om//PP//case//31 ändring//NN|UTR|SIN|IND|NOM//nmod//29 i//PP//case//33 lagen//NN|UTR|SIN|DEF|NOM//nmod//31 (//PAD//punct//35 1993:335//RG|NOM//conj//22 )//PAD//punct//35 om//PP//punct//4

Författningsförslag;Förslag//NN|NEU|PLU|IND|NOM//ROOT//0 till//PP//case//0
Författningsförslag;Lag//NN|UTR|SIN|IND|NOM//ROOT//0 om//PP//case//2 ändring//NN|UTR|SIN|IND|NOM//obl//0 i//PP//case//4 lagen//NN|UTR|SIN|DEF|NOM//nmod//2 (//PAD//punct//6 1993:335//RG|NOM//appos//0 )//PAD//punct//6 om//PP//case//9 Barnombudsman//PM|NOM//obl//0
Författningsförslag;Enligt//PP//case//2 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 beslut//NN|NEU|SIN|IND|NOM//obl//3 föreskrivs//VB|PRS|SFO//ROOT//3 i//PP//advmod//3 fråga//NN|UTR|SIN|IND|NOM//fixed//4 om//PP//fixed//4 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 (//PAD//punct//9 1993:335//RG|NOM//appos//7 )//PAD//punct//9 om//PP//case//12 Barnombudsman//PM|NOM//obl//3 dels//KN//advmod//3  //_SP////13 att//SN//mark//20 1–3//RG|NOM//nummod//17 §//NN|AN//nmod//18 §//NN|AN//nsubj//20 skall//VB|PRS|AKT//aux//20 ha//VB|INF|AKT//advcl//13 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 lydelse//NN|UTR|SIN|IND|NOM//obj//20 ,//MID//punct//20 dels//KN//advmod//31  //_SP////24 att//SN//mark//31 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//31 i//PP//case//29 lagen//NN|UTR|SIN|DEF|NOM//obl//31 skall//VB|PRS|AKT//aux//31 införas//VB|INF|SFO//conj//20 fyra//RG|NOM//nummod//34 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 paragrafer//NN|UTR|PLU|IND|NOM//nsubj:pass//31 ,//MID//punct//34 4–7//RG|NOM//nummod//37 §//NN|AN//nmod//38 §//NN|AN//nmod//34 ,//MID//punct//49 samt//KN//cc//49 närmast//AB|SUV//advmod//49 före//PP//advmod//43 1,6//RG|NOM//nummod//46 och//KN//cc//43 7//RG|NOM//nummod//43 §//NN|AN//nmod//47 §//NN|AN//nmod//49 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 rubriker//NN|UTR|PLU|IND|NOM//conj//31 av//PP//case//52 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//52 lydelse//NN|UTR|SIN|IND|NOM//nmod//49 .//MAD//punct//3
Författningsförslag;Uppgifter//NN|UTR|PLU|IND|NOM//ROOT//0 1//RG|NOM//nummod//2 §//NN|AN//nmod//0
Författningsförslag;Barnombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 till//PP//case//3 uppgift//NN|UTR|SIN|IND|NOM//obl//1 att//IE//mark//5 bevaka//VB|INF|AKT//acl//3 frågor//NN|UTR|PLU|IND|NOM//obj//5 som//HP|-|-|-//nsubj//8 angår//VB|PRS|AKT//acl:relcl//6 barns//NN|NEU|PLU|IND|GEN//nmod:poss//12 och//KN//cc//11 ungdomars//NN|UTR|PLU|IND|GEN//conj//9 rättigheter//NN|UTR|PLU|IND|NOM//obj//8 och//KN//cc//14 intressen//NN|NEU|PLU|IND|NOM//conj//12 .//MAD//punct//1
Författningsförslag;Ombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//19 skall//VB|PRS|AKT//aux//19 särskilt//AB//advmod//19 uppmärksamma//VB|INF|AKT//parataxis//1 att//SN//mark//28 lagar//NN|UTR|PLU|IND|NOM//nsubj//28 och//KN//cc//24 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 författningar//NN|UTR|PLU|IND|NOM//conj//21 samt//KN//cc//27 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//27 tillämpning//NN|UTR|SIN|IND|NOM//conj//21 stämmer//VB|PRS|AKT//ccomp//19 överens//PL//compound:prt//28 med//PP//case//32 Sveriges//PM|GEN//nmod:poss//32 åtaganden//NN|NEU|PLU|IND|NOM//obl//28 enligt//PP//case//36 Förenta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod:poss//36 nationernas//NN|UTR|PLU|DEF|GEN//flat//34 konvention//NN|UTR|SIN|IND|NOM//nmod//32 om//PP//case//39 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//39 rättigheter//NN|UTR|PLU|IND|NOM//nmod//36 .//MAD//punct//19
