Till statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 23//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 1999//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//9 expertgrupp//NN|UTR|SIN|IND|NOM//obj//7 (//PAD//punct//9 dir//NN|AN//appos//9 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;1999:58//RG|NOM//obl//1 )//PAD//punct//16 med//PP//case//16 uppgift//NN|UTR|SIN|IND|NOM//nmod//13 att//IE//mark//18 undersöka//VB|INF|AKT//acl//16 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//18 att//IE//mark//21 förenkla//VB|INF|AKT//acl//19 utjämningssystemet//NN|NEU|SIN|DEF|NOM//obj//21 för//PP//case//24 kommuner//NN|UTR|PLU|IND|NOM//nmod//22 och//KN//cc//26 landsting//NN|NEU|SIN|IND|NOM//conj//24 och//KN//cc//29 att//IE//mark//29 göra//VB|INF|AKT//conj//21 systemet//NN|NEU|SIN|DEF|NOM//obj//29 mer//AB|KOM//advmod//32 stabilt//JJ|POS|NEU|SIN|IND|NOM//advmod//29 .//MAD//punct//16
Till statsrådet Lars-Erik Lövdén ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//36 har//VB|PRS|AKT//aux//36 antagit//VB|SUP|AKT//parataxis//1 namnet//NN|NEU|SIN|DEF|NOM//nmod//38 Expertgruppen//NN|UTR|SIN|DEF|NOM//obj//36 för//PP//case//42 förenklad//PC|PRF|UTR|SIN|IND|NOM//amod//42 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//42 utjämning//NN|UTR|SIN|IND|NOM//obl//36 .//MAD//punct//36
Till statsrådet Lars-Erik Lövdén ;Som//KN//mark//2 ordförande//NN|UTR|SIN|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//5 1//RG|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//nmod//8 1999//RG|NOM//nummod//7 direktören//NN|UTR|SIN|DEF|NOM//nmod//8 Ulf//PM|NOM//obl//2 Wetterberg//PM|NOM//flat:name//8 .//MAD//punct//2
Till statsrådet Lars-Erik Lövdén ;Som//KN//mark//13 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//13 förordnades//VB|PRT|SFO//advcl//2 vid//PP//case//16 samma//DT|UTR/NEU|SIN/PLU|IND//det//16 datum//NN|NEU|SIN|IND|NOM//nmod//18 utredningschefen//NN|UTR|SIN|DEF|NOM//nmod//18 Rolf//PM|NOM//nsubj//13 Andersson//PM|NOM//flat:name//18 ,//MID//punct//22 chefsekonomen//NN|UTR|SIN|DEF|NOM//nmod//22 Jan//PM|NOM//appos//18 Bröms//PM|NOM//flat:name//22 ,//MID//punct//25 ekonomidirektören//NN|UTR|SIN|DEF|NOM//nmod//26 Lena//PM|NOM//appos//18 Erixon//PM|NOM//flat:name//26 ,//MID//punct//30 chefsekonomen//NN|UTR|SIN|DEF|NOM//nmod//30 Karin//PM|NOM//conj//18 Mossler//PM|NOM//flat:name//30 ,//MID//punct//30 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//34 Kjell//PM|NOM//appos//18 Nyman//PM|NOM//flat:name//34 och//KN//cc//37 direktören//NN|UTR|SIN|DEF|NOM//nmod//38 Lars//PM|NOM//conj//34 Roslund//PM|NOM//flat:name//38 .//MAD//punct//2
Till statsrådet Lars-Erik Lövdén ;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 1//RO|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//nmod//8 1999//RG|NOM//nummod//7 organisationsdirektören//NN|UTR|SIN|DEF|NOM//nmod//8 Leif//PM|NOM//dep//2 Lundberg//PM|NOM//flat:name//8 .//MAD//punct//2
Till statsrådet Lars-Erik Lövdén ;Den//DT|UTR|SIN|DEF//det//13 15//RG|NOM//nummod//13 december//NN|UTR|SIN|IND|NOM//obl//15 1999//RG|NOM//nummod//13 förordnades//VB|PRT|SFO//parataxis//2 ekonomie//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 magister//NN|UTR|SIN|IND|NOM//nmod//18 Bengt//PM|NOM//nsubj//15 Lewin//PM|NOM//flat:name//18 som//KN//case//22 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 sekreterare//NN|UTR|SIN|IND|NOM//xcomp//15 .//MAD//punct//15
Till statsrådet Lars-Erik Lövdén ;I//PP//case//26 sekretariatets//NN|NEU|SIN|DEF|GEN//nmod:poss//26 arbete//NN|NEU|SIN|IND|NOM//obl//29 har//VB|PRS|AKT//aux//29 även//AB//advmod//29 deltagit//VB|SUP|AKT//conj//2 förste//RO|MAS|SIN|IND/DEF|NOM//amod//31 byråsekreteraren//NN|UTR|SIN|DEF|NOM//obj//29 CarlPeter//PM|NOM//nmod//31 Hedin//PM|NOM//nmod//31 ,//MID//punct//35 anställd//PC|PRF|UTR|SIN|IND|NOM//acl//31 vid//PP//case//37 Statskontoret//NN|NEU|SIN|DEF|NOM//obl//35 .//MAD//punct//2
Till statsrådet Lars-Erik Lövdén ;Härmed//AB//advmod//1 överlämnar//VB|PRS|AKT//ROOT//1 expertgruppen//NN|UTR|SIN|DEF|NOM//nsubj//1 sitt//PS|NEU|SIN|DEF//nmod:poss//4 betänkande//NN|NEU|SIN|IND|NOM//obj//1 Förenklad//PC|PRF|UTR|SIN|IND|NOM//amod//7 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//7 utjämning//NN|UTR|SIN|IND|NOM//obj//1 (//PAD//punct//7 SOU//PM|NOM//nmod//10 2000:120//RG|NOM//appos//7 )//PAD//punct//7 .//MAD//punct//17
Till statsrådet Lars-Erik Lövdén ;Expertgruppens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//17 är//VB|PRS|AKT//cop//17 härmed//AB//advmod//17 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MAD//punct//1
Till statsrådet Lars-Erik Lövdén ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//obl//0 2000//RG|NOM//nummod//2
