Underhållsskyldighet;i//PP//case//2 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 situationer//NN|UTR|PLU|IND|NOM//ROOT//2 –//RG|NOM//punct//2
Underhållsskyldighet;Underhållsförordningen//NN|UTR|SIN|DEF|NOM//ROOT//0 ,//MID//punct//0 2007//RG|NOM//nummod//3 års//NN|NEU|SIN|IND|GEN//nmod:poss//4 Haagkonvention//NN|UTR|SIN|IND|NOM//conj//0 och//KN//cc//8 2007//RG|NOM//nummod//7 års//NN|NEU|SIN|IND|GEN//nmod:poss//8 Haagprotokoll//NN|UTR|SIN|IND|NOM//conj//4
Underhållsskyldighet;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 underhållsskyldighet//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//7 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 situationer//NN|UTR|PLU|IND|NOM//nmod//0
Underhållsskyldighet;Stockholm//PM|NOM//ROOT//0 2010//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 4//RO|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//1 2009//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 föreslå//VB|INF|AKT//acl//12 de//DT|UTR/NEU|PLU|DEF//det//17 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 författningsbestämmelser//NN|UTR|PLU|IND|NOM//obj//14 som//HP|-|-|-//nsubj:pass//19 behövs//VB|PRS|SFO//acl:relcl//17 till//PP//case//21 EU//PM|NOM//obl//19 ://MID//punct//17 s//NN|NEU|SIN|IND|GEN//case//24 underhållsförordning//NN|UTR|SIN|IND|NOM//obj//14 samt//KN//cc//27 de//DT|UTR/NEU|PLU|DEF//det//27 författningsändringar//NN|UTR|PLU|IND|NOM//conj//24 som//HP|-|-|-//case//31 ett//DT|NEU|SIN|IND//det//31 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 tillträde//NN|NEU|SIN|IND|NOM//nmod//27 till//PP//case//35 2007//RG|NOM//nummod//34 års//NN|NEU|SIN|IND|GEN//nmod:poss//35 Haagkonvention//NN|UTR|SIN|IND|NOM//nmod//31 ger//VB|PRS|AKT//conj//1 anledning//NN|UTR|SIN|IND|NOM//obj//36 till//PP//compound:prt//36 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//41 dag//NN|UTR|SIN|IND|NOM//nsubj//42 utsåg//VB|PRT|AKT//parataxis//1 chefen//NN|UTR|SIN|DEF|NOM//obj//42 för//PP//case//45 Justitiedepartementet//PM|NOM//obl//42 ,//MID//punct//48 statsrådet//NN|NEU|SIN|DEF|NOM//compound//48 Beatrice//PM|NOM//conj//45 Ask//PM|NOM//flat//48 ,//MID//punct//48 hovrättsrådet//NN|NEU|SIN|DEF|NOM//nmod//55 tillika//AB//amod//54 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 ordföranden//NN|UTR|SIN|DEF|NOM//nmod//55 Ulrika//PM|NOM//conj//45 Beergrehn//PM|NOM//flat:name//55 till//PP//case//59 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//59 utredare//NN|UTR|SIN|IND|NOM//obl//42 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 14//RG|NOM//nummod//7 juli//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2009//RG|NOM//nummod//7
Till statsrådet och chefen för Justitiedepartementet;Michael//PM|NOM//nsubj//4 Hellner//PM|NOM//flat//0 ,//MID//punct//0 professorn//NN|UTR|SIN|DEF|NOM//conj//0 Maarit//PM|NOM//ROOT//4 Jänterä-Jareborg//PM|NOM//obj//4 ,//MID//punct//4 advokaten//NN|UTR|SIN|DEF|NOM//nmod//8 Fredric//PM|NOM//appos//4 Renström//PM|NOM//flat:name//8 ,//MID//punct//8 specialisten//NN|UTR|SIN|DEF|NOM//nmod//12 Anna//PM|NOM//appos//8 Svantesson//PM|NOM//flat:name//12 och//KN//cc//15 rättslige//JJ|POS|MAS|SIN|DEF|NOM//amod//16 experten//NN|UTR|SIN|DEF|NOM//nmod//17 Tommy//PM|NOM//conj//8 Wallén//PM|NOM//flat:name//17 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 Boel//PM|NOM//nsubj:pass//3 Oldenstedt//PM|NOM//flat:name//1 anställdes//VB|PRT|SFO//ROOT//3 som//KN//case//5 sekreterare//NN|UTR|SIN|IND|NOM//obl//3 i//PP//case//7 utredningen//NN|UTR|SIN|DEF|NOM//nmod//5 fr.o.m.//AB|AN//case//12 den//DT|UTR|SIN|DEF//det//10 11//RG|NOM//nummod//11 augusti//NN|UTR|SIN|IND|NOM//nmod//12 2009//RG|NOM//obl//3 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//4 Underhållsskyldighet//NN|UTR|SIN|IND|NOM//obj//1 i//PP//case//7 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 situationer//NN|UTR|PLU|IND|NOM//obl//1 –//RG|NOM//punct//7 Underhållsförordningen//NN|UTR|SIN|DEF|NOM//appos//7 ,//MID//punct//9 2007//RG|NOM//nummod//12 års//NN|NEU|SIN|IND|GEN//nmod:poss//13 Haagkonvention//NN|UTR|SIN|IND|NOM//conj//7 och//KN//cc//17 2007//RG|NOM//nummod//16 års//NN|NEU|SIN|IND|GEN//nmod:poss//17 Haagprotokoll//NN|UTR|SIN|IND|NOM//conj//13 (//PAD//punct//17 SOU//PM|NOM//appos//17 2010:59//RG|NOM//obl//1 )//PAD//punct//1 .//MAD//punct//1
