Flickor, pojkar, individer;–//RG|NOM//punct//2 om//PP//case//2 betydelsen//NN|UTR|SIN|DEF|NOM//ROOT//2 av//PP//case//4 jämställdhet//NN|UTR|SIN|IND|NOM//nmod//2 för//PP//case//6 kunskap//NN|UTR|SIN|IND|NOM//nmod//4 och//KN//cc//8 utveckling//NN|UTR|SIN|IND|NOM//conj//6 i//PP//case//10 skolan//NN|UTR|SIN|DEF|NOM//nmod//8
Flickor, pojkar, individer;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Delegationen//NN|UTR|SIN|DEF|NOM//nmod//0 för//PP//case//4 jämställdhet//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//6 skolan//NN|UTR|SIN|DEF|NOM//nmod//4
Flickor, pojkar, individer;Stockholm//PM|NOM//ROOT//0 2010//RG|NOM//nummod//0

Till utbildningsminister Jan Björklund;Vid//PP//case//1 regeringssammanträdet//NN|NEU|SIN|DEF|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 12//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//6 2008//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 utbildningsminister//NN|UTR|SIN|IND|NOM//nmod//9 Jan//PM|NOM//nsubj//6 Björklund//PM|NOM//flat:name//9 att//IE//mark//12 tillkalla//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//14 delegation//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//16 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//21 utifrån//PP//case//20 skolans//NN|UTR|SIN|DEF|GEN//nmod:poss//20 värdegrundsuppdrag//NN|NEU|PLU|IND|NOM//obl//21 lyfta//VB|INF|AKT//acl//16 fram//PL//compound:prt//21 och//KN//cc//24 utveckla//VB|INF|AKT//conj//21 kunskap//NN|UTR|SIN|IND|NOM//obj//24 om//PP//case//27 jämställdhet//NN|UTR|SIN|IND|NOM//nmod//25 i//PP//case//29 skolan//NN|UTR|SIN|DEF|NOM//nmod//27 (//PAD//punct//21 dir//NN|AN//obj//12 .//MAD//punct//6
Till utbildningsminister Jan Björklund;2008:75//RG|NOM//obl//6 )//PAD//punct//6 .//MAD//punct//6
Till utbildningsminister Jan Björklund;Den//DT|UTR|SIN|DEF//det//2 10//RG|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//obl//4 2008//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 ordföranden//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 i//PP//case//8 Saco//PM|NOM//nmod//8 Anna//PM|NOM//nmod//5 Ekström//PM|NOM//flat//8 att//IE//mark//11 leda//VB|INF|AKT//xcomp//4 delegationen//NN|UTR|SIN|DEF|NOM//obj//11 .//MAD//punct//4
Till utbildningsminister Jan Björklund;Till//PP//case//15 ledamöter//NN|UTR|PLU|IND|NOM//obl//18 i//PP//case//17 delegationen//NN|UTR|SIN|DEF|NOM//nmod//15 förordnades//VB|PRT|SFO//conj//4 samma//DT|UTR/NEU|SIN/PLU|IND//det//20 dag//NN|UTR|SIN|IND|NOM//obl//18 läraren//NN|UTR|SIN|DEF|NOM//nmod//22 Viktor//PM|NOM//nmod:poss//31 Bergsten//PM|NOM//flat//22 ,//MID//punct//26 läkaren//NN|UTR|SIN|DEF|NOM//nmod//26 Görel//PM|NOM//conj//22 Bråkenhielm//PM|NOM//flat:name//26 ,//MID//punct//26 journalisten//NN|UTR|SIN|DEF|NOM//nmod//30 Isobel//PM|NOM//conj//22 Hadley-Kamptz//PM|NOM//obj//18 ,//MID//punct//33 universitetslektorn//NN|UTR|SIN|DEF|NOM//parataxis//4 Ann//PM|NOM//flat//33 Heberlein//PM|NOM//flat:name//34 ,//MID//punct//33 professorn//NN|UTR|SIN|DEF|NOM//nmod//38 Martin//PM|NOM//appos//33 Ingvar//PM|NOM//flat:name//38 ,//MID//punct//43 jämställdhetshandläggaren//NN|UTR|SIN|DEF|NOM//nmod//42 Torbjörn//PM|NOM//nmod:poss//43 Messing//PM|NOM//appos//4 ,//MID//punct//43 nationalekonomen//NN|UTR|SIN|DEF|NOM//nmod//46 Krister//PM|NOM//appos//43 Sund//PM|NOM//flat:name//46 ,//MID//punct//46 filosofie//NN|UTR|SIN|IND|NOM//amod//50 doktorn//NN|UTR|SIN|DEF|NOM//nmod//51 Birgitta//PM|NOM//conj//43 Wistrand//PM|NOM//flat:name//51 och//KN//cc//54 professorn//NN|UTR|SIN|DEF|NOM//conj//43 Ebba//PM|NOM//flat:name//54 Witt-Brattström//PM|NOM//flat//55 .//MAD//punct//4
Till utbildningsminister Jan Björklund;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 13//RG|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//nmod//16 2009//RG|NOM//nummod//7 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//10 Mattias//PM|NOM//appos//7 Sjöstrand//PM|NOM//flat:name//10 ,//MID//punct//7 förste//RO|MAS|SIN|IND/DEF|NOM//advmod//16 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 ordföranden//NN|UTR|SIN|DEF|NOM//nmod//16 Per//PM|NOM//nmod//20 Wadman//PM|NOM//flat:name//16 ,//MID//punct//19 verksamhetschefen//NN|UTR|SIN|DEF|NOM//nmod//20 Per-Ove//PM|NOM//dep//4 Wramstedt//PM|NOM//flat:name//20 ,//MID//punct//20 ombudsmannen//NN|UTR|SIN|DEF|NOM//nmod//24 Karin//PM|NOM//conj//20 Åmossa//PM|NOM//flat:name//24 och//KN//cc//28 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//28 Linda//PM|NOM//conj//20 Österberg//PM|NOM//flat:name//28 .//MAD//punct//4
Till utbildningsminister Jan Björklund;Den//DT|UTR|SIN|DEF//det//2 6//RO|NOM//nummod//2 april//NN|UTR|SIN|IND|NOM//obl//3 entledigades//VB|PRT|SFO//ROOT//3 Ann//PM|NOM//nsubj:pass//3 Heberlein//PM|NOM//flat//4 från//PP//case//7 uppdraget//NN|NEU|SIN|DEF|NOM//obl//3 som//KN//mark//9 ledamot//NN|UTR|SIN|IND|NOM//xcomp//3 i//PP//case//11 delegationen//NN|UTR|SIN|DEF|NOM//obl//9 .//MAD//punct//3
Till utbildningsminister Jan Björklund;Samma//DT|UTR/NEU|SIN/PLU|IND//det//14 dag//NN|UTR|SIN|IND|NOM//obl//15 entledigades//VB|PRT|SFO//parataxis//3 Linda//PM|NOM//nsubj:pass//15 Österberg//PM|NOM//flat//16 och//KN//cc//20 Mattias//PM|NOM//nmod//20 Sjöstrand//PM|NOM//conj//16 som//KN//mark//22 experter//NN|UTR|PLU|IND|NOM//xcomp//15 och//KN//cc//24 ersattes//VB|PRT|SFO//conj//15 av//PP//case//27 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//27 Lars//PM|NOM//obl:agent//24 Wittenmark//PM|NOM//flat:name//27 och//KN//cc//30 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//31 Kristina//PM|NOM//conj//27 Cunningham//PM|NOM//flat:name//31 .//MAD//punct//3
