Komplementär och alternativ medicin och vård;–//RG|NOM//punct//2 ny//JJ|POS|UTR|SIN|IND|NOM//amod//2 lagstiftning//NN|UTR|SIN|IND|NOM//ROOT//2
Komplementär och alternativ medicin och vård;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 KAM-utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Komplementär och alternativ medicin och vård;Stockholm//PM|NOM//ROOT//0 2019//RG|NOM//nummod//0

Till statsrådet Lena Hallengren;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 27//RG|NOM//nummod//4 april//NN|UTR|SIN|IND|NOM//obl//1 2017//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 kartlägga//VB|INF|AKT//acl//12 och//KN//cc//16 lämna//VB|INF|AKT//conj//14 förslag//NN|NEU|SIN|IND|NOM//obj//16 i//PP//case//19 frågor//NN|UTR|PLU|IND|NOM//nmod//17 som//HP|-|-|-//nsubj//21 rör//VB|PRS|AKT//acl:relcl//19 ökat//VB|SUP|AKT//amod//23 patientinflytande//NN|NEU|SIN|IND|NOM//obj//21 och//KN//cc//25 patientsäkerhet//NN|UTR|SIN|IND|NOM//conj//23 inom//PP//case//28 annan//JJ|POS|UTR|SIN|IND|NOM//amod//28 vård//NN|UTR|SIN|IND|NOM//obl//21 och//KN//cc//30 behandling//NN|UTR|SIN|IND|NOM//conj//28 än//KN//case//32 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//21 som//HP|-|-|-//nsubj:pass//34 bedrivs//VB|PRS|SFO//acl:relcl//32 inom//PP//case//38 den//DT|UTR|SIN|DEF//det//38 etablerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//38 vården//NN|UTR|SIN|DEF|NOM//obl//34 (//PAD//punct//38 dir//NN|AN//appos//38 .//MAD//punct//38
Till statsrådet Lena Hallengren;2017:143//RG|NOM//appos//38 )//PAD//punct//4 .//MID//punct//1
Till statsrådet Lena Hallengren;Professor//NN|UTR|SIN|IND|NOM//nmod:poss//46 emeritus//NN|UTR|SIN|IND|NOM//nmod//47 Kjell//PM|NOM//nsubj:pass//49 Asplund//PM|NOM//flat//47 förordnades//VB|PRT|SFO//parataxis//1 att//IE//mark//60 från//PP//case//56 och//KN//fixed//51 med//PP//fixed//51 den//DT|UTR|SIN|DEF//det//56 27//RG|NOM//nummod//56 april//NN|UTR|SIN|IND|NOM//obl//60 2017//RG|NOM//nummod//56 vara//VB|INF|AKT//cop//60 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//60 utredare//NN|UTR|SIN|IND|NOM//obl//49 .//MAD//punct//1
Till statsrådet Lena Hallengren;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//64 har//VB|PRS|AKT//aux//64 antagit//VB|SUP|AKT//parataxis//1 namnet//NN|NEU|SIN|DEF|NOM//nmod//66 KAM-utredningen//NN|UTR|SIN|DEF|NOM//obj//64 .//MAD//punct//64
Till statsrådet Lena Hallengren;Tilläggsdirektiv//NN|NEU|PLU|IND|NOM//nsubj:pass//1 beslutades//VB|PRT|SFO//ROOT//1 av//PP//case//3 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//1 den//DT|UTR|SIN|DEF//det//6 6//RO|NOM//nummod//6 juli//NN|UTR|SIN|IND|NOM//obl//1 2018//RG|NOM//nummod//6 (//PAD//punct//1 dir//NN|AN//dep//1 .//MAD//punct//9
Till statsrådet Lena Hallengren;2018:63//RG|NOM//obl//1 )//PAD//punct//16 i//PP//case//15 vilka//HP|UTR/NEU|PLU|IND//det//15 utredaren//NN|UTR|SIN|DEF|NOM//obl//16 fick//VB|PRT|AKT//conj//1 i//PP//compound:prt//16 uppdrag//NN|NEU|SIN|IND|NOM//fixed//17 att//IE//mark//20 göra//VB|INF|AKT//xcomp//16 en//DT|UTR|SIN|IND//det//22 översyn//NN|UTR|SIN|IND|NOM//obj//20 av//PP//case//24 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//20 i//PP//case//30 5//RG|NOM//nummod//29 och//KN//cc//26 10//RG|NOM//nummod//26 kap.//NN|AN//nmod//30 patientsäkerhetslagen//NN|UTR|SIN|DEF|NOM//nmod//24 och//KN//cc//32 annan//JJ|POS|UTR|SIN|IND|NOM//conj//30 för//PP//case//34 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//32 relevant//JJ|POS|UTR|SIN|IND|NOM//amod//36 lagstiftning//NN|UTR|SIN|IND|NOM//conj//30 .//MAD//punct//16
Till statsrådet Lena Hallengren;Den//DT|UTR|SIN|DEF//det//40 7//RO|NOM//nummod//40 mars//NN|UTR|SIN|IND|NOM//obl//42 2019//RG|NOM//nummod//40 fattade//VB|PRT|AKT//parataxis//16 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//42 beslut//NN|NEU|SIN|IND|NOM//obj//42 om//PP//case//48 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//47 ett//DT|NEU|SIN|IND//det//48 tilläggsdirektiv//NN|NEU|SIN|IND|NOM//obl//42 rörande//PP//case//51 denna//DT|UTR|SIN|DEF//det//51 del//NN|UTR|SIN|IND|NOM//nmod//48 av//PP//case//53 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//51 (//PAD//punct//16 dir//NN|AN//appos//16 .//MAD//punct//16
