Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Resultat//NN|NEU|PLU|IND|NOM//ROOT//0 från//PP//case//3 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 studier//NN|UTR|PLU|IND|NOM//obl//0
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Monica//PM|NOM//ROOT//0 Rosén//PM|NOM//flat:name//0
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Förmågan//NN|UTR|SIN|DEF|NOM//nsubj//10 att//IE//mark//3 kunna//VB|INF|AKT//aux//3 läsa//VB|INF|AKT//acl//0 och//KN//cc//6 att//IE//mark//6 tillägna//VB|INF|AKT//conj//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//6 text//NN|UTR|SIN|IND|NOM//obj//6 är//VB|PRS|AKT//cop//10 en//PN|UTR|SIN|IND|SUB/OBJ//ROOT//10 av//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//15 allra//AB//advmod//14 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//15 förmågor//NN|UTR|PLU|IND|NOM//nmod//10 som//HP|-|-|-//obj//20 barn//NN|NEU|PLU|IND|NOM//nsubj//20 har//VB|PRS|AKT//aux//20 att//IE//mark//20 erövra//VB|INF|AKT//acl:relcl//15 under//PP//case//24 de//DT|UTR/NEU|PLU|DEF//det//24 tidiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 skolåren//NN|NEU|PLU|DEF|NOM//obl//20 .//MAD//punct//10
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//28 är//VB|PRS|AKT//cop//28 grunden//NN|UTR|SIN|DEF|NOM//parataxis//10 för//PP//case//30 lärande//NN|NEU|SIN|IND|NOM//nmod//28 i//PP//case//33 alla//DT|UTR/NEU|PLU|IND/DEF//det//33 ämnen//NN|NEU|PLU|IND|NOM//nmod//30 ,//MID//punct//37 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//37 kan//VB|PRS|AKT//aux//37 användas//VB|INF|SFO//conj//28 för//PP//case//39 rekreation//NN|UTR|SIN|IND|NOM//obl//37 och//KN//cc//43 för//PP//case//43 personlig//JJ|POS|UTR|SIN|IND|NOM//amod//43 utveckling//NN|UTR|SIN|IND|NOM//conj//39 .//MAD//punct//28
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//46 handlar//VB|PRS|AKT//conj//28 om//PP//mark//49 att//IE//mark//49 utrusta//VB|INF|AKT//advcl//46 barn//NN|NEU|PLU|IND|NOM//obj//49 med//PP//case//52 möjligheter//NN|UTR|PLU|IND|NOM//obl//49 att//IE//mark//54 delta//VB|INF|AKT//acl//52 fullt//AB|POS//advmod//56 ut//AB//advmod//59 i//PP//case//59 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 sammanhang//NN|NEU|PLU|IND|NOM//obl//54 i//PP//case//63 den//DT|UTR|SIN|DEF//det//63 lokala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 uppväxtmiljön//NN|UTR|SIN|DEF|NOM//nmod//59 och//KN//cc//68 i//PP//case//68 det//DT|NEU|SIN|DEF//det//68 omgivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//68 samhället//NN|NEU|SIN|DEF|NOM//conj//63 .//MID//punct//46
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Det//DT|NEU|SIN|DEF//det//71 informations-//NN|UTR|-|-|SMS//nsubj//80 och//KN//cc//74 kunskapsintensiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//74 samhälle//NN|NEU|SIN|IND|NOM//conj//71 som//HP|-|-|-//obj//78 vi//PN|UTR|PLU|DEF|SUB//nsubj//78 nu//AB//advmod//78 lever//VB|PRS|AKT//acl:relcl//74 i//PP//advmod//78 ställer//VB|PRS|AKT//conj//46 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 krav//NN|NEU|PLU|IND|NOM//obj//80 på//PP//case//85 god//JJ|POS|UTR|SIN|IND|NOM//amod//85 läsförmåga//NN|UTR|SIN|IND|NOM//obl//80 .//MAD//punct//80
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//96 som//HP|-|-|-//nsubj//90 inte//AB//advmod//90 kan//VB|PRS|AKT//acl:relcl//87 eller//KN//cc//92 har//VB|PRS|AKT//conj//90 svårt//AB|POS//obj//92 med//PP//case//95 läsningen//NN|UTR|SIN|DEF|NOM//obl//90 löper//VB|PRS|AKT//conj//28 hög//JJ|POS|UTR|SIN|IND|NOM//amod//98 risk//NN|UTR|SIN|IND|NOM//obj//96 att//IE//mark//100 fara//VB|INF|AKT//acl//98 illa//AB//advmod//100 .//MAD//punct//96
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Att//IE//mark//105 kunna//VB|INF|AKT//aux//105 läsa//VB|INF|AKT//advcl//96 med//PP//case//108 god//JJ|POS|UTR|SIN|IND|NOM//amod//108 förståelse//NN|UTR|SIN|IND|NOM//obl//105 kan//VB|PRS|AKT//aux//111 därför//AB//advmod//111 anses//VB|INF|SFO//conj//28 vara//VB|INF|AKT//cop//115 en//DT|UTR|SIN|IND//det//115 mänsklig//JJ|POS|UTR|SIN|IND|NOM//amod//115 rättighet//NN|UTR|SIN|IND|NOM//xcomp//111 ,//MID//punct//118 lika//AB//advmod//118 mycket//AB|POS//conj//115 som//HA//case//126 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//126 är//VB|PRS|AKT//cop//126 en//DT|UTR|SIN|IND//det//126 individuell//JJ|POS|UTR|SIN|IND|NOM//amod//126 och//KN//cc//125 samhällelig//JJ|POS|UTR|SIN|IND|NOM//conj//123 nödvändighet//NN|UTR|SIN|IND|NOM//advcl//111 .//MAD//punct//28
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Mot//PP//case//2 den//DT|UTR|SIN|DEF//det//2 bakgrunden//NN|UTR|SIN|DEF|NOM//obl//3 fokuseras//VB|PRS|SFO//ROOT//3 i//PP//case//6 detta//DT|NEU|SIN|DEF//det//6 kapitel//NN|NEU|SIN|IND|NOM//obl//3 9till//RG|NOM//punct//6 10-åringars//NN|UTR|PLU|IND|GEN//amod//9 förändringar//NN|UTR|PLU|IND|NOM//appos//6 i//PP//case//11 läsnivå//NN|UTR|SIN|IND|NOM//nmod//9 utifrån//PP//case//13 resultat//NN|NEU|PLU|IND|NOM//nmod//9 från//PP//case//9 och//KN//cc//16 analyser//NN|UTR|PLU|IND|NOM//conj//9 av//PP//case//19 Sveriges//PM|GEN//nmod:poss//19 deltagande//NN|NEU|SIN|IND|NOM//nmod//16 i//PP//case//22 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 läsundersökningar//NN|UTR|PLU|IND|NOM//nmod//19 .//MAD//punct//3
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//27 är//VB|PRS|AKT//cop//27 att//IE//mark//27 beskriva//VB|INF|AKT//parataxis//3 och//KN//cc//29 diskutera//VB|INF|AKT//conj//27 förändringar//NN|UTR|PLU|IND|NOM//obj//29 i//PP//case//32 läsnivå//NN|UTR|SIN|IND|NOM//nmod//30 över//PP//case//34 tid//NN|UTR|SIN|IND|NOM//obl//29 ,//MID//punct//27 samt//KN//cc//37 återge//VB|INF|AKT//conj//27 resultat//NN|NEU|PLU|IND|NOM//obj//37 från//PP//case//40 analyser//NN|UTR|PLU|IND|NOM//nmod//38 av//PP//case//43 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 orsakssamband//NN|NEU|PLU|IND|NOM//nmod//40 med//PP//case//45 fokus//NN|NEU|SIN|IND|NOM//obl//37 på//PP//case//47 betydelsen//NN|UTR|SIN|DEF|NOM//nmod//45 av//PP//case//51 ett//DT|NEU|SIN|IND//det//51 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//51 datoranvändande//NN|NEU|SIN|IND|NOM//nmod//47 på//PP//case//53 fritiden//NN|UTR|SIN|DEF|NOM//nmod//51 .//MAD//punct//3
Förändringar i läsvanor och läsförmåga bland 9till 10-åringar ;Kapitlet//NN|NEU|SIN|DEF|NOM//nsubj//56 börjar//VB|PRS|AKT//parataxis//3 med//PP//case//60 en//DT|UTR|SIN|IND//det//60 översiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//60 beskrivning//NN|UTR|SIN|IND|NOM//obl//56 av//PP//case//64 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 9till//RG|NOM//nummod//64 10-åringars//NN|UTR|PLU|IND|GEN//nmod:poss//65 resultat//NN|NEU|PLU|IND|NOM//nmod//60 i//PP//case//68 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 läsundersökningar//NN|UTR|PLU|IND|NOM//nmod//65 .//MAD//punct//56
