Straffrättsliga åtgärder mot deltagande i en väpnad konflikt till stöd för en terroristorganisation;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 genomförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//2 av//PP//case//8 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 straffrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 åtaganden//NN|NEU|PLU|IND|NOM//nmod//4 för//PP//mark//11 att//IE//mark//11 förhindra//VB|INF|AKT//advcl//0 och//KN//cc//13 bekämpa//VB|INF|AKT//conj//11 terrorism//NN|UTR|SIN|IND|NOM//obj//13
Till statsrådet och chefen för Justitiedepartementet;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 innefattade//VB|PRT|AKT//parataxis//2 ett//DT|NEU|SIN|IND//det//17 uppdrag//NN|NEU|SIN|IND|NOM//obj//15 att//IE//mark//19 analysera//VB|INF|AKT//acl//17 behovet//NN|NEU|SIN|DEF|NOM//obj//19 av//PP//case//23 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 kriminalisering//NN|UTR|SIN|IND|NOM//nmod//20 för//PP//mark//26 att//IE//mark//26 förebygga//VB|INF|AKT//advcl//19 och//KN//cc//28 förhindra//VB|INF|AKT//conj//26 att//SN//mark//31 personer//NN|UTR|PLU|IND|NOM//nsubj//31 deltar//VB|PRS|AKT//ccomp//28 i//PP//case//34 väpnad//PC|PRF|UTR|SIN|IND|NOM//amod//34 konflikt//NN|UTR|SIN|IND|NOM//obl//31 utomlands//AB//advmod//40 inom//PP//case//40 ramen//NN|UTR|SIN|DEF|NOM//fixed//36 för//PP//fixed//36 en//DT|UTR|SIN|IND//det//40 terroristorganisation//NN|UTR|SIN|IND|NOM//obl//31 .//MAD//punct//15
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//45 skulle//VB|PRT|AKT//aux//45 också//AB//advmod//45 överväga//VB|INF|AKT//parataxis//15 om//SN//case//47 straffbestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//52 om//PP//case//50 olovlig//JJ|POS|UTR|SIN|IND|NOM//amod//50 värvning//NN|UTR|SIN|IND|NOM//nmod//47 bör//VB|PRS|AKT//aux//52 förtydligas//VB|INF|SFO//ccomp//45 ,//MID//punct//54 utvidgas//VB|INF|SFO//conj//52 eller//KN//cc//56 ändras//VB|INF|SFO//conj//52 på//PP//case//60 något//DT|NEU|SIN|IND//det//60 annat//JJ|POS|NEU|SIN|IND|NOM//amod//60 sätt//NN|NEU|SIN|IND|NOM//obl//56 samt//KN//cc//63 även//AB//advmod//63 ta//VB|INF|AKT//conj//52 ställning//NN|UTR|SIN|IND|NOM//obj//63 till//PP//mark//69 om//SN//mark//69 Sverige//PM|NOM//nsubj//69 ska//VB|PRS|AKT//aux//69 tillträda//VB|INF|AKT//advcl//63 Pekingprotokollet//NN|NEU|SIN|DEF|NOM//obj//69 ,//MID//punct//72 Pekingkonventionen//NN|UTR|SIN|DEF|NOM//conj//70 och//KN//cc//74 tilläggsprotokollet//NN|NEU|SIN|DEF|NOM//conj//70 till//PP//case//77 Europarådets//PM|GEN//nmod:poss//77 konvention//NN|UTR|SIN|IND|NOM//obl//69 om//PP//case//79 förebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//77 av//PP//case//81 terrorism//NN|UTR|SIN|IND|NOM//nmod//79 .//MAD//punct//45
Till statsrådet och chefen för Justitiedepartementet;I//PP//case//85 alla//DT|UTR/NEU|PLU|IND/DEF//det//85 delar//NN|UTR|PLU|IND|NOM//obl//92 där//HA//advmod//88 lagstiftning//NN|UTR|SIN|IND|NOM//nsubj//88 bedömdes//VB|PRT|SFO//acl:relcl//85 nödvändig//JJ|POS|UTR|SIN|IND|NOM//xcomp//88 skulle//VB|PRT|AKT//aux//92 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//92 lämna//VB|INF|AKT//advcl//45 förslag//NN|NEU|SIN|IND|NOM//obj//92 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Sedan//PP//mark//6 den//DT|UTR|SIN|DEF//det//3 21//RG|NOM//nummod//3 januari//NN|UTR|SIN|IND|NOM//obl//6 2015//RG|NOM//nummod//3 har//VB|PRS|AKT//aux//6 f.d.//JJ|AN//advcl//12 chefsåklagaren//NN|UTR|SIN|DEF|NOM//nmod//8 Tomas//PM|NOM//nsubj//6 Lindstrand//PM|NOM//flat:name//8 ,//MID//punct//12 advokaten//NN|UTR|SIN|DEF|NOM//nmod//12 Thomas//PM|NOM//nsubj//51 Olsson//PM|NOM//flat:name//12 ,//MID//punct//12 hovrättsrådet//NN|NEU|SIN|DEF|NOM//conj//12 ,//MID//punct//15 tillika//AB//amod//19 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 ordföranden//NN|UTR|SIN|DEF|NOM//conj//12 ,//MID//punct//21 Niklas//PM|NOM//conj//12 Wågnert//PM|NOM//flat//21 ,//MID//punct//21 professorn//NN|UTR|SIN|DEF|NOM//nmod//25 Petter//PM|NOM//nmod//21 Asp//PM|NOM//flat:name//25 ,//MID//punct//21 docenten//NN|UTR|SIN|DEF|NOM//nmod//29 Ola//PM|NOM//conj//12 Engdahl//PM|NOM//flat:name//29 ,//MID//punct//32 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//33 Katarina//PM|NOM//dep//12 Fabian//PM|NOM//flat//33 ,//MID//punct//33 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//37 Maria//PM|NOM//conj//12 Kelt//PM|NOM//flat:name//37 och//KN//cc//43 sedan//PP//case//43 den//DT|UTR|SIN|DEF//det//42 16//RG|NOM//nummod//43 april//NN|UTR|SIN|IND|NOM//conj//12 samma//DT|UTR/NEU|SIN/PLU|IND//det//45 år//NN|NEU|SIN|IND|NOM//nmod//46 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//47 Mattias//PM|NOM//flat:name//12 Hållberg//PM|NOM//flat:name//47 Leuf//PM|NOM//nsubj//51 varit//VB|SUP|AKT//cop//51 förordnade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//51 som//KN//case//53 experter//NN|UTR|PLU|IND|NOM//obl//51 i//PP//case//55 utredningen//NN|UTR|SIN|DEF|NOM//nmod//53 .//MAD//punct//51
Till statsrådet och chefen för Justitiedepartementet;Med//PP//case//58 anledning//NN|UTR|SIN|IND|NOM//obl//61 av//PP//case//60 tilläggsdirektivet//NN|NEU|SIN|DEF|NOM//nmod//58 förordnades//VB|PRT|SFO//conj//51 därutöver//AB//advmod//61 den//DT|UTR|SIN|DEF//det//65 10//RG|NOM//nummod//65 juli//NN|UTR|SIN|IND|NOM//obl//61 2015//RG|NOM//nummod//67 professorn//NN|UTR|SIN|DEF|NOM//obl//51 Pål//PM|NOM//nsubj:pass//67 Wrange//PM|NOM//flat//68 och//KN//cc//71 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//72 Mikael//PM|NOM//appos//67 Andersson//PM|NOM//flat:name//72 och//KN//cc//77 den//DT|UTR|SIN|DEF//det//77 10//RG|NOM//nummod//77 september//NN|UTR|SIN|IND|NOM//conj//72 2015//RG|NOM//nummod//79 kanslirådet//NN|NEU|SIN|DEF|NOM//appos//67 Eva//PM|NOM//dep//79 Bloch//PM|NOM//flat:name//80 och//KN//cc//84 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//84 Martin//PM|NOM//conj//80 Rhodin//PM|NOM//flat:name//84 som//KN//mark//87 experter//NN|UTR|PLU|IND|NOM//nmod//79 i//PP//case//89 utredningen//NN|UTR|SIN|DEF|NOM//nmod//87 .//MID//punct//67
Till statsrådet och chefen för Justitiedepartementet;Eva//PM|NOM//appos//67 Bloch//PM|NOM//nsubj:pass//93 entledigades//VB|PRT|SFO//acl:relcl//91 från//PP//case//96 sitt//PS|NEU|SIN|DEF//nmod:poss//96 uppdrag//NN|NEU|SIN|IND|NOM//obl//93 den//DT|UTR|SIN|DEF//det//99 18//RG|NOM//nummod//99 mars//NN|UTR|SIN|IND|NOM//obl//93 2016//RG|NOM//nummod//99 .//MAD//punct//51
Till statsrådet och chefen för Justitiedepartementet;Lars//PM|NOM//nsubj//4 Werkström//PM|NOM//flat:name//0 är//VB|PRS|AKT//cop//4 ensam//JJ|POS|UTR|SIN|IND|NOM//amod//4 utredare//NN|UTR|SIN|IND|NOM//ROOT//4 och//KN//cc//6 svarar//VB|PRS|AKT//conj//4 för//PP//case//8 innehållet//NN|NEU|SIN|DEF|NOM//obl//6 i//PP//case//10 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//8 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Experterna//NN|UTR|PLU|DEF|NOM//nsubj//14 har//VB|PRS|AKT//aux//14 deltagit//VB|SUP|AKT//parataxis//4 i//PP//case//16 arbetet//NN|NEU|SIN|DEF|NOM//obl//14 och//KN//cc//22 har//VB|PRS|AKT//aux//22 i//PP//advmod//22 allt//DT|NEU|SIN|IND/DEF//fixed//19 väsentligt//AB|POS//advmod//22 ställt//VB|SUP|AKT//conj//14 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//22 bakom//PL//case//27 de//DT|UTR/NEU|PLU|DEF//det//27 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//27 förslagen//NN|NEU|PLU|DEF|NOM//obl//22 .//MAD//punct//14
Till statsrådet och chefen för Justitiedepartementet;Skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//30 uppfattningar//NN|UTR|PLU|IND|NOM//nsubj//35 i//PP//case//32 enskildheter//NN|UTR|PLU|IND|NOM//nmod//30 har//VB|PRS|AKT//aux//35 dock//AB//advmod//35 förekommit//VB|SUP|AKT//conj//14 utan//PP//mark//39 att//SN//mark//39 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//39 kommit//VB|SUP|AKT//advcl//35 till//PP//compound:prt//39 uttryck//NN|NEU|SIN|IND|NOM//fixed//40 i//PP//case//45 något//DT|NEU|SIN|IND//det//45 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//45 yttrande//NN|NEU|SIN|IND|NOM//obl//39 .//MAD//punct//14
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 delbetänkandet//NN|NEU|SIN|DEF|NOM//det//6 Straffrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 åtgärder//NN|UTR|PLU|IND|NOM//obj//3 mot//PP//case//8 deltagande//NN|NEU|SIN|IND|NOM//obl//3 i//PP//case//12 en//DT|UTR|SIN|IND//det//12 väpnad//PC|PRF|UTR|SIN|IND|NOM//amod//12 konflikt//NN|UTR|SIN|IND|NOM//nmod//8 till//PP//case//14 stöd//NN|NEU|SIN|IND|NOM//nmod//12 för//PP//case//17 en//DT|UTR|SIN|IND//det//17 terroristorganisation//NN|UTR|SIN|IND|NOM//nmod//12 (//PAD//punct//3 SOU//PM|NOM//appos//3 2016:40//RG|NOM//advmod//3 )//PAD//punct//3 .//MAD//punct//3
