Djurhållning och miljön;–//RG|NOM//punct//1 hantering//NN|UTR|SIN|IND|NOM//ROOT//1 av//PP//case//3 risker//NN|UTR|PLU|IND|NOM//nmod//1 och//KN//cc//5 möjligheter//NN|UTR|PLU|IND|NOM//conj//3 med//PP//case//7 stallgödsel//NN|UTR|SIN|IND|NOM//nmod//5
Till statsrådet och chefen för Landsbygdsdepartementet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//15 dag//NN|UTR|SIN|IND|NOM//obl//16 förordnades//VB|PRT|SFO//parataxis//5 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//18 Sven-Olov//PM|NOM//nsubj:pass//16 Ericson//PM|NOM//flat//18 ,//MID//punct//21 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//18 och//KN//cc//23 agronomen//NN|UTR|SIN|DEF|NOM//conj//18 Mona//PM|NOM//conj//18 Strandmark//PM|NOM//flat:name//24 ,//MID//punct//27 Jordbruksverket//NN|NEU|SIN|DEF|NOM//conj//18 som//KN//mark//29 experter//NN|UTR|PLU|IND|NOM//conj//18 i//PP//case//31 utredningen//NN|UTR|SIN|DEF|NOM//nmod//29 .//MAD//punct//5
Till statsrådet och chefen för Landsbygdsdepartementet;Roger//PM|NOM//parataxis//5
Till statsrådet och chefen för Landsbygdsdepartementet;Sedin//PM|NOM//nsubj:pass//1 entledigades//VB|PRT|SFO//ROOT//1 med//PP//case//3 verkan//NN|UTR|SIN|IND|NOM//obl//1 fr.o.m.//AB|AN//case//7 den//DT|UTR|SIN|DEF//det//7 15//RG|NOM//nummod//7 juni//NN|UTR|SIN|IND|NOM//obl//1 2012//RG|NOM//nummod//7 och//KN//cc//12 i//PP//advmod//12 stället//NN|NEU|SIN|DEF|NOM//fixed//10 förordnades//VB|PRT|SFO//conj//1 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//14 Jerker//PM|NOM//nsubj//12 Forssell//PM|NOM//flat:name//14 ,//MID//punct//17 Miljödepartementet//NN|NEU|SIN|DEF|NOM//conj//14 ,//MID//punct//17 som//KN//case//20 expert//NN|UTR|SIN|IND|NOM//acl//17 i//PP//case//22 utredningen//NN|UTR|SIN|DEF|NOM//obl//20 .//MAD//punct//1
Till statsrådet och chefen för Landsbygdsdepartementet;Som//KN//mark//1 huvudsekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anställdes//VB|PRT|SFO//ROOT//4 fr.o.m.//AB|AN//case//8 den//DT|UTR|SIN|DEF//det//8 15//RG|NOM//nummod//8 augusti//NN|UTR|SIN|IND|NOM//obl//4 2011//RG|NOM//nummod//10 verksjuristen//NN|UTR|SIN|DEF|NOM//obl//4 Ida//PM|NOM//dep//10 Lindblad//PM|NOM//flat:name//11 Hammar//PM|NOM//flat:name//11 .//MAD//punct//10
Till statsrådet och chefen för Landsbygdsdepartementet;Kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//cc//19 Mattias//PM|NOM//nsubj//19 Henriksson//PM|NOM//flat//16 var//VB|PRT|AKT//cop//19 anställd//PC|PRF|UTR|SIN|IND|NOM//parataxis//10 som//KN//case//21 sekreterare//NN|UTR|SIN|IND|NOM//obl//19 under//PP//case//23 tiden//NN|UTR|SIN|DEF|NOM//nmod//21 den//DT|UTR|SIN|DEF//det//25 1//RG|NOM//nummod//26 januari–31//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//4 mars//NN|UTR|SIN|IND|NOM//nsubj//26 2012//RG|NOM//nummod//27 .//MAD//punct//4
Till statsrådet och chefen för Landsbygdsdepartementet;Därutöver//AB//advmod//35 har//VB|PRS|AKT//aux//35 agronomen//NN|UTR|SIN|DEF|NOM//nmod//33 Stig//PM|NOM//nsubj//35 Widell//PM|NOM//flat:name//33 biträtt//VB|SUP|AKT//conj//4 utredningen//NN|UTR|SIN|DEF|NOM//obj//35 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 avsnitten//NN|NEU|PLU|DEF|NOM//nmod//36 om//PP//case//41 animaliska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 biprodukter//NN|UTR|PLU|IND|NOM//nmod//38 .//MAD//punct//4
Till statsrådet och chefen för Landsbygdsdepartementet;Ett//DT|NEU|SIN|IND//det//2 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//2 yttrande//NN|NEU|SIN|IND|NOM//nsubj:pass//4 har//VB|PRS|AKT//aux//4 lämnats//VB|SUP|SFO//ROOT//4 av//PP//case//6 Arne//PM|NOM//obl:agent//4 Joelsson//PM|NOM//flat:name//6 .//MAD//punct//6
Till statsrådet och chefen för Landsbygdsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 överlämnar//VB|PRS|AKT//conj//4 härmed//AB//advmod//10 betänkandet//NN|NEU|SIN|DEF|NOM//obj//10 .//MAD//punct//10
Till statsrådet och chefen för Landsbygdsdepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//17 är//VB|PRS|AKT//cop//17 därmed//AB//advmod//17 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//10 .//MAD//punct//10
Till statsrådet och chefen för Landsbygdsdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 januari//NN|UTR|SIN|IND|NOM//obl//0 2013//RG|NOM//nummod//2
Till statsrådet och chefen för Landsbygdsdepartementet;Christina//PM|NOM//nmod:poss//5 Huhtasaari//PM|NOM//flat//0 /Ida//MID//nmod//3 Lindblad//PM|NOM//conj//0 Hammar//PM|NOM//flat:name//3 3.6//RG|NOM//nmod:poss//6 Genomgång//NN|UTR|SIN|IND|NOM//ROOT//6 av//PP//case//8 beslut//NN|NEU|SIN|IND|NOM//nmod//6 av//PP//case//10 miljöprövningsdelegationer//NN|UTR|PLU|IND|NOM//nmod//8


1 Förslag till lag om ändring i miljöbalken;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//12 29//RG|NOM//nummod//4 kap.//NN|AN//nmod//7 9//RG|NOM//nummod//6 §//NN|AN//nmod//7 miljöbalken//NN|UTR|SIN|DEF|NOM//nsubj//12 (//PAD//punct//9 1998:808//RG|NOM//conj//7 )//PAD//punct//7 ska//VB|PRS|AKT//aux//12 ha//VB|INF|AKT//dep//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 lydelse//NN|UTR|SIN|IND|NOM//obj//12 .//MAD//punct//1

1 Förslag till lag om ändring i miljöbalken / 29 kap.;9//RG|NOM//nummod//1 §//NN|AN//ROOT//1
1 Förslag till lag om ändring i miljöbalken / 29 kap.;Till//PP//case//1 böter//NN|UTR|PLU|IND|NOM//obl//2 döms//VB|PRS|SFO//ROOT//2 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//2 som//HP|-|-|-//mark//6 med//PP//case//6 uppsåt//NN|NEU|SIN|IND|NOM//xcomp//2 eller//KN//cc//9 av//PP//case//9 oaktsamhet//NN|UTR|SIN|IND|NOM//conj//6 1//RG|NOM//nummod//9 .//MID//punct//2
1 Förslag till lag om ändring i miljöbalken / 29 kap.;bryter//VB|PRS|AKT//parataxis//2 mot//PP//case//14 bestämmelsen//NN|UTR|SIN|DEF|NOM//obl//12 i//PP//case//17 artikel//NN|UTR|SIN|IND|NOM//nmod//17 6.3//RG|NOM//nmod//14 i//PP//case//19 förordning//NN|UTR|SIN|IND|NOM//nmod//17 (//PAD//punct//21 EG//PM|NOM//appos//19 )//PAD//punct//21 nr//NN|AN//nmod//24 338/97//RG|NOM//nsubj//2 om//PP//case//26 skyldighet//NN|UTR|SIN|IND|NOM//nmod//24 att//IE//mark//31 i//PP//case//30 en//DT|UTR|SIN|IND//det//30 ansökan//NN|UTR|SIN|IND|NOM//obl//31 lämna//VB|INF|AKT//acl//24 uppgift//NN|UTR|SIN|IND|NOM//obj//31 om//PP//case//35 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 beslut//NN|NEU|PLU|IND|NOM//nmod//32 om//PP//case//37 avslag//NN|NEU|PLU|IND|NOM//obl//31 ,//MID//punct//37 2//RG|NOM//nummod//24 .//MID//punct//2
1 Förslag till lag om ändring i miljöbalken / 29 kap.;bryter//VB|PRS|AKT//parataxis//2 mot//PP//case//44 en//DT|UTR|SIN|IND//det//44 föreskrift//NN|UTR|SIN|IND|NOM//obl//41 eller//KN//cc//47 ett//DT|NEU|SIN|IND//det//47 beslut//NN|NEU|SIN|IND|NOM//conj//44 i//PP//case//51 ett//DT|NEU|SIN|IND//det//51 enskilt//JJ|POS|NEU|SIN|IND|NOM//amod//51 fall//NN|NEU|SIN|IND|NOM//nmod//47 om//PP//case//53 tomgångskörning//NN|UTR|SIN|IND|NOM//nmod//51 eller//KN//cc//55 gatumusik//NN|UTR|SIN|IND|NOM//conj//53 som//HP|-|-|-//obj//62 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//62 eller//KN//cc//62 ,//MID//punct//62 efter//PP//mark//62 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//62 bemyndigande//NN|NEU|SIN|IND|NOM//acl:relcl//55 ,//MID//punct//62 en//RG|UTR|SIN|IND|NOM//conj//62
1 Förslag till lag om ändring i miljöbalken / 29 kap.;Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//obl//2 2014//RG|NOM//nummod//7 .//MAD//punct//2

2 Förslag till förordning om ändring i förordningen (1998:915) om miljöhänsyn i jordbruket;Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//fixed//2 förordningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 (//PAD//punct//5 1998:915//RG|NOM//appos//5 )//PAD//punct//5 om//PP//case//10 miljöhänsyn//NN|UTR|SIN|IND|NOM//obl//1 i//PP//case//12 jordbruket//NN|NEU|SIN|DEF|NOM//nmod//10 dels//KN//mark//22  //_SP////13 att//SN//mark//22 1//RG|NOM//nummod//19 och//KN//cc//16 10//RG|NOM//nummod//16 §//NN|AN//nmod//20 §//NN|AN//nsubj//22 ska//VB|PRS|AKT//aux//22 ha//VB|INF|AKT//advcl//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 lydelse//NN|UTR|SIN|IND|NOM//obj//22 ,//MID//punct//22 dels//KN//advmod//33  //_SP////26 att//SN//mark//33 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//33 i//PP//case//31 förordningen//NN|UTR|SIN|DEF|NOM//obl//33 ska//VB|PRS|AKT//aux//33 införas//VB|INF|SFO//conj//22 en//DT|UTR|SIN|IND//det//36 ny//JJ|POS|UTR|SIN|IND|NOM//amod//36 paragraf//NN|UTR|SIN|IND|NOM//nsubj:pass//33 ,//MID//punct//36 9//RG|NOM//nummod//40 a//NN|NEU|SIN|IND|NOM//case//40 §//NN|AN//obl//33 ,//MID//punct//40 av//PP//case//44 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 lydelse//NN|UTR|SIN|IND|NOM//nmod//40 .//MAD//punct//1
2 Förslag till förordning om ändring i förordningen (1998:915) om miljöhänsyn i jordbruket;5//RG|NOM//dep//1 .//MAD//punct//1
2 Förslag till förordning om ändring i förordningen (1998:915) om miljöhänsyn i jordbruket;i//PP//advmod//1 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//48 med//PP//case//51 stöd//NN|NEU|SIN|IND|NOM//obl//1 av//PP//case//57 8//RG|NOM//nummod//54 kap.//NN|AN//nmod//57 7//RG|NOM//nummod//56 §//NN|AN//nmod//57 regeringsformen//NN|UTR|SIN|DEF|NOM//nmod//51 .//MAD//punct//1
2 Förslag till förordning om ändring i förordningen (1998:915) om miljöhänsyn i jordbruket;9//RG|NOM//nummod//60 a//NN|NEU|SIN|IND|NOM//nummod//61 §//NN|AN//obl//1
2 Förslag till förordning om ändring i förordningen (1998:915) om miljöhänsyn i jordbruket;Jordbruksverket//NN|NEU|SIN|DEF|NOM//nsubj//2 får//VB|PRS|AKT//aux//2 meddela//VB|INF|AKT//ROOT//2 föreskrifter//NN|UTR|PLU|IND|NOM//obj//2 om//PP//case//5 täckning//NN|UTR|SIN|IND|NOM//obl//2 av//PP//case//7 lagringsbehållare//NN|UTR|PLU|IND|NOM//nmod//5 för//PP//case//9 material//NN|NEU|PLU|IND|NOM//nmod//5 som//HP|-|-|-//nsubj:pass//12 har//VB|PRS|AKT//aux//12 rötats//VB|SUP|SFO//acl:relcl//9 i//PP//case//15 en//DT|UTR|SIN|IND//det//15 biogasanläggning//NN|UTR|SIN|IND|NOM//obl//12 om//PP//case//17 huvuddelen//NN|UTR|SIN|DEF|NOM//nmod//15 av//PP//case//19 materialet//NN|NEU|SIN|DEF|NOM//nmod//17 bestått//VB|SUP|AKT//advcl//2 av//PP//case//22 stallgödsel//NN|UTR|SIN|IND|NOM//obl//20 och//KN//cc//26 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 biologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 produkter//NN|UTR|PLU|IND|NOM//conj//22 från//PP//case//28 jordbruksverksamhet//NN|UTR|SIN|IND|NOM//nmod//26 och//KN//cc//30 djurhållning//NN|UTR|SIN|IND|NOM//conj//28 .//MAD//punct//2
2 Förslag till förordning om ändring i förordningen (1998:915) om miljöhänsyn i jordbruket;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//33 gäller//VB|PRS|AKT//conj//2 oavsett//AB|POS//advmod//33 om//SN//mark//37 lagringsbehållaren//NN|UTR|SIN|DEF|NOM//nsubj//37 finns//VB|PRS|SFO//advcl//33 på//PP//case//40 ett//DT|NEU|SIN|IND//det//40 jordbruksföretag//NN|NEU|SIN|IND|NOM//obl//37 eller//KN//cc//45 inte//AB//advmod//45 .//MAD//punct//42
