– ett system, många möjligheter;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
– ett system, många möjligheter;Sammanhållen//PC|PRF|UTR|SIN|IND|NOM//amod//1 kunskapsstyrning//NN|UTR|SIN|IND|NOM//ROOT//1
– ett system, många möjligheter;Stockholm//PM|NOM//ROOT//0 2020//RG|NOM//nummod//0

Till statsrådet och chefen för Socialdepartementet Lena Hallengren;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 30//RG|NOM//nummod//4 augusti//NN|UTR|SIN|IND|NOM//obl//1 2018//RG|NOM//nummod//1 att//IE//mark//7 uppdra//VB|INF|AKT//xcomp//1 till//PP//case//11 en//DT|UTR|SIN|IND//det//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//25 utifrån//PP//case//14 förslagen//NN|NEU|PLU|DEF|NOM//obl//25 i//PP//case//16 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//17 Kunskapsbaserad//PC|PRF|UTR|SIN|IND|NOM//nmod//14 och//KN//cc//19 jämlik//JJ|POS|UTR|SIN|IND|NOM//conj//17 vård//NN|UTR|SIN|IND|NOM//conj//17 (//PAD//punct//17 SOU//PM|NOM//appos//17 2017:48//RG|NOM//conj//17 )//PAD//punct//14 stödja//VB|INF|AKT//acl//11 utformandet//NN|NEU|SIN|DEF|NOM//obj//25 av//PP//case//31 ett//DT|NEU|SIN|IND//det//30 nationellt//AB|POS//amod//30 sammanhållet//PC|PRF|NEU|SIN|IND|NOM//nmod//31 system//NN|NEU|SIN|IND|NOM//nmod//26 för//PP//case//34 kunskapsbaserad//PC|PRF|UTR|SIN|IND|NOM//amod//34 vård//NN|UTR|SIN|IND|NOM//nmod//31 där//HA//advmod//40 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 och//KN//cc//38 sjukvårdshuvudmännens//NN|UTR|SIN|DEF|GEN//conj//36 arbete//NN|NEU|SIN|IND|NOM//nsubj//40 förstärker//VB|PRS|AKT//acl:relcl//34 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obj//40 och//KN//cc//44 tillsammans//AB//advmod//44 ger//VB|PRS|AKT//conj//40 förutsättningar//NN|UTR|PLU|IND|NOM//obj//44 för//PP//mark//52 att//SN//mark//52 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//50 tillgängliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//50 kunskap//NN|UTR|SIN|IND|NOM//nsubj:pass//52 ska//VB|PRS|AKT//aux//52 användas//VB|INF|SFO//advcl//44 i//PP//case//55 varje//DT|UTR/NEU|SIN|IND//det//55 patientmöte//NN|NEU|SIN|IND|NOM//obl//52 (//PAD//punct//55 dir//NN|AN//appos//55 .//MAD//punct//25
Till statsrådet och chefen för Socialdepartementet Lena Hallengren;2018:95//RG|NOM//obl//25 )//PAD//punct//25 .//MAD//punct//1
Till statsrådet och chefen för Socialdepartementet Lena Hallengren;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 7//RO|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obl//1 2019//RG|NOM//nummod//4 om//PP//case//7 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//1 (//PAD//punct//7 dir//NN|AN//appos//7 .//MAD//punct//7
Till statsrådet och chefen för Socialdepartementet Lena Hallengren;2019:78//RG|NOM//appos//7 )//PAD//punct//7 .//MAD//punct//16
Till statsrådet och chefen för Socialdepartementet Lena Hallengren;I//PP//case//15 tilläggsdirektivet//NN|NEU|SIN|DEF|NOM//obl//16 ersattes//VB|PRT|SFO//advcl//114 huvuddelen//NN|UTR|SIN|DEF|NOM//nsubj:pass//16 av//PP//case//21 det//DT|NEU|SIN|DEF//det//21 ursprungliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nmod//17 av//PP//case//25 ett//DT|NEU|SIN|IND//det//25 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//25 uppdrag//NN|NEU|SIN|IND|NOM//nmod//21 .//MAD//punct//16
Till statsrådet och chefen för Socialdepartementet Lena Hallengren;I//PP//case//28 tilläggsdirektivet//NN|NEU|SIN|DEF|NOM//obl//29 uppdras//VB|PRS|SFO//parataxis//16 den//DT|UTR|SIN|DEF//det//32 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//32 utredaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//29 att//IE//mark//34 analysera//VB|INF|AKT//acl//32 och//KN//cc//36 lämna//VB|INF|AKT//conj//34 förslag//NN|NEU|SIN|IND|NOM//obj//36 på//PP//case//40 en//DT|UTR|SIN|IND//det//40 funktion//NN|UTR|SIN|IND|NOM//nmod//37 för//PP//case//44 en//DT|UTR|SIN|IND//det//44 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//44 uppföljning//NN|UTR|SIN|IND|NOM//nmod//40 av//PP//case//46 hälso-//NN|UTR|-|-|SMS//nmod//44 och//KN//cc//48 sjukvården//NN|UTR|SIN|DEF|NOM//conj//46 inom//PP//case//54 ramen//NN|UTR|SIN|DEF|NOM//fixed//49 för//PP//fixed//49 den//DT|UTR|SIN|DEF//det//54 befintliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//54 myndighetsstrukturen//NN|UTR|SIN|DEF|NOM//nmod//44 ,//MID//punct//57 med//PP//case//57 syfte//NN|NEU|SIN|IND|NOM//conj//34 att//IE//mark//59 följa//VB|INF|AKT//acl//57 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//61 reformer//NN|UTR|PLU|IND|NOM//obj//59 och//KN//cc//63 satsningar//NN|UTR|PLU|IND|NOM//conj//61 på//PP//case//65 området//NN|NEU|SIN|DEF|NOM//nmod//63 samt//KN//cc//67 analysera//VB|INF|AKT//conj//34 var//HA//cop//69 behoven//NN|NEU|PLU|DEF|NOM//obj//67 av//PP//case//72 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 insatser//NN|UTR|PLU|IND|NOM//nmod//69 är//VB|PRS|AKT//cop//75 som//KN//mark//75 störst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//xcomp//29 för//PP//mark//78 att//IE//mark//78 säkerställa//VB|INF|AKT//advcl//75 god//JJ|POS|UTR|SIN|IND|NOM//amod//80 vård//NN|UTR|SIN|IND|NOM//obj//78 .//MAD//punct//16
Till statsrådet och chefen för Socialdepartementet Lena Hallengren;Uppdraget//NN|NEU|SIN|DEF|NOM//parataxis//16 inkluderar//VB|PRS|AKT//conj//16 även//AB//mark//86 att//IE//mark//86 analysera//VB|INF|AKT//advcl//83 hur//HA//advmod//92 en//DT|UTR|SIN|IND//det//90 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//90 funktion//NN|UTR|SIN|IND|NOM//nsubj//92 kan//VB|PRS|AKT//aux//92 samverka//VB|INF|AKT//ccomp//86 med//PP//case//97 hälso-//NN|UTR|-|-|SMS//nmod:poss//97 och//KN//cc//96 sjukvårdens//NN|UTR|SIN|DEF|GEN//conj//94 huvudmän//NN|UTR|PLU|IND|NOM//obl//92 samt//KN//cc//100 att//IE//mark//100 lämna//VB|INF|AKT//conj//86 förslag//NN|NEU|SIN|IND|NOM//obj//100 på//PP//mark//108 hur//HA//advmod//108 en//DT|UTR|SIN|IND//det//106 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//106 funktion//NN|UTR|SIN|IND|NOM//nsubj:pass//108 kan//VB|PRS|AKT//aux//108 regleras//VB|INF|SFO//advcl//100 .//MAD//punct//16
