Skogsbränderna sommaren 2018;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//4 2018//RG|NOM//nummod//3 års//NN|NEU|SIN|IND|GEN//nmod:poss//4 skogsbrandsutredning//NN|UTR|SIN|IND|NOM//nmod//0
Till statsrådet och chefen för Justitiedepartementet;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//3 Skogsbränderna//NN|UTR|PLU|DEF|NOM//nmod//4 sommaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 2018//RG|NOM//nummod//1  //_SP////5 (//PAD//punct//5 SOU//PM|NOM//appos//5 2019:7//RG|NOM//nummod//8 )//PAD//punct//5 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 januari//NN|UTR|SIN|IND|NOM//obl//0 2019//RG|NOM//nummod//2
Till statsrådet och chefen för Justitiedepartementet;Jan-Åke//PM|NOM//ROOT//0 Björklund//PM|NOM//flat:name//0 /Maria//RG|NOM//case//3 Kaiser//PM|NOM//conj//0


1.1 Förslag till lag om ändring i lagen (2003:778) om skydd mot olyckor Härigenom föreskrivs i fråga om förordningen (2003:789) om skydd mot olyckor;dels//KN//advmod//22  //_SP////0 att//SN//mark//22 4//RG|NOM//nummod//4 kap.//NN|AN//nmod//5 10//RG|NOM//nummod//6 §//NN|AN//nmod//12 och//KN//cc//6 6//RG|NOM//nummod//9 kap.//NN|AN//obl//11 7//RG|NOM//nummod//11 §//NN|AN//nmod//6 lagen//NN|UTR|SIN|DEF|NOM//nsubj//22 om//PP//case//15 (//PAD//punct//15 2003:778//RG|NOM//nmod//12 )//PAD//punct//15 om//PP//case//18 skydd//NN|NEU|SIN|IND|NOM//obl//15 mot//PP//case//20 olyckor//NN|UTR|PLU|IND|NOM//nmod//18 ska//VB|PRS|AKT//aux//22 ha//VB|INF|AKT//ROOT//22 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 lydelse//NN|UTR|SIN|IND|NOM//obj//22 ,//MID//punct//22 dels//KN//advmod//31  //_SP////26 att//SN//mark//31 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//31 ska//VB|PRS|AKT//aux//31 införas//VB|INF|SFO//conj//22 en//DT|UTR|SIN|IND//det//34 ny//JJ|POS|UTR|SIN|IND|NOM//amod//34 paragraf//NN|UTR|SIN|IND|NOM//nsubj:pass//31 ,//MID//punct//34 6//RG|NOM//nummod//37 kap.//NN|AN//nmod//38 7//RG|NOM//nummod//40 a//NN|NEU|SIN|IND|NOM//case//40 §//NN|AN//obl//31 ,//MID//punct//40 av//PP//case//44 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 lydelse//NN|UTR|SIN|IND|NOM//conj//40 .//MAD//punct//22
1.1 Förslag till lag om ändring i lagen (2003:778) om skydd mot olyckor Härigenom föreskrivs i fråga om förordningen (2003:789) om skydd mot olyckor;4//RG|NOM//nummod//47 kap.//NN|AN//appos//22  //_SP////47 10//RG|NOM//nummod//50 §//NN|AN//nmod//47
1.1 Förslag till lag om ändring i lagen (2003:778) om skydd mot olyckor Härigenom föreskrivs i fråga om förordningen (2003:789) om skydd mot olyckor;I//PP//case//4 fråga//NN|UTR|SIN|IND|NOM//fixed//0 om//PP//fixed//0 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 räddningsinsatser//NN|UTR|PLU|IND|NOM//obl//7 får//VB|PRS|AKT//aux//7 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//7 föreskriva//VB|INF|AKT//ROOT//7 eller//KN//cc//13 i//PP//case//12 ett//DT|NEU|SIN|IND//det//12 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//12 fall//NN|NEU|SIN|IND|NOM//obl//13 besluta//VB|INF|AKT//conj//7 att//SN//mark//22 en//DT|UTR|SIN|IND//det//16 länsstyrelse//NN|UTR|SIN|IND|NOM//nsubj//22 eller//KN//cc//20 annan//JJ|POS|UTR|SIN|IND|NOM//amod//20 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//20 myndighet//NN|UTR|SIN|IND|NOM//conj//16 får//VB|PRS|AKT//aux//22 ta//VB|INF|AKT//ccomp//13 över//PL//compound:prt//22 ansvaret//NN|NEU|SIN|DEF|NOM//obj//22 för//PP//case//26 räddningstjänsten//NN|UTR|SIN|DEF|NOM//obl//22 i//PP//case//31 en//RG|UTR|SIN|IND|NOM//det//31 eller//KN//cc//30 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//28 kommuner//NN|UTR|PLU|IND|NOM//nmod//26 .//MID//punct//7
1.1 Förslag till lag om ändring i lagen (2003:778) om skydd mot olyckor Härigenom föreskrivs i fråga om förordningen (2003:789) om skydd mot olyckor;Om//SN//mark//38 en//DT|UTR|SIN|IND//det//36 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//36 myndighet//NN|UTR|SIN|IND|NOM//nsubj//38 har//VB|PRS|AKT//aux//38 tagit//VB|SUP|AKT//advcl//41 över//PL//compound:prt//38 ansvaret//NN|NEU|SIN|DEF|NOM//obj//38 utses//VB|PRS|SFO//conj//7 räddningsledaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//41 av//PP//case//45 denna//DT|UTR|SIN|DEF//det//45 myndighet//NN|UTR|SIN|IND|NOM//obl//41 .//MAD//punct//41
1.1 Förslag till lag om ändring i lagen (2003:778) om skydd mot olyckor Härigenom föreskrivs i fråga om förordningen (2003:789) om skydd mot olyckor;6//RG|NOM//nummod//48 kap.//NN|AN//appos//7  //_SP////48 7//RG|NOM//nummod//51 §//NN|AN//nmod//48
