Antidopning Sverige;En//DT|UTR|SIN|IND//det//2 ny//JJ|POS|UTR|SIN|IND|NOM//amod//2 väg//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 arbetet//NN|NEU|SIN|DEF|NOM//nmod//2 mot//PP//case//6 dopning//NN|UTR|SIN|IND|NOM//nmod//4
Antidopning Sverige;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Organisationsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0 mot//PP//case//4 dopning//NN|UTR|SIN|IND|NOM//nmod//0
Antidopning Sverige;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Till statsrådet och chefen för Kulturdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 3//RO|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//nmod//5 2009//RG|NOM//obl//1 att//IE//mark//7 bemyndiga//VB|INF|AKT//xcomp//1 statsrådet//NN|NEU|SIN|DEF|NOM//obj//7 och//KN//cc//10 chefen//NN|UTR|SIN|DEF|NOM//conj//8 för//PP//case//12 Kulturdepartementet//NN|NEU|SIN|DEF|NOM//nmod//10 att//IE//mark//14 tillkalla//VB|INF|AKT//advcl//7 en//DT|UTR|SIN|IND//det//17 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//17 utredare//NN|UTR|SIN|IND|NOM//obj//14 med//PP//case//19 uppdrag//NN|NEU|SIN|IND|NOM//obl//14 att//IE//mark//22 bl.a.//AB|AN//advmod//22 lämna//VB|INF|AKT//acl//19 förslag//NN|NEU|SIN|IND|NOM//obj//22 till//PP//case//25 utformning//NN|UTR|SIN|IND|NOM//nmod//23 av//PP//case//30 den//DT|UTR|SIN|DEF//det//30 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 antidopningsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//25 och//KN//cc//32 undersöka//VB|INF|AKT//conj//22 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//32 att//IE//mark//35 bilda//VB|INF|AKT//acl//33 en//DT|UTR|SIN|IND//det//39 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//39 antidopningsorganisation//NN|UTR|SIN|IND|NOM//obj//35 ,//MID//punct//39 som//HP|-|-|-//obl//48 staten//NN|UTR|SIN|DEF|NOM//nsubj//48 och//KN//cc//46 idrottens//NN|UTR|SIN|DEF|GEN//nmod:poss//46 centrala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//46 organisation//NN|UTR|SIN|IND|NOM//conj//42 ska//VB|PRS|AKT//aux//48 ha//VB|INF|AKT//acl:relcl//39 ett//DT|NEU|SIN|IND//det//51 delat//PC|PRF|NEU|SIN|IND|NOM//amod//51 ansvar//NN|NEU|SIN|IND|NOM//obj//48 för//PP//case//41 .//MAD//punct//1
Till statsrådet och chefen för Kulturdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//55 beslutade//VB|PRT|AKT//parataxis//1 den//DT|UTR|SIN|DEF//det//58 28//RG|NOM//nummod//58 oktober//NN|UTR|SIN|IND|NOM//obl//55 2010//RG|NOM//nummod//58 om//PP//case//61 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//55 till//PP//case//63 utredningen//NN|UTR|SIN|DEF|NOM//nmod//61 .//MAD//punct//55
Till statsrådet och chefen för Kulturdepartementet;Fr.o.m.//AB|AN//dislocated//5 den//DT|UTR|SIN|DEF//det//3 8//RO|NOM//nummod//3 december//NN|UTR|SIN|IND|NOM//obl//5 2009//RG|NOM//nummod//3 förordnades//VB|PRT|SFO//ROOT//5 förbundsordföranden//NN|NEU|PLU|IND|NOM//nsubj:pass//5 i//PP//case//9 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 Gymnastikförbundet//NN|NEU|SIN|DEF|NOM//nmod//6 Malin//PM|NOM//flat//9 Eggertz//PM|NOM//flat//10 Forsmark//PM|NOM//xcomp//5 som//KN//mark//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//xcomp//5 .//MAD//punct//5
Till statsrådet och chefen för Kulturdepartementet;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 23//RG|NOM//nummod//6 februari//NN|UTR|SIN|IND|NOM//obl//2 2010//RG|NOM//nummod//6 styrelseledamoten//NN|UTR|SIN|DEF|NOM//nmod//9 Ingemar//PM|NOM//appos//6 Ericson//PM|NOM//flat:name//9 ,//MID//punct//6 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//13 Mikael//PM|NOM//conj//6 Lindman//PM|NOM//flat:name//13 och//KN//cc//17 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//17 Ralf//PM|NOM//conj//6 Löfstedt//PM|NOM//flat//17 .//MAD//punct//2
Till statsrådet och chefen för Kulturdepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 23//RG|NOM//nummod//6 februari//NN|UTR|SIN|IND|NOM//obl//2 2010//RG|NOM//nummod//6 strategiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 analytikern//NN|UTR|SIN|DEF|NOM//nmod//10 Stewe//PM|NOM//appos//6 Alm//PM|NOM//flat:name//10 ,//MID//punct//10 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//conj//6 Ann-Charlotte//PM|NOM//punct//6 Bragsjö//PM|NOM//flat:name//14 ,//MID//punct//14 datarådet//NN|NEU|SIN|DEF|NOM//nmod//19 Catharina//PM|NOM//nmod//19 Fernquist//PM|NOM//conj//6 ,//MID//punct//19 förbundsjuristen//NN|UTR|SIN|DEF|NOM//obl//2 Elin//PM|NOM//nsubj//21 Johansson//PM|NOM//flat//22 ,//MID//punct//21 folkhälsoutredaren//NN|UTR|SIN|DEF|NOM//nmod//26 Kajsa//PM|NOM//appos//21 Mickelsson//PM|NOM//flat:name//26 ,//MID//punct//26 verksamhetsansvarige//JJ|POS|MAS|SIN|DEF|NOM//nmod//30 Håkan//PM|NOM//conj//21 Nyberg//PM|NOM//flat:name//30 och//KN//cc//33 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//34 Eva//PM|NOM//conj//21 Rydhammer//PM|NOM//flat:name//34 .//MAD//punct//2
Till statsrådet och chefen för Kulturdepartementet;Till//PP//case//1 huvudsekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//mark//9 den//DT|UTR|SIN|DEF//det//6 7//RO|NOM//nummod//6 januari//NN|UTR|SIN|IND|NOM//nmod//9 2010//RG|NOM//nummod//6 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//9 Tomas//PM|NOM//obl//2 Johansson//PM|NOM//flat:name//9 och//KN//cc//14 till//PP//case//13 sekreterare//NN|UTR|SIN|IND|NOM//obl//14 förordnades//VB|PRT|SFO//conj//9 fr.o.m.//AB|AN//case//17 8//RG|NOM//nummod//17 december//NN|UTR|SIN|IND|NOM//nmod//22 2009//RG|NOM//nummod//20 förra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 kommunjuristen//NN|UTR|SIN|DEF|NOM//nmod//22 Kristina//PM|NOM//nmod//22 Olinder//PM|NOM//obl//14 .//MAD//punct//2
Till statsrådet och chefen för Kulturdepartementet;Konsulten//NN|UTR|SIN|DEF|NOM//nmod//1 Sören//PM|NOM//nsubj//13 Öman//PM|NOM//flat:name//1 ,//MID//punct//4 expert//NN|UTR|SIN|IND|NOM//conj//1 på//PP//case//6 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//4 och//KN//cc//8 frågor//NN|UTR|PLU|IND|NOM//conj//1 om//PP//case//10 integritetsskydd//NN|NEU|SIN|IND|NOM//nmod//8 ,//MID//punct//1 har//VB|PRS|AKT//aux//13 bistått//VB|SUP|AKT//ROOT//13 med//PP//case//15 underlag//NN|NEU|SIN|IND|NOM//obl//13 till//PP//case//18 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 ställningstaganden//NN|NEU|PLU|IND|NOM//nmod//15 såvitt//KN//advmod//20 avser//VB|PRS|AKT//conj//13 frågor//NN|UTR|PLU|IND|NOM//obj//20 om//PP//case//23 lagenligheten//NN|UTR|SIN|DEF|NOM//nmod//21 av//PP//mark//26 att//IE//mark//26 genomföra//VB|INF|AKT//acl//23 dopningskontroller//NN|UTR|PLU|IND|NOM//obj//26 och//KN//cc//29 sanktionsförfaranden//NN|UTR|SIN|DEF|NOM//conj//27 samt//KN//cc//31 lagenligheten//NN|UTR|SIN|DEF|NOM//conj//27 av//PP//case//33 behandling//NN|UTR|SIN|IND|NOM//nmod//31 av//PP//case//35 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//33 .//MAD//punct//13
