Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//nsubj:pass//3 tillkallas//VB|PRS|SFO//ROOT//3 med//PP//case//5 uppgift//NN|UTR|SIN|IND|NOM//obl//3 att//IE//mark//7 göra//VB|INF|AKT//acl//5 en//DT|UTR|SIN|IND//det//9 översyn//NN|UTR|SIN|IND|NOM//obj//7 av//PP//case//11 förvaltningsstrukturen//NN|UTR|SIN|DEF|NOM//nmod//9 inom//PP//case//13 jordbruksområdet//NN|NEU|SIN|DEF|NOM//obl//7 med//PP//case//17 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//14 i//PP//fixed//14 hanteringen//NN|UTR|SIN|DEF|NOM//obl//7 av//PP//case//20 de//DT|UTR/NEU|PLU|DEF//det//20 jordbruksstöd//NN|NEU|PLU|IND|NOM//nmod//17 som//HP|-|-|-//nsubj//22 berör//VB|PRS|AKT//acl:relcl//20 såväl//KN//advmod//24 Jordbruksverket//NN|NEU|SIN|DEF|NOM//obj//22 som//KN//mark//26 länsstyrelserna//NN|UTR|PLU|DEF|NOM//conj//24 .//MAD//punct//3
Sammanfattning av uppdraget;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//30 skall//VB|PRS|AKT//aux//30 analysera//VB|INF|AKT//parataxis//3 behovet//NN|NEU|SIN|DEF|NOM//obj//30 av//PP//case//34 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//34 förändringar//NN|UTR|PLU|IND|NOM//nmod//31 i//PP//case//36 myndighetsorganisation//NN|UTR|SIN|IND|NOM//nmod//34 och//KN//cc//39 i//PP//case//39 ansvars-//NN|NEU|-|-|SMS//conj//36 och//KN//cc//41 arbetsfördelningen//NN|UTR|SIN|DEF|NOM//conj//39 som//HP|-|-|-//nsubj//44 kan//VB|PRS|AKT//aux//44 främja//VB|INF|AKT//acl:relcl//41 effektiviteten//NN|UTR|SIN|DEF|NOM//obj//44 i//PP//case//47 arbetet//NN|NEU|SIN|DEF|NOM//nmod//45 ,//MID//punct//50 såväl//KN//advmod//50 administrativt//AB|POS//advmod//44 som//KN//case//52 ekonomiskt//AB|POS//nmod//50 ,//MID//punct//57 samt//KN//cc//57 som//HP|-|-|-//nsubj//57 kan//VB|PRS|AKT//aux//57 medverka//VB|INF|AKT//conj//44 till//PP//compound:prt//57 att//SN//mark//62 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 sanktioner//NN|UTR|PLU|IND|NOM//nsubj:pass//62 undviks//VB|PRS|SFO//ccomp//57 .//MAD//punct//3
Sammanfattning av uppdraget;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//75 skall//VB|PRS|AKT//aux//75 även//AB//advmod//72 med//PP//case//72 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//67 i//PP//fixed//67 den//DT|UTR|SIN|DEF//det//72 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//72 ansvars-//NN|NEU|-|-|SMS//obl//75 och//KN//cc//74 arbetsfördelningen//NN|UTR|SIN|DEF|NOM//conj//72 bedöma//VB|INF|AKT//parataxis//3 resursbehovet//NN|NEU|SIN|DEF|NOM//obj//75 och//KN//cc//78 föreslå//VB|INF|AKT//conj//75 en//DT|UTR|SIN|IND//det//81 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//amod//81 fördelning//NN|UTR|SIN|IND|NOM//obj//78 av//PP//case//83 resurser//NN|UTR|PLU|IND|NOM//nmod//81 mellan//PP//case//85 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//83 .//MAD//punct//75

Bakgrund;Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 under//PP//case//3 hösten//NN|UTR|SIN|DEF|NOM//obl//1 1994//RG|NOM//nummod//3 (//PAD//punct//1 prop//NN|UTR|SIN|IND|NOM//parataxis//1 .//MAD//punct//6
Bakgrund;1994/95:19//RG|NOM//discourse//12 ,//MID//punct//8 bet//VB|PRT|AKT//conj//8 .//MAD//punct//8
Bakgrund;1994/95//RG|NOM//appos//1 ://MID//punct//14
Bakgrund;UU5//PM|NOM//appos//12 ,//MID//punct//16 rskr//PM|NOM//conj//14 .//MID//punct//14
Bakgrund;1994/95:63//RG|NOM//conj//14 och//KN//cc//20 prop//NN|UTR|SIN|IND|NOM//conj//18 .//MAD//punct//14
Bakgrund;1994/95:75//RG|NOM//conj//14 ,//MID//punct//24 bet//VB|PRT|AKT//conj//14 .//MAD//punct//14
Bakgrund;1994/95//RG|NOM//conj//14 ://MID//punct//26
Bakgrund;JoU7//PM|NOM//conj//14 ,//MID//punct//28 rskr//PM|NOM//conj//28 .//MID//punct//28
Bakgrund;1994/95:126//RG|NOM//conj//14 )//PAD//punct//14 om//PP//case//37 den//DT|UTR|SIN|DEF//det//37 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//37 tillämpningen//NN|UTR|SIN|DEF|NOM//conj//12 av//PP//case//39 EG//PM|NOM//nmod//37 ://MID//punct//39 s//NN|NEU|SIN|IND|GEN//amod//42 jordbrukspolitik//NN|UTR|SIN|IND|NOM//nmod//37 vid//PP//case//46 ett//DT|NEU|SIN|IND//det//46 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//46 medlemskap//NN|NEU|SIN|IND|NOM//nmod//42 i//PP//case//49 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 unionen//NN|UTR|SIN|DEF|NOM//nmod//46 samt//KN//cc//58 hur//HA//advmod//58 administrationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//58 av//PP//case//56 den//DT|UTR|SIN|DEF//det//56 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//56 jordbrukspolitiken//NN|UTR|SIN|DEF|NOM//nmod//52 skall//VB|PRS|AKT//aux//58 organiseras//VB|INF|SFO//conj//37 .//MAD//punct//12
Bakgrund;I//PP//case//1 prop//NN|UTR|SIN|IND|NOM//obl//29 .//MAD//punct//1
Bakgrund;1994/95:75//RG|NOM//nsubj:pass//4 angavs//VB|PRT|SFO//parataxis//1 som//KN//mark//8 en//DT|UTR|SIN|IND//det//8 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//8 utgångspunkt//NN|UTR|SIN|IND|NOM//xcomp//4 för//PP//case//12 de//DT|UTR/NEU|PLU|DEF//det//12 administrativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 lösningar//NN|UTR|PLU|IND|NOM//nmod//8 som//HP|-|-|-//nsubj:pass//14 utformas//VB|PRS|SFO//acl:relcl//12 vid//PP//case//17 ett//DT|NEU|SIN|IND//det//17 medlemskap//NN|NEU|SIN|IND|NOM//obl//14 att//SN//mark//21 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//21 skall//VB|PRS|AKT//aux//21 utgå//VB|INF|AKT//ccomp//4 från//PP//case//26 den//DT|UTR|SIN|DEF//det//26 traditionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 förvaltningsstrukturen//NN|UTR|SIN|DEF|NOM//obl//21 .//MAD//punct//4
Bakgrund;Vidare//AB|KOM//advmod//29 ansåg//VB|PRT|AKT//ROOT//29 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//29 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//29 vara//VB|INF|AKT//xcomp//29 av//PP//case//35 central//JJ|POS|UTR|SIN|IND|NOM//amod//35 betydelse//NN|UTR|SIN|IND|NOM//nmod//32 att//SN//mark//41 handläggningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//41 av//PP//case//40 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 bidrag//NN|NEU|PLU|IND|NOM//nmod//37 läggs//VB|PRS|SFO//ccomp//29 så//AB//advmod//44 nära//AB|POS//amod//44 bidragstagarna//NN|UTR|PLU|DEF|NOM//obl//41 som//KN//mark//46 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//41 .//MID//punct//29
Bakgrund;Samtidigt//AB//advmod//49 uttalade//VB|PRT|AKT//parataxis//29 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//49 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//53 vara//VB|INF|AKT//cop//53 angeläget//JJ|POS|NEU|SIN|IND|NOM//xcomp//49 att//IE//mark//55 åstadkomma//VB|INF|AKT//acl//53 en//DT|UTR|SIN|IND//det//59 så//AB//advmod//58 enhetlig//JJ|POS|UTR|SIN|IND|NOM//amod//59 regeltillämpning//NN|UTR|SIN|IND|NOM//obj//55 som//KN//mark//61 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//59 .//MAD//punct//29
