Mer gemensamma tobaksregler;Ett//DT|NEU|SIN|IND//det//1 genomförande//NN|NEU|SIN|IND|NOM//ROOT//1 av//PP//case//3 tobaksproduktdirektivet//NN|NEU|SIN|DEF|NOM//nmod//1
Mer gemensamma tobaksregler;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Tobaksdirektivsutredningen//PM|NOM//nmod//0
Mer gemensamma tobaksregler;Stockholm//PM|NOM//ROOT//0 2015//RG|NOM//nummod//0

Till statsrådet Gabriel Wikström;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 10//RG|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obj//1 2014//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 ge//VB|INF|AKT//acl//12 förslag//NN|NEU|SIN|IND|NOM//obj//14 kring//PP//case//19 det//DT|NEU|SIN|DEF//det//19 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//19 genomförandet//NN|NEU|SIN|DEF|NOM//nmod//15 av//PP//case//21 EU//PM|NOM//nmod//19 ://MID//punct//19 s//NN|AN//nummod//24 tobaksproduktdirektiv//NN|NEU|SIN|IND|NOM//appos//19 (//PAD//punct//24 Europaparlamentets//NN|NEU|SIN|DEF|GEN//appos//24 och//KN//cc//29 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//29 direktiv//NN|NEU|PLU|IND|NOM//conj//26 2014/40//RG|NOM//conj//26 ///MID//cc//32 EU//PM|NOM//conj//26 om//PP//case//34 tillnärmning//NN|UTR|SIN|IND|NOM//nmod//24 av//PP//case//37 medlemsstaternas//NN|UTR|PLU|DEF|GEN//nmod:poss//37 lagar//NN|UTR|PLU|IND|NOM//nmod//34 och//KN//cc//40 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 författningar//NN|UTR|PLU|IND|NOM//conj//37 om//PP//case//42 tillverkning//NN|UTR|SIN|IND|NOM//nmod//40 ,//MID//punct//44 presentation//NN|UTR|SIN|IND|NOM//conj//42 och//KN//cc//46 försäljning//NN|UTR|SIN|IND|NOM//conj//42 av//PP//case//48 tobaksvaror//NN|UTR|PLU|IND|NOM//nmod//46 och//KN//cc//51 relaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//51 produkter//NN|UTR|PLU|IND|NOM//conj//48 och//KN//cc//54 om//PP//mark//54 upphävande//NN|NEU|SIN|IND|NOM//conj//24 av//PP//case//57 direktiv//NN|NEU|PLU|IND|NOM//amod//57 2001/37//RG|NOM//nmod//54 ///MID//cc//59 EG//PM|NOM//conj//57 )//PAD//punct//24 .//MAD//punct//1
Till statsrådet Gabriel Wikström;I//PP//case//63 uppdraget//NN|NEU|SIN|DEF|NOM//obl//64 ingår//VB|PRS|AKT//conj//1 även//AB//advmod//64 att//IE//mark//67 analysera//VB|INF|AKT//xcomp//64 och//KN//cc//71 vid//PP//case//70 behov//NN|NEU|SIN|IND|NOM//obl//71 lämna//VB|INF|AKT//conj//67 förslag//NN|NEU|SIN|IND|NOM//obj//71 på//PP//case//77 en//DT|UTR|SIN|IND//det//77 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//amod//77 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//77 reglering//NN|UTR|SIN|IND|NOM//nmod//72 av//PP//case//79 snus//NN|NEU|SIN|IND|NOM//nmod//77 och//KN//cc//81 tuggtobak//NN|UTR|SIN|IND|NOM//conj//79 samt//KN//cc//83 förslag//NN|NEU|SIN|IND|NOM//conj//79 till//PP//case//85 reglering//NN|UTR|SIN|IND|NOM//nmod//83 av//PP//case//87 innehållet//NN|NEU|SIN|DEF|NOM//nmod//85 i//PP//case//89 snus//NN|NEU|SIN|IND|NOM//nmod//87 .//MAD//punct//1
Till statsrådet Gabriel Wikström;Vidare//AB|KOM//advmod//92 ingår//VB|PRS|AKT//parataxis//1 i//PP//case//94 uppdraget//NN|NEU|SIN|DEF|NOM//obl//92 att//IE//mark//96 utreda//VB|INF|AKT//xcomp//92 och//KN//cc//100 vid//PP//case//99 behov//NN|NEU|SIN|IND|NOM//obl//100 lämna//VB|INF|AKT//conj//96 förslag//NN|NEU|SIN|IND|NOM//obj//100 för//PP//mark//104 att//IE//mark//104 begränsa//VB|INF|AKT//advcl//100 rökning//NN|UTR|SIN|IND|NOM//obj//104 av//PP//case//108 tobaksrelaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//108 produkter//NN|UTR|PLU|IND|NOM//nmod//105 ,//MID//punct//112 som//KN//mark//112 t.ex.//AB|AN//advmod//112 e-cigaretter//NN|UTR|PLU|IND|NOM//obl//96 och//KN//cc//114 örtprodukter//NN|UTR|PLU|IND|NOM//conj//112 för//PP//case//116 rökning//NN|UTR|SIN|IND|NOM//nmod//114 ,//MID//punct//96 i//PP//case//120 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//120 lokaler//NN|UTR|PLU|IND|NOM//obl//96 och//KN//cc//122 utrymmen//NN|NEU|PLU|IND|NOM//conj//120 samt//KN//cc//126 på//PP//case//126 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//126 områden//NN|NEU|PLU|IND|NOM//conj//120 utomhus//AB//nmod//126 ,//MID//punct//96 i//PP//case//130 likhet//NN|UTR|SIN|IND|NOM//obl//96 med//PP//mark//134 vad//HP|NEU|SIN|IND//dislocated//134 som//HP|-|-|-//nsubj//134 gäller//VB|PRS|AKT//advcl//96 för//PP//case//136 tobaksrök//NN|NEU|SIN|IND|NOM//obl//134 .//MAD//punct//92
Till statsrådet Gabriel Wikström;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//141 ska//VB|PRS|AKT//aux//141 också//AB//advmod//141 analysera//VB|INF|AKT//parataxis//92 för-//NN|UTR|-|-|SMS//obj//141 och//KN//cc//144 nackdelar//NN|UTR|PLU|IND|NOM//conj//142 med//PP//mark//147 att//IE//mark//147 införa//VB|INF|AKT//advcl//141 tillståndsplikt//NN|UTR|SIN|IND|NOM//obj//147 för//PP//case//150 försäljning//NN|UTR|SIN|IND|NOM//obl//147 av//PP//case//152 tobak//NN|UTR|SIN|IND|NOM//nmod//150 och//KN//cc//156 vid//PP//case//155 behov//NN|NEU|SIN|IND|NOM//obl//156 lämna//VB|INF|AKT//conj//141 förslag//NN|NEU|SIN|IND|NOM//obj//156 på//PP//mark//165 hur//HA//advmod//165 en//DT|UTR|SIN|IND//det//162 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//162 tillståndsplikt//NN|UTR|SIN|IND|NOM//nsubj:pass//165 skulle//VB|PRT|AKT//aux//165 kunna//VB|INF|AKT//aux//165 utformas//VB|INF|SFO//advcl//156 .//MAD//punct//141
Till statsrådet Gabriel Wikström;Slutligen//AB//advmod//171 ska//VB|PRS|AKT//aux//171 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//171 även//AB//advmod//171 lämna//VB|INF|AKT//conj//141 förslag//NN|NEU|SIN|IND|NOM//obj//171 till//PP//case//175 nationellt//JJ|POS|NEU|SIN|IND|NOM//advmod//175 genomförande//NN|NEU|SIN|IND|NOM//obl//171 av//PP//case//177 WHO//PM|NOM//nmod//175 ://MID//punct//177 s//NN|AN//case//180 protokoll//NN|NEU|SIN|IND|NOM//obl//141 om//PP//case//182 eliminering//NN|UTR|SIN|IND|NOM//nmod//180 av//PP//case//185 illegal//JJ|POS|UTR|SIN|IND|NOM//amod//185 handel//NN|UTR|SIN|IND|NOM//nmod//182 med//PP//case//187 tobaksvaror//NN|UTR|PLU|IND|NOM//nmod//182 .//MAD//punct//92
Till statsrådet Gabriel Wikström;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 utsågs//VB|PRT|SFO//ROOT//3 samma//DT|UTR/NEU|SIN/PLU|IND//det//5 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//3 lagmannen//NN|UTR|SIN|DEF|NOM//nmod//7 Göran//PM|NOM//obl//3 Lundahl//PM|NOM//flat:name//7 .//MAD//punct//7
Till statsrådet Gabriel Wikström;På//PP//advmod//15 sidan//NN|UTR|SIN|DEF|NOM//fixed//10 efter//PP//case//14 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 sida//NN|UTR|SIN|IND|NOM//obl//15 framgår//VB|PRS|AKT//parataxis//3 vilka//HD|UTR/NEU|PLU|IND//det//17 experter//NN|UTR|PLU|IND|NOM//nsubj//15 och//KN//cc//19 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//17 som//HP|-|-|-//nsubj//22 har//VB|PRS|AKT//aux//22 medverkat//VB|SUP|AKT//acl:relcl//19 i//PP//case//25 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 arbete//NN|NEU|SIN|IND|NOM//obl//22 .//MAD//punct//15
Till statsrådet Gabriel Wikström;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//cc//39 Fredrik//PM|NOM//nsubj//27 Lövkvist//PM|NOM//flat:name//28 och//KN//cc//34 den//DT|UTR|SIN|DEF//det//33 rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 specialisten//NN|UTR|SIN|DEF|NOM//nmod//34 Anna-Maria//PM|NOM//conj//28 Persson//PM|NOM//flat:name//34 har//VB|PRS|AKT//aux//37 varit//VB|SUP|AKT//cop//39 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 sekreterare//NN|UTR|SIN|IND|NOM//appos//15 .//MAD//punct//3
Till statsrådet Gabriel Wikström;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 formellt//AB|POS//advmod//4 ett//DT|NEU|SIN|IND//det//4 uppdrag//NN|NEU|SIN|IND|NOM//ROOT//4 för//PP//case//6 Göran//PM|NOM//nmod//4 Lundahl//PM|NOM//flat:name//6 som//KN//mark//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
