Aktiv väntan – asylsökande i Sverige;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Asylmottagningsutredningen//PM|NOM//nmod//0
Aktiv väntan – asylsökande i Sverige;Stockholm//PM|NOM//ROOT//0 2009//RG|NOM//nummod//0

Till statsrådet Tobias Billström;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 13//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//1 2007//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//13 att//IE//mark//13 se//VB|INF|AKT//advcl//7 över//PL//case//15 mottagandet//NN|NEU|SIN|DEF|NOM//obl//13 av//PP//case//17 asylsökande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//15 .//MAD//punct//1
Till statsrådet Tobias Billström;Samma//DT|UTR/NEU|SIN/PLU|IND//det//20 dag//NN|UTR|SIN|IND|NOM//obl//21 förordnade//PC|PRF|UTR/NEU|SIN|DEF|NOM//parataxis//1 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//23 Tobias//PM|NOM//nsubj//21 Billström//PM|NOM//flat//23 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//26 Sören//PM|NOM//appos//21 Häggroth//PM|NOM//flat:name//26 till//PP//case//30 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//30 utredare//NN|UTR|SIN|IND|NOM//obl//21 .//MAD//punct//1
Till statsrådet Tobias Billström;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//3 har//VB|PRS|AKT//aux//3 medverkat//VB|SUP|AKT//ROOT//3 utredaren//NN|UTR|SIN|DEF|NOM//obj//3 Arjun//PM|NOM//nmod//6 Bakshi//PM|NOM//nmod//4 ,//MID//punct//6 verksamhetschefen//NN|UTR|SIN|DEF|NOM//nmod//9 Caroline//PM|NOM//conj//6 Henjered//PM|NOM//flat:name//9 och//KN//cc//12 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//14 Anders//PM|NOM//nmod:poss//14 Kessling//PM|NOM//conj//6 .//MAD//punct//3
Till statsrådet Tobias Billström;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//3 har//VB|PRS|AKT//aux//3 medverkat//VB|SUP|AKT//ROOT//3 utredaren//NN|UTR|SIN|DEF|NOM//nmod//5 Kristina//PM|NOM//nmod:poss//12 Eriksson//PM|NOM//flat//5 ,//MID//punct//5 utredaren//NN|UTR|SIN|DEF|NOM//nmod//9 Göran//PM|NOM//conj//5 Ferm//PM|NOM//flat:name//9 ,//MID//punct//9 kanslirådet//NN|NEU|SIN|DEF|NOM//obj//3 Per//PM|NOM//dep//12 de//PM|NOM//nsubj//13 la//PM|NOM//parataxis//3 Gardie//PM|NOM//obj//15 ,//MID//punct//19 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//19 Christina//PM|NOM//appos//15 Kopparberg//PM|NOM//flat:name//19 ,//MID//punct//19 experten//NN|UTR|SIN|DEF|NOM//nmod//23 Clas//PM|NOM//appos//19 Lind//PM|NOM//flat:name//23 ,//MID//punct//26 utredaren//NN|UTR|SIN|DEF|NOM//nmod//27 Roy//PM|NOM//obj//15 Melchert//PM|NOM//flat//27 ,//MID//punct//27 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//31 Gunnar//PM|NOM//appos//15 Sallstedt//PM|NOM//flat:name//31 ,//MID//punct//34 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//35 Anna//PM|NOM//dep//31 Santesson//PM|NOM//flat:name//35 ,//MID//punct//35 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//39 Peter//PM|NOM//conj//31 Sjöquist//PM|NOM//flat:name//39 ,//MID//punct//39 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//43 Karin//PM|NOM//conj//31 Stillerud//PM|NOM//flat:name//43 och//KN//cc//46 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//47 Anna//PM|NOM//conj//43 Zeidler//PM|NOM//flat:name//47 .//MAD//punct//3
Till statsrådet Tobias Billström;Huvudsekreterare//NN|UTR|SIN|IND|NOM//nsubj//3 åt//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//aux//21 varit//VB|SUP|AKT//advmod//3 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//6 Pontus//PM|NOM//nmod//9 Ringborg//PM|NOM//flat:name//6 .//MID//punct//6
Till statsrådet Tobias Billström;Sekreterare//NN|UTR|SIN|IND|NOM//obj//3 har//VB|PRS|AKT//aux//11 varit//VB|SUP|AKT//cop//21 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//13 Katarina//PM|NOM//nsubj//21 Adolfson//PM|NOM//flat//13 .//MID//punct//13
Till statsrådet Tobias Billström;Malin//PM|NOM//nsubj//21 William-Olsson//PM|NOM//flat:name//16 har//VB|PRS|AKT//aux//21 varit//VB|SUP|AKT//cop//21 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 assistent//NN|UTR|SIN|IND|NOM//ROOT//21 .//MAD//punct//21
Till statsrådet Tobias Billström;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 tagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//obj//2 Asylmottagningsutredningen//PM|NOM//obj//2 .//MAD//punct//2
