Civilsamhället som demokratins arena;Håkan//PM|NOM//ROOT//0 A.//PM|NOM//flat:name//0 Bengtsson//PM|NOM//flat:name//0
Förord;Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 ledamöter//NN|UTR|PLU|IND|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 inte//AB//advmod//4 tagit//VB|SUP|AKT//ROOT//4 ställning//NN|UTR|SIN|IND|NOM//obj//4 till//PP//case//8 författarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//8 synpunkter//NN|UTR|PLU|IND|NOM//obl//4 .//MAD//punct//4
Förord;Erik//PM|NOM//ROOT//0 Amnå//PM|NOM//flat:name//0
Förord;Huvudsekreterare//NN|UTR|SIN|IND|NOM//ROOT//0
Förord;Invandrarskap//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 medborgarskap//NN|NEU|SIN|IND|NOM//conj//0 (//PAD//punct//0 SOU//PM|NOM//appos//0 1999:8//RG|NOM//nummod//4 )//PAD//punct//0 ,//MID//punct//9 Hans//PM|NOM//nmod:poss//9 Zetterberg//PM|NOM//conj//0 ://MID//punct//9
Förord; //_SP////10 Etik//NN|UTR|SIN|IND|NOM//conj//0 och//KN//cc//15 demokratisk//JJ|POS|UTR|SIN|IND|NOM//amod//15 statskonst//NN|UTR|SIN|IND|NOM//conj//12 (//PAD//punct//0 SOU//PM|NOM//appos//0 1999:13//RG|NOM//nmod//17 )//PAD//punct//17 samt//KN//cc//29 Niels//PM|NOM//nmod:poss//29 Hebert//PM|NOM//flat//21 och//KN//cc//24 Kerstin//PM|NOM//conj//22 Jacobsson//PM|NOM//flat:name//24 ://MID//punct//21
Förord; //_SP////26 Olydiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 medborgare//NN|UTR|PLU|IND|NOM//conj//0 ?//MID//punct//0
Förord;(//PAD//punct//33 SOU//PM|NOM//nmod//33 1999:101//RG|NOM//appos//0 )//PAD//punct//33 .//MAD//punct//0
Förord;Avkorporativisering//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 lobbyism//NN|UTR|SIN|IND|NOM//conj//0 (//PAD//punct//0 SOU//PM|NOM//nmod//5 1999:121//RG|NOM//appos//0 )//PAD//punct//0 .//MAD//punct//0 .//MAD//punct//0 .//MAD//punct//0

Den instängda demokratin;Rörelsesocialism//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 statssocialism//NN|UTR|SIN|IND|NOM//conj//0 i//PP//case//5 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//5 arbetarrörelse//NN|UTR|SIN|IND|NOM//nmod//2
Den instängda demokratin;Mats//PM|NOM//ROOT//0 Dahlkvist//PM|NOM//flat//0

1 Rörelsesocialism och statssocialism;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 här//AB//fixed//1 essän//NN|UTR|SIN|DEF|NOM//obl//7 kommer//VB|PRS|AKT//aux//7 jag//PN|UTR|SIN|DEF|SUB//nsubj//7 att//IE//mark//7 argumentera//VB|INF|AKT//ROOT//7 för//PP//mark//13 att//SN//mark//13 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//13 inom//PP//case//12 arbetarrörelsen//NN|UTR|SIN|DEF|NOM//obl//13 existerar//VB|PRS|AKT//advcl//7 ,//MID//punct//19 och//KN//cc//19 från//PP//case//17 begynnelsen//NN|UTR|SIN|DEF|NOM//obl//19 har//VB|PRS|AKT//aux//19 existerat//VB|SUP|AKT//conj//7 ,//MID//punct//22 ett//DT|NEU|SIN|IND//det//22 spänningsfält//NN|NEU|SIN|IND|NOM//obj//19 mellan//PP//case//25 två//RG|NOM//nummod//25 poler//NN|UTR|PLU|IND|NOM//nmod//22 .//MAD//punct//7
1 Rörelsesocialism och statssocialism;Å//PP//nummod//31 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 sidan//NN|UTR|SIN|DEF|NOM//fixed//27 en//DT|UTR|SIN|IND//det//31 pol//NN|UTR|SIN|IND|NOM//appos//7 som//HP|-|-|-//obl//35 man//PN|UTR|SIN|IND|SUB//nsubj//35 kan//VB|PRS|AKT//aux//35 kalla//VB|INF|AKT//acl:relcl//31 rörelsesocialism//NN|UTR|SIN|IND|NOM//xcomp//35 .//MAD//punct//31
1 Rörelsesocialism och statssocialism;Å//PP//advmod//42 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 sidan//NN|UTR|SIN|DEF|NOM//fixed//38 en//DT|UTR|SIN|IND//det//42 pol//NN|UTR|SIN|IND|NOM//conj//31 som//HP|-|-|-//obl//46 man//PN|UTR|SIN|IND|SUB//nsubj//46 kan//VB|PRS|AKT//aux//46 kalla//VB|INF|AKT//acl:relcl//42 statssocialism//NN|UTR|SIN|IND|NOM//obj//46 .//MID//punct//42
