Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;1//RG|NOM//nummod//1 Inledning//NN|UTR|SIN|IND|NOM//ROOT//1
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;I//PP//case//16 kapitel//NN|NEU|SIN|IND|NOM//obl//18 3//RG|NOM//nummod//16 presenteras//VB|PRS|SFO//parataxis//3 material//NN|NEU|SIN|IND|NOM//nsubj:pass//18 om//PP//case//21 hemtjänst//NN|UTR|SIN|IND|NOM//obl//18 enligt//PP//case//23 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//obl//24 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//21 både//KN//cc//26 situationen//NN|UTR|SIN|DEF|NOM//conj//21 i//PP//nmod//26 dag//NN|UTR|SIN|IND|NOM//fixed//27 och//KN//cc//30 utvecklingen//NN|UTR|SIN|DEF|NOM//conj//27 under//PP//case//32 perioden//NN|UTR|SIN|DEF|NOM//nmod//26 1980//RG|NOM//nummod//32 2002//RG|NOM//nummod//32 .//MAD//punct//3
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;I//PP//case//38 detta//DT|NEU|SIN|DEF//det//38 kapitel//NN|NEU|SIN|IND|NOM//obl//39 tas//VB|PRS|SFO//conj//3 även//AB//advmod//39 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//39 utanför//PP//case//43 hemtjänsten//NN|UTR|SIN|DEF|NOM//obl//39 upp//PL//advmod//39 .//MAD//punct//3
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;I//PP//case//2 kapitel//NN|NEU|SIN|IND|NOM//nmod//2 4//RG|NOM//obl//3 redovisas//VB|PRS|SFO//ROOT//3 ett//DT|NEU|SIN|IND//det//5 antal//NN|NEU|SIN|IND|NOM//nmod//6 utvecklingsarbeten//NN|NEU|PLU|IND|NOM//nsubj:pass//3 som//HP|-|-|-//nsubj//8 berör//VB|PRS|AKT//acl:relcl//6 både//KN//cc//10 boservice//NN|UTR|SIN|IND|NOM//obj//8 utanför//PP//case//12 hemtjänsten//NN|UTR|SIN|DEF|NOM//nmod//10 och//KN//cc//14 boservice//NN|UTR|SIN|IND|NOM//conj//12 utan//PP//case//16 behovsbedömning//NN|UTR|SIN|IND|NOM//conj//10 i//PP//case//18 kommuner//NN|UTR|PLU|IND|NOM//nmod//16 .//MAD//punct//3
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;I//PP//case//2 kapitel//NN|NEU|SIN|IND|NOM//nmod//2 6//RG|NOM//obl//3 redovisas//VB|PRS|SFO//ROOT//3 de//DT|UTR/NEU|PLU|DEF//det//6 juridiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//3 med//PP//case//10 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//7 i//PP//case//10 kommunallagen//NN|UTR|SIN|DEF|NOM//obl//3 ,//MID//punct//12 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//conj//10 ,//MID//punct//14 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//conj//10 och//KN//cc//16 lagen//NN|UTR|SIN|DEF|NOM//conj//10 om//PP//case//19 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//19 upphandling//NN|UTR|SIN|IND|NOM//nmod//16 .//MAD//punct//3
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;Avslutningsvis//AB//nsubj:pass//1 tas//VB|PRS|SFO//ROOT//1 i//PP//case//6 kapitel//NN|NEU|SIN|IND|NOM//nmod//4 6//RG|NOM//nummod//6 upp//PL//fixed//4 kunskapsläget//NN|NEU|SIN|DEF|NOM//obl//1 när//HA//mark//9 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//9 gäller//VB|PRS|AKT//advcl//1 konsekvenser//NN|UTR|PLU|IND|NOM//obj//9 och//KN//cc//12 effekter//NN|UTR|PLU|IND|NOM//conj//10 på//PP//case//14 individ-//NN|-|-|-|SMS//nmod//12 och//KN//cc//16 samhällsnivå//NN|UTR|SIN|IND|NOM//conj//14 av//PP//case//18 tillgång//NN|UTR|SIN|IND|NOM//nmod//12 till//PP//case//20 service//NN|UTR|SIN|IND|NOM//nmod//18 i//PP//case//22 hemmet//NN|NEU|SIN|DEF|NOM//nmod//20 .//MAD//punct//1
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;2//RG|NOM//nummod//25 Varför//HA//advmod//27 är//VB|PRS|AKT//cop//27 frågan//NN|UTR|SIN|DEF|NOM//parataxis//1 om//PP//case//29 service//NN|UTR|SIN|IND|NOM//nmod//27 i//PP//case//31 hemmet//NN|NEU|SIN|DEF|NOM//nmod//29 angelägen//JJ|POS|UTR|SIN|IND|NOM//nmod//27 ?//MAD//punct//27
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;2.1//RG|NOM//nmod//35 Bakgrund//NN|UTR|SIN|IND|NOM//appos//27
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;Både//KN//cc//4 för//PP//case//4 den//DT|UTR|SIN|DEF//det//4 enskilde//JJ|POS|MAS|SIN|DEF|NOM//amod//4 individen//NN|UTR|SIN|DEF|NOM//obl//93 och//KN//cc//8 för//PP//case//7 samhället//NN|NEU|SIN|DEF|NOM//obl//8 finns//VB|PRS|SFO//conj//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 två//RG|NOM//nummod//12 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 syften//NN|NEU|PLU|IND|NOM//nsubj//13 förknippade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//8 med//PP//case//15 service//NN|UTR|SIN|IND|NOM//obl//13 i//PP//case//17 hemmet//NN|NEU|SIN|DEF|NOM//nmod//15 .//MAD//punct//4
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;Tillgång//NN|UTR|SIN|IND|NOM//nsubj//27 till//PP//case//21 service//NN|UTR|SIN|IND|NOM//nmod//19 i//PP//case//23 hemmet//NN|NEU|SIN|DEF|NOM//nmod//21 är//VB|PRS|AKT//cop//27 en//DT|UTR|SIN|IND//det//27 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 faktor//NN|UTR|SIN|IND|NOM//conj//4 för//PP//case//31 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 äldres//NN|UTR|PLU|IND|GEN//nmod:poss//31 möjligheter//NN|UTR|PLU|IND|NOM//nmod//27 att//IE//mark//33 bo//VB|INF|AKT//acl//31 kvar//PL//compound:prt//33 i//PP//case//37 ordinärt//JJ|POS|NEU|SIN|IND|NOM//amod//37 boende//NN|NEU|SIN|IND|NOM//obl//33 och//KN//cc//39 leva//VB|INF|AKT//conj//33 ett//DT|NEU|SIN|IND//det//42 självständigt//JJ|POS|NEU|SIN|IND|NOM//amod//42 liv//NN|NEU|SIN|IND|NOM//obj//39 .//MAD//punct//27
Service i hemmet för äldre människorkunskapsläge, utvecklingsarbete och juridiska förutsättningar;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//48 är//VB|PRS|AKT//cop//48 också//AB//advmod//48 ett//DT|NEU|SIN|IND//det//48 syfte//NN|NEU|SIN|IND|NOM//parataxis//27 med//PP//case//50 hemhjälp//NN|UTR|SIN|IND|NOM//nmod//48 och//KN//cc//53 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 insatser//NN|UTR|PLU|IND|NOM//conj//50 inom//PP//case//57 den//DT|UTR|SIN|DEF//det//57 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 äldreomsorgen//NN|UTR|SIN|DEF|NOM//nmod//53 .//MAD//punct//48
