Skatt på fluorerade växthusgaser;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 skatt//NN|UTR|SIN|IND|NOM//nmod//2 på//PP//case//7 fluorerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 växthusgaser//NN|UTR|PLU|IND|NOM//nmod//4
Till statsrådet och chefen för Finansdepartementet Anders Borg;Johan//PM|NOM//nsubj:pass//20 Sanner//PM|NOM//flat:name//0 /Hanna//RG|NOM//conj//0 Werth//PM|NOM//conj//0 2.5//RG|NOM//nummod//5 Skatt//NN|UTR|SIN|IND|NOM//nmod//0 på//PP//case//8  //_SP////6 F-gaser//NN|UTR|PLU|IND|NOM//nmod//0 som//KN//case//11 ett//DT|NEU|SIN|IND//det//11 medel//NN|NEU|SIN|IND|NOM//nmod//0 för//PP//mark//14 att//IE//mark//14 minska//VB|INF|AKT//advcl//0 utsläppen//NN|NEU|PLU|DEF|NOM//obj//14 3.4//RG|NOM//obj//14 Hur//HA//advmod//20 ska//VB|PRS|AKT//aux//20 skatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//20 beräknas//VB|INF|SFO//ROOT//20 ,//MID//punct//20 och//KN//cc//25 vilken//HD|UTR|SIN|IND//det//24 skattenivå//NN|UTR|SIN|IND|NOM//nsubj//25 ska//VB|PRS|AKT//conj//20 3.8//RG|NOM//nsubj//25 Samlad//PC|PRF|UTR|SIN|IND|NOM//amod//28 bedömning//NN|UTR|SIN|IND|NOM//obj//25 av//PP//case//31 förslagens//NN|NEU|PLU|DEF|GEN//nmod:poss//31 förenlighet//NN|UTR|SIN|IND|NOM//nmod//28 med//PP//case//34 EG8.2//NN|NEU|SIN|IND|NOM//nmod//34 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//31 till//PP//case//36 förordning//NN|UTR|SIN|IND|NOM//nmod//28 (//PAD//punct//38 2010:000//RG|NOM//conj//36 )//PAD//punct//38 om//PP//case//41 skatt//NN|UTR|SIN|IND|NOM//nmod//28 på//PP//case//44 8.3//RG|NOM//nmod//44 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//41 till//PP//case//46 lag//NN|UTR|SIN|IND|NOM//nmod//41 om//PP//case//48 ändring//NN|UTR|SIN|IND|NOM//nmod//46 i//PP//case//50 skattebetalningslagen//NN|UTR|SIN|DEF|NOM//nmod//48 8.4//RG|NOM//nummod//52 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//41 till//PP//case//54 förordning//NN|UTR|SIN|IND|NOM//nmod//41 (//PAD//punct//56 2010:000//RG|NOM//appos//54 )//PAD//punct//56 om//PP//case//59 premie//NN|UTR|SIN|IND|NOM//nmod//41 för//PP//case//28

Förkortningar och ordförklaringar;Nedan//AB//advmod//1 tas//VB|PRS|SFO//advcl//22 några//DT|UTR/NEU|PLU|IND//det//3 begrepp//NN|NEU|PLU|IND|NOM//nsubj:pass//1 upp//PL//compound:prt//1 som//HP|-|-|-//nsubj:pass//6 används//VB|PRS|SFO//advcl//1 i//PP//case//8 betänkandet//NN|NEU|SIN|DEF|NOM//obl//6 .//MAD//punct//1
Förkortningar och ordförklaringar;Begreppen//NN|NEU|PLU|DEF|NOM//nsubj:pass//11 förklaras//VB|PRS|SFO//parataxis//1 i//PP//case//14 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//14 fall//NN|NEU|PLU|IND|NOM//obl//11 mer//AB|KOM//advmod//16 utförligt//AB|POS//xcomp//11 i//PP//case//19 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 avsnitt//NN|NEU|PLU|IND|NOM//obl//11 .//MAD//punct//1
Förkortningar och ordförklaringar;Därutöver//AB//advmod//1 ges//VB|PRS|SFO//ROOT//22 förklaringar//NN|UTR|PLU|IND|NOM//nsubj:pass//22 till//PP//case//25 några//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//22 av//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 förkortningar//NN|UTR|PLU|IND|NOM//nmod//25 som//HP|-|-|-//nsubj:pass//30 används//VB|PRS|SFO//acl:relcl//28 .//MAD//punct//22
Förkortningar och ordförklaringar;PPP//PM|NOM//nsubj//1 Polluter//PM|NOM//ROOT//1 pays//UO//nmod//3 principle//UO//obj//1 (//PAD//punct//3 Principen//NN|UTR|SIN|DEF|NOM//appos//3 om//PP//mark//9 att//SN//mark//9 förorenaren//NN|UTR|SIN|DEF|NOM//nsubj//9 betalar//VB|PRS|AKT//acl//5 och//KN//cc//12 som//HP|-|-|-//nsubj//12 innebär//VB|PRS|AKT//conj//1 att//SN//mark//17 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 alltid//AB//advmod//17 är//VB|PRS|AKT//cop//17 den//PN|UTR|SIN|DEF|SUB/OBJ//ccomp//12 som//HP|-|-|-//nsubj//19 orsakar//VB|PRS|AKT//acl:relcl//17 eller//KN//cc//21 riskerar//VB|PRS|AKT//conj//19 att//IE//mark//23 orsaka//VB|INF|AKT//xcomp//21 en//DT|UTR|SIN|IND//det//25 miljöstörning//NN|UTR|SIN|IND|NOM//obj//23 som//HP|-|-|-//nsubj//28 ska//VB|PRS|AKT//aux//28 bekosta//VB|INF|AKT//acl:relcl//25 de//DT|UTR/NEU|PLU|DEF//det//33 förebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 eller//KN//cc//32 avhjälpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//30 åtgärderna//NN|UTR|PLU|DEF|NOM//obj//28 )//PAD//punct//12 .//MAD//punct//1


1 Förslag till lag (2010:000) om skatt på fluorkolväten;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1

1 Förslag till lag (2010:000) om skatt på fluorkolväten / Lagens tillämpningsområde;1//RG|NOM//nummod//1 §//NN|AN//nmod//2 Skatt//NN|UTR|SIN|IND|NOM//nsubj:pass//4 ska//VB|PRS|AKT//aux//4 betalas//VB|INF|SFO//ROOT//4 till//PP//case//6 staten//NN|UTR|SIN|DEF|NOM//obl//4 enligt//PP//case//9 denna//DT|UTR|SIN|DEF//det//9 lag//NN|UTR|SIN|IND|NOM//obl//4 för//PP//case//11 fluorkolväten//NN|NEU|PLU|IND|NOM//nmod//9 (//PAD//punct//11 HFC//PM|NOM//appos//11 )//PAD//punct//4 .//MAD//punct//4

1 Förslag till lag (2010:000) om skatt på fluorkolväten / Innebörden av vissa uttryck;2//RG|NOM//nummod//1 §//NN|AN//nmod//3 En//DT|UTR|SIN|IND//det//3 verksamhet//NN|UTR|SIN|IND|NOM//obl//5 är//VB|PRS|AKT//cop//5 yrkesmässig//JJ|POS|UTR|SIN|IND|NOM//ROOT//5 ,//MID//punct//9 om//SN//mark//9 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//9 utgör//VB|PRS|AKT//advcl//5 näringsverksamhet//NN|UTR|SIN|IND|NOM//obj//9 enligt//PP//case//14 13//RG|NOM//nummod//13 kap.//NN|AN//nmod//14 inkomstskattelagen//NN|UTR|SIN|DEF|NOM//nmod//10 (//PAD//punct//14 1999:1229//RG|NOM//appos//14 )//PAD//punct//14 ,//MID//punct//9 eller//KN//cc//22 om//SN//mark//22 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//22 bedrivs//VB|PRS|SFO//conj//9 i//PP//case//24 former//NN|UTR|PLU|IND|NOM//obl//22 som//HP|-|-|-//nsubj//27 är//VB|PRS|AKT//cop//27 jämförliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//24 med//PP//case//34 en//DT|UTR|SIN|IND//det//34 till//PP//case//32 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//32 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//33 hänförlig//JJ|POS|UTR|SIN|IND|NOM//amod//34 rörelse//NN|UTR|SIN|IND|NOM//obl//27 och//KN//cc//36 ersättningen//NN|UTR|SIN|DEF|NOM//conj//34 för//PP//case//38 omsättningen//NN|UTR|SIN|DEF|NOM//nmod//36 i//PP//case//40 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//38 under//PP//case//43 ett//DT|NEU|SIN|IND//det//43 kalenderår//NN|NEU|SIN|IND|NOM//nmod//40 överstiger//VB|PRS|AKT//xcomp//22 30//RG|NOM//nummod//46 000//RG|NOM//nummod//47 kronor//NN|UTR|PLU|IND|NOM//obj//44 .//MAD//punct//5
1 Förslag till lag (2010:000) om skatt på fluorkolväten / Innebörden av vissa uttryck;Fordonsbegreppen//NN|UTR|SIN|DEF|NOM//nsubj//4 i//PP//case//3 denna//DT|UTR|SIN|DEF//det//3 lag//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//ROOT//4 samma//DT|UTR/NEU|SIN/PLU|IND//det//6 betydelse//NN|UTR|SIN|IND|NOM//obj//4 som//KN//mark//9 i//PP//case//9 lagen//NN|UTR|SIN|DEF|NOM//acl//6 (//PAD//punct//11 2001:559//RG|NOM//conj//9 )//PAD//punct//11 om//PP//case//14 vägtrafikdefinitioner//NN|UTR|PLU|IND|NOM//obl//4 .//MAD//punct//4

1 Förslag till lag (2010:000) om skatt på fluorkolväten / Förfarandet;3//RG|NOM//nummod//1 §//NN|AN//nmod//2 Regler//NN|UTR|PLU|IND|NOM//nsubj//7 för//PP//case//4 förfarandet//NN|NEU|SIN|DEF|NOM//nmod//2 vid//PP//case//6 beskattningen//NN|UTR|SIN|DEF|NOM//nmod//4 finns//VB|PRS|SFO//ROOT//7 i//PP//case//9 skattebetalningslagen//NN|UTR|SIN|DEF|NOM//obl//7 (//PAD//punct//9 1997:483//RG|NOM//appos//9 )//PAD//punct//7 .//MAD//punct//7

1 Förslag till lag (2010:000) om skatt på fluorkolväten / Skattens storlek;4//RG|NOM//nummod//1 §//NN|AN//nmod//2 Skatt//NN|UTR|SIN|IND|NOM//nsubj:pass//4 ska//VB|PRS|AKT//aux//4 betalas//VB|INF|SFO//ROOT//4 för//PP//case//7 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 fluorkolväten//NN|NEU|PLU|IND|NOM//obl//4 med//PP//case//10 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//10 belopp//NN|NEU|PLU|IND|NOM//obl//4 ://MAD//punct//4
