SVEN  -  ERIC LIEDMAN  ,  professor idéhistoria, Göteborg, samtalsledare ;THOMAS//PM|NOM//ROOT//0 ÖSTROS//PM|NOM//nsubj//0  //_SP////1 ,//MID//punct//5  //_SP////3 utbildningsminister//NN|UTR|PLU|IND|NOM//conj//1
Vad är kunskap?;Därför//AB//advmod//37 måste//VB|PRS|AKT//aux//37 man//PN|UTR|SIN|IND|SUB//nsubj//37 försöka//VB|INF|AKT//advcl//3 specialisera//VB|INF|AKT//xcomp//37 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//38 ,//MID//punct//50 och//KN//cc//50 om//SN//mark//45 vi//PN|UTR|PLU|DEF|SUB//nsubj//45 är//VB|PRS|AKT//cop//45 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//advcl//50 så//AB//advmod//50 kan//VB|PRS|AKT//aux//50 vi//PN|UTR|PLU|DEF|SUB//nsubj//50 ändå//AB//advmod//50 skapa//VB|INF|AKT//conj//37 en//DT|UTR|SIN|IND//det//52 bild//NN|UTR|SIN|IND|NOM//obj//50 av//PP//case//54 ämnet//NN|NEU|SIN|DEF|NOM//nmod//52 .//MID//punct//50
Vad är kunskap?;Mycket//PN|NEU|SIN|IND|SUB/OBJ//nsubj//59 är//VB|PRS|AKT//cop//59 väldigt//AB|POS//advmod//59 användbart//JJ|POS|NEU|SIN|IND|NOM//parataxis//50 och//KN//cc//61 går//VB|PRS|AKT//conj//59 ofta//AB|POS//advmod//61 att//IE//mark//65 direkt//AB|POS//advmod//65 omsätta//VB|INF|AKT//xcomp//61 i//PP//case//67 sjukvård//NN|UTR|SIN|IND|NOM//obl//65 som//HP|-|-|-//nsubj//69 förändrar//VB|PRS|AKT//acl:relcl//67 människans//NN|UTR|SIN|DEF|GEN//nmod:poss//71 situation//NN|UTR|SIN|IND|NOM//obj//69 .//MID//punct//50
Vad är kunskap?;Alla//DT|UTR/NEU|PLU|IND/DEF//det//74 vaccinerna//NN|UTR|PLU|DEF|NOM//nsubj//75 kommer//VB|PRS|AKT//parataxis//50 t//NN|AN//obj//75 ex//NN|AN//obj//75 från//PP//case//81 den//DT|UTR|SIN|DEF//det//81 här//AB//fixed//79 typen//NN|UTR|SIN|DEF|NOM//obl//75 av//PP//case//83 kunskap//NN|UTR|SIN|IND|NOM//nmod//81 .//MAD//punct//3
Vad är kunskap?;Förändringarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//1 märks//VB|PRS|SFO//ROOT//1 också//AB//advmod//1 på//PP//case//7 ett//DT|NEU|SIN|IND//det//7 mer//AB|KOM//advmod//6 handgripligt//JJ|POS|NEU|SIN|IND|NOM//amod//7 sätt//NN|NEU|SIN|IND|NOM//obl//1 i//PP//case//10 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 typer//NN|UTR|PLU|IND|NOM//obl//1 av//PP//case//12 utbildningar//NN|UTR|PLU|IND|NOM//nmod//10 ,//MID//punct//1 fortsätter//VB|PRS|AKT//parataxis//1 Sven-Eric//PM|NOM//nsubj//14 Liedman//PM|NOM//flat//15 .//MAD//punct//1
Vad är kunskap?;Vad//HP|NEU|SIN|IND//obj//22 de//DT|UTR/NEU|PLU|DEF//det//21 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 högskolorna//NN|UTR|PLU|DEF|NOM//nsubj//22 lärde//VB|PRT|AKT//csubj//36 ut//PL//compound:prt//22 t//NN|AN//nmod//25 ex//NN|AN//obj//22 om//PP//case//27 datorer//NN|UTR|PLU|IND|NOM//obl//22 för//PP//case//30 fem//RG|NOM//nummod//30 år//NN|NEU|PLU|IND|NOM//nmod//27 sedan//AB//advmod//30 är//VB|PRS|AKT//cop//36 inte//AB//advmod//36 längre//AB|KOM//advmod//36 omedelbart//AB|POS//advmod//36 tillämpligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 i//PP//advmod//36 dag//NN|UTR|SIN|IND|NOM//fixed//37 .//MAD//punct//1
Vad är kunskap?;Den//DT|UTR|SIN|DEF//det//41 färdigutbildade//PC|PRF|UTR/NEU|SIN|DEF|NOM//nsubj//45 måste//VB|PRS|AKT//aux//45 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 tiden//NN|UTR|SIN|DEF|NOM//obl//45 lära//VB|INF|AKT//parataxis//1 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//45 nytt//AB|POS//advmod//45 ,//MID//punct//45 ibland//AB//advmod//50 återförpassad//PC|PRF|UTR|SIN|IND|NOM//appos//45 till//PP//case//55 en//DT|UTR|SIN|IND//det//55 tillfälligt//AB|POS//advmod//54 uppriggad//PC|PRF|UTR|SIN|IND|NOM//amod//55 skolbänk//NN|UTR|SIN|IND|NOM//nmod//50 .//MAD//punct//45
Vad är kunskap?;Den//DT|UTR|SIN|DEF//det//59 vackra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//59 metaforen//NN|UTR|SIN|DEF|NOM//appos//45 ”//PAD//punct//59 det//DT|NEU|SIN|DEF//det//63 livslånga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 lärandet//NN|NEU|SIN|DEF|NOM//appos//59 ”//PM|NOM//punct//59 får//VB|PRS|AKT//conj//45 i//PP//case//68 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//68 sammanhang//NN|NEU|PLU|IND|NOM//obl//65 en//DT|UTR|SIN|IND//det//71 ny//JJ|POS|UTR|SIN|IND|NOM//amod//71 innebörd//NN|UTR|SIN|IND|NOM//obj//65 .//MAD//punct//45
Vad är kunskap?;Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 slags//NN|NEU|PLU|IND|GEN//nmod:poss//2 förändringar//NN|UTR|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//ROOT//3 mindre//AB|KOM//advmod//5 sitt//PS|NEU|SIN|DEF//nmod:poss//6 ursprung//NN|NEU|SIN|IND|NOM//obj//3 i//PP//case//8 vetenskapen//NN|UTR|SIN|DEF|NOM//obl//3 och//KN//cc//10 tekniken//NN|UTR|SIN|DEF|NOM//conj//8 än//KN//advmod//13 i//PP//case//13 samhället//NN|NEU|SIN|DEF|NOM//obl//3 .//MAD//punct//3
Vad är kunskap?;En//DT|UTR|SIN|IND//det//16 socialarbetare//NN|UTR|SIN|IND|NOM//nsubj//19 måste//VB|PRS|AKT//aux//19 ständigt//AB|POS//advmod//19 lära//VB|INF|AKT//parataxis//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//19 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 regler//NN|UTR|PLU|IND|NOM//obj//19 och//KN//cc//24 bestämmelser//NN|UTR|PLU|IND|NOM//conj//22 för//PP//case//27 sin//PS|UTR|SIN|DEF//nmod:poss//27 verksamhet//NN|UTR|SIN|IND|NOM//nmod//24 ,//MID//punct//31 en//DT|UTR|SIN|IND//det//30 lärare//NN|UTR|SIN|IND|NOM//nsubj//31 försöker//VB|PRS|AKT//conj//19 hålla//VB|INF|AKT//xcomp//31 jämna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 steg//NN|NEU|PLU|IND|NOM//obj//32 med//PP//case//38 oavlåtligt//AB|POS//advmod//37 förändrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//38 studieplaner//NN|UTR|PLU|IND|NOM//obl//32 och//KN//cc//40 direktiv//NN|NEU|PLU|IND|NOM//conj//38 .//MAD//punct//19
Vad är kunskap?;För//PP//case//43 ekonomerna//NN|UTR|PLU|DEF|NOM//obl//44 syns//VB|PRS|SFO//conj//3 världen//NN|UTR|SIN|DEF|NOM//nsubj//44 än//AB//mark//49 mer//AB|KOM//advmod//48 rastlöst//AB|POS//advmod//49 föränderlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//44 .//MAD//punct//44
Vad är kunskap?;Noteringar//NN|UTR|PLU|IND|NOM//obj//3 skiftar//VB|PRS|AKT//acl//51 från//PP//case//54 stund//NN|UTR|SIN|IND|NOM//obl//52 till//PP//case//56 stund//NN|UTR|SIN|IND|NOM//obl//52 .//MAD//punct//3
Vad är kunskap?;Den//DT|UTR|SIN|DEF//det//60 evärdliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 visdomen//NN|UTR|SIN|DEF|NOM//nsubj:pass//65 från//PP//mark//65 i//PP//fixed//61 går//AB//fixed//62 måste//VB|PRS|AKT//aux//65 korrigeras//VB|INF|SFO//parataxis//3 än//KN//case//68 en//RG|UTR|SIN|IND|NOM//det//68 gång//NN|UTR|SIN|IND|NOM//obl//65 .//MAD//punct//3
Vad är kunskap?;På//PP//case//3 en//DT|UTR|SIN|IND//det//2 rad//NN|UTR|SIN|IND|NOM//nmod//3 områden//NN|NEU|PLU|IND|NOM//obl//4 förefaller//VB|PRS|AKT//ROOT//4 alltså//AB//advmod//4 förändringstakten//NN|UTR|SIN|DEF|NOM//nsubj//7 enorm//JJ|POS|UTR|SIN|IND|NOM//xcomp//4 ,//MID//punct//4 kunskapen//NN|UTR|SIN|DEF|NOM//nsubj//12 är//VB|PRS|AKT//cop//12 inte//AB//advmod//12 hållbarare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//4 än//KN//case//14 yoghurten//NN|UTR|SIN|DEF|NOM//nmod//12 .//MAD//punct//4
Vad är kunskap?;Men//KN//cc//20 är//VB|PRS|AKT//cop//20 verkligen//AB//advmod//20 all//DT|UTR|SIN|IND/DEF//det//20 kunskap//NN|UTR|SIN|IND|NOM//conj//4 så//AB//advmod//22 obeständig//JJ|POS|UTR|SIN|IND|NOM//advmod//20 ?//MAD//punct//4
Vad är kunskap?;Uppenbarligen//AB//ROOT//0 inte//AB//advmod//0 .//MAD//punct//0
Vad är kunskap?;Med//PP//case//6 Linnés//PM|GEN//nmod:poss//6 Svensk//PM|NOM//amod//6 Flora//PM|NOM//obl//12 från//PP//case//8 1755//RG|NOM//nmod//6 kan//VB|PRS|AKT//aux//12 man//PN|UTR|SIN|IND|SUB//nsubj//12 fortfarande//AB//advmod//12 identiﬁera//VB|INF|AKT//parataxis//0 de//DT|UTR/NEU|PLU|DEF//det//16 ﬂesta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 växtarter//NN|UTR|PLU|IND|NOM//obj//12 .//MAD//punct//12
Vad är kunskap?;Anledningen//NN|UTR|SIN|DEF|NOM//nsubj//20 är//VB|PRS|AKT//cop//20 enkel//JJ|POS|UTR|SIN|IND|NOM//conj//12 .//MAD//punct//12
Vad är kunskap?;Arterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//25 har//VB|PRS|AKT//aux//25 inte//AB//advmod//25 förändrats//VB|SUP|SFO//conj//12 märkbart//AB|POS//advmod//25 på//PP//case//29 denna//DT|UTR|SIN|DEF//det//29 tid//NN|UTR|SIN|IND|NOM//obl//25 .//MAD//punct//12
Vad är kunskap?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//34 är//VB|PRS|AKT//cop//34 den//DT|UTR|SIN|DEF//det//34 verklighet//NN|UTR|SIN|IND|NOM//parataxis//12 som//HP|-|-|-//obj//40 människorna//NN|UTR|PLU|DEF|NOM//nsubj//40 i//PP//case//38 grunden//NN|UTR|SIN|DEF|NOM//nmod//36 kan//VB|PRS|AKT//aux//40 påverka//VB|INF|AKT//acl:relcl//34 som//HP|-|-|-//nsubj//43 ständigt//AB|POS//advmod//43 byter//VB|PRS|AKT//advcl//40 skepnad//NN|UTR|SIN|IND|NOM//obj//43 .//MAD//punct//34
Vad är kunskap?;De//DT|UTR/NEU|PLU|DEF//det//48 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 örter//NN|UTR|PLU|IND|NOM//nsubj//57 som//HP|-|-|-//nsubj//50 kommit//VB|SUP|AKT//acl:relcl//48 till//PL//compound:prt//50 efter//PP//case//54 Linnés//PM|GEN//nmod:poss//54 tid//NN|UTR|SIN|IND|NOM//obl//57 har//VB|PRS|AKT//aux//57 människor//NN|UTR|PLU|IND|NOM//nsubj//57 fört//VB|SUP|AKT//parataxis//34 in//PL//compound:prt//57 .//MAD//punct//34
Vad är kunskap?;De//PN|UTR/NEU|PLU|DEF|SUB//obj//65 som//HP|-|-|-//nsubj//62 försvunnit//VB|SUP|AKT//acl:relcl//60 har//VB|PRS|AKT//aux//65 människor//NN|UTR|PLU|IND|NOM//nsubj//65 utplånat//VB|SUP|AKT//parataxis//34 .//MAD//punct//12
Vad är kunskap?;Både//KN//cc//2 inom//PP//case//2 naturen//NN|UTR|SIN|DEF|NOM//obl//22 och//KN//cc//7 inom//PP//case//7 den//DT|UTR|SIN|DEF//det//7 människoskapade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//7 världen//NN|UTR|SIN|DEF|NOM//conj//2 ﬁnns//VB|PRS|SFO//conj//2 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 kunskaper//NN|UTR|PLU|IND|NOM//conj//2 som//HP|-|-|-//nsubj//12 lever//VB|PRS|AKT//acl:relcl//10 ett//DT|NEU|SIN|IND//det//15 långt//JJ|POS|NEU|SIN|IND|NOM//amod//15 liv//NN|NEU|SIN|IND|NOM//obj//12 .//MID//punct//2
Vad är kunskap?;De//DT|UTR/NEU|PLU|DEF//det//20 fyra//RG|NOM//nummod//20 enkla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 räknesätten//NN|NEU|PLU|IND|NOM//nsubj//22 har//VB|PRS|AKT//aux//22 följt//VB|SUP|AKT//ROOT//22 oss//PN|UTR|PLU|DEF|OBJ//obj//22 i//PP//case//25 årtusenden//NN|NEU|PLU|IND|NOM//obl//22 och//KN//cc//29 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//29 är//VB|PRS|AKT//cop//29 svårt//JJ|POS|NEU|SIN|IND|NOM//conj//22 att//IE//mark//31 tänka//VB|INF|AKT//csubj//29 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//31 en//DT|UTR|SIN|IND//det//34 framtid//NN|UTR|SIN|IND|NOM//obj//31 utan//PP//case//36 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//34 så//AB//advmod//38 länge//AB|POS//advmod//31 människosläktet//NN|NEU|SIN|DEF|NOM//obj//31 över//PP//nmod//39 huvud//NN|NEU|SIN|IND|NOM//fixed//40 existerar//VB|PRS|AKT//conj//29 .//MAD//punct//22
Vad är kunskap?;Konsten//NN|UTR|SIN|DEF|NOM//nsubj//52 att//IE//mark//46 lösa//VB|INF|AKT//acl//44 differentialekvationer//NN|UTR|PLU|IND|NOM//obj//46 är//VB|PRS|AKT//cop//52 drygt//AB|POS//advmod//50 300//RG|NOM//nummod//51 år//NN|NEU|PLU|IND|NOM//nmod//52 gammal//JJ|POS|UTR|SIN|IND|NOM//parataxis//22 och//KN//cc//54 fungerar//VB|PRS|AKT//conj//52 än//KN//advmod//54 .//MAD//punct//22
Vad är kunskap?;Newtons//PM|GEN//nmod:poss//58 gravitationsteori//NN|UTR|SIN|IND|NOM//nsubj:pass//60 har//VB|PRS|AKT//aux//60 övertrumfats//VB|SUP|SFO//parataxis//22 av//PP//case//62 Einstein//PM|NOM//obl:agent//60 men//KN//cc//68 i//PP//case//67 de//DT|UTR/NEU|PLU|DEF//det//67 ﬂesta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 situationer//NN|UTR|PLU|IND|NOM//obl//68 står//VB|PRS|AKT//conj//60 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//68 Newtons//PM|GEN//nmod:poss//71 beräkningar//NN|UTR|PLU|IND|NOM//nsubj//68 gott//AB|POS//advmod//68 .//MAD//punct//22
Vad är kunskap?;Darwins//PM|GEN//nmod:poss//75 teori//NN|UTR|SIN|IND|NOM//nsubj:pass//77 har//VB|PRS|AKT//aux//77 kompletterats//VB|SUP|SFO//parataxis//22 och//KN//cc//79 korrigerats//VB|SUP|SFO//conj//77 efter//PP//case//81 hand//NN|UTR|SIN|IND|NOM//obl//79 men//KN//cc//83 selektionsprincipen//NN|UTR|SIN|DEF|NOM//nsubj//86 är//VB|PRS|AKT//cop//86 fortfarande//AB//advmod//86 central//JJ|POS|UTR|SIN|IND|NOM//conj//77 .//MAD//punct//86
Vad är kunskap?;För//PP//case//89 historiker//NN|UTR|PLU|IND|NOM//obl//90 gäller//VB|PRS|AKT//conj//22 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//93 källkritiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//93 regler//NN|UTR|PLU|IND|NOM//obj//90 ,//MID//punct//95 uppställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//93 för//PP//case//97 länge//AB|POS//advmod//95 sedan//AB//advmod//97 och//KN//cc//100 förﬁnade//VB|PRT|AKT//conj//90 efter//PP//case//102 hand//NN|UTR|SIN|IND|NOM//obl//100 men//KN//cc//104 användbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//102 på//PP//case//108 varje//DT|UTR/NEU|SIN|IND//det//108 historiskt//JJ|POS|NEU|SIN|IND|NOM//amod//108 problem//NN|NEU|SIN|IND|NOM//obl//100 .//MAD//punct//90
Vad är kunskap?;T//PM|NOM//nsubj//116 o//PM|NOM//cc//110 m//PM|NOM//conj//110 de//DT|UTR/NEU|PLU|DEF//det//115 rastlösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//115 ekonomerna//NN|UTR|PLU|DEF|NOM//nsubj//116 utgår//VB|PRS|AKT//parataxis//90 från//PP//case//118 idéer//NN|UTR|PLU|IND|NOM//obl//116 som//HP|-|-|-//nsubj:pass//120 utvecklats//VB|SUP|SFO//acl:relcl//118 redan//AB//advmod//125 i//PP//case//125 Adam//PM|NOM//nmod//125 Smiths//PM|GEN//nmod:poss//125 Wealth//PM|NOM//obl//120 of//PM|NOM//case//127 Nations//PM|NOM//obl//120 från//PP//case//129 1776//RG|NOM//nmod//127 .//MID//punct//116
Vad är kunskap?;Hur//HA//advmod//132 snabb//JJ|POS|UTR|SIN|IND|NOM//conj//116 den//DT|UTR|SIN|DEF//det//135 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//135 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//132 än//KN//mark//138 må//VB|INF|AKT//aux//138 vara//VB|INF|AKT//acl//135 på//PP//case//141 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//141 områden//NN|NEU|PLU|IND|NOM//obl//138 ,//MID//punct//143 ﬁnns//VB|PRS|SFO//conj//116 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//143 även//AB//advmod//143 där//AB//fixed//145 stabilare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//148 insikter//NN|UTR|PLU|IND|NOM//nsubj//143 som//HP|-|-|-//nsubj:pass//150 präntas//VB|PRS|SFO//acl:relcl//148 in//PL//compound:prt//150 i//PP//case//155 den//DT|UTR|SIN|DEF//det//155 blivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//155 ingenjören//NN|UTR|SIN|DEF|NOM//obl//150 .//MAD//punct//116

Rotkunskaper;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 handlar//VB|PRS|AKT//ROOT//1 om//PP//case//5 ett//DT|NEU|SIN|IND//det//4 slags//NN|NEU|SIN|IND|GEN//nmod:poss//5 rotkunskaper//NN|UTR|PLU|IND|NOM//obl//1 ,//MID//punct//5 som//HP|-|-|-//nsubj//8 utgör//VB|PRS|AKT//acl:relcl//5 en//DT|UTR|SIN|IND//det//10 förutsättning//NN|UTR|SIN|IND|NOM//obj//8 för//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 ﬂesta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 detaljkunskaper//NN|UTR|PLU|IND|NOM//nmod//10 .//MAD//punct//1
Rotkunskaper;"Rotkunskaper//NN|UTR|PLU|IND|NOM//nsubj:pass//17 förändras//VB|PRS|SFO//parataxis//1 också//AB//advmod//17 ,//MID//punct//17 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//21 kommer//VB|PRS|AKT//conj//17 till//PP//compound:prt//21 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//21 ,//MID//punct//17 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//26 visar//VB|PRS|AKT//conj//17 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//26 ohållbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//26 eller//KN//cc//31 snarare//AB|KOM//advmod//31 otillräckliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//28 ;//MID//punct//17"
Rotkunskaper;vissa//PN|UTR/NEU|PLU|IND|SUB/OBJ//amod//34 förändras//VB|PRS|SFO//conj//17 snabbare//AB|KOM//advmod//34 ,//MID//punct//34 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 långsammare//NN|UTR|PLU|IND|NOM//advmod//34 .//MAD//punct//1
Rotkunskaper;Men//KN//cc//42 de//DT|UTR/NEU|PLU|DEF//det//42 ﬁnns//VB|PRS|SFO//conj//1 där//HA//advmod//42 ,//MID//punct//45 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//43 eller//KN//cc//47 nyare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//45 ,//MID//punct//45 och//KN//cc//50 ger//VB|PRS|AKT//conj//42 varje//DT|UTR/NEU|SIN|IND//det//52 kunskapsmassa//NN|UTR|SIN|IND|NOM//iobj//50 ett//DT|NEU|SIN|IND//det//55 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//55 sammanhang//NN|NEU|SIN|IND|NOM//obj//50 .//MAD//punct//42 –//RG|NOM//punct//58
Rotkunskaper;Den//PN|UTR|SIN|DEF|SUB/OBJ//appos//42 som//HP|-|-|-//nsubj//60 säger//VB|PRS|AKT//acl:relcl//58 att//SN//mark//83 kunskapen//NN|UTR|SIN|DEF|NOM//nsubj//83 i//PP//advmod//67 dag//NN|UTR|SIN|IND|NOM//fixed//63 är//VB|PRS|AKT//cop//67 en//DT|UTR|SIN|IND//det//67 färskvara//NN|UTR|SIN|IND|NOM//obl//83 har//VB|PRS|AKT//aux//83 inte//AB//advmod//83 rotkunskaperna//NN|UTR|PLU|DEF|NOM//nsubj//83 i//PP//case//72 åtanke//NN|UTR|SIN|IND|NOM//nmod//70 utan//KN//cc//76 snarare//AB|KOM//advmod//75 det//DT|NEU|SIN|DEF//det//76 lövverk//NN|NEU|SIN|IND|NOM//conj//70 som//HP|-|-|-//obl//79 träden//NN|NEU|PLU|DEF|NOM//nsubj//79 fäller//VB|PRS|AKT//acl:relcl//76 varje//DT|UTR/NEU|SIN|IND//det//81 höst//NN|UTR|SIN|IND|NOM//obj//79 ,//MID//punct//83 menar//VB|PRS|AKT//ccomp//60  //_SP////83 Sven-Eric//PM|NOM//obl//83 Liedman//PM|NOM//flat//85 .//MAD//punct//58
Rotkunskaper;I//PP//case//3 varje//DT|UTR/NEU|SIN|IND//det//2 slags//NN|NEU|SIN|IND|GEN//nmod:poss//3 utbildning//NN|UTR|SIN|IND|NOM//obl//6 är//VB|PRS|AKT//cop//6 rotkunskaperna//NN|UTR|PLU|DEF|NOM//nsubj//6 väsentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//6 ,//MID//punct//12 inte//AB//advmod//12 de//DT|UTR/NEU|PLU|DEF//det//12 snabbt//AB|POS//advmod//11 föränderliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 detaljerna//NN|UTR|PLU|DEF|NOM//parataxis//6 .//MID//punct//6
Rotkunskaper;Ett//DT|NEU|SIN|IND//det//16 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//16 påstående//NN|NEU|SIN|IND|NOM//nsubj//17 har//VB|PRS|AKT//parataxis//6 inte//AB//advmod//17 med//PP//case//22 det//DT|NEU|SIN|DEF//det//22 konservativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 stridsropet//NN|NEU|SIN|DEF|NOM//obl//17 ”//UO//punct//24 back//UO//appos//6 to//UO//case//26 basics//UO//nmod//24 ”//PAD//punct//24 att//IE//mark//29 göra//VB|INF|AKT//acl//24 .//MAD//punct//24
Rotkunskaper;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//35 är//VB|PRS|AKT//cop//35 alltså//AB//advmod//35 inte//AB//advmod//35 förknippat//PC|PRF|NEU|SIN|IND|NOM//parataxis//24 med//PP//case//37 föreställningen//NN|UTR|SIN|DEF|NOM//obl//35 att//SN//mark//43 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 ﬁnns//VB|PRS|SFO//nsubj//43 en//DT|UTR|SIN|IND//det//42 uppsättning//NN|UTR|SIN|IND|NOM//nmod//43 discipliner//NN|UTR|PLU|IND|NOM//ccomp//35 som//HP|-|-|-//nsubj//45 innehåller//VB|PRS|AKT//acl:relcl//43 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 grundfakta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//45 som//HP|-|-|-//obj//53 varje//DT|UTR/NEU|SIN|IND//det//51 god//JJ|POS|UTR|SIN|IND|NOM//amod//51 elev//NN|UTR|SIN|IND|NOM//nsubj//53 bör//VB|PRS|AKT//aux//53 behärska//VB|INF|AKT//acl:relcl//47 .//MAD//punct//35
Rotkunskaper;Snarare//AB|KOM//advmod//58 är//VB|PRS|AKT//cop//58 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//58 tanken//NN|UTR|SIN|DEF|NOM//parataxis//35 att//SN//mark//63 varje//DT|UTR/NEU|SIN|IND//det//61 utbildning//NN|UTR|SIN|IND|NOM//nsubj//63 bör//VB|PRS|AKT//aux//63 lägga//VB|INF|AKT//acl//58 huvudvikten//NN|UTR|SIN|DEF|NOM//obj//63 vid//PP//case//66 sådant//JJ|POS|NEU|SIN|IND|NOM//obl//63 som//HP|-|-|-//nsubj//69 kan//VB|PRS|AKT//aux//69 ge//VB|INF|AKT//acl:relcl//66 orientering//NN|UTR|SIN|IND|NOM//obj//69 även//AB//advmod//74 i//PP//case//74 en//DT|UTR|SIN|IND//det//74 framtid//NN|UTR|SIN|IND|NOM//obl//69 där//HA//advmod//79 så//AB//advmod//77 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 fakta//NN|NEU|PLU|IND|NOM//nsubj:pass//79 förändras//VB|PRS|SFO//acl:relcl//74 oavlåtligt//AB|POS//advmod//79 .//MAD//punct//35
Rotkunskaper;Jan//PM|NOM//nsubj//2 Ling//PM|NOM//flat:name//0 ger//VB|PRS|AKT//ROOT//2 exempel//NN|NEU|SIN|IND|NOM//obj//2 från//PP//case//5 musikvärlden//NN|UTR|SIN|DEF|NOM//obl//2 .//MID//punct//2
