SVEN  -  ERIC LIEDMAN  ,  professor idéhistoria, Göteborg, samtalsledare ;THOMAS//PM|NOM//ROOT//0 ÖSTROS//PM|NOM//nsubj//0  //_SP////1 ,//MID//punct//5  //_SP////3 utbildningsminister//NN|UTR|PLU|IND|NOM//conj//1
Vad är kunskap?;Samtalsdeltagarna//NN|UTR|PLU|DEF|NOM//nsubj//18 vill//VB|PRS|AKT//aux//18 komma//VB|INF|AKT//parataxis//2 fram//PL//advmod//18 till//PP//case//22 ett//DT|NEU|SIN|IND//det//22 sätt//NN|NEU|SIN|IND|NOM//obl//18 att//IE//mark//24 tala//VB|INF|AKT//acl//22 om//PP//case//26 kunskap//NN|UTR|SIN|IND|NOM//obl//24 som//HP|-|-|-//nsubj:pass//28 präglas//VB|PRS|SFO//acl:relcl//26 av//PP//case//31 både//KN//cc//31 mångsidighet//NN|UTR|SIN|IND|NOM//obl:agent//28 (//PAD//punct//46 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//34 ﬁnns//VB|PRS|SFO//nsubj//46 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 slags//NN|NEU|PLU|IND|GEN//nmod:poss//37 kunskaper//NN|UTR|PLU|IND|NOM//nmod//34 )//PAD//punct//34 och//KN//cc//41 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//41 stringens//NN|UTR|SIN|DEF|GEN//conj//34 (//PAD//punct//41 kunskap//NN|UTR|SIN|IND|NOM//appos//41 är//VB|PRS|AKT//cop//46 inte//AB//advmod//46 vad//HP|NEU|SIN|IND//parataxis//18 som//KN//fixed//46 helst//AB|SUV//advmod//46 )//PAD//punct//46 .//MAD//punct//46
Vad är kunskap?;Varje//DT|UTR/NEU|SIN|IND//det//52 kunskapsområde//NN|NEU|SIN|IND|NOM//nsubj//54 är//VB|PRS|AKT//cop//54 sammansatt//PC|PRF|UTR|SIN|IND|NOM//conj//46 och//KN//cc//57 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 områden//NN|NEU|PLU|IND|NOM//conj//54 har//VB|PRS|AKT//aux//59 ﬂera//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//54 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 slags//NN|NEU|PLU|IND|GEN//nmod:poss//62 utövare//NN|UTR|PLU|IND|NOM//obj//59 (//PAD//punct//54 vetenskapen//NN|UTR|SIN|DEF|NOM//nsubj//65 har//VB|PRS|AKT//parataxis//54 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//67 specialister//NN|UTR|PLU|IND|NOM//obj//65 ,//MID//punct//71 sin//PS|UTR|SIN|DEF//nmod:poss//71 intresserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//71 allmänhet//NN|UTR|SIN|IND|NOM//conj//67 och//KN//cc//74 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//74 avnämare//NN|UTR|PLU|IND|NOM//conj//67 ,//MID//punct//77 konsten//NN|UTR|SIN|DEF|NOM//nsubj//77 har//VB|PRS|AKT//conj//54 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//79 utövare//NN|UTR|PLU|IND|NOM//obj//77 ,//MID//punct//82 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//82 kritiker//NN|UTR|PLU|IND|NOM//conj//79 och//KN//cc//85 sin//PS|UTR|SIN|DEF//nmod:poss//85 publik//NN|UTR|SIN|IND|NOM//conj//79 osv//AB|AN//xcomp//77 )//PAD//punct//54 .//MAD//punct//46
Vad är kunskap?;Att//SN//mark//91 kunskap//NN|UTR|SIN|IND|NOM//nsubj//91 tar//VB|PRS|AKT//csubj//97 tid//NN|UTR|SIN|IND|NOM//obj//91 är//VB|PRS|AKT//cop//97 en//DT|UTR|SIN|IND//det//97 annan//JJ|POS|UTR|SIN|IND|NOM//amod//97 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//97 aspekt//NN|UTR|SIN|IND|NOM//parataxis//46 som//HP|-|-|-//nsubj:pass//99 berörs//VB|PRS|SFO//acl:relcl//97 .//MID//punct//97
Vad är kunskap?;Slutligen//AB//nsubj:pass//102 tangeras//VB|PRS|SFO//advcl//18 två//RG|NOM//nummod//105 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//105 ämnen//NN|NEU|PLU|IND|NOM//nsubj:pass//102 ://MID//punct//105
Vad är kunskap?;kunskap//NN|UTR|SIN|IND|NOM//appos//105 och//KN//cc//109 makt//NN|UTR|SIN|IND|NOM//conj//107 ,//MID//punct//113 och//KN//cc//113 kunskapens//NN|UTR|SIN|DEF|GEN//nmod:poss//113 kommersialisering//NN|UTR|SIN|IND|NOM//conj//105 .//MAD//punct//113 –//PAD//punct//118
Vad är kunskap?;Vad//HP|NEU|SIN|IND//obj//118 jag//PN|UTR|SIN|DEF|SUB//nsubj//118 förstår//VB|PRS|AKT//advcl//204 är//VB|PRS|AKT//cop//122 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//122 tre//RG|NOM//nummod//122 ting//NN|NEU|PLU|IND|NOM//ccomp//118 som//HP|-|-|-//nsubj//124 utmärker//VB|PRS|AKT//acl:relcl//122 kunskapen//NN|UTR|SIN|DEF|NOM//obj//124 ,//MID//punct//127 säger//VB|PRS|AKT//parataxis//118 Sven-Eric//PM|NOM//nsubj//127 Liedman//PM|NOM//flat//128 .//MAD//punct//118
Vad är kunskap?;Det//DT|NEU|SIN|DEF//det//132 första//RO|NOM//nsubj//134 är//VB|PRS|AKT//cop//134 sammanhang//NN|NEU|SIN|IND|NOM//parataxis//118 .//MAD//punct//134
Vad är kunskap?;När//HA//mark//138 man//PN|UTR|SIN|IND|SUB//nsubj//138 stöter//VB|PRS|AKT//advcl//152 på//PL//case//141 något//DT|NEU|SIN|IND//det//141 nytt//JJ|POS|NEU|SIN|IND|NOM//obl//138 i//PP//case//144 ett//DT|NEU|SIN|IND//det//144 område//NN|NEU|SIN|IND|NOM//obl//138 som//HP|-|-|-//obj//148 man//PN|UTR|SIN|IND|SUB//nsubj//148 någorlunda//AB//advmod//148 behärskar//VB|PRS|AKT//acl:relcl//144 så//AB//advcl//152 kan//VB|PRS|AKT//aux//152 man//PN|UTR|SIN|IND|SUB//nsubj//152 sätta//VB|INF|AKT//parataxis//134 in//PL//compound:prt//152 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//152 i//PP//case//160 ett//DT|NEU|SIN|IND//det//160 begripligt//JJ|POS|NEU|SIN|IND|NOM//amod//160 och//KN//cc//159 fruktbart//JJ|POS|NEU|SIN|IND|NOM//conj//157 sammanhang//NN|NEU|SIN|IND|NOM//obl//152 .//MAD//punct//152
Vad är kunskap?;Det//DT|NEU|SIN|DEF//det//163 andra//RO|NOM//nsubj//165 är//VB|PRS|AKT//cop//165 kritik//NN|UTR|SIN|IND|NOM//parataxis//152 .//MAD//punct//152
Vad är kunskap?;Man//PN|UTR|SIN|IND|SUB//nsubj//169 kan//VB|PRS|AKT//aux//169 avgöra//VB|INF|AKT//conj//152 om//SN//mark//174 det//DT|NEU|SIN|DEF//det//172 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//nsubj//174 är//VB|PRS|AKT//cop//174 hållbart//JJ|POS|NEU|SIN|IND|NOM//ccomp//169 eller//KN//cc//177 måste//VB|PRS|AKT//aux//177 förkastas//VB|INF|SFO//conj//174 eller//KN//cc//179 modiﬁeras//VB|INF|SFO//conj//177 .//MAD//punct//169
Vad är kunskap?;Det//DT|NEU|SIN|DEF//det//182 tredje//RO|NOM//nsubj//184 är//VB|PRS|AKT//cop//184 förmågan//NN|UTR|SIN|DEF|NOM//parataxis//169 att//IE//mark//186 använda//VB|INF|AKT//acl//184 kunskapen//NN|UTR|SIN|DEF|NOM//obj//186 på//PP//case//191 ett//DT|NEU|SIN|IND//det//191 rimligt//JJ|POS|NEU|SIN|IND|NOM//amod//191 sätt//NN|NEU|SIN|IND|NOM//obl//186 .//MID//punct//169
