Etappmål i miljömålssystemet;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Miljömålsberedningen//NN|UTR|SIN|DEF|NOM//nmod//0
Etappmål i miljömålssystemet;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Till statsrådet Andreas Carlgren;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 1//RO|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obl//1 2010//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//10 kommitté//NN|UTR|SIN|IND|NOM//obj//7 (//PAD//punct//10 dir//NN|AN//appos//10 .//MAD//punct//10
Till statsrådet Andreas Carlgren;2010:74//RG|NOM//obl//1 )//PAD//punct//17 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//conj//14 att//IE//mark//19 lämna//VB|INF|AKT//acl//17 förslag//NN|NEU|SIN|IND|NOM//obj//19 till//PP//case//22 regeringen//NN|UTR|SIN|DEF|NOM//nmod//20 om//PP//mark//29 hur//HA//advmod//29 miljökvalitetsmålen//NN|UTR|SIN|DEF|NOM//nsubj:pass//29 och//KN//cc//27 generationsmålet//NN|NEU|SIN|DEF|NOM//conj//25 kan//VB|PRS|AKT//aux//29 nås//VB|INF|SFO//advcl//19 .//MAD//punct//17
Till statsrådet Andreas Carlgren;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//33 har//VB|PRS|AKT//aux//33 antagit//VB|SUP|AKT//parataxis//17 namnet//NN|NEU|SIN|DEF|NOM//nmod//35 Miljömålsberedningen//NN|UTR|SIN|DEF|NOM//obj//33 .//MAD//punct//17
Till statsrådet Andreas Carlgren;Beredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//3 är//VB|PRS|AKT//ROOT//3 att//IE//mark//5 utveckla//VB|INF|AKT//ccomp//3 strategier//NN|UTR|PLU|IND|NOM//obj//5 med//PP//case//8 etappmål//NN|NEU|PLU|IND|NOM//nmod//6 ,//MID//punct//10 styrmedel//NN|NEU|PLU|IND|NOM//conj//8 och//KN//cc//12 åtgärder//NN|UTR|PLU|IND|NOM//conj//8 inom//PP//case//15 av//PP//case//15 regeringen//NN|UTR|SIN|DEF|NOM//obl//5 prioriterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//17 områden//NN|NEU|PLU|IND|NOM//obj//5 .//MAD//punct//3
Till statsrådet Andreas Carlgren;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//21 ska//VB|PRS|AKT//aux//21 genomföras//VB|INF|SFO//parataxis//3 i//PP//case//24 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 samarbete//NN|NEU|SIN|IND|NOM//obl//21 med//PP//case//26 näringsliv//NN|NEU|SIN|IND|NOM//nmod//24 ,//MID//punct//29 ideella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 organisationer//NN|UTR|PLU|IND|NOM//conj//26 ,//MID//punct//31 kommuner//NN|UTR|PLU|IND|NOM//conj//26 samt//KN//cc//33 myndigheter//NN|UTR|PLU|IND|NOM//conj//26 .//MAD//punct//21
Till statsrådet Andreas Carlgren;Det//DT|NEU|SIN|DEF//det//37 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//38 gäller//VB|PRS|AKT//parataxis//21 till//AB//compound:prt//38 och//KN//cc//41 med//AB//conj//39 år//NN|NEU|SIN|IND|NOM//nmod//43 2020//RG|NOM//obl//38 .//MAD//punct//21
Till statsrådet Andreas Carlgren;Beredningen//NN|UTR|SIN|DEF|NOM//nsubj//52 kommer//VB|PRS|AKT//aux//52 under//PP//case//49 denna//DT|UTR|SIN|DEF//det//49 tid//NN|UTR|SIN|IND|NOM//obl//52 att//IE//mark//52 få//VB|INF|AKT//aux//52 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//conj//21 i//PP//case//57 enlighet//NN|UTR|SIN|IND|NOM//fixed//53 med//PP//fixed//53 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//57 prioriteringar//NN|UTR|PLU|IND|NOM//obl//52 .//MAD//punct//52
Till statsrådet Andreas Carlgren;Enligt//PP//case//60 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//52 som//HP|-|-|-//obl//63 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//63 beslutade//VB|PRT|AKT//acl:relcl//60 om//PP//case//67 den//DT|UTR|SIN|DEF//det//67 16//RG|NOM//nummod//67 december//NN|UTR|SIN|IND|NOM//obl//63 2010//RG|NOM//nummod//67 (//PAD//punct//67 dir//NN|AN//appos//67 .//MAD//punct//67
Till statsrådet Andreas Carlgren;2010:135//RG|NOM//nmod//67 )//PAD//punct//21 ska//VB|PRS|AKT//aux//81 beredningen//NN|UTR|SIN|DEF|NOM//nsubj//81 senast//AB|SUV//case//79 den//DT|UTR|SIN|DEF//det//79 31//RG|NOM//nummod//79 mars//NN|UTR|SIN|IND|NOM//nmod//75 2011//RG|NOM//nummod//79 presentera//VB|INF|AKT//conj//21 förslag//NN|NEU|SIN|IND|NOM//obj//81 till//PP//case//85 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//85 etappmål//NN|NEU|PLU|IND|NOM//nmod//82 i//PP//case//87 miljömålssystemet//NN|NEU|SIN|DEF|NOM//nmod//85 .//MAD//punct//21
