– en utvärdering och utveckling av modellen med presumtionshyra;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 hyressättning//NN|UTR|SIN|IND|NOM//nmod//2 vid//PP//case//6 nyproduktion//NN|UTR|SIN|IND|NOM//nmod//4
Till statsrådet och chefen för Justitiedepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//32 är//VB|PRS|AKT//cop//32 därmed//AB//advmod//32 slutfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//13 .//MAD//punct//13
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juli//NN|UTR|SIN|IND|NOM//obl//0 2017//RG|NOM//nummod//0
Till statsrådet och chefen för Justitiedepartementet;Håkan//PM|NOM//nsubj//3 Julius//PM|NOM//flat:name//0 /Susanne//RG|NOM//flat//0 Nilhammer//PM|NOM//ROOT//3

Förteckning över dem som deltagit i utredningens arbete;Särskild//PC|PRF|UTR|SIN|IND|NOM//amod//1 utredare//NN|UTR|SIN|IND|NOM//ROOT//1
Förteckning över dem som deltagit i utredningens arbete;F.d.//AB|AN//amod//1 hyresrådet//NN|NEU|SIN|DEF|NOM//ROOT//1 och//KN//cc//3 chefen//NN|UTR|SIN|DEF|NOM//conj//1 för//PP//case//5 Hyresnämnden//NN|UTR|SIN|DEF|NOM//nmod//3 i//PP//case//7 Stockholm//PM|NOM//nmod//5 Håkan//PM|NOM//conj//1 Julius//PM|NOM//flat:name//8 .//MAD//punct//1
Förteckning över dem som deltagit i utredningens arbete;Sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//0
Förteckning över dem som deltagit i utredningens arbete;Rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//1 Cecilia//PM|NOM//ROOT//1 Johansson//PM|NOM//flat:name//1 (//PAD//punct//1 fr.o.m.//AB|AN//case//7 den//DT|UTR|SIN|DEF//det//7 20//RG|NOM//nummod//7 december//NN|UTR|SIN|IND|NOM//appos//1 2016//RG|NOM//nummod//7 t.o.m.//AB|AN//case//12 den//DT|UTR|SIN|DEF//det//12 21//RG|NOM//nummod//12 april//NN|UTR|SIN|IND|NOM//nmod//7 2017//RG|NOM//nummod//12 )//PAD//punct//7 .//MAD//punct//1
Förteckning över dem som deltagit i utredningens arbete;Rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//1 Katarina//PM|NOM//ROOT//1 Bilge//PM|NOM//flat:name//1 (//PAD//punct//2 fr.o.m.//AB|AN//case//7 den//DT|UTR|SIN|DEF//det//7 21//RG|NOM//nummod//7 april//NN|UTR|SIN|IND|NOM//nmod//1 2017//RG|NOM//nummod//7 )//PAD//punct//1 .//MAD//punct//1
Förteckning över dem som deltagit i utredningens arbete;Experter//NN|UTR|PLU|IND|NOM//ROOT//0 (//PAD//punct//0 fr.o.m.//AB|AN//case//5 den//DT|UTR|SIN|DEF//det//5 20//RG|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//appos//0 2016//RG|NOM//nummod//5 )//PAD//punct//0
Förteckning över dem som deltagit i utredningens arbete;Förhandlingschefen//NN|UTR|SIN|DEF|NOM//nmod//1 Erik//PM|NOM//ROOT//1 Elmgren//PM|NOM//flat:name//1 ,//MID//punct//5 Hyresgästföreningen//NN|UTR|SIN|DEF|NOM//nmod//5 Riksförbundet//NN|NEU|SIN|DEF|NOM//conj//1 .//MAD//punct//1
Förteckning över dem som deltagit i utredningens arbete;Hyresexperten//NN|UTR|SIN|DEF|NOM//nmod//1 Erik//PM|NOM//ROOT//1 Johansson//PM|NOM//flat:name//1 ,//MID//punct//1 SABO//PM|NOM//conj//1 .//MAD//punct//1
Förteckning över dem som deltagit i utredningens arbete;Hyresrådet//NN|NEU|SIN|DEF|NOM//nmod//2 Hans//PM|NOM//nmod//2 G//PM|NOM//ROOT//2 Johansson//PM|NOM//flat:name//2 ,//MID//punct//2 Hyres-//NN|NEU|-|-|SMS//conj//2 och//KN//cc//7 arrendenämnden//NN|NEU|PLU|DEF|NOM//conj//5 i//PP//case//9 Västerås//PM|NOM//nmod//2 .//MAD//punct//2
Förteckning över dem som deltagit i utredningens arbete;Hovrättsrådet//NN|NEU|SIN|DEF|NOM//ROOT//0 ,//MID//punct//0 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 ordföranden//NN|UTR|SIN|DEF|NOM//nmod//4 Kazimir//PM|NOM//conj//0 Åberg//PM|NOM//flat:name//4 ,//MID//punct//7 Svea//PM|GEN//conj//0 hovrätt//NN|UTR|SIN|IND|NOM//conj//0 .//MAD//punct//0
Förteckning över dem som deltagit i utredningens arbete;Chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//11 Marie//PM|NOM//appos//0 Öhrström//PM|NOM//flat:name//11 ,//MID//punct//11 Fastighetsägarna//NN|UTR|PLU|DEF|NOM//nmod//15 Sverige//PM|NOM//conj//11 .//MAD//punct//11
Förteckning över dem som deltagit i utredningens arbete;Utredningssekreterare//NN|UTR|PLU|IND|NOM//ROOT//0
Förteckning över dem som deltagit i utredningens arbete;Tf//NN|UTR|SIN|IND|NOM//discourse//4 .//MAD//punct//0
Förteckning över dem som deltagit i utredningens arbete;hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nsubj//4 Susanne//PM|NOM//flat:name//2 Nilhammer//PM|NOM//nsubj//60 (//PAD//punct//4 fr.o.m.//AB|AN//case//9 den//DT|UTR|SIN|DEF//det//9 16//RG|NOM//nummod//9 januari//NN|UTR|SIN|IND|NOM//obl//13 2017//RG|NOM//nummod//9 )//PAD//punct//9 .//MAD//punct//9
