och Miljökonsekvensbeskrivningar;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Miljöprocessutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
och Miljökonsekvensbeskrivningar;Stockholm//PM|NOM//ROOT//0 2009//RG|NOM//nummod//0

Till statsrådet och chefen för Miljödepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 20//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//1 2007//RG|NOM//nummod//4 (//PAD//punct//4 dir//NN|AN//appos//4 .//MAD//punct//4
Till statsrådet och chefen för Miljödepartementet;2007:94//RG|NOM//obl//1 )//PAD//punct//12 att//IE//mark//12 tillkalla//VB|INF|AKT//acl//9 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 utreda//VB|INF|AKT//acl//17 och//KN//cc//21 föreslå//VB|INF|AKT//conj//19 de//DT|UTR/NEU|PLU|DEF//det//23 organisations-//NN|UTR|-|-|SMS//obj//21 och//KN//cc//25 författningsändringar//NN|UTR|PLU|IND|NOM//conj//23 som//HP|-|-|-//nsubj:pass//27 behövs//VB|PRS|SFO//acl:relcl//25 för//PP//case//31 en//DT|UTR|SIN|IND//det//31 ändrad//PC|PRF|UTR|SIN|IND|NOM//amod//31 instansordning//NN|UTR|SIN|IND|NOM//obl//27 för//PP//case//34 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 mål//NN|NEU|PLU|IND|NOM//nmod//31 och//KN//cc//36 ärenden//NN|NEU|PLU|IND|NOM//conj//34 enligt//PP//case//38 miljöbalken//NN|UTR|SIN|DEF|NOM//nmod//36 och//KN//cc//40 plan-//NN|UTR|-|-|SMS//conj//38 och//KN//cc//42 bygglagen//NN|UTR|SIN|DEF|NOM//conj//38 (//PAD//punct//23 1987:10//RG|NOM//conj//23 ,//MID//punct//46 PBL//PM|NOM//conj//23 )//PAD//punct//12 .//MAD//punct//1
Till statsrådet och chefen för Miljödepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//52 ska//VB|PRS|AKT//aux//52 vidare//AB|KOM//advmod//52 utreda//VB|INF|AKT//conj//1 och//KN//cc//54 föreslå//VB|INF|AKT//conj//52 de//DT|UTR/NEU|PLU|DEF//det//57 processuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 regler//NN|UTR|PLU|IND|NOM//obj//54 som//HP|-|-|-//nsubj:pass//59 behövs//VB|PRS|SFO//acl:relcl//57 för//PP//case//63 den//DT|UTR|SIN|DEF//det//63 ändrade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//63 instansordningen//NN|UTR|SIN|DEF|NOM//obl//59 samt//KN//cc//67 för//PP//case//67 en//DT|UTR|SIN|IND//det//67 samordning//NN|UTR|SIN|IND|NOM//conj//59 av//PP//case//69 miljödomstolarna//NN|UTR|PLU|DEF|NOM//nmod//67 och//KN//cc//71 fastighetsdomstolarna//NN|UTR|PLU|DEF|NOM//conj//69 .//MAD//punct//52
Till statsrådet och chefen för Miljödepartementet;Genom//PP//case//74 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//84 den//DT|UTR|SIN|DEF//det//77 20//RG|NOM//nummod//77 december//NN|UTR|SIN|IND|NOM//nmod//74 2007//RG|NOM//nummod//77 (//PAD//punct//77 dir//NN|AN//nummod//77 .//MID//punct//77
Till statsrådet och chefen för Miljödepartementet;2007:184//RG|NOM//nummod//77 )//PAD//punct//77 vidgades//VB|PRT|SFO//conj//52 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//84 till//PP//mark//88 att//IE//mark//88 omfatta//VB|INF|AKT//advcl//84 bl.a.//AB|AN//advmod//88 behovet//NN|NEU|SIN|DEF|NOM//obj//88 av//PP//case//92 författningsändringar//NN|UTR|PLU|IND|NOM//nmod//90 i//PP//case//97 fråga//NN|UTR|SIN|IND|NOM//fixed//93 om//PP//fixed//93 förnybar//JJ|POS|UTR|SIN|IND|NOM//amod//97 energi//NN|UTR|SIN|IND|NOM//nmod//92 ,//MID//punct//99 vattenverksamheter//NN|UTR|PLU|IND|NOM//conj//97 ,//MID//punct//101 riksintressen//NN|NEU|PLU|IND|NOM//conj//97 enligt//PP//case//105 3//RG|NOM//nummod//104 kap.//NN|AN//nmod//105 miljöbalken//NN|UTR|SIN|IND|NOM//nmod//101 ,//MID//punct//107 miljökonsekvensbeskrivningar//NN|UTR|PLU|IND|NOM//conj//105 samt//KN//cc//109 samordning//NN|UTR|SIN|IND|NOM//conj//105 och//KN//cc//111 samråd//NN|NEU|SIN|IND|NOM//conj//105 i//PP//case//113 prövningsförfarandet//NN|NEU|SIN|DEF|NOM//nmod//111 .//MAD//punct//52
Till statsrådet och chefen för Miljödepartementet;Den//DT|UTR|SIN|DEF//det//117 2//RO|NOM//nummod//117 oktober//NN|UTR|SIN|IND|NOM//conj//52 2008//RG|NOM//nummod//117 beslutade//VB|PRT|AKT//conj//52 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//119 genom//PP//case//122 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//119 (//PAD//punct//122 dir//NN|AN//appos//122 .//MAD//punct//122
Till statsrådet och chefen för Miljödepartementet;2008:119//RG|NOM//appos//122 )//PAD//punct//126 att//IE//mark//129 tillkalla//VB|INF|AKT//advcl//52 ytterligare//AB|KOM//advmod//131 en//DT|UTR|SIN|IND//det//133 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//133 utredare//NN|UTR|SIN|IND|NOM//obj//129 .//MAD//punct//52
Till statsrådet och chefen för Miljödepartementet;I//PP//case//137 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//det//137 tilläggsdirektiven//NN|NEU|PLU|DEF|NOM//obl//138 ändrades//VB|PRT|SFO//conj//52 tidpunkterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//138 för//PP//case//141 redovisning//NN|UTR|SIN|IND|NOM//nmod//139 av//PP//case//143 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//141 .//MAD//punct//1
