Fiskevård i enskilt vatten;–//RG|NOM//punct//2 en//DT|UTR|SIN|IND//det//2 översyn//NN|UTR|SIN|IND|NOM//ROOT//2 av//PP//case//4 lagen//NN|UTR|SIN|DEF|NOM//nmod//2 om//PP//case//6 fiskevårdsområden//NN|NEU|PLU|IND|NOM//nmod//4
Fiskevård i enskilt vatten;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Fiskelagsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Fiskevård i enskilt vatten;Stockholm//PM|NOM//ROOT//0 2009//RG|NOM//nummod//0

Till statsrådet och chefen för Jordbruksdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 4//RO|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2007//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//xcomp//1 en//DT|UTR|SIN|IND//det//9 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//12 att//IE//mark//12 lämna//VB|INF|AKT//advcl//7 förslag//NN|NEU|SIN|IND|NOM//obj//12 till//PP//case//17 en//DT|UTR|SIN|IND//det//17 ny//JJ|POS|UTR|SIN|IND|NOM//amod//17 fiskelagstiftning//NN|UTR|SIN|IND|NOM//nmod//13 .//MAD//punct//1
Till statsrådet och chefen för Jordbruksdepartementet;Den//DT|UTR|SIN|DEF//det//21 15//RG|NOM//nummod//21 november//NN|UTR|SIN|IND|NOM//obl//1 2007//RG|NOM//nummod//21 förordnade//VB|PRT|AKT//conj//1 statsrådet//NN|NEU|SIN|DEF|NOM//nsubj//23 Erlandsson//PM|NOM//obj//23 ämnessakkunnige//AB//amod//27 Mats//PM|NOM//nsubj//23 Denninger//PM|NOM//flat:name//27 som//KN//mark//31 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//31 utredare//NN|UTR|SIN|IND|NOM//xcomp//23 .//MAD//punct//1
Till statsrådet och chefen för Jordbruksdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 antog//VB|PRT|AKT//ROOT//1 namnet//NN|NEU|SIN|DEF|NOM//nmod//3 Fiskelagsutredningen//NN|UTR|SIN|DEF|NOM//obj//1 .//MAD//punct//1
Till statsrådet och chefen för Jordbruksdepartementet;Experter//NN|UTR|PLU|IND|NOM//nsubj//1 biträder//VB|PRS|AKT//ROOT//1 utredningen//NN|UTR|SIN|DEF|NOM//obj//1 .//MAD//punct//1
Till statsrådet och chefen för Jordbruksdepartementet;Experter//NN|UTR|PLU|IND|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 projektledaren//NN|UTR|SIN|DEF|NOM//nmod//7 Bengt//PM|NOM//nmod//18 Almkvist//PM|NOM//flat:name//7 (//PAD//punct//7 Skärgårdarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//11 Riksförbund//NN|NEU|SIN|IND|NOM//appos//7 )//PAD//punct//7 ,//MID//punct//7 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//15 Magnus//PM|NOM//conj//7 Blümer//PM|NOM//flat:name//15 (//PAD//punct//16 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//parataxis//1 )//PAD//punct//18 ,//MID//punct//22 fiskevårdskonsulenten//NN|UTR|SIN|DEF|NOM//nmod//22 Håkan//PM|NOM//conj//18 Carlstrand//PM|NOM//flat:name//22 (//PAD//punct//22 Sveriges//PM|GEN//nmod:poss//26 Sportfiske-//NN|UTR|-|-|SMS//appos//22 och//KN//cc//28 fiskevårdsförbund//NN|UTR|SIN|IND|NOM//conj//26 )//PAD//punct//22 ,//MID//punct//32 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//32 Bengt//PM|NOM//conj//18 Högberg//PM|NOM//flat:name//32 (//PAD//punct//32 Fiskeriverket//PM|NOM//appos//32 )//PAD//punct//32 ,//MID//punct//39 kommittéordföranden//NN|UTR|SIN|DEF|NOM//nmod//39 Reine//PM|NOM//conj//18 J.//PM|NOM//flat:name//39 Johansson//PM|NOM//flat:name//39 (//PAD//punct//39 SFR//PM|NOM//appos//39 )//PAD//punct//39 ,//MID//punct//48 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//48 förbundsordförande//NN|UTR|SIN|IND|NOM//amod//48 Tore//PM|NOM//conj//18 Johnsson//PM|NOM//flat:name//48 (//PAD//punct//48 SFR//PM|NOM//appos//48 )//PAD//punct//48 ,//MID//punct//55 ämnessakkunnige//JJ|POS|MAS|SIN|DEF|NOM//advmod//55 Ingela//PM|NOM//conj//18 Sundelin//PM|NOM//flat:name//55 (//PAD//punct//56 Miljödepartementet//NN|NEU|SIN|DEF|NOM//appos//56 )//PAD//punct//55 ,//MID//punct//62 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//62 Anna//PM|NOM//conj//18 Larson//PM|NOM//flat:name//62 (//PAD//punct//65 Jordbruksdepartementet//NN|NEU|SIN|DEF|NOM//appos//18 )//PAD//punct//65 ,//MID//punct//69 fiskedirektören//NN|UTR|SIN|DEF|NOM//nmod//69 Olof//PM|NOM//conj//18 Lessmark//PM|NOM//flat:name//69 (//PAD//punct//72 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//appos//69 )//PAD//punct//72 ,//MID//punct//69 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//76 koordinatorn//NN|UTR|SIN|DEF|NOM//nmod//77 Inger//PM|NOM//conj//18 Näslund//PM|NOM//flat:name//77 (//PAD//punct//77 WWF//PM|NOM//appos//77 )//PAD//punct//77 ,//MID//punct//84 marinbiologen//NN|UTR|SIN|DEF|NOM//nmod//84 Ingemar//PM|NOM//conj//18 Olsson//PM|NOM//flat:name//84 (//PAD//punct//87 SKIFO//PM|NOM//conj//18 )//PAD//punct//87 ,//MID//punct//18 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//18 Marika//PM|NOM//nsubj//90 Pock//PM|NOM//flat//91 (//PAD//punct//94 Jordbruksdepartementet//NN|NEU|SIN|DEF|NOM//appos//90 )//PAD//punct//94 ,//MID//punct//90 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//98 Bengt//PM|NOM//conj//18 Strömblom//PM|NOM//flat:name//98 (//PAD//punct//98 Fiskeriverket//PM|NOM//appos//98 )//PAD//punct//98 ,//MID//punct//18 länsfiskekonsulenten//NN|UTR|SIN|DEF|NOM//nmod//105 Ivar//PM|NOM//conj//18 Sundvisson//PM|NOM//flat:name//105 (//PAD//punct//108 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//appos//105 )//PAD//punct//108 ,//MID//punct//105 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//112 Sara//PM|NOM//conj//18 Thörngren//PM|NOM//flat:name//112 (//PAD//punct//115 Kustbevakningen//PM|NOM//appos//18 )//PAD//punct//115 ,//MID//punct//118 förbundsdirektören//NN|UTR|SIN|DEF|NOM//conj//18 Börje//PM|NOM//nsubj//118 Waldebring//PM|NOM//flat//119 (//PAD//punct//118 Sveriges//PM|GEN//nmod:poss//123 fiskevattenägareförbund//NN|NEU|SIN|IND|NOM//appos//118 )//PAD//punct//118 ,//MID//punct//127 juristen//NN|UTR|SIN|DEF|NOM//nmod//127 Helen//PM|NOM//conj//18 Lindgren//PM|NOM//flat:name//127 (//PAD//punct//130 Naturvårdsverket//NN|NEU|SIN|DEF|NOM//appos//127 )//PAD//punct//127 och//KN//cc//134 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//134 Rickard//PM|NOM//conj//18 Vesterberg//PM|NOM//flat:name//134 (//PAD//punct//137 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//appos//134 )//PAD//punct//137 .//MAD//punct//18
Till statsrådet och chefen för Jordbruksdepartementet;Hovrättsassessorerna//NN|UTR|PLU|DEF|NOM//nmod//1 Nina//PM|NOM//nsubj//15 Nordengren//PM|NOM//flat:name//1 ,//MID//punct//4 Marie//PM|NOM//conj//1 Wettersten//PM|NOM//flat//4 och//KN//cc//7 Maria//PM|NOM//conj//4 Broberg//PM|NOM//flat:name//7 samt//KN//cc//11 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//11 Martin//PM|NOM//conj//1 Rydgren//PM|NOM//flat:name//11 har//VB|PRS|AKT//aux//15 varit//VB|SUP|AKT//cop//15 sekreterare//NN|UTR|SIN|IND|NOM//ROOT//15 i//PP//case//17 utredningen//NN|UTR|SIN|DEF|NOM//nmod//15 .//MAD//punct//15
Till statsrådet och chefen för Jordbruksdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 överlämna//VB|INF|AKT//ROOT//2 sitt//PS|NEU|SIN|DEF//nmod:poss//4 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//2 senast//AB|SUV//case//8 den//DT|UTR|SIN|DEF//det//8 31//RG|NOM//nummod//8 mars//NN|UTR|SIN|IND|NOM//obl//2 2010//RG|NOM//nummod//8 .//MAD//punct//2
