Sammanfattning av uppdraget (1);En//DT|UTR|SIN|IND//det//2 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 kommitté//NN|UTR|SIN|IND|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 följa//VB|INF|AKT//ROOT//4 den//DT|UTR|SIN|DEF//det//7 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//4 i//PP//case//9 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//7 .//MAD//punct//4
1991 och 1992 års beslut om reformeringen av gymnasieskolan;De//DT|UTR/NEU|PLU|DEF//det//63 ca//AB|AN//advmod//61 500//RG|NOM//nummod//63 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 studievägarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//70 i//PP//case//67 form//NN|UTR|SIN|IND|NOM//fixed//64 av//PP//fixed//64 linjer//NN|UTR|PLU|IND|NOM//nmod//63 och//KN//cc//69 specialkurser//NN|UTR|PLU|IND|NOM//conj//67 ersätts//VB|PRS|SFO//conj//19 av//PP//case//74 16//RG|NOM//nummod//74 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 program//NN|NEU|PLU|IND|NOM//obl:agent//70 ,//MID//punct//77 specialutformade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//77 program//NN|NEU|PLU|IND|NOM//conj//74 ,//MID//punct//80 individuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 program//NN|NEU|PLU|IND|NOM//conj//74 ,//MID//punct//82 lärlingsutbildning//NN|UTR|SIN|IND|NOM//conj//74 samt//KN//cc//84 påbyggnadsutbildningar//NN|UTR|PLU|IND|NOM//conj//74 i//PP//case//86 komvux//NN|-|-|-|-//nmod//84 .//MAD//punct//70
1991 och 1992 års beslut om reformeringen av gymnasieskolan;Varje//DT|UTR/NEU|SIN|IND//det//89 kommun//NN|UTR|SIN|IND|NOM//nsubj//91 är//VB|PRS|AKT//cop//91 skyldig//JJ|POS|UTR|SIN|IND|NOM//conj//8 att//IE//mark//93 erbjuda//VB|INF|AKT//advcl//91 alla//DT|UTR/NEU|PLU|IND/DEF//det//95 ungdomar//NN|UTR|PLU|IND|NOM//obj//93 i//PP//case//97 kommunen//NN|UTR|SIN|DEF|NOM//nmod//95 fram//AB//advmod//104 till//AB//case//104 och//KN//fixed//99 med//AB//fixed//99 det//DT|NEU|SIN|DEF//det//104 första//RO|NOM//amod//104 kalender//NN|UTR|SIN|IND|NOM//obl//93 -//MID//punct//91 halvåret//NN|NEU|SIN|DEF|NOM//appos//91 det//DT|NEU|SIN|DEF//det//108 år//NN|NEU|SIN|IND|NOM//obl//91 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//110 fyller//VB|PRS|AKT//acl:relcl//108 20//RG|NOM//nummod//112 år//NN|NEU|PLU|IND|NOM//nmod//113 möjlighet//NN|UTR|SIN|IND|NOM//obj//110 att//IE//mark//115 påbörja//VB|INF|AKT//acl//113 utbildning//NN|UTR|SIN|IND|NOM//obj//115 på//PP//case//119 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//119 program//NN|NEU|PLU|IND|NOM//nmod//116 antingen//KN//cc//124 i//PP//case//124 den//DT|UTR|SIN|DEF//det//124 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//124 kommunen//NN|UTR|SIN|DEF|NOM//conj//116 eller//KN//cc//127 genom//PP//case//127 avtal//NN|NEU|PLU|IND|NOM//conj//124 i//PP//case//130 annan//JJ|POS|UTR|SIN|IND|NOM//amod//130 kommun//NN|UTR|SIN|IND|NOM//nmod//127 .//MAD//punct//8
1991 och 1992 års beslut om reformeringen av gymnasieskolan;De//DT|UTR/NEU|PLU|DEF//det//134 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//134 programmen//NN|NEU|PLU|DEF|NOM//nsubj//137 är//VB|PRS|AKT//cop//137 alla//DT|UTR/NEU|PLU|IND/DEF//det//137 treåriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//8 och//KN//cc//139 innehåller//VB|PRS|AKT//conj//137 en//DT|UTR|SIN|IND//det//142 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//142 kärna//NN|UTR|SIN|IND|NOM//obj//139 av//PP//case//145 åtta//RG|NOM//nummod//145 ämnen//NN|NEU|PLU|IND|NOM//nmod//142 .//MAD//punct//8
1991 och 1992 års beslut om reformeringen av gymnasieskolan;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//148 innebär//VB|PRS|AKT//parataxis//8 en//DT|UTR|SIN|IND//det//151 betydligt//AB//amod//151 höjd//PC|PRF|UTR|SIN|IND|NOM//obj//148 amb//UO//amod//153 itionsnivå//NN|UTR|SIN|IND|NOM//obj//148 för//PP//case//157 de//DT|UTR/NEU|PLU|DEF//det//157 yrkesförberedande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//157 utbildningarna//NN|UTR|PLU|DEF|NOM//nmod//153 ,//MID//punct//157 som//HP|-|-|-//nsubj:pass//161 härigenom//AB//advmod//161 förlängs//VB|PRS|SFO//acl:relcl//157 från//PP//case//163 två//RG|NOM//nummod//166 till//PP//case//166 tre//RG|NOM//nummod//166 år//NN|NEU|PLU|IND|NOM//obl//161 .//MAD//punct//148
1991 och 1992 års beslut om reformeringen av gymnasieskolan;Respektive//AB//cc//1 kommun//NN|UTR|SIN|IND|NOM//nsubj//2 avgör//VB|PRS|AKT//ROOT//2 tidpunkten//NN|UTR|SIN|DEF|NOM//obj//2 för//PP//case//5 övergången//NN|UTR|SIN|DEF|NOM//nmod//3 till//PP//case//10 den//DT|UTR|SIN|DEF//det//10 ny//JJ|POS|UTR|SIN|IND|NOM//amod//10 a//PP//nummod//10 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//5 inom//PP//case//17 ramen//NN|UTR|SIN|DEF|NOM//fixed//11 för//PP//fixed//11 den//DT|UTR|SIN|DEF//det//17 fastställda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//17 fyraåriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 genomförande//NN|NEU|SIN|IND|NOM//obl//2 -//MID//punct//17 perioden//NN|UTR|SIN|DEF|NOM//conj//17 .//MAD//punct//2
1991 och 1992 års beslut om reformeringen av gymnasieskolan;De//DT|UTR/NEU|PLU|DEF//det//23 första//RO|NOM//amod//23 eleverna//NN|UTR|PLU|DEF|NOM//nsubj:pass//26 på//PP//case//25 program//NN|NEU|SIN|IND|NOM//nmod//23 togs//VB|PRT|SFO//parataxis//2 således//AB//advmod//26 in//PL//compound:prt//26 hösten//NN|UTR|SIN|DEF|NOM//obl//26 1992//RG|NOM//nummod//26 .//MAD//punct//2
1991 och 1992 års beslut om reformeringen av gymnasieskolan;Innevarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 läsår//NN|NEU|SIN|IND|NOM//nsubj//34 går//VB|PRS|AKT//parataxis//2 drygt//AB|POS//advmod//36 90//RG|NOM//nummod//37 000//RG|NOM//nummod//38 elever//NN|UTR|PLU|IND|NOM//nsubj//34 sitt//PS|NEU|SIN|DEF//nmod:poss//41 första//RO|NOM//amod//41 gymnasieår//NN|NEU|SIN|IND|NOM//obj//34 på//PP//case//44 et//UO//nmod//44 t//UO//obl//34 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//46 program//NN|NEU|SIN|IND|NOM//nmod//44 .//MAD//punct//2
1991 och 1992 års beslut om reformeringen av gymnasieskolan;Kommunerna//NN|UTR|PLU|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 nu//AB//advmod//1 stor//JJ|POS|UTR|SIN|IND|NOM//amod//4 frihet//NN|UTR|SIN|IND|NOM//obj//1 att//IE//mark//7 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 planera//VB|INF|AKT//acl//4 sin//PS|UTR|SIN|DEF//nmod:poss//9 utbildning//NN|UTR|SIN|IND|NOM//obj//7 .//MAD//punct//1
1991 och 1992 års beslut om reformeringen av gymnasieskolan;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//12 innebär//VB|PRS|AKT//parataxis//1 dels//KN//advmod//12 att//SN//mark//24 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 kommuner//NN|UTR|PLU|IND|NOM//nsubj//24 ,//MID//punct//16 som//HP|-|-|-//nsubj//21 tidigare//AB|KOM//advmod//21 inte//AB//advmod//21 haft//VB|SUP|AKT//acl:relcl//16 gymnasieskola//NN|UTR|SIN|IND|NOM//nsubj//24 kan//VB|PRS|AKT//aux//24 starta//VB|INF|AKT//ccomp//12 en//DT|UTR|SIN|IND//det//26 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//obj//24 ,//MID//punct//32 dels//KN//advmod//32 att//SN//mark//32 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 kommuner//NN|UTR|PLU|IND|NOM//nsubj:pass//32 stimuleras//VB|PRS|SFO//conj//24 att//IE//mark//34 utveckla//VB|INF|AKT//xcomp//32 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//36 gymnasieskolor//NN|UTR|PLU|IND|NOM//obj//34 .//MID//punct//12
1991 och 1992 års beslut om reformeringen av gymnasieskolan;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//39 sker//VB|PRS|AKT//parataxis//12 såväl//KN//advmod//46 inom//PP//case//46 ramen//NN|UTR|SIN|DEF|NOM//fixed//41 för//PP//fixed//41 de//DT|UTR/NEU|PLU|DEF//det//46 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 programmen//NN|NEU|PLU|DEF|NOM//obl//39 och//KN//cc//50 de//DT|UTR/NEU|PLU|DEF//nsubj//50 nationellt//AB|POS//advmod//50 beslutade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//39 grenarna//NN|UTR|PLU|DEF|NOM//obj//50 och//KN//cc//53 kurserna//NN|UTR|PLU|DEF|NOM//conj//51 ,//MID//punct//50 som//HP|-|-|-//case//58 genom//PP//case//58 en//DT|UTR|SIN|IND//det//58 utveckling//NN|UTR|SIN|IND|NOM//obl//50 av//PP//case//61 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 grenar//NN|UTR|PLU|IND|NOM//nmod//58 och//KN//cc//64 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 kurser//NN|UTR|PLU|IND|NOM//conj//61 .//MAD//punct//39
