Utredningsuppdraget;Utredningsförslaget//NN|NEU|SIN|DEF|NOM//nsubj//1 syftar//VB|PRS|AKT//ROOT//1 till//PP//case//4 en//DT|UTR|SIN|IND//det//4 reformering//NN|UTR|SIN|IND|NOM//obl//1 av//PP//case//6 sotningsväsendet//NN|NEU|SIN|DEF|NOM//nmod//4 som//HP|-|-|-//nsubj//10 bl.a.//AB|AN//advmod//10 skall//VB|PRS|AKT//aux//10 leda//VB|INF|AKT//acl:relcl//6 till//PP//case//13 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//13 valfrihet//NN|UTR|SIN|IND|NOM//obl//10 och//KN//cc//15 flexibilitet//NN|UTR|SIN|IND|NOM//conj//13 och//KN//cc//19 ett//DT|NEU|SIN|IND//det//19 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//19 ansvar//NN|NEU|SIN|IND|NOM//conj//13 för//PP//case//21 ägare//NN|UTR|PLU|IND|NOM//nmod//19 och//KN//cc//23 innehavare//NN|UTR|PLU|IND|NOM//conj//21 av//PP//case//25 byggnader//NN|UTR|PLU|IND|NOM//nmod//23 eller//KN//cc//28 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 anläggningar//NN|UTR|PLU|IND|NOM//conj//25 när//HA//case//32 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//29 gäller//VB|PRS|AKT//fixed//29 sotningsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//19 .//MAD//punct//1
Utredningsuppdraget;Därutöver//AB//advmod//37 skall//VB|PRS|AKT//aux//37 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//37 möjliggöra//VB|INF|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//40 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//40 konkurrens//NN|UTR|SIN|IND|NOM//obj//37 inom//PP//case//42 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//40 .//MAD//punct//37
Utredningsuppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//48 skall//VB|PRS|AKT//aux//48 inte//AB//advmod//48 heller//AB//advmod//48 finnas//VB|INF|SFO//conj//37 något//DT|NEU|SIN|IND//det//51 lagfäst//PC|PRF|NEU|SIN|IND|NOM//amod//51 krav//NN|NEU|SIN|IND|NOM//xcomp//48 på//PP//mark//54 att//SN//mark//54 imkanaler//NN|UTR|PLU|IND|NOM//advcl//48 i//PP//case//56 bostadskök//NN|NEU|PLU|IND|NOM//obl//54 och//KN//cc//59 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//59 utrymmen//NN|NEU|PLU|IND|NOM//conj//56 skall//VB|PRS|AKT//aux//61 sotas//VB|INF|SFO//conj//48 och//KN//cc//63 kontrolleras//VB|INF|SFO//conj//61 regelbundet//AB//advmod//61 .//MAD//punct//37

Nuvarande system för sotning och brandskyddskontroll;Sotningsväsendet//NN|NEU|SIN|DEF|NOM//nsubj:pass//1 bedrivs//VB|PRS|SFO//ROOT//1 för//PP//case//3 närvarande//NN|NEU|SIN|IND|NOM//obl//1 enligt//PP//case//5 bestämmelser//NN|UTR|PLU|IND|NOM//obl//1 i//PP//case//7 räddningstjänstlagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//5 i//PP//case//10 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//10 regi//NN|UTR|SIN|IND|NOM//nmod//7 av//PP//case//12 kommunen//NN|UTR|SIN|DEF|NOM//nmod//10 ,//MID//punct//16 som//HP|-|-|-//nsubj//16 skall//VB|PRS|AKT//aux//16 svara//VB|INF|AKT//acl:relcl//5 för//PP//mark//25 att//SN//mark//25 sotning//NN|UTR|SIN|IND|NOM//nsubj:pass//25 (//PAD//punct//21 rengöring//NN|UTR|SIN|IND|NOM//appos//19 )//PAD//punct//21 av//PP//case//24 eldningsanläggningar//NN|UTR|PLU|IND|NOM//nmod//19 utförs//VB|PRS|SFO//ccomp//16 regelbundet//AB//xcomp//25 och//KN//cc//31 att//SN//mark//31 en//DT|UTR|SIN|IND//det//30 kontroll//NN|UTR|SIN|IND|NOM//nsubj:pass//31 görs//VB|PRS|SFO//conj//25 från//PP//case//33 brandskyddssynpunkt//NN|UTR|SIN|IND|NOM//obl//31 av//PP//case//35 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//33 som//HP|-|-|-//nsubj:pass//37 rengörs//VB|PRS|SFO//acl:relcl//35 och//KN//cc//41 av//PP//case//41 anslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 byggnadsdelar//NN|UTR|PLU|IND|NOM//conj//37 .//MAD//punct//1
Nuvarande system för sotning och brandskyddskontroll;I//PP//mark//47 samband//NN|NEU|SIN|IND|NOM//fixed//43 med//PP//case//46 sotningen//NN|UTR|SIN|DEF|NOM//fixed//43 genomförs//VB|PRS|SFO//parataxis//1 också//AB//advmod//47 en//DT|UTR|SIN|IND//det//50 rengöring//NN|UTR|SIN|IND|NOM//nsubj:pass//47 av//PP//case//52 imkanaler//NN|NEU|PLU|IND|NOM//nmod//50 och//KN//cc//55 en//DT|UTR|SIN|IND//det//55 brandskyddskontroll//NN|UTR|SIN|IND|NOM//conj//50 av//PP//case//57 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nmod//55 .//MAD//punct//47
Nuvarande system för sotning och brandskyddskontroll;Rengöringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//63 och//KN//cc//61 kontrollen//NN|UTR|SIN|DEF|NOM//conj//59 skall//VB|PRS|AKT//aux//63 utföras//VB|INF|SFO//parataxis//47 av//PP//case//65 en//PN|UTR|SIN|IND|SUB/OBJ//obl:agent//63 av//PP//case//67 kommunen//NN|UTR|SIN|DEF|NOM//obl//68 utsedd//PC|PRF|UTR|SIN|IND|NOM//amod//69 skorstensfejarmästare//NN|UTR|SIN|IND|NOM//nmod//65 eller//KN//cc//73 av//PP//case//73 ett//DT|NEU|SIN|IND//det//73 biträde//NN|NEU|SIN|IND|NOM//conj//69 till//PP//case//75 denne//PN|MAS|SIN|DEF|SUB/OBJ//nmod//73 .//MAD//punct//47
Nuvarande system för sotning och brandskyddskontroll;(//PAD//punct//80 Det//DT|NEU|SIN|DEF//det//80 s.k.//AB|AN//amod//80 sotningsmonopolet//NN|NEU|SIN|DEF|NOM//parataxis//47 .//MAD//punct//47 )//PAD//punct//47
Nuvarande system för sotning och brandskyddskontroll;Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 räddningsverk//NN|NEU|SIN|IND|NOM//nsubj//5 (//PAD//punct//3 Räddningsverket//NN|NEU|SIN|DEF|NOM//appos//1 )//PAD//punct//3 meddelar//VB|PRS|AKT//ROOT//5 frister//NN|UTR|PLU|IND|NOM//obj//5 för//PP//case//11 hur//HA//advmod//9 ofta//AB|POS//advmod//11 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 typer//NN|UTR|PLU|IND|NOM//nsubj:pass//17 av//PP//case//13 eldningsanläggningar//NN|UTR|PLU|IND|NOM//nmod//11 och//KN//cc//15 imkanaler//NN|NEU|PLU|IND|NOM//conj//13 skall//VB|PRS|AKT//aux//17 rengöras//VB|INF|SFO//advcl//5 .//MAD//punct//20
Nuvarande system för sotning och brandskyddskontroll;Kommunfullmäktige//NN|UTR|PLU|DEF|NOM//nsubj//20 beslutar//VB|PRS|AKT//xcomp//17 om//PP//case//22 avgifter//NN|UTR|PLU|IND|NOM//obl//20 för//PP//case//24 rengöringen//NN|UTR|SIN|DEF|NOM//nmod//22 och//KN//cc//26 brandskyddskontrollen//NN|UTR|SIN|DEF|NOM//conj//24 .//MAD//punct//5
Nuvarande system för sotning och brandskyddskontroll;Sotningsverksamheten//NN|UTR|SIN|DEF|NOM//nsubj//29 har//VB|PRS|AKT//parataxis//5 karaktär//NN|UTR|SIN|IND|NOM//obj//29 av//PP//case//32 myndighetsutövning//NN|UTR|SIN|IND|NOM//nmod//30 med//PP//case//35 bl.a.//AB|AN//advmod//35 rätt//NN|UTR|SIN|IND|NOM//obl//29 för//PP//case//37 sotningsförrättaren//NN|UTR|SIN|DEF|NOM//nmod//35 till//PP//case//39 tillträde//NN|NEU|SIN|IND|NOM//nmod//37 till//PP//case//41 rengöringsobjektet//NN|NEU|SIN|DEF|NOM//nmod//39 ,//MID//punct//43 utfärdande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//29 av//PP//case//45 förelägganden//NN|NEU|PLU|IND|NOM//obl:agent//43 och//KN//cc//47 beslut//NN|NEU|PLU|IND|NOM//conj//45 om//PP//case//49 nyttjandeförbud//NN|NEU|SIN|IND|NOM//nmod//47 .//MAD//punct//29
