
Pågående förstudier Avslutade förstudier;-//MID//punct//4 Nej//IN//cc//4 till//PP//case//4 fortsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 undersökningar//NN|UTR|PLU|IND|NOM//ROOT//4
4.2 Miljöbalken;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//15 i//PP//case//2 naturresurslagen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 hushållning//NN|UTR|SIN|IND|NOM//nmod//0 med//PP//case//6 mark//NN|UTR|SIN|IND|NOM//nmod//4 och//KN//cc//8 vatten//NN|NEU|SIN|IND|NOM//conj//6  //_SP////8 har//VB|PRS|AKT//amod//0 utan//PP//case//12 ändringar//NN|UTR|PLU|IND|NOM//obl//10 i//PP//advmod//15 sak//NN|UTR|SIN|IND|NOM//fixed//13 förts//VB|SUP|SFO//ROOT//15 över//PL//compound:prt//15 till//PP//case//18 miljöbalken//NN|UTR|SIN|DEF|NOM//obl//15 .//MAD//punct//15
4.2 Miljöbalken;Syftet//NN|NEU|SIN|DEF|NOM//obj//15 med//PP//case//22 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//20 är//VB|PRS|AKT//cop//20 att//SN//mark//29 mark-//NN|UTR|-|-|SMS//nsubj:pass//29 och//KN//cc//27 vattenområden//NN|NEU|PLU|IND|NOM//conj//25 skall//VB|PRS|AKT//aux//29 användas//VB|INF|SFO//ccomp//23 för//PP//case//32 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//32 ändamål//NN|NEU|PLU|IND|NOM//obl//29 för//PP//case//34 vilka//HP|UTR/NEU|PLU|IND//obl//38 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//38 är//VB|PRS|AKT//cop//38 mest//AB|SUV//advmod//38 lämpade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//29 .//MAD//punct//20
4.2 Miljöbalken;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 slag//NN|NEU|PLU|IND|NOM//appos//20 av//PP//case//43 områden//NN|NEU|PLU|IND|NOM//nmod//41 ,//MID//punct//43 särskilt//AB//advmod//46 sådana//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//41 som//HP|-|-|-//nsubj//48 är//VB|PRS|AKT//acl:relcl//46 av//PP//case//50 riksintresse//NN|NEU|SIN|IND|NOM//obl//48 för//PP//case//53 ett//DT|NEU|SIN|IND//det//53 antal//NN|NEU|SIN|IND|NOM//nmod//55 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//55 ändamål//NN|NEU|PLU|IND|NOM//nmod//50 ,//MID//punct//58 skall//VB|PRS|AKT//aux//58 åtnjuta//VB|INF|AKT//conj//15 skydd//NN|NEU|SIN|IND|NOM//obj//58 (//PAD//punct//58 3//RG|NOM//nummod//62 kap.//NN|AN//appos//58 )//PAD//punct//58 .//MAD//punct//15
4.2 Miljöbalken;Vidare//AB|KOM//advmod//66 innebär//VB|PRS|AKT//parataxis//15 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//66 långtgående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//69 restriktioner//NN|UTR|PLU|IND|NOM//obj//66 för//PP//case//71 exploateringsföretag//NN|NEU|PLU|IND|NOM//nmod//69 och//KN//cc//74 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 ingrepp//NN|NEU|PLU|IND|NOM//conj//71 i//PP//case//76 miljön//NN|UTR|SIN|DEF|NOM//nmod//74 i//PP//case//78 delar//NN|UTR|PLU|IND|NOM//nmod//76 av//PP//case//80 landet//NN|NEU|SIN|DEF|NOM//nmod//78 ,//MID//punct//66 bl.a.//AB|AN//advmod//84 i//PP//case//84 fjällvärlden//NN|UTR|SIN|DEF|NOM//obl//66 ,//MID//punct//66 i//PP//case//88 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 kustområden//NN|NEU|PLU|IND|NOM//obl//66 och//KN//cc//90 älvdalar//NN|UTR|PLU|IND|NOM//conj//88 ,//MID//punct//95 kring//PP//case//95 några//DT|UTR/NEU|PLU|IND//det//95 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 sjöar//NN|UTR|PLU|IND|NOM//conj//88 samt//KN//cc//98 på//PP//case//98 Gotland//PM|NOM//conj//95 och//KN//cc//100 Ö//PM|NOM//conj//98 land//NN|NEU|SIN|IND|NOM//conj//98 (//PAD//punct//95 4//RG|NOM//nummod//104 kap.//NN|AN//appos//95 )//PAD//punct//66 .//MAD//punct//66
4.2 Miljöbalken;Ett//DT|NEU|SIN|IND//det//3 helt//AB|POS//advmod//2 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//3 inslag//NN|NEU|SIN|IND|NOM//nsubj//8 i//PP//case//5 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//3 är//VB|PRS|AKT//cop//8 miljöbalkens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 bestämmelser//NN|UTR|PLU|IND|NOM//ROOT//8 om//PP//case//10 miljökvalitetsnormer//NN|UTR|PLU|IND|NOM//nmod//8  //_SP////10 (//PAD//punct//8 5//RG|NOM//nummod//14 kap.//NN|AN//appos//8 )//PAD//punct//8 .//MAD//punct//8
4.2 Miljöbalken;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//18 får//VB|PRS|AKT//parataxis//8 för//PP//case//21 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 områden//NN|NEU|PLU|IND|NOM//obl//18 eller//KN//cc//24 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 landet//NN|NEU|SIN|DEF|NOM//conj//21 fastställa//VB|INF|AKT//conj//18 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//27 normer//NN|UTR|PLU|IND|NOM//obj//25 ,//MID//punct//33 och//KN//cc//33 i//PP//case//31 normerna//NN|UTR|PLU|DEF|NOM//obl//33 skall//VB|PRS|AKT//aux//33 anges//VB|INF|SFO//conj//18 tillåtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//35 nivåer//NN|UTR|PLU|IND|NOM//obj//33 på//PP//case//37 föroreningar//NN|UTR|PLU|IND|NOM//obl//33 eller//KN//cc//39 störningar//NN|UTR|PLU|IND|NOM//conj//37 .//MAD//punct//18
4.2 Miljöbalken;Av//PP//case//2 stor//JJ|POS|UTR|SIN|IND|NOM//amod//2 betydelse//NN|UTR|SIN|IND|NOM//obl//54 för//PP//case//6 den//DT|UTR|SIN|DEF//det//6 kommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 behandlingen//NN|UTR|SIN|DEF|NOM//nmod//2 av//PP//case//8 frågor//NN|UTR|PLU|IND|NOM//nmod//6 om//PP//case//10 förvaring//NN|UTR|SIN|IND|NOM//nmod//8 av//PP//case//12 kärnavfall//NN|NEU|SIN|IND|NOM//nmod//10 är//VB|PRS|AKT//cop//2 miljöbalkens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//2 om//PP//case//17 miljökonsekvensbeskrivningar//NN|UTR|PLU|IND|NOM//nmod//15  //_SP////17 och//KN//cc//21 annat//JJ|POS|NEU|SIN|IND|NOM//amod//21 beslutsunderlag//NN|NEU|SIN|IND|NOM//conj//17 (//PAD//punct//21 6//RG|NOM//nummod//24 kap.//NN|AN//appos//21 )//PAD//punct//2 .//MAD//punct//2
4.2 Miljöbalken;Redan//AB//advmod//28 tidigare//AB|KOM//advmod//29 har//VB|PRS|AKT//acl//2 i//PP//case//31 naturresurslagen//NN|UTR|SIN|DEF|NOM//obl//29 och//KN//cc//33 miljöskyddslagen//NN|UTR|SIN|DEF|NOM//conj//31 m.fl.//AB|AN//conj//29 lagar//NN|UTR|PLU|IND|NOM//nsubj//36 funnits//VB|SUP|SFO//conj//29 bestämmelser//NN|UTR|PLU|IND|NOM//obj//36 om//PP//mark//44 att//SN//mark//44 ansökningar//NN|UTR|PLU|IND|NOM//nsubj//44 om//PP//case//42 tillstånd//NN|NEU|SIN|IND|NOM//nmod//40 skall//VB|PRS|AKT//aux//44 innehålla//VB|INF|AKT//acl//37 en//DT|UTR|SIN|IND//det//46 miljökonsekvensbeskrivning//NN|UTR|SIN|IND|NOM//obj//44 (//PAD//punct//46 MKB//PM|NOM//appos//46 )//PAD//punct//46 .//MAD//punct//2
4.2 Miljöbalken;De//DT|UTR/NEU|PLU|DEF//det//53 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//54 innebär//VB|PRS|AKT//ROOT//54 en//DT|UTR|SIN|IND//det//56 skärpning//NN|UTR|SIN|IND|NOM//obj//54 och//KN//cc//58 utvidgning//NN|UTR|SIN|IND|NOM//conj//56 av//PP//case//61 dessa//DT|UTR/NEU|PLU|DEF//det//61 krav//NN|NEU|PLU|IND|NOM//nmod//58 .//MAD//punct//54
4.2 Miljöbalken;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//66 är//VB|PRS|AKT//cop//66 liksom//PP//mark//66 tidigare//AB|KOM//parataxis//54 att//IE//mark//68 möjliggöra//VB|INF|AKT//advcl//66 en//DT|UTR|SIN|IND//det//71 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//71 bedömning//NN|UTR|SIN|IND|NOM//obj//68 av//PP//case//73 effekterna//NN|UTR|PLU|DEF|NOM//nmod//71 på//PP//case//76 människors//NN|UTR|PLU|IND|GEN//nmod:poss//76 hälsa//NN|UTR|SIN|IND|NOM//nmod//73 och//KN//cc//78 miljön//NN|UTR|SIN|DEF|NOM//conj//73 av//PP//case//82 en//DT|UTR|SIN|IND//det//82 planerad//PC|PRF|UTR|SIN|IND|NOM//amod//82 verksamhet//NN|UTR|SIN|IND|NOM//nmod//78 eller//KN//cc//84 åtgärd//NN|UTR|SIN|IND|NOM//conj//82 .//MAD//punct//66
4.2 Miljöbalken;Miljöbalkens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//5 om//PP//case//3 miljökonsekvensbeskrivningar//NN|UTR|PLU|IND|NOM//nmod//1 har//VB|PRS|AKT//aux//5 utformats//VB|SUP|SFO//ROOT//5 med//PP//mark//16 sikte//NN|NEU|SIN|IND|NOM//fixed//6 på//PP//fixed//6 att//SN//mark//16 frågor//NN|UTR|PLU|IND|NOM//nsubj//16 om//PP//case//12 påverkan//NN|UTR|SIN|IND|NOM//nmod//10 på//PP//case//14 miljön//NN|UTR|SIN|DEF|NOM//nmod//12 skall//VB|PRS|AKT//aux//16 komma//VB|INF|AKT//advcl//5 in//PL//compound:prt//16 på//PP//case//22 ett//DT|NEU|SIN|IND//det//22 så//AB//advmod//21 tidigt//JJ|POS|NEU|SIN|IND|NOM//amod//22 stadium//NN|NEU|SIN|IND|NOM//obl//16 som//KN//mark//24 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//22 av//PP//case//26 beslutsprocessen//NN|UTR|SIN|DEF|NOM//obl//24 .//MAD//punct//5
4.2 Miljöbalken;Den//DT|UTR|SIN|DEF//det//29 allmänhet//NN|UTR|SIN|IND|NOM//nsubj//33 som//HP|-|-|-//nsubj:pass//31 berörs//VB|PRS|SFO//acl:relcl//29 skall//VB|PRS|AKT//aux//33 ges//VB|INF|SFO//parataxis//5 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 möjligheter//NN|UTR|PLU|IND|NOM//obj//33 att//IE//mark//37 medverka//VB|INF|AKT//acl//35 i//PP//case//39 processen//NN|UTR|SIN|DEF|NOM//obl//37 och//KN//cc//42 att//IE//mark//42 påverka//VB|INF|AKT//conj//37 innehållet//NN|NEU|SIN|DEF|NOM//obj//42 i//PP//case//46 en//DT|UTR|SIN|IND//det//46 miljökonsekvensbeskrivning//NN|UTR|SIN|IND|NOM//nmod//43 .//MAD//punct//5
4.2 Miljöbalken;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//49 innebär//VB|PRS|AKT//parataxis//5 bl.a.//AB|AN//advmod//49 en//DT|UTR|SIN|IND//det//52 anpassning//NN|UTR|SIN|IND|NOM//obj//49 till//PP//case//54 EG-rätten//NN|UTR|SIN|DEF|NOM//nmod//52 ,//MID//punct//57 närmare//AB|KOM//advmod//57 bestämt//PC|PRF|NEU|SIN|IND|NOM//conj//49 det//DT|NEU|SIN|DEF//det//60 s.k.//AB|AN//amod//60 MKB-direktivet//NN|NEU|SIN|DEF|NOM//obj//57 (//PAD//punct//60 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//63 direktiv//NN|NEU|SIN|IND|NOM//nsubj//64 85/337//RG|NOM//appos//60 ///MID//cc//66 EEG//NN|AN//conj//60 om//PP//case//68 bedömning//NN|UTR|SIN|IND|NOM//obl//57 av//PP//case//70 inverkan//NN|UTR|SIN|IND|NOM//nmod//68 på//PP//case//72 miljön//NN|UTR|SIN|DEF|NOM//nmod//70 av//PP//case//78 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 och//KN//cc//77 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//75 projekt//NN|NEU|PLU|IND|NOM//nmod//72 ,//MID//punct//80 ändrat//PC|PRF|NEU|SIN|IND|NOM//conj//57 genom//PP//case//83 direktiv//NN|NEU|PLU|IND|NOM//amod//83 97/11//RG|NOM//obl//80 ///MID//cc//85 EG//PM|NOM//conj//83 )//PAD//punct//57 .//MAD//punct//49
4.2 Miljöbalken;Enligt//PP//case//2 miljöbalkens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 regler//NN|UTR|PLU|IND|NOM//obl//4 är//VB|PRS|AKT//cop//4 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//22 som//HP|-|-|-//nsubj//6 avser//VB|PRS|AKT//acl:relcl//4 att//IE//mark//8 bedriva//VB|INF|AKT//xcomp//6 tillståndspliktig//JJ|POS|UTR|SIN|IND|NOM//amod//10 verksamhet//NN|UTR|SIN|IND|NOM//obj//8 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//6 att//IE//mark//18 i//PP//case//15 god//JJ|POS|UTR|SIN|IND|NOM//amod//15 tid//NN|UTR|SIN|IND|NOM//obl//18 före//PP//case//18 en//DT|UTR|SIN|IND//det//18 ansökan//NN|UTR|SIN|IND|NOM//obl//6 med//PP//case//21 tillhörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 miljökonsekvensbeskrivning//NN|UTR|SIN|IND|NOM//nmod//18 lämna//VB|INF|AKT//ROOT//22 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 uppgifter//NN|UTR|PLU|IND|NOM//obj//22 om//PP//case//28 den//DT|UTR|SIN|DEF//det//28 planerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//28 verksamheten//NN|UTR|SIN|DEF|NOM//obl//22 och//KN//cc//30 samråda//VB|INF|AKT//conj//22 med//PP//case//32 länsstyrelsen//NN|UTR|SIN|DEF|NOM//obl//30 och//KN//cc//35 med//PP//case//35 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//32 som//HP|-|-|-//nsubj:pass//38 kan//VB|PRS|AKT//aux//38 antas//VB|INF|SFO//acl:relcl//35 bli//VB|INF|AKT//xcomp//38 särskilt//AB//advmod//41 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//39 .//MAD//punct//22
4.2 Miljöbalken;Med//PP//case//45 särskilt//AB//advmod//45 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//46 avses//VB|PRS|SFO//parataxis//22 framför//PP//case//49 allt//PN|NEU|SIN|IND|SUB/OBJ//det//49 närboende//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//46 .//MAD//punct//22
4.2 Miljöbalken;Om//PP//mark//8 länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//8 vid//PP//case//7 ett//DT|NEU|SIN|IND//det//7 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//7 s.k.//AB|AN//advmod//6 tidigt//JJ|POS|NEU|SIN|IND|NOM//amod//7 samråd//NN|NEU|SIN|IND|NOM//nmod//1 finner//VB|PRS|AKT//advcl//59 att//SN//mark//12 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//12 kan//VB|PRS|AKT//aux//12 antas//VB|INF|SFO//ccomp//8 medföra//VB|INF|AKT//xcomp//12 en//DT|UTR|SIN|IND//det//16 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 miljöpåverkan//NN|UTR|SIN|IND|NOM//nsubj:pass//23 skall//VB|PRS|AKT//aux//23 ett//DT|NEU|SIN|IND//det//20 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//20 samråd//NN|NEU|SIN|IND|NOM//nsubj:pass//23 med//PP//case//22 miljökonsekvensbedömning//NN|UTR|SIN|IND|NOM//nmod//20 genomföras//VB|INF|SFO//xcomp//13 .//MAD//punct//23
4.2 Miljöbalken;Vid//PP//case//28 ett//DT|NEU|SIN|IND//det//28 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//28 förfarande//NN|NEU|SIN|IND|NOM//obl//36 skall//VB|PRS|AKT//aux//36 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//36 som//HP|-|-|-//nsubj//32 avser//VB|PRS|AKT//acl:relcl//30 att//IE//mark//34 bedriva//VB|INF|AKT//xcomp//32 verksamheten//NN|UTR|SIN|DEF|NOM//obj//34 samråda//VB|INF|AKT//advcl//23 med//PP//case//40 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 myndigheter//NN|UTR|PLU|IND|NOM//obl//36 och//KN//cc//44 med//PP//case//44 de//DT|UTR/NEU|PLU|DEF//det//44 kommuner//NN|UTR|PLU|IND|NOM//conj//40 ,//MID//punct//47 den//DT|UTR|SIN|DEF//det//47 allmänhet//NN|UTR|SIN|IND|NOM//conj//44 och//KN//cc//50 de//DT|UTR/NEU|PLU|DEF//det//50 organisationer//NN|UTR|PLU|IND|NOM//conj//44 som//HP|-|-|-//nsubj:pass//53 kan//VB|PRS|AKT//aux//53 antas//VB|INF|SFO//acl:relcl//50 bli//VB|INF|AKT//xcomp//53 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//54 .//MAD//punct//23
4.2 Miljöbalken;Samrådet//NN|NEU|SIN|DEF|NOM//nsubj//59 skall//VB|PRS|AKT//aux//59 avse//VB|INF|AKT//ROOT//59 bl.a.//AB|AN//advmod//59 innehåll//NN|NEU|SIN|IND|NOM//obj//59 och//KN//cc//63 utformning//NN|UTR|SIN|IND|NOM//conj//61 av//PP//case//65 miljökonsekvensbeskrivningen//NN|UTR|SIN|DEF|NOM//nmod//63 .//MAD//punct//59
4.2 Miljöbalken;Miljöbalkens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 regler//NN|UTR|PLU|IND|NOM//nsubj//5 om//PP//case//4 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//4 samråd//NN|NEU|SIN|IND|NOM//nmod//1 innefattar//VB|PRS|AKT//aux//7 också//AB//advmod//7 bestäm//VB|INF|AKT//ROOT//7 melser//NN|UTR|PLU|IND|NOM//obj//7 om//PP//case//10 samråd//NN|NEU|SIN|IND|NOM//obl//7 med//PP//case//13 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 länder//NN|NEU|PLU|IND|NOM//nmod//10 där//HA//advmod//21 en//DT|UTR|SIN|IND//det//17 planerad//PC|PRF|UTR|SIN|IND|NOM//amod//17 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//21 i//PP//case//19 Sverige//PM|NOM//nmod//17 kan//VB|PRS|AKT//aux//21 antas//VB|INF|SFO//acl:relcl//13 medföra//VB|INF|AKT//xcomp//21 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 miljöpåverkan//NN|UTR|SIN|IND|NOM//obj//22 .//MAD//punct//7
4.2 Miljöbalken;Dessa//DT|UTR/NEU|PLU|DEF//det//27 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//28 bygger//VB|PRS|AKT//parataxis//7 bl.a.//AB|AN//advmod//28 på//PP//case//33 den//DT|UTR|SIN|DEF//det//33 s.k.//AB|AN//amod//33 Esbokonventionen//NN|UTR|SIN|DEF|NOM//obl//28 om//PP//case//35 miljökonsekvensbeskrivningar//NN|UTR|PLU|IND|NOM//nmod//33 i//PP//case//39 ett//DT|NEU|SIN|IND//det//39 gränsöverskridande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 sammanhang//NN|NEU|SIN|IND|NOM//nmod//35 .//MAD//punct//7
4.2 Miljöbalken;Naturvårdsverket//NN|NEU|SIN|DEF|NOM//nsubj:pass//43 har//VB|PRS|AKT//aux//43 utsetts//VB|SUP|SFO//parataxis//7 till//PP//case//46 ansvarig//JJ|POS|UTR|SIN|IND|NOM//amod//46 myndighet//NN|UTR|SIN|IND|NOM//obl//43 i//PP//case//48 Sverige//PM|NOM//nmod//46 för//PP//case//50 tillämpningen//NN|UTR|SIN|DEF|NOM//obl//43 av//PP//case//52 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//50 .//MAD//punct//7
4.2 Miljöbalken;Förfarandet//NN|NEU|SIN|DEF|NOM//nsubj//4 med//PP//case//3 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//3 samråd//NN|NEU|SIN|IND|NOM//nmod//0 syftar//VB|PRS|AKT//ROOT//4 till//PP//mark//7 att//IE//mark//7 förstärka//VB|INF|AKT//advcl//4 inflytandet//NN|NEU|SIN|DEF|NOM//obj//7 för//PP//case//10 myndigheter//NN|UTR|PLU|IND|NOM//obl//7 och//KN//cc//13 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//10 under//PP//case//15 planeringsstadiet//NN|NEU|SIN|DEF|NOM//obl//7 ,//MID//punct//15 samtidigt//AB//advmod//21 som//HA//fixed//17 underlaget//NN|NEU|SIN|DEF|NOM//fixed//17 för//PP//case//21 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//7 som//HP|-|-|-//nsubj//24 skall//VB|PRS|AKT//aux//24 upprätta//VB|INF|AKT//acl:relcl//21 en//DT|UTR|SIN|IND//det//26 miljökonsekvensbeskrivning//NN|UTR|SIN|IND|NOM//obj//24 breddas//VB|INF|SFO//xcomp//24 .//MAD//punct//4
4.2 Miljöbalken;De//DT|UTR/NEU|PLU|DEF//det//31 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//33 får//VB|PRS|AKT//aux//33 ses//VB|INF|SFO//conj//4 mot//PP//case//35 bakgrund//NN|UTR|SIN|IND|NOM//obl//33 av//PP//mark//39 att//SN//mark//39 EG-rätten//NN|UTR|SIN|DEF|NOM//nsubj//39 ställer//VB|PRS|AKT//advcl//33 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 krav//NN|NEU|PLU|IND|NOM//obj//39 på//PP//case//43 miljökonsekvensbeskrivningen//NN|UTR|SIN|DEF|NOM//obl//39 än//KN//mark//45 vad//HP|NEU|SIN|IND//advcl//39 som//HP|-|-|-//nsubj//49 tidigare//AB|KOM//advmod//49 har//VB|PRS|AKT//aux//49 gällt//VB|SUP|AKT//acl:relcl//45 i//PP//case//51 Sverige//PM|NOM//obl//49 ,//MID//punct//45 samtidigt//AB//mark//57 som//HA//fixed//53 kraven//NN|NEU|PLU|DEF|NOM//nsubj//57 är//VB|PRS|AKT//cop//57 begränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//45 till//PP//case//59 verksamheter//NN|UTR|PLU|IND|NOM//obl//57 som//HP|-|-|-//nsubj:pass//61 antas//VB|PRS|SFO//acl:relcl//59 medföra//VB|INF|AKT//xcomp//61 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//64 miljöpåverkan//NN|UTR|SIN|IND|NOM//obj//62 .//MAD//punct//4
4.2 Miljöbalken;I//PP//case//1 miljöbalkspropositionen//NN|UTR|SIN|DEF|NOM//obl//2 framhålls//VB|PRS|SFO//ROOT//2 att//SN//mark//26 rätten//NN|UTR|SIN|DEF|NOM//nsubj//26 för//PP//case//6 allmänheten//NN|UTR|SIN|DEF|NOM//nmod//4 att//IE//mark//8 delta//VB|INF|AKT//acl//4 i//PP//compound:prt//8 och//KN//cc//11 påverka//VB|INF|AKT//conj//8 utformningen//NN|UTR|SIN|DEF|NOM//obj//11 av//PP//case//16 den//DT|UTR|SIN|DEF//det//16 planerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//16 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//12 och//KN//cc//19 den//DT|UTR|SIN|DEF//det//19 miljökonsekvensbeskrivning//NN|UTR|SIN|IND|NOM//conj//12 som//HP|-|-|-//nsubj:pass//22 skall//VB|PRS|AKT//aux//22 göras//VB|INF|SFO//acl:relcl//19 är//VB|PRS|AKT//cop//26 av//PP//case//26 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 vikt//NN|UTR|SIN|IND|NOM//ccomp//2 .//MAD//punct//26
4.2 Miljöbalken;Allmänhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//29 medverkan//NN|UTR|SIN|IND|NOM//nsubj:pass//36 i//PP//case//33 ett//DT|NEU|SIN|IND//det//33 tidigt//JJ|POS|NEU|SIN|IND|NOM//amod//33 skede//NN|NEU|SIN|IND|NOM//nmod//29 av//PP//case//35 MKBarbetet//NN|NEU|SIN|DEF|NOM//nmod//33 antas//VB|INF|SFO//conj//2 förbättra//VB|INF|AKT//xcomp//36 både//KN//cc//39 effektiviteten//NN|UTR|SIN|DEF|NOM//obj//37 och//KN//cc//41 kvaliteten//NN|UTR|SIN|DEF|NOM//conj//39 i//PP//case//43 beslutsprocessen//NN|UTR|SIN|DEF|NOM//nmod//41 .//MAD//punct//2
4.2 Miljöbalken;Begreppet//NN|NEU|SIN|DEF|NOM//nmod//2 berörd//PC|PRF|UTR|SIN|IND|NOM//amod//2 allmänhet//NN|UTR|SIN|IND|NOM//nsubj:pass//6 skall//VB|PRS|AKT//aux//6 enligt//PP//case//5 propositionen//NN|UTR|SIN|DEF|NOM//obl//6 ges//VB|PRS|SFO//ROOT//6 en//DT|UTR|SIN|IND//det//9 vidsträckt//JJ|POS|UTR|SIN|IND|NOM//amod//9 tolkning//NN|UTR|SIN|IND|NOM//nsubj:pass//6 .//MAD//punct//6
