
Pågående förstudier Avslutade förstudier;-//MID//punct//4 Nej//IN//cc//4 till//PP//case//4 fortsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 undersökningar//NN|UTR|PLU|IND|NOM//ROOT//4
Läsanvisning;Med//PP//mark//9 hänsyn//NN|UTR|SIN|IND|NOM//fixed//0 till//PP//fixed//0 att//SN//mark//9 miljöbalken//NN|UTR|SIN|DEF|NOM//nsubj//9 med//PP//case//6 följdlagstiftning//NN|UTR|SIN|IND|NOM//nmod//4 nyligen//AB//advmod//9 har//VB|PRS|AKT//aux//9 trätt//VB|SUP|AKT//advcl//12 i//PP//case//11 kraft//NN|UTR|SIN|IND|NOM//obl//9 lämnas//VB|PRS|SFO//ROOT//12 här//AB//advmod//12 en//DT|UTR|SIN|IND//det//17 relativt//AB|POS//advmod//16 fyllig//JJ|POS|UTR|SIN|IND|NOM//amod//17 beskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//12 av//PP//case//20 balkens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 regelsystem//NN|NEU|SIN|IND|NOM//nmod//17 .//MAD//punct//12
Läsanvisning;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 delen//NN|UTR|SIN|DEF|NOM//obl//12 ,//MID//punct//3 Platsvalsprocessen//NN|UTR|SIN|DEF|NOM//appos//3  //_SP////5 (//PAD//punct//9 avsnitt//NN|NEU|SIN|IND|NOM//nmod//9 7–11//NN|UTR|SIN|DEF|NOM//nmod//5 )//PAD//punct//3 ,//MID//punct//3 beskrivs//VB|PRS|SFO//ROOT//12 de//DT|UTR/NEU|PLU|DEF//det//15 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 etapperna//NN|UTR|PLU|DEF|NOM//nsubj:pass//12 i//PP//case//17 valet//NN|NEU|SIN|DEF|NOM//obl//12 av//PP//case//19 plats//NN|UTR|SIN|IND|NOM//nmod//17 för//PP//case//22 en//DT|UTR|SIN|IND//det//22 anläggning//NN|UTR|SIN|IND|NOM//nmod//19 för//PP//case//24 djupförvaring//NN|UTR|SIN|IND|NOM//nmod//22 .//MAD//punct//12
Läsanvisning;Huvudvikten//NN|UTR|SIN|DEF|NOM//nsubj:pass//27 läggs//VB|PRS|SFO//parataxis//12 på//PP//case//30 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//30 frågor//NN|UTR|PLU|IND|NOM//obl//27 som//HP|-|-|-//nsubj//34 är//VB|PRS|AKT//cop//34 särskilt//AB//advmod//34 betydelsefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//30 i//PP//case//38 ett//DT|NEU|SIN|IND//det//38 kommunalt//JJ|POS|NEU|SIN|IND|NOM//amod//38 perspektiv//NN|NEU|SIN|IND|NOM//obl//34 .//MAD//punct//12
Läsanvisning;Den//DT|UTR|SIN|DEF//det//2 tredje//RO|NOM//amod//2 huvuddelen//NN|UTR|SIN|DEF|NOM//nsubj//11 ,//MID//punct//2 Förstudiekommunerna//NN|UTR|PLU|DEF|NOM//appos//2  //_SP////4 (//PAD//punct//4 avsnitt//NN|NEU|SIN|IND|NOM//nmod//8 12–17//RG|NOM//nmod//4 )//PAD//punct//2 ,//MID//punct//2 innehåller//VB|PRS|AKT//ROOT//11 redogörelser//NN|UTR|PLU|IND|NOM//obj//11 för//PP//mark//17 hur//HA//advmod//17 arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//17 har//VB|PRS|AKT//aux//17 lagts//VB|SUP|SFO//advcl//11 upp//PL//compound:prt//17 i//PP//case//22 de//DT|UTR/NEU|PLU|DEF//det//22 sex//RG|NOM//nummod//22 kommuner//NN|UTR|PLU|IND|NOM//obl//17 som//HP|-|-|-//nsubj//26 hittills//AB//advmod//26 har//VB|PRS|AKT//aux//26 deltagit//VB|SUP|AKT//acl:relcl//22 i//PP//case//28 förstudier//NN|NEU|PLU|IND|NOM//obl//26 för//PP//case//31 ett//DT|NEU|SIN|IND//det//31 slutförvar//NN|NEU|SIN|IND|NOM//obl//26 ,//MID//punct//31 dvs.//AB|AN//advmod//34 Storuman//PM|NOM//appos//31 ,//MID//punct//36 Malå//PM|NOM//conj//34 ,//MID//punct//38 Nyköping//PM|NOM//conj//34 ,//MID//punct//41 Ö//PM|NOM//nummod//41 sthammar//NN|UTR|PLU|IND|NOM//conj//34 ,//MID//punct//43 Oskarshamn//PM|NOM//conj//34 och//KN//cc//45 Tierp//PM|NOM//conj//34 .//MAD//punct//11
Läsanvisning;Av//PP//case//2 dessa//DT|UTR/NEU|PLU|DEF//det//2 kommuner//NN|UTR|PLU|IND|NOM//obl//10 har//VB|PRS|AKT//aux//10 Storuman//PM|NOM//nsubj//10 och//KN//cc//6 Malå//PM|NOM//conj//4 efter//PP//case//9 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 folkomröstningar//NN|UTR|PLU|IND|NOM//obl//10 valt//VB|SUP|AKT//ROOT//10 att//IE//mark//12 dra//VB|INF|AKT//xcomp//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//12 ur//PP//case//15 platsvalsprocessen//NN|UTR|SIN|DEF|NOM//obl//12 .//MAD//punct//10
Läsanvisning;I//PP//case//21 de//DT|UTR/NEU|PLU|DEF//det//21 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 fyra//RG|NOM//nummod//21 kommunerna//NN|UTR|PLU|DEF|NOM//obl//22 pågår//VB|PRS|AKT//parataxis//10 förstudiearbetet//NN|NEU|SIN|DEF|NOM//obj//22 .//MAD//punct//10
Läsanvisning;Den//DT|UTR|SIN|DEF//det//2 valda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 uppläggningen//NN|UTR|SIN|DEF|NOM//nsubj//6 av//PP//case//4 rapporten//NN|UTR|SIN|DEF|NOM//nmod//2 har//VB|PRS|AKT//aux//6 gjort//VB|SUP|AKT//ROOT//6 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//6 ofrånkomligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//6 med//PP//case//11 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 upprepningar//NN|UTR|PLU|IND|NOM//nmod//8 .//MAD//punct//6
Läsanvisning;Om//SN//mark//16 en//DT|UTR|SIN|IND//det//15 fråga//NN|UTR|SIN|IND|NOM//nsubj:pass//16 behandlas//VB|PRS|SFO//advcl//24 utförligare//AB|KOM//advmod//16 på//PP//case//21 ett//DT|NEU|SIN|IND//det//21 annat//JJ|POS|NEU|SIN|IND|NOM//amod//21 ställe//NN|NEU|SIN|IND|NOM//obl//16 i//PP//case//23 texten//NN|UTR|SIN|DEF|NOM//nmod//21 görs//VB|PRS|SFO//parataxis//6 en//DT|UTR|SIN|IND//det//26 hänvisning//NN|UTR|SIN|IND|NOM//nsubj:pass//24 dit//AB//advmod//24 .//MAD//punct//6
Läsanvisning;En//DT|UTR|SIN|IND//det//1 litteraturförteckning//NN|UTR|SIN|IND|NOM//nsubj//2 finns//VB|PRS|SFO//ROOT//2 i//PP//case//4 slutet//NN|NEU|SIN|DEF|NOM//obl//2 av//PP//case//6 rapporten//NN|UTR|SIN|DEF|NOM//nmod//4 .//MAD//punct//2
Läsanvisning;Rapporten//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 tillgänglig//JJ|POS|UTR|SIN|IND|NOM//ROOT//2 på//PP//case//6 Nationelle//PM|NOM//amod//5 samordnarens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 hemsida//NN|UTR|SIN|IND|NOM//obl//2 under//PP//case//9 adressen//NN|UTR|SIN|DEF|NOM//nmod:poss//9 www.samordnare-karnavfall.gov.se//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2
