Den nya inskrivningsmyndigheten;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 IM-utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Den nya inskrivningsmyndigheten;Stockholm//PM|NOM//ROOT//0 2007//RG|NOM//nummod//0

Till statsrådet och chefen för Miljödepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 18//RG|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obl//1 2006//RG|NOM//nummod//4 att//IE//mark//7 tillsätta//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 överväga//VB|INF|AKT//acl//12 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 frågor//NN|UTR|PLU|IND|NOM//obj//14 med//PP//case//18 anledning//NN|UTR|SIN|IND|NOM//obl//14 av//PP//case//20 överföringen//NN|UTR|SIN|DEF|NOM//nmod//18 av//PP//case//22 huvudmannaskapet//NN|NEU|SIN|DEF|NOM//nmod//20 för//PP//case//24 inskrivningsmyndigheterna//NN|UTR|PLU|DEF|NOM//nmod//22 från//PP//case//26 Domstolsverket//NN|NEU|SIN|DEF|NOM//nmod//24 till//PP//case//28 Lantmäteriverket//PM|NOM//nmod//26 .//MAD//punct//1
Till statsrådet och chefen för Miljödepartementet;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 fr.o.m.//AB|AN//case//7 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 juli//NN|UTR|SIN|IND|NOM//obl//3 2006//RG|NOM//nummod//7 lagmannen//NN|UTR|SIN|DEF|NOM//nmod//10 Jan//PM|NOM//appos//7 Warén//PM|NOM//flat:name//10 .//MAD//punct//3
Till statsrådet och chefen för Miljödepartementet;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 18//RG|NOM//nummod//6 september//NN|UTR|SIN|IND|NOM//obl//2 2006//RG|NOM//nummod//6 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//9 Jan//PM|NOM//obl//2 Josefsson//PM|NOM//flat:name//9 ,//MID//punct//9 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//amod//13 Rikard//PM|NOM//appos//9 Jermsten//PM|NOM//flat:name//13 och//KN//cc//16 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//17 Monica//PM|NOM//conj//13 Lagerqvist//PM|NOM//flat:name//17 Nilsson//PM|NOM//flat:name//17 .//MAD//punct//13
Till statsrådet och chefen för Miljödepartementet;Som//KN//mark//23 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//23 förordnades//VB|PRT|SFO//acl:relcl//9 fr.o.m.//AB|AN//case//26 samma//DT|UTR/NEU|SIN/PLU|IND//det//26 dag//NN|UTR|SIN|IND|NOM//nmod//28 direktören//NN|UTR|SIN|DEF|NOM//nmod//28 Bengt//PM|NOM//nmod//36 Kjellson//PM|NOM//flat:name//28 ,//MID//punct//28 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//32 Christel//PM|NOM//appos//28 Lundmark//PM|NOM//flat:name//32 ,//MID//punct//28 chefsjuristen//NN|UTR|SIN|DEF|NOM//appos//28 Jörgen//PM|NOM//dep//9 Nilsson//PM|NOM//flat:name//36 ,//MID//punct//36 advokaten//NN|UTR|SIN|DEF|NOM//nmod//40 Annika//PM|NOM//conj//9 Gustafsson//PM|NOM//flat:name//40 och//KN//cc//44 bankjuristen//NN|UTR|SIN|DEF|NOM//nmod//44 Pia//PM|NOM//conj//9 Wråkhufvud//PM|NOM//flat:name//44 .//MAD//punct//2
Till statsrådet och chefen för Miljödepartementet;Till//PP//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 1//RO|NOM//nummod//6 juli//NN|UTR|SIN|IND|NOM//obl//2 2006//RG|NOM//nummod//8 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//obl//2 Henrik//PM|NOM//flat:name//8 Jonsson//PM|NOM//flat:name//9 .//MAD//punct//2
Till statsrådet och chefen för Miljödepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 IM-utredningen//NN|UTR|SIN|DEF|NOM//obj//2 .//MAD//punct//2
Till statsrådet och chefen för Miljödepartementet;Härmed//AB//advmod//1 överlämnar//VB|PRS|AKT//ROOT//1 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 betänkandet//NN|NEU|SIN|DEF|NOM//obj//1 Den//DT|UTR|SIN|DEF//det//6 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 inskrivningsmyndigheten//NN|UTR|SIN|DEF|NOM//obj//1 (//PAD//punct//6 SOU//PM|NOM//appos//6 2007:7//RG|NOM//nummod//8 )//PAD//punct//6 .//MAD//punct//1
Till statsrådet och chefen för Miljödepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 med//PP//case//3 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//4 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 .//MAD//punct//4
