Rapport från en hearing den 3 oktober 2000;Av//PP//case//1 Björn//PM|NOM//ROOT//1 Jerkert//PM|NOM//flat//1 och//KN//cc//4 Jörgen//PM|NOM//conj//1 Mark-Nielsen//PM|NOM//flat:name//4
2.3 De politiska ungdomsförbundens rekrytering;Vi//PN|UTR|PLU|DEF|SUB//nsubj//26 tar//VB|PRS|AKT//parataxis//1 gärna//AB|POS//advmod//26 del//NN|UTR|SIN|IND|NOM//obj//26 av//PP//case//30 lärorika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//28 (//PAD//punct//30 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//appos//30 eller//KN//cc//34 dåliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//32 )//PAD//punct//30 exempel//NN|NEU|PLU|IND|NOM//advmod//26 .//MAD//punct//1
2.3 De politiska ungdomsförbundens rekrytering;Är//VB|PRS|AKT//cop//41 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//41 er//PN|UTR|PLU|DEF|OBJ//nmod:poss//41 erfarenhet//NN|UTR|SIN|IND|NOM//parataxis//1 att//SN//mark//51 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//51 som//HP|-|-|-//nsubj//46 är//VB|PRS|AKT//cop//46 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//43 i//PP//case//49 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 ungdomsförbund//NN|NEU|PLU|IND|NOM//obl//51 oftast//AB|SUV//advmod//51 fortsätter//VB|PRS|AKT//csubj//41 sitt//PS|NEU|SIN|DEF//nmod:poss//53 engagemang//NN|NEU|SIN|IND|NOM//obj//51 i//PP//case//55 partiet//NN|NEU|SIN|DEF|NOM//nmod//53 när//HA//mark//58 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//58 blir//VB|PRS|AKT//advcl//51 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//58 ?//MID//punct//51
2.3 De politiska ungdomsförbundens rekrytering;Om//SN//cc//64 inte//AB//advmod//64 ,//MID//punct//64 varför//HA//conj//41 ?//MAD//punct//64

2.4 Politiska ungdomsförbund och andra ungdomsrörelser;I//PP//advmod//2 dag//NN|UTR|SIN|IND|NOM//fixed//0 finns//VB|PRS|SFO//advcl//74 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 ett//DT|NEU|SIN|IND//det//5 ungdomsråd//NN|NEU|SIN|IND|NOM//nsubj//2 av//PP//case//8 något//DT|NEU|SIN|IND//det//8 slag//NN|NEU|SIN|IND|NOM//nmod//5 i//PP//case//13 ett//DT|NEU|SIN|IND//det//12 stort//JJ|POS|NEU|SIN|IND|NOM//amod//12 antal//NN|NEU|SIN|IND|NOM//nmod//13 kommuner//NN|UTR|PLU|IND|NOM//nmod//8 .//MAD//punct//2
2.4 Politiska ungdomsförbund och andra ungdomsrörelser;Många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 ungdomar//NN|UTR|PLU|IND|NOM//nsubj//17 engagerar//VB|PRS|AKT//parataxis//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//17 också//AB//advmod//17 i//PP//case//22 ”//PAD//punct//22 enfrågerörelser//NN|UTR|PLU|IND|NOM//obl//17 ”//PM|NOM//punct//22 för//PP//case//25 saker//NN|UTR|PLU|IND|NOM//obl//17 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//27 tycker//VB|PRS|AKT//acl:relcl//25 är//VB|PRS|AKT//cop//29 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//27 ,//MID//punct//32 men//KN//cc//32 har//VB|PRS|AKT//conj//17 svårt//JJ|POS|NEU|SIN|IND|NOM//obj//32 att//IE//mark//36 ”//PAD//punct//36 köpa//VB|INF|AKT//advcl//32 ”//PM|NOM//punct//36 ett//DT|NEU|SIN|IND//det//40 helt//JJ|POS|NEU|SIN|IND|NOM//amod//40 partiprogram//NN|NEU|SIN|IND|NOM//obj//36 .//MAD//punct//17
2.4 Politiska ungdomsförbund och andra ungdomsrörelser;Detta//DT|NEU|SIN|DEF//det//43 engagemang//NN|NEU|SIN|IND|NOM//nsubj//44 sker//VB|PRS|AKT//parataxis//17 vid//PP//case//46 sidan//NN|UTR|SIN|DEF|NOM//obl//44 av//PP//case//50 de//DT|UTR/NEU|PLU|DEF//det//50 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 ungdomsförbunden//NN|NEU|PLU|DEF|NOM//nmod//46 .//MAD//punct//2
2.4 Politiska ungdomsförbund och andra ungdomsrörelser;Finns//VB|PRS|SFO//parataxis//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 ett//DT|NEU|SIN|IND//det//55 motsatsförhållande//NN|NEU|SIN|IND|NOM//nsubj//52 och//KN//cc//64 hur//HA//advmod//64 skulle//VB|PRT|AKT//aux//64 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//64 i//PP//advmod//64 så//AB//amod//62 fall//NN|NEU|SIN|IND|NOM//fixed//60 kunna//VB|INF|AKT//aux//64 överbryggas//VB|INF|SFO//conj//52 ?//MID//punct//2
2.4 Politiska ungdomsförbund och andra ungdomsrörelser;Hur//HA//advmod//74 kan//VB|PRS|AKT//aux//74 de//DT|UTR/NEU|PLU|DEF//det//70 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 ungdomsförbunden//NN|NEU|PLU|DEF|NOM//nsubj//74 och//KN//cc//73 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 ungdomsrörelser//NN|UTR|PLU|IND|NOM//conj//70 befrukta//VB|INF|AKT//ROOT//74 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obj//74 på//PP//case//79 ett//DT|NEU|SIN|IND//det//79 konstruktivt//JJ|POS|NEU|SIN|IND|NOM//amod//79 sätt//NN|NEU|SIN|IND|NOM//obl//74 ?//MID//punct//74
2.4 Politiska ungdomsförbund och andra ungdomsrörelser;Vi//PN|UTR|PLU|DEF|SUB//nsubj//83 är//VB|PRS|AKT//cop//83 tacksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//74 för//PP//case//86 konkreta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//86 exempel//NN|NEU|PLU|IND|NOM//obl//83 .//MAD//punct//74
