Till statsrådet och chefen för justitiedepartementet;Göran//PM|NOM//ROOT//0 Lantz//PM|NOM//flat:name//0 .//MAD//punct//0
Till statsrådet och chefen för justitiedepartementet;Den//DT|UTR|SIN|DEF//det//5 6//RO|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//obl//7 2003//RG|NOM//nummod//5 entledigades//VB|PRT|SFO//parataxis//0 Hans-Erik//PM|NOM//nsubj:pass//7 Bylund//PM|NOM//flat//8 och//KN//cc//13 samma//DT|UTR/NEU|SIN/PLU|IND//det//12 dag//NN|UTR|SIN|IND|NOM//obl//13 förordnades//VB|PRT|SFO//conj//7 i//PP//advmod//13 stället//NN|NEU|SIN|DEF|NOM//fixed//14 förbundsjuristen//NN|UTR|SIN|DEF|NOM//fixed//14 Jesper//PM|NOM//obl//13 Dahl//PM|NOM//flat:name//17 som//KN//mark//20 expert//NN|UTR|SIN|IND|NOM//advcl//13 i//PP//case//22 utredningen//NN|UTR|SIN|DEF|NOM//obl//13 .//MAD//punct//0
Till statsrådet och chefen för justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 delbetänkandet//NN|NEU|SIN|DEF|NOM//det//5 God//JJ|POS|UTR|SIN|IND|NOM//amod//5 man//NN|UTR|SIN|IND|NOM//obj//1 för//PP//case//8 ensamkommande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 flyktingbarn//NN|NEU|PLU|IND|NOM//obl//1 .//MAD//punct//1
Till statsrådet och chefen för justitiedepartementet;Malmö//PM|NOM//ROOT//0 i//PP//case//2 maj//NN|UTR|SIN|IND|NOM//nmod//0 2003//RG|NOM//nummod//2
Till statsrådet och chefen för justitiedepartementet;Bo//PM|NOM//compound//1 Broomé//PM|NOM//ROOT//1 /Magnus//RG|NOM//cc//3 Andersson//PM|NOM//conj//1 4.1//RG|NOM//conj//1 Internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 förmynderskapsfrågor//NN|UTR|PLU|IND|NOM//conj//1 och//KN//cc//8 4.2//RG|NOM//conj//6 Olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 former//NN|UTR|PLU|IND|NOM//conj//1 av//PP//case//12 ställföreträdarskap//NN|NEU|SIN|IND|NOM//nmod//10 för//PP//case//15 4.4//RG|NOM//nmod//15 Åtgärder//NN|UTR|PLU|IND|NOM//nmod//12 enligt//PP//case//17 lagen//NN|UTR|SIN|DEF|NOM//nmod//15 (//PAD//punct//1 1990:52//RG|NOM//conj//1 )//PAD//punct//1 med//PP//case//22 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//1

6 Migrationsverkets och Socialstyrelsens förslag till ny ansvarsfördelning i mottagandet av ensamkommande;6.1//RG|NOM//ROOT//0 Migrationsverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//4 och//KN//cc//3 Socialstyrelsens//NN|UTR|SIN|DEF|GEN//conj//1 redovisning//NN|UTR|SIN|IND|NOM//nsubj//0 av//PP//case//8 6.3//RG|NOM//nmod:poss//8 Statlig//JJ|POS|UTR|SIN|IND|NOM//amod//8 ersättning//NN|UTR|SIN|IND|NOM//nmod//4 till//PP//case//11 de//DT|UTR/NEU|PLU|DEF//det//11 kommuner//NN|UTR|PLU|IND|NOM//nmod//4 som//HP|-|-|-//nsubj//13 har//VB|PRS|AKT//acl:relcl//11 särskilt//AB//amod//15 6.4//RG|NOM//obj//13 Ett//DT|NEU|SIN|IND//det//18 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//18 företrädarinstitut//NN|NEU|SIN|IND|NOM//obj//13 för//PP//case//24 de//DT|UTR/NEU|PLU|DEF//det//22 ensamkommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 6.5//RG|NOM//nmod//24 Fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//24 beredning//NN|UTR|SIN|IND|NOM//obl//13 av//PP//case//26 förslag//NN|NEU|PLU|IND|NOM//nmod//24 till//PP//case//28 förbättringar//NN|UTR|PLU|IND|NOM//nmod//26 av//PP//case//30 7.6//RG|NOM//nmod//28 Särskilt//AB//advmod//32 förordnad//PC|PRF|UTR|SIN|IND|NOM//amod//33 vårdnadshavare//NN|UTR|SIN|IND|NOM//nmod//24 för//PP//case//36 ensamkommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 7.7//RG|NOM//nmod//33 Behörig//JJ|POS|UTR|SIN|IND|NOM//amod//38 domstol//NN|UTR|SIN|IND|NOM//nmod//24 och//KN//cc//40 överförmyndare//NN|UTR|SIN|IND|NOM//conj//38 i//PP//case//42 frågor//NN|UTR|PLU|IND|NOM//nmod//40 om//PP//case//45 10.1//RG|NOM//nummod//45 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//42 till//PP//case//47 lag//NN|UTR|SIN|IND|NOM//nmod//24 om//PP//case//50 god//JJ|POS|UTR|SIN|IND|NOM//amod//50 man//NN|UTR|SIN|IND|NOM//nmod//47 för//PP//case//53 ensamkommande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 barn//NN|NEU|PLU|IND|NOM//nmod//50 m.fl.//AB|AN//conj//4 ......................................................................................//MID//punct//4 155//RG|NOM//nummod//57 10.3//RG|NOM//nmod//58 Förslaget//NN|NEU|SIN|DEF|NOM//appos//4 till//PP//case//60 lag//NN|UTR|SIN|IND|NOM//nmod//4 om//PP//case//62 ändring//NN|UTR|SIN|IND|NOM//nmod//60 i//PP//case//64 lagen//NN|UTR|SIN|DEF|NOM//nmod//62 (//PAD//punct//4 1904:26//RG|NOM//appos//4 s.//NN|AN//nmod//68 1//RG|NOM//nmod//66 )//PAD//punct//4 om//PP//case//73 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 rättsförhållanden//NN|NEU|PLU|IND|NOM//nmod//4 rörande//PP//case//75 äktenskap//NN|NEU|SIN|IND|NOM//nmod//73


1 Förslag till lag om god man för ensamkommande barn m.fl.;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj:pass//1
