ANDERS WIJKMAN  ,  EU-parlamentariker, samtalsledare ;CARL//PM|NOM//nmod//1 FOLKE//PM|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 professor//NN|UTR|SIN|IND|NOM//conj//1 i//PP//case//7 naturresurshushållning//NN|UTR|SIN|IND|NOM//nmod//5 vid//PP//case//10 Stockholms//PM|GEN//nmod:poss//10 universitet//NN|NEU|SIN|IND|NOM//nmod//5
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Man//PN|UTR|SIN|IND|SUB//nsubj//1 talade//VB|PRT|AKT//ROOT//1 mycket//AB|POS//advmod//1 om//PP//case//4 effektivitet//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//6 produktivitet//NN|UTR|SIN|IND|NOM//conj//4 .//MAD//punct//1
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Hittills//AB//advmod//11 har//VB|PRS|AKT//aux//11 produktivitetsekvationen//NN|UTR|SIN|DEF|NOM//nsubj//11 haltat//VB|SUP|AKT//advmod//1 ,//MID//punct//11 för//PP//mark//17 om//SN//fixed//13 man//PN|UTR|SIN|IND|SUB//nsubj//17 bara//AB//advmod//17 tittar//VB|PRS|AKT//advcl//11 på//PP//case//19 arbetskraft//NN|UTR|SIN|IND|NOM//obl//17 ,//MID//punct//21 kapital//NN|NEU|SIN|IND|NOM//conj//19 och//KN//cc//23 maskiner//NN|UTR|PLU|IND|NOM//conj//19 ,//MID//punct//1 men//KN//cc//28 inte//AB//advmod//28 på//PP//case//28 råvarorna//NN|UTR|PLU|DEF|NOM//conj//1 man//PN|UTR|SIN|IND|SUB//nsubj//30 stoppar//VB|PRS|AKT//acl:relcl//28 in//PL//compound:prt//30 ,//MID//punct//1 är//VB|PRS|AKT//cop//38 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//38 inte//AB//advmod//38 en//DT|UTR|SIN|IND//det//38 fullständig//JJ|POS|UTR|SIN|IND|NOM//amod//38 ekvation//NN|UTR|SIN|IND|NOM//conj//1 .//MAD//punct//1
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Att//IE//mark//41 utnyttja//VB|INF|AKT//conj//1 naturresurserna//NN|UTR|PLU|DEF|NOM//obj//41 mer//AB|KOM//advmod//44 effektivt//AB|POS//advmod//41 minskar//VB|PRS|AKT//conj//41 miljöbelastningen//NN|UTR|SIN|DEF|NOM//obj//45 ,//MID//punct//1 ger//VB|PRS|AKT//conj//1 ﬂer//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//48 jobb//NN|NEU|PLU|IND|NOM//obj//48 och//KN//cc//53 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 vinst//NN|UTR|SIN|IND|NOM//conj//50 .//MAD//punct//1
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 är//VB|PRS|AKT//cop//4 också//AB//advmod//4 alldeles//AB//advmod//4 tydligt//JJ|POS|NEU|SIN|IND|NOM//ROOT//4 att//SN//mark//7 vi//PN|UTR|PLU|DEF|SUB//nsubj//7 behöver//VB|PRS|AKT//csubj//4 mer//AB|KOM//amod//9 etik//NN|UTR|SIN|IND|NOM//obj//7 och//KN//cc//11 värderingar//NN|UTR|PLU|IND|NOM//conj//9 i//PP//case//13 diskussionen//NN|UTR|SIN|DEF|NOM//nmod//11 ,//MID//punct//20 både//KN//cc//20 på//PP//case//20 global//JJ|POS|UTR|SIN|IND|NOM//amod//20 och//KN//cc//19 nationell//JJ|POS|UTR|SIN|IND|NOM//conj//17 nivå//NN|UTR|SIN|IND|NOM//conj//4 och//KN//cc//24 att//SN//mark//24 vi//PN|UTR|PLU|DEF|SUB//nsubj//24 behöver//VB|PRS|AKT//conj//4 en//DT|UTR|SIN|IND//det//27 fördjupad//PC|PRF|UTR|SIN|IND|NOM//amod//27 dialog//NN|UTR|SIN|IND|NOM//obj//24 mellan//PP//case//34 de//DT|UTR/NEU|PLU|DEF//det//34 rika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 och//KN//cc//34 de//DT|UTR/NEU|PLU|DEF//det//34 fattiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 länderna//NN|NEU|PLU|DEF|NOM//obl//24 .//MAD//punct//4
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Handelspolitik//NN|UTR|SIN|IND|NOM//nsubj:pass//41 i//PP//case//38 framtiden//NN|UTR|SIN|DEF|NOM//nmod//36 kan//VB|PRS|AKT//aux//41 inte//AB//advmod//41 diskuteras//VB|INF|SFO//parataxis//4 skilt//PC|PRF|NEU|SIN|IND|NOM//advmod//41 från//PP//case//44 miljöfrågor//NN|UTR|PLU|IND|NOM//obl//41 ,//MID//punct//46 arbetsrättsfrågor//NN|UTR|PLU|IND|NOM//conj//44 ,//MID//punct//49 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 frågor//NN|UTR|PLU|IND|NOM//conj//44 ,//MID//punct//51 tekniksamarbete//NN|NEU|SIN|IND|NOM//conj//49 och//KN//cc//53 bistånd//NN|NEU|SIN|IND|NOM//conj//49 .//MAD//punct//4
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 globala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 ekonomin//NN|UTR|SIN|DEF|NOM//obl//4 blir//VB|PRS|AKT//ROOT//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 allt//AB//advmod//7 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//4 hur//HA//advmod//11 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 saker//NN|UTR|PLU|IND|NOM//nsubj//11 hänger//VB|PRS|AKT//csubj//4 ihop//PL//compound:prt//11 och//KN//cc//15 hur//HA//advmod//15 viktigt//JJ|POS|NEU|SIN|IND|NOM//conj//4 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//15 är//VB|PRS|AKT//cop//15 att//IE//mark//19 tänka//VB|INF|AKT//csubj//15 i//PP//case//22 horisontella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 banor//NN|UTR|PLU|IND|NOM//obl//19 och//KN//cc//31 inte//AB//advmod//31 ,//MID//punct//27 som//HP|-|-|-//mark//27 hittills//AB//advmod//31 ,//MID//punct//31 i//PP//case//31 vertikala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 spår//NN|NEU|PLU|IND|NOM//conj//19 .//MAD//punct//4
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Om//SN//mark//36 vi//PN|UTR|PLU|DEF|SUB//nsubj//36 kan//VB|PRS|AKT//aux//36 etablera//VB|INF|AKT//advcl//4 rätt//JJ|POS|UTR|SIN|IND|NOM//amod//38 typ//NN|UTR|SIN|IND|NOM//obj//36 av//PP//case//40 incitament//NN|NEU|SIN|IND|NOM//nmod//38 för//PP//case//44 den//DT|UTR|SIN|DEF//det//44 hållbara//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 tekniken//NN|UTR|SIN|DEF|NOM//obl//36 och//KN//cc//48 det//DT|NEU|SIN|DEF//det//48 hållbara//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//48 beteendet//NN|NEU|SIN|DEF|NOM//conj//44 ﬁnns//VB|PRS|SFO//punct//4 det//DT|NEU|SIN|DEF//det//51 hopp//NN|NEU|SIN|IND|NOM//nsubj//49 för//PP//case//54 Moder//NN|UTR|SIN|IND|NOM//nmod//54 Jord//NN|UTR|SIN|IND|NOM//nmod//51 .//MAD//punct//4
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Anders//PM|NOM//nmod//1 Wijkman//PM|NOM//nsubj//2 inleder//VB|PRS|AKT//ROOT//2 med//PP//mark//5 att//IE//mark//5 ge//VB|INF|AKT//advcl//2 en//DT|UTR|SIN|IND//det//7 överblick//NN|UTR|SIN|IND|NOM//obj//5 över//PP//case//9 situationen//NN|UTR|SIN|DEF|NOM//nmod//7 idag//AB//advmod//5 i//PP//case//12 världen//NN|UTR|SIN|DEF|NOM//obl//5 .//MAD//punct//2 –//RG|NOM//punct//16
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Hur//HA//advmod//16 ska//VB|PRS|AKT//aux//33 jorden//NN|UTR|SIN|DEF|NOM//nsubj//33 som//KN//obj//20 ekosystem//NN|NEU|SIN|IND|NOM//nsubj//20 klara//VB|INF|AKT//acl:relcl//17 av//PL//case//24 det//DT|NEU|SIN|DEF//det//24 ökade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//24 tryck//NN|NEU|SIN|IND|NOM//obl:agent//20 som//KN//case//30 en//DT|UTR|SIN|IND//det//30 snabbt//AB|POS//advmod//28 växande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 global//JJ|POS|UTR|SIN|IND|NOM//amod//30 ekonomi//NN|UTR|SIN|IND|NOM//nmod//24 och//KN//cc//32 befolkning//NN|UTR|SIN|IND|NOM//conj//30 innebär//VB|PRS|AKT//conj//2 ?//MID//punct//2
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Globaliseringen//NN|UTR|SIN|DEF|NOM//nsubj//36 ställer//VB|PRS|AKT//parataxis//2 frågan//NN|UTR|SIN|DEF|NOM//obj//36 på//PP//case//40 sin//PS|UTR|SIN|DEF//nmod:poss//40 spets//NN|UTR|SIN|IND|NOM//obl//36 .//MAD//punct//36
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//43 skapar//VB|PRS|AKT//parataxis//36 å//PP//advmod//43 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//44 sidan//NN|UTR|SIN|DEF|NOM//fixed//44 förutsättningar//NN|UTR|PLU|IND|NOM//obj//43 för//PP//case//51 ett//DT|NEU|SIN|IND//det//51 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//51 samarbete//NN|NEU|SIN|IND|NOM//nmod//47 mellan//PP//case//54 jordens//NN|UTR|SIN|DEF|GEN//nmod:poss//54 länder//NN|NEU|PLU|IND|NOM//nmod//51 kring//PP//case//56 frågor//NN|UTR|PLU|IND|NOM//nmod//54 som//HP|-|-|-//nsubj//59 är//VB|PRS|AKT//cop//59 gränsöverskridande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//56 ,//MID//punct//64 inte//AB//advmod//62 minst//AB|SUV//advmod//64 på//PP//case//64 miljöområdet//NN|NEU|SIN|DEF|NOM//obl//43 .//MAD//punct//43
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Vidare//AB|KOM//advmod//67 underlättas//VB|PRS|SFO//conj//43 överföring//NN|UTR|SIN|IND|NOM//nsubj:pass//67 av//PP//case//68 och//KN//cc//71 samarbete//NN|NEU|SIN|IND|NOM//conj//68 kring//PP//case//74 miljöanpassad//PC|PRF|UTR|SIN|IND|NOM//amod//74 teknik//NN|UTR|SIN|IND|NOM//nmod//68 .//MAD//punct//67
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Om//SN//mark//87 å//PP//advmod//81 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//fixed//77 sidan//NN|UTR|SIN|DEF|NOM//nmod//81 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 regler//NN|UTR|PLU|IND|NOM//nsubj:pass//87 till//PP//case//83 skydd//NN|NEU|SIN|IND|NOM//nmod//81 för//PP//case//85 miljön//NN|UTR|SIN|DEF|NOM//nmod//81 inte//AB//advmod//87 upprättas//VB|PRS|SFO//advcl//106 –//NN|UTR|SIN|IND|NOM//punct//92 eller//KN//cc//92 om//SN//case//92 de//DT|UTR/NEU|PLU|DEF//det//92 regler//NN|UTR|PLU|IND|NOM//obj//87 som//HP|-|-|-//nsubj:pass//94 beslutas//VB|PRS|SFO//acl:relcl//92 om//PP//mark//97 är//VB|PRS|AKT//cop//97 otillräckliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//94 eller//KN//cc//100 inte//AB//advmod//100 efterlevs//VB|PRS|SFO//conj//97 –//RG|NOM//punct//106 kan//VB|PRS|AKT//aux//106 globaliseringen//NN|UTR|SIN|DEF|NOM//nsubj//106 komma//VB|INF|AKT//aux//106 att//IE//mark//106 innebära//VB|INF|AKT//xcomp//67 att//SN//mark//112 miljö-//NN|UTR|-|-|SMS//nsubj:pass//112 och//KN//cc//110 naturresurssituationen//NN|UTR|SIN|DEF|NOM//conj//108 snabbt//AB|POS//advmod//112 förvärras//VB|PRS|SFO//ccomp//106 .//MAD//punct//2
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;EKONOMEN//NN|UTR|SIN|DEF|NOM//case//2 MALTHUS//PM|NOM//nmod//2 TEORI//VB|PRT|AKT//ROOT//2
Hur många människor kan jorden uthålligt försörja? – eller Malthus revisited;Debatten//NN|UTR|SIN|DEF|NOM//nsubj//8 om//PP//mark//7 hur//HA//advmod//5 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 människor//NN|UTR|PLU|IND|NOM//amod//5 jorden//NN|UTR|SIN|DEF|NOM//nsubj//7 kan//VB|PRS|AKT//aux//7 försörja//VB|INF|AKT//acl//0 började//VB|PRT|AKT//ROOT//8 med//PP//case//10 Malthus//PM|NOM//obl//8 ,//MID//punct//12 säger//VB|PRS|AKT//parataxis//8 Anders//PM|NOM//nmod//14 Wijkman//PM|NOM//nsubj//12 .//MAD//punct//12
