De huvudsakliga förslagen i korthet;•//NN|UTR|SIN|IND|NOM//punct//4 Ett//DT|NEU|SIN|IND//det//3 statligt//JJ|POS|NEU|SIN|IND|NOM//amod//3 kontrollsystem//NN|NEU|SIN|IND|NOM//nsubj:pass//4 införs//VB|PRS|SFO//ROOT//4 med//PP//case//6 möjlighet//NN|UTR|SIN|IND|NOM//obl//4 för//PP//case//8 staten//NN|UTR|SIN|DEF|NOM//nmod//6 att//IE//mark//10 granska//VB|INF|AKT//acl//6 och//KN//cc//13 ytterst//AB|SUV//advmod//13 villkora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//10 eller//KN//cc//15 förbjuda//VB|INF|AKT//conj//10 överlåtelser//NN|UTR|PLU|IND|NOM//obj//15 och//KN//cc//18 upplåtelser//NN|UTR|PLU|IND|NOM//conj//16 av//PP//case//21 utpekad//PC|PRF|UTR|SIN|IND|NOM//amod//21 egendom//NN|UTR|SIN|IND|NOM//nmod//18 som//HP|-|-|-//nsubj//26 är//VB|PRS|AKT//cop//26 av//PP//case//26 väsentligt//JJ|POS|NEU|SIN|IND|NOM//amod//26 intresse//NN|NEU|SIN|IND|NOM//acl:relcl//6 för//PP//case//28 totalförsvaret//NN|NEU|SIN|DEF|NOM//obl//26 .//MID//punct//4
Vad är totalförsvaret?;Riksdagen//NN|UTR|SIN|DEF|NOM//conj//56 ,//MID//punct//85 regeringen//NN|UTR|SIN|DEF|NOM//conj//83 ,//MID//punct//88 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 myndigheter//NN|UTR|PLU|IND|NOM//conj//83 ,//MID//punct//90 kommuner//NN|UTR|PLU|IND|NOM//conj//83 ,//MID//punct//92 landsting//NN|NEU|SIN|IND|NOM//conj//83 ,//MID//punct//94 näringsliv//NN|NEU|SIN|IND|NOM//conj//83 ,//MID//punct//96 frivilligorganisationer//NN|UTR|PLU|IND|NOM//conj//83 samt//KN//cc//99 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//99 individer//NN|UTR|PLU|IND|NOM//conj//83 är//VB|PRS|AKT//cop//102 alla//DT|UTR/NEU|PLU|IND/DEF//det//102 delar//NN|UTR|PLU|IND|NOM//conj//56 av//PP//case//106 det//DT|NEU|SIN|DEF//det//106 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//106 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//102 .//MID//punct//14
Vad är totalförsvaret?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//109 finns//VB|PRS|SFO//parataxis//14 en//DT|UTR|SIN|IND//det//113 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//113 rättslig//JJ|POS|UTR|SIN|IND|NOM//amod//113 reglering//NN|UTR|SIN|IND|NOM//nsubj//109 för//PP//mark//120 hur//HA//advmod//120 det//DT|NEU|SIN|DEF//det//118 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//118 samhället//NN|NEU|SIN|DEF|NOM//nsubj//120 ska//VB|PRS|AKT//aux//120 fungera//VB|INF|AKT//acl//113 under//PP//case//122 krig//NN|NEU|SIN|IND|NOM//obl//120 eller//KN//cc//127 annars//AB//advmod//127 under//PP//case//127 höjd//PC|PRF|UTR|SIN|IND|NOM//amod//127 beredskap//NN|UTR|SIN|IND|NOM//conj//122 ,//MID//punct//132 samt//KN//cc//132 för//PP//case//132 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//132 planering//NN|UTR|SIN|IND|NOM//conj//120 och//KN//cc//135 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//135 förberedelser//NN|UTR|PLU|IND|NOM//conj//132 för//PP//case//138 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//138 situationer//NN|UTR|PLU|IND|NOM//nmod//135 .//MAD//punct//109
Vad är totalförsvaret?;Totalförsvarsverksamheten//NN|UTR|SIN|DEF|NOM//nsubj//141 omfattar//VB|PRS|AKT//parataxis//109 således//AB//advmod//141 i//PP//case//148 stort//AB//fixed//143 sett//PC|PRF|NEU|SIN|IND|NOM//fixed//143 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//148 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//148 funktionalitet//NN|UTR|SIN|IND|NOM//obl//141 och//KN//cc//150 berör//VB|PRS|AKT//conj//141 ett//DT|NEU|SIN|IND//det//153 stort//JJ|POS|NEU|SIN|IND|NOM//amod//153 antal//NN|NEU|SIN|IND|NOM//nmod//155 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//155 verksamheter//NN|UTR|PLU|IND|NOM//obj//150 inom//PP//case//158 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//158 samhällssektorer//NN|UTR|PLU|IND|NOM//obl//150 .//MAD//punct//141
Vad är totalförsvaret?;Genom//PP//case//164 2015//RG|NOM//nummod//162 års//NN|NEU|SIN|IND|GEN//nmod:poss//164 försvarspolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//164 inriktningsbeslut//NN|NEU|PLU|IND|NOM//obl//165 slogs//VB|PRT|SFO//conj//109 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//165 fast//PL//advmod//165 att//SN//mark//175 den//DT|UTR|SIN|DEF//det//171 sammanhängande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//171 planeringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//175 för//PP//case//173 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//171 ska//VB|PRS|AKT//aux//175 återupptas//VB|INF|SFO//advcl//165 i//PP//case//177 Sverige//PM|NOM//obl//175 .//MAD//punct//109
Vad är totalförsvaret?;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//182 är//VB|PRS|AKT//cop//182 en//DT|UTR|SIN|IND//det//182 följd//NN|UTR|SIN|IND|NOM//conj//109 av//PP//case//187 den//DT|UTR|SIN|DEF//det//187 försämrade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//187 säkerhetspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//187 situationen//NN|UTR|SIN|DEF|NOM//nmod//182 i//PP//case//189 Europa//PM|NOM//nmod//187 .//MAD//punct//182

Uppdraget;Som//KN//case//2 en//DT|UTR|SIN|IND//det//2 del//NN|UTR|SIN|IND|NOM//obl//13 i//PP//case//6 ett//DT|NEU|SIN|IND//det//6 stärkt//PC|PRF|NEU|SIN|IND|NOM//amod//6 totalförsvar//NN|NEU|SIN|IND|NOM//nmod//2 har//VB|PRS|AKT//aux//13 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//13 i//PP//case//12 den//DT|UTR|SIN|DEF//det//12 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 säkerhetsstrategin//NN|UTR|SIN|DEF|NOM//obl//13 aviserat//VB|SUP|AKT//ROOT//13 en//DT|UTR|SIN|IND//det//15 översyn//NN|UTR|SIN|IND|NOM//obj//13 av//PP//case//18 vilka//HD|UTR/NEU|PLU|IND//det//18 författningsändringar//NN|UTR|PLU|IND|NOM//obl//13 som//HP|-|-|-//nsubj//21 kan//VB|PRS|AKT//aux//21 behöva//VB|INF|AKT//acl:relcl//18 göras//VB|INF|SFO//xcomp//21 för//PP//mark//26 att//IE//mark//26 bättre//AB|KOM//advmod//26 tillgodose//VB|INF|AKT//advcl//22 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 behov//NN|NEU|SIN|IND|NOM//obj//26 av//PP//mark//32 att//IE//mark//32 kunna//VB|INF|AKT//aux//32 värna//VB|INF|AKT//acl//28 totalförsvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//34 intressen//NN|NEU|PLU|IND|NOM//obj//32 på//PP//case//37 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 områden//NN|NEU|PLU|IND|NOM//obl//32 i//PP//case//39 samhället//NN|NEU|SIN|DEF|NOM//nmod//37 .//MAD//punct//13
Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj:pass//48 för//PP//case//44 förbättrat//PC|PRF|NEU|SIN|IND|NOM//amod//44 skydd//NN|NEU|SIN|IND|NOM//nmod//41 för//PP//case//46 totalförsvarsverksamhet//NN|UTR|SIN|IND|NOM//nmod//44 har//VB|PRS|AKT//aux//48 tillsatts//VB|SUP|SFO//parataxis//13 mot//PP//case//51 denna//DT|UTR|SIN|DEF//det//51 bakgrund//NN|UTR|SIN|IND|NOM//obl//48 .//MAD//punct//48
Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//54 redovisade//VB|PRT|AKT//parataxis//48 den//DT|UTR|SIN|DEF//det//56 del//NN|UTR|SIN|IND|NOM//obj//54 av//PP//case//58 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//56 som//HP|-|-|-//nsubj//60 rör//VB|PRS|AKT//acl:relcl//58 skyddslagen//NN|UTR|SIN|DEF|NOM//obj//60 och//KN//cc//63 skyddsförordningen//NN|UTR|SIN|DEF|NOM//conj//61 i//PP//case//65 delbetänkandet//NN|NEU|SIN|DEF|NOM//nmod//63 Några//DT|UTR/NEU|PLU|IND//det//67 frågor//NN|UTR|PLU|IND|NOM//obj//60 i//PP//case//69 skyddslagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//67  //_SP////69 (//PAD//punct//54 SOU//PM|NOM//appos//54 2018:26//RG|NOM//nummod//72 )//PAD//punct//54 .//MAD//punct//13
Uppdraget;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//3 redovisar//VB|PRS|AKT//ROOT//3 kommittén//NN|UTR|SIN|DEF|NOM//det//6 resterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 del//NN|UTR|SIN|IND|NOM//nsubj//3 av//PP//case//9 sitt//PS|NEU|SIN|DEF//nmod:poss//9 uppdrag//NN|NEU|SIN|IND|NOM//nmod//6 .//MAD//punct//3
