av verksamhet och organisation på informationssäkerhetsområdet;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 från//PP//case//2 Informationssäkerhetsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0

Till statsrådet och chefen för Försvarsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 2009//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utreda//VB|INF|AKT//acl//12 formerna//NN|UTR|PLU|DEF|NOM//obj//14 för//PP//advmod//14 och//KN//fixed//16 konsekvenserna//NN|UTR|PLU|DEF|NOM//fixed//16 av//PP//mark//21 att//IE//mark//21 flytta//VB|INF|AKT//advcl//14 ansvaret//NN|NEU|SIN|DEF|NOM//obj//21 för//PP//case//26 dels//KN//advmod//26 Sveriges//PM|GEN//nmod:poss//26 IT-incidentcentrum//NN|NEU|SIN|IND|NOM//obl//21 (//PAD//punct//28 Sitic//PM|NOM//appos//26 )//PAD//punct//28 från//PP//case//31 Post-//NN|UTR|-|-|SMS//nmod//26 och//KN//cc//33 telestyrelsen//NN|UTR|SIN|DEF|NOM//conj//31 (//PAD//punct//26 PTS//PM|NOM//appos//26 )//PAD//punct//26 dels//KN//advmod//39 Sveriges//PM|GEN//nmod:poss//39 certifieringsorgan//NN|NEU|SIN|IND|NOM//conj//26 för//PP//case//41 IT-säkerhet//NN|UTR|SIN|IND|NOM//nmod//39 (//PAD//punct//43 CSEC//PM|NOM//appos//39 )//PAD//punct//43 från//PP//case//47 Försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//47 materielverk//NN|NEU|SIN|IND|NOM//nmod//39 (//PAD//punct//47 FMV//PM|NOM//appos//47 )//PAD//punct//47 .//MAD//punct//54
Till statsrådet och chefen för Försvarsdepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//54 ska//VB|PRS|AKT//aux//54 undersöka//VB|INF|AKT//conj//1 vilken//HD|UTR|SIN|IND//det//56 myndighet//NN|UTR|SIN|IND|NOM//obj//54 av//PP//case//59 Försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//59 radioanstalt//NN|UTR|SIN|IND|NOM//nmod//56 (//PAD//punct//56 FRA//PM|NOM//appos//56 )//PAD//punct//56 och//KN//cc//99 Myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//99 för//PP//case//66 samhällsskydd//NN|UTR|SIN|IND|NOM//nmod//64 och//KN//cc//68 beredskap//NN|UTR|SIN|IND|NOM//conj//66 (//PAD//punct//64 MSB//PM|NOM//appos//64 )//PAD//punct//70 som//HP|-|-|-//nsubj//73 bedöms//VB|PRS|SFO//acl:relcl//70 bäst//AB|SUV//advmod//75 lämpad//PC|PRF|UTR|SIN|IND|NOM//xcomp//73 att//IE//mark//78 vara//VB|INF|AKT//cop//78 ansvarig//JJ|POS|UTR|SIN|IND|NOM//acl//75 utifrån//PP//case//81 de//DT|UTR/NEU|PLU|DEF//det//81 behov//NN|NEU|PLU|IND|NOM//obl//78 och//KN//cc//83 målsättningar//NN|UTR|PLU|IND|NOM//conj//81 som//HP|-|-|-//obj//86 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//86 angett//VB|SUP|AKT//acl:relcl//83 när//HA//mark//93 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//87 gäller//VB|PRS|AKT//fixed//87 att//IE//mark//93 bland//PP//advmod//93 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//91 samla//VB|INF|AKT//advcl//86 informationssäkerhetsfrågorna//NN|UTR|PLU|DEF|NOM//obj//93 .//MAD//punct//96
Till statsrådet och chefen för Försvarsdepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//conj//64 ska//VB|PRS|AKT//aux//99 också//AB//advmod//99 föreslå//VB|INF|AKT//conj//1 en//DT|UTR|SIN|IND//det//101 myndighet//NN|UTR|SIN|IND|NOM//obj//99 att//IE//mark//104 vara//VB|INF|AKT//cop//104 signatär//NN|UTR|SIN|IND|NOM//acl//101 för//PP//case//107 både//KN//cc//107 CCRA//PM|NOM//nmod//104 (//PAD//punct//111 Common//PM|NOM//compound//110 Criteria//PM|NOM//compound//111 Recognition//PM|NOM//appos//107 Arrangement//PM|NOM//flat:name//111 )//PAD//punct//111 och//KN//cc//115 SOGIS-MRA//PM|NOM//conj//107 (//PAD//punct//115 Senior//PM|NOM//amod//119 Officials//PM|NOM//nmod:poss//119 Group//PM|NOM//compound//122 Information//PM|NOM//nmod//121 Systems//PM|NOM//compound//122 Security//PM|NOM//appos//115 –//PM|NOM//punct//125 Mutual//PM|NOM//nmod//125 Recognition//PM|NOM//nmod//126 Agreement//PM|NOM//nmod//107 )//PAD//punct//99 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Som//KN//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnade//VB|PRT|AKT//ROOT//3 chefen//NN|UTR|SIN|DEF|NOM//obj//3 för//PP//case//6 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//4 den//DT|UTR|SIN|DEF//det//9 11//RG|NOM//nummod//9 december//NN|UTR|SIN|IND|NOM//nmod//12 2009//RG|NOM//nummod//11 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//12 Jan//PM|NOM//obl//3 Hyllander//PM|NOM//flat:name//12 .//MAD//punct//12
Till statsrådet och chefen för Försvarsdepartementet;Som//KN//case//16 sekreterare//NN|UTR|SIN|IND|NOM//obl//17 förordnades//VB|PRT|SFO//parataxis//3 Avdelningschef//NN|UTR|SIN|IND|NOM//nmod//19 Magnus//PM|NOM//nsubj:pass//17 Hjort//PM|NOM//flat:name//19 ,//MID//punct//19 analytiker//NN|UTR|SIN|IND|NOM//nmod//23 Andreas//PM|NOM//appos//19 Wedner//PM|NOM//flat:name//23 (//PAD//punct//19 från//PP//case//29 den//DT|UTR|SIN|DEF//det//29 7//RO|NOM//nummod//29 december//NN|UTR|SIN|IND|NOM//obl//17 2009//RG|NOM//nummod//29 till//PP//case//34 den//DT|UTR|SIN|DEF//det//34 1//RO|NOM//nummod//34 februari//NN|UTR|SIN|IND|NOM//nmod//29 2010//RG|NOM//nummod//34 )//PAD//punct//29 och//KN//cc//39 analytiker//NN|UTR|SIN|IND|NOM//nmod//39 Nina//PM|NOM//conj//3 Wilhelmson//PM|NOM//flat:name//39 (//PAD//punct//45 från//PP//case//45 den//DT|UTR|SIN|DEF//det//45 1//RO|NOM//nummod//45 februari//NN|UTR|SIN|IND|NOM//nmod//39 2010//RG|NOM//nummod//45 )//PAD//punct//45 .//MAD//punct//53
Till statsrådet och chefen för Försvarsdepartementet;Anders//PM|NOM//nmod//50 Jacobsson//PM|NOM//nsubj//53 har//VB|PRS|AKT//aux//53 varit//VB|SUP|AKT//cop//53 utredningsassistent//NN|UTR|SIN|IND|NOM//parataxis//3 .//MAD//punct//53
Till statsrådet och chefen för Försvarsdepartementet;Departementssekreterarna//NN|UTR|PLU|DEF|NOM//nmod//56 Ingolf//PM|NOM//nsubj//63 Berg//PM|NOM//flat:name//56 och//KN//cc//59 Linda//PM|NOM//conj//56 Ericson//PM|NOM//flat//59 har//VB|PRS|AKT//aux//63 varit//VB|SUP|AKT//cop//63 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//parataxis//53 respektive//AB//cc//65 expert//NN|UTR|SIN|IND|NOM//conj//63 i//PP//case//67 utredningen//NN|UTR|SIN|DEF|NOM//nmod//63 .//MAD//punct//3
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//2 14//RG|NOM//nummod//2 januari//NN|UTR|SIN|IND|NOM//obl//4 2010//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 om//PP//case//7 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//4 för//PP//case//9 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//7 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;Utredningstiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//12 förlängdes//VB|PRT|SFO//parataxis//4 och//KN//cc//16 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//16 ska//VB|PRS|AKT//aux//16 slutredovisas//VB|INF|SFO//conj//12 senast//AB|SUV//case//20 den//DT|UTR|SIN|DEF//det//20 1//RO|NOM//nummod//20 april//NN|UTR|SIN|IND|NOM//obl//16 2010//RG|NOM//nummod//20 .//MAD//punct//4
