En yrkesinriktning inom teknikprogrammet;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Yrkesprogramsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet och chefen för Utbildningsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//47 förordnade//VB|PRT|AKT//parataxis//22 utredaren//NN|UTR|SIN|DEF|NOM//nmod//49 Maria//PM|NOM//nsubj//47 Liljestrand//PM|NOM//flat:name//49 som//HP|-|-|-//mark//52 utredningssekreterare//NN|UTR|SIN|IND|NOM//advcl//47 den//DT|UTR|SIN|DEF//det//55 22//RG|NOM//nummod//55 april//NN|UTR|SIN|IND|NOM//obj//52 2014//RG|NOM//nummod//55 till//PP//case//63 och//KN//fixed//57 med//AB//fixed//57 den//DT|UTR|SIN|DEF//det//61 31//RG|NOM//nummod//62 augusti//NN|UTR|SIN|IND|NOM//nmod//63 2014//RG|NOM//obl//52 .//MAD//punct//22
Till statsrådet och chefen för Utbildningsdepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 har//VB|PRS|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 den//DT|UTR|SIN|DEF//det//8 20//RG|NOM//nummod//8 maj//NN|UTR|SIN|IND|NOM//obj//4 2014//RG|NOM//nummod//8 förordnat//VB|SUP|AKT//amod//11 utredaren//NN|UTR|SIN|DEF|NOM//nmod//12 Annika//PM|NOM//obj//4 Jalap-Hermansson//PM|NOM//flat:name//12 ,//MID//punct//13 undervisningsrådet//NN|NEU|SIN|DEF|NOM//nmod//16 Christina//PM|NOM//conj//12 Månberg//PM|NOM//flat:name//16 ,//MID//punct//16 statistikern//NN|UTR|SIN|DEF|NOM//nmod//20 Lene//PM|NOM//conj//12 Persson//PM|NOM//flat:name//20 Weiss//PM|NOM//flat:name//20 ,//MID//punct//12 den//DT|UTR|SIN|DEF//det//26 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 koordinatorn//NN|UTR|SIN|DEF|NOM//nmod//27 Stefan//PM|NOM//appos//12 Skimutis//PM|NOM//flat:name//27 ,//MID//punct//12 och//KN//cc//31 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//32 Monika//PM|NOM//conj//12 Wallström//PM|NOM//flat//32 .//MAD//punct//4
Till statsrådet och chefen för Utbildningsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Yrkesprogramsutredningen//PM|NOM//obj//4 ,//MID//punct//0 får//VB|PRS|AKT//aux//10 härmed//AB//advmod//10 överlämna//VB|INF|AKT//ROOT//10 sitt//PS|NEU|SIN|DEF//nmod:poss//12 delbetänkande//NN|NEU|SIN|IND|NOM//obj//10 En//DT|UTR|SIN|IND//det//14 yrkesinriktning//NN|UTR|SIN|IND|NOM//obj//10 inom//PP//case//16 teknikprogrammet//NN|NEU|SIN|DEF|NOM//nmod//14  //_SP////16 (//PAD//punct//14 SOU//PM|NOM//appos//14 2015:29//RG|NOM//obl//10 )//PAD//punct//10 .//MAD//punct//10
Till statsrådet och chefen för Utbildningsdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 mars//NN|UTR|SIN|IND|NOM//obl//0 2015//RG|NOM//nummod//2
Till statsrådet och chefen för Utbildningsdepartementet;Amelie//PM|NOM//nmod//4 von//PM|NOM//nmod:poss//3 Zweigbergk//PM|NOM//flat:name//1 /Jan//MID//nmod//4 Schierbeck//PM|NOM//ROOT//4
Till statsrådet och chefen för Utbildningsdepartementet;Elsa//PM|NOM//ROOT//0 Engström//PM|NOM//flat:name//0
Till statsrådet och chefen för Utbildningsdepartementet;Thomas//PM|NOM//ROOT//0 Hagnefur//PM|NOM//flat//0
Till statsrådet och chefen för Utbildningsdepartementet;Luca//PM|NOM//nmod//1 Nesi//PM|NOM//ROOT//1


1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning;1//RG|NOM//nummod//1 §//NN|AN//obl//5  //_SP////1 Denna//DT|UTR|SIN|DEF//det//4 förordning//NN|UTR|SIN|IND|NOM//conj//1 innehåller//VB|PRS|AKT//ROOT//5 föreskrifter//NN|UTR|PLU|IND|NOM//obj//5 om//PP//case//9 en//DT|UTR|SIN|IND//det//9 försöksverksamhet//NN|UTR|SIN|IND|NOM//obl//5 med//PP//case//12 en//DT|UTR|SIN|IND//det//12 yrkesinriktning//NN|UTR|SIN|IND|NOM//nmod//9 inom//PP//case//15 gymnasieskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//15 teknikprogram//NN|NEU|SIN|IND|NOM//nmod//12 .//MAD//punct//5
1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning;Förordningen//NN|UTR|SIN|DEF|NOM//nsubj//18 gäller//VB|PRS|AKT//parataxis//5 för//PP//case//20 yrkesinriktning//NN|UTR|SIN|IND|NOM//obl//18 som//HP|-|-|-//nsubj:pass//22 påbörjas//VB|PRS|SFO//acl:relcl//20 under//PP//case//26 tiden//NN|UTR|SIN|DEF|NOM//nmod//25 1//RG|NOM//nummod//26 augusti//NN|UTR|SIN|IND|NOM//obl//22 2017–1//RG|NOM//nummod//28 oktober//NN|UTR|SIN|IND|NOM//obl//22 2018//RG|NOM//nummod//28 .//MAD//punct//5

1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Övriga regler om gymnasieskolan;2//RG|NOM//nummod//1 §//NN|AN//nsubj//14  //_SP////1 I//PP//case//4 skollagen//NN|UTR|SIN|DEF|NOM//nmod//1 (//PAD//punct//4 2010:800//RG|NOM//appos//4 )//PAD//punct//4 och//KN//cc//10 i//PP//case//10 gymnasieförordningen//NN|UTR|SIN|DEF|NOM//conj//4 (//PAD//punct//4 2010:2039//RG|NOM//appos//4 )//PAD//punct//4 finns//VB|PRS|SFO//ROOT//14 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//14 om//PP//case//18 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//16 som//HP|-|-|-//nsubj//20 gäller//VB|PRS|AKT//acl:relcl//18 för//PP//case//23 denna//DT|UTR|SIN|DEF//det//23 utbildning//NN|UTR|SIN|IND|NOM//obl//20 i//PP//case//26 tillämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 delar//NN|UTR|PLU|IND|NOM//nmod//23 .//MAD//punct//14

1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Villkor för deltagande;3//RG|NOM//nummod//1 §//NN|AN//nsubj//24  //_SP////1 Varje//DT|UTR/NEU|SIN|IND//det//4 kommun//NN|UTR|SIN|IND|NOM//nmod//1 och//KN//cc//6 landsting//NN|NEU|SIN|IND|NOM//conj//4 som//HP|-|-|-//nsubj//8 erbjuder//VB|PRS|AKT//acl:relcl//6 utbildning//NN|UTR|SIN|IND|NOM//obj//8 på//PP//case//12 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 program//NN|NEU|PLU|IND|NOM//nmod//9 inom//PP//case//14 gymnasieskolan//NN|UTR|SIN|DEF|NOM//obl//8 samt//KN//cc//17 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 huvudmän//NN|UTR|PLU|IND|NOM//conj//14 som//HP|-|-|-//nsubj//19 har//VB|PRS|AKT//acl:relcl//17 tillstånd//NN|NEU|SIN|IND|NOM//obj//19 för//PP//case//22 teknikprogrammet//NN|NEU|SIN|DEF|NOM//nmod//20 kan//VB|PRS|AKT//aux//24 delta//VB|INF|AKT//ROOT//24 i//PP//case//26 försöksverksamheten//NN|UTR|SIN|DEF|NOM//obl//24 .//MAD//punct//24
1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Villkor för deltagande;För//PP//mark//6 att//SN//mark//6 en//DT|UTR|SIN|IND//det//3 skolhuvudman//NN|UTR|SIN|IND|NOM//nsubj//6 ska//VB|PRS|AKT//aux//6 få//VB|INF|AKT//aux//6 delta//VB|INF|AKT//advcl//9 i//PP//case//8 försöksverksamheten//NN|UTR|SIN|DEF|NOM//obl//6 krävs//VB|PRS|SFO//ROOT//9 att//SN//mark//14 god//JJ|POS|UTR|SIN|IND|NOM//amod//12 kvalitet//NN|UTR|SIN|IND|NOM//nsubj:pass//14 kan//VB|PRS|AKT//aux//14 upprätthållas//VB|INF|SFO//advcl//9 för//PP//case//18 elevens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 utbildning//NN|UTR|SIN|IND|NOM//obl//14 .//MAD//punct//9
1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Villkor för deltagande;Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 skolverk//NN|NEU|SIN|IND|NOM//nsubj//2 beslutar//VB|PRS|AKT//ROOT//2 efter//PP//case//4 ansökan//NN|UTR|SIN|IND|NOM//obl//2 vilka//HD|UTR/NEU|PLU|IND//det//6 huvudmän//NN|UTR|PLU|IND|NOM//obj//2 som//HP|-|-|-//nsubj//9 får//VB|PRS|AKT//aux//9 delta//VB|INF|AKT//acl:relcl//6 i//PP//case//11 försöksverksamheten//NN|UTR|SIN|DEF|NOM//obl//9 .//MAD//punct//2
1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Villkor för deltagande;Av//PP//case//14 besluten//NN|NEU|PLU|DEF|NOM//obl//17 ska//VB|PRS|AKT//aux//17 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//17 framgå//VB|INF|AKT//parataxis//2 vid//PP//case//20 vilka//HD|UTR/NEU|PLU|IND//det//20 skolor//NN|UTR|PLU|IND|NOM//obl//23 huvudmännen//NN|UTR|PLU|DEF|NOM//nsubj//23 ska//VB|PRS|AKT//aux//23 bedriva//VB|INF|AKT//ccomp//17 försöksverksameten//NN|NEU|PLU|DEF|NOM//obj//23 .//MAD//punct//2

1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Utbildningens syfte;4//RG|NOM//nummod//1 §//NN|AN//nsubj//5  //_SP////1 Yrkesinriktningen//NN|UTR|SIN|DEF|NOM//nmod//1 ska//VB|PRS|AKT//aux//5 utgöra//VB|INF|AKT//ROOT//5 grund//NN|UTR|SIN|IND|NOM//obj//5 dels//KN//advmod//9 för//PP//case//9 yrkesverksamhet//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//12 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//12 yrkesutbildning//NN|UTR|SIN|IND|NOM//conj//9 ,//MID//punct//17 dels//KN//advmod//17 för//PP//case//17 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//17 utbildning//NN|UTR|SIN|IND|NOM//conj//9 på//PP//case//19 högskolenivå//NN|UTR|SIN|IND|NOM//nmod//17 .//MAD//punct//5

1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Ansökan;5//RG|NOM//nummod//1 §//NN|AN//nmod//3  //_SP////1 Ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//11 om//PP//mark//7 att//IE//mark//7 få//VB|INF|AKT//aux//7 delta//VB|INF|AKT//acl//3 i//PP//case//9 försöksverksamheten//NN|UTR|SIN|DEF|NOM//obl//7 ska//VB|PRS|AKT//aux//11 ges//VB|INF|SFO//ROOT//11 in//PL//compound:prt//11 till//PP//case//15 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 skolverk//NN|NEU|SIN|IND|NOM//obl//11 .//MAD//punct//11
1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Ansökan;Ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//21 ska//VB|PRS|AKT//aux//21 första//RO|NOM//amod//20 gången//NN|UTR|SIN|DEF|NOM//nsubj:pass//21 göras//VB|INF|SFO//parataxis//11 senast//AB|SUV//case//25 den//DT|UTR|SIN|DEF//det//25 1//RO|NOM//nummod//25 mars//NN|UTR|SIN|IND|NOM//obl//21 2016//RG|NOM//nummod//25 .//MAD//punct//11
1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Ansökan;Skolverket//NN|NEU|SIN|DEF|NOM//nsubj//2 får//VB|PRS|AKT//aux//2 meddela//VB|INF|AKT//ROOT//2 föreskrift//NN|UTR|SIN|IND|NOM//obj//2 om//PP//case//5 ansökan//NN|UTR|SIN|IND|NOM//nmod//3 .//MAD//punct//2
1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Ansökan;Skolverket//NN|NEU|SIN|DEF|NOM//nsubj//14 ska//VB|PRS|AKT//aux//14 senast//AB|SUV//case//12 den//DT|UTR|SIN|DEF//det//12 15//RG|NOM//nummod//12 maj//NN|UTR|SIN|IND|NOM//obl//13 2016//RG|NOM//obl//14 besluta//VB|INF|AKT//parataxis//2 om//PP//mark//19 vilka//HP|UTR/NEU|PLU|IND//dislocated//19 som//HP|-|-|-//nsubj//19 får//VB|PRS|AKT//aux//19 delta//VB|INF|AKT//advcl//14 i//PP//case//21 försöket//NN|NEU|SIN|DEF|NOM//obl//19 .//MAD//punct//14

1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Statsbidrag;6//RG|NOM//nummod//1 §//NN|AN//nsubj:pass//10  //_SP////1 Till//PP//case//5 varje//DT|UTR/NEU|SIN|IND//det//5 skolhuvudman//NN|UTR|SIN|IND|NOM//nmod//1 som//HP|-|-|-//nsubj//7 deltar//VB|PRS|AKT//acl:relcl//5 i//PP//case//9 försöksverksamheten//NN|UTR|SIN|DEF|NOM//obl//7 lämnas//VB|PRS|SFO//ROOT//10 ett//DT|NEU|SIN|IND//det//12 statsbidrag//NN|NEU|SIN|IND|NOM//nsubj:pass//10 med//PP//case//16 50//RG|NOM//nummod//15 000//RG|NOM//nummod//16 kronor//NN|UTR|PLU|IND|NOM//nmod//12 per//PP//case//18 elev//NN|UTR|SIN|IND|NOM//nmod//16 och//KN//cc//20 år//NN|NEU|SIN|IND|NOM//conj//18 som//HP|-|-|-//obj//23 eleven//NN|UTR|SIN|DEF|NOM//nsubj//23 studerar//VB|PRS|AKT//acl:relcl//20 yrkesinriktningen//NN|UTR|SIN|DEF|NOM//obj//23 .//MAD//punct//10
1.1 Förslag till förordning (2015:000) om försöksverksamhet med en yrkesinriktning inom gymnasieskolans teknikprogram Inledning / Statsbidrag;Statsbidraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//27 lämnas//VB|PRS|SFO//parataxis//10 i//PP//case//29 mån//NN|UTR|SIN|IND|NOM//obl//27 av//PP//case//31 tillgång//NN|UTR|SIN|IND|NOM//obl//27 på//PP//case//33 medel//NN|NEU|PLU|IND|NOM//nmod//31 .//MAD//punct//27
