Aggressionsbrottet i svensk rätt och svensk straffrättslig domsrätt;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Aggressionsbrottsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Aggressionsbrottet i svensk rätt och svensk straffrättslig domsrätt;Stockholm//PM|NOM//ROOT//0 2018//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 26//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2017//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 överväga//VB|INF|AKT//acl//12 och//KN//cc//16 ta//VB|INF|AKT//conj//14 ställning//NN|UTR|SIN|IND|NOM//obj//16 till//PP//mark//22 om//SN//mark//22 Sverige//PM|NOM//nsubj//22 bör//VB|PRS|AKT//aux//22 tillträda//VB|INF|AKT//advcl//16 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 ändringar//NN|UTR|PLU|IND|NOM//obj//22 i//PP//case//26 Romstadgan//PM|NOM//obl//22 –//PAD//punct//4 de//DT|UTR/NEU|PLU|DEF//det//30 s.k.//AB|AN//amod//30 Kampalaändringarna//NN|UTR|PLU|DEF|NOM//appos//4 och//KN//cc//34 2015//RG|NOM//nummod//33 års//NN|NEU|SIN|IND|GEN//nmod:poss//34 ändring//NN|UTR|SIN|IND|NOM//conj//30 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 artikel//NN|UTR|SIN|IND|NOM//nmod//37 124//RG|NOM//nmod//30 i//PP//case//39 stadgan//NN|UTR|SIN|DEF|NOM//obl//1 (//PAD//punct//39 dir//NN|AN//appos//39 .//MID//punct//43
Till statsrådet och chefen för Justitiedepartementet;2017:105//RG|NOM//conj//39 och//KN//cc//45 dir//NN|AN//conj//43 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;2018:87//RG|NOM//obl//1 )//PAD//punct//47 .//MAD//punct//52
Till statsrådet och chefen för Justitiedepartementet;Utredarens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//52 innefattade//VB|PRT|AKT//conj//1 också//AB//advmod//52 att//IE//mark//55 överväga//VB|INF|AKT//xcomp//52 och//KN//cc//57 ta//VB|INF|AKT//conj//55 ställning//NN|UTR|SIN|IND|NOM//obj//57 till//PP//compound:prt//57 om//SN//mark//66 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//66 i//PP//case//64 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//64 rätt//NN|UTR|SIN|IND|NOM//obl//66 bör//VB|PRS|AKT//aux//66 införas//VB|INF|SFO//advcl//52 möjligheter//NN|UTR|PLU|IND|NOM//nsubj:pass//66 att//IE//mark//71 i//PP//case//70 Sverige//PM|NOM//obl//71 lagföra//VB|INF|AKT//acl//67 personer//NN|UTR|PLU|IND|NOM//obj//71 som//HP|-|-|-//nsubj//75 har//VB|PRS|AKT//aux//75 begått//VB|SUP|AKT//acl:relcl//72 aggressionsbrott//NN|NEU|PLU|IND|NOM//obj//75 .//MAD//punct//52
Till statsrådet och chefen för Justitiedepartementet;Oavsett//PP//mark//83 vilket//HD|NEU|SIN|IND//det//80 ställningstagande//NN|NEU|SIN|IND|NOM//nsubj//83 som//HP|-|-|-//obj//83 övervägandena//NN|NEU|PLU|DEF|NOM//nsubj//83 ledde//VB|PRT|AKT//advcl//88 fram//PL//advmod//83 till//PP//compound:prt//83 skulle//VB|PRT|AKT//aux//88 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//88 lämna//VB|INF|AKT//conj//1 förslag//NN|NEU|SIN|IND|NOM//obj//88 till//PP//case//92 de//DT|UTR/NEU|PLU|DEF//det//92 författningsändringar//NN|UTR|PLU|IND|NOM//obl//88 som//HP|-|-|-//nsubj:pass//94 behövs//VB|PRS|SFO//acl:relcl//92 i//PP//case//97 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//97 rätt//NN|UTR|SIN|IND|NOM//obl//94 för//PP//mark//105 att//SN//mark//105 en//DT|UTR|SIN|IND//det//102 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//102 lagföring//NN|UTR|SIN|IND|NOM//nsubj//105 ska//VB|PRS|AKT//aux//105 kunna//VB|INF|AKT//aux//105 ske//VB|INF|AKT//advcl//94 .//MAD//punct//110
Till statsrådet och chefen för Justitiedepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//110 skulle//VB|PRT|AKT//aux//110 även//AB//advmod//110 göra//VB|INF|AKT//conj//1 en//DT|UTR|SIN|IND//det//113 förnyad//PC|PRF|UTR|SIN|IND|NOM//amod//113 översyn//NN|UTR|SIN|IND|NOM//obj//110 och//KN//cc//115 ta//VB|INF|AKT//conj//110 fram//PL//compound:prt//115 ett//DT|NEU|SIN|IND//det//118 uppdaterat//PC|PRF|NEU|SIN|IND|NOM//obj//115 och//KN//cc//120 samlat//PC|PRF|NEU|SIN|IND|NOM//conj//110 beredningsunderlag//NN|NEU|PLU|IND|NOM//obj//120 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//123 reglerna//NN|UTR|PLU|DEF|NOM//obl//120 om//PP//case//127 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//127 straffrättslig//JJ|POS|UTR|SIN|IND|NOM//amod//127 domsrätt//NN|UTR|SIN|IND|NOM//nmod//123 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 samma//DT|UTR/NEU|SIN/PLU|IND//det//5 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//3 f.d.//JJ|AN//amod//7 ambassadören//NN|UTR|SIN|DEF|NOM//nmod//8 Carl//PM|NOM//dep//3 Henrik//PM|NOM//flat:name//8 Ehrenkrona//PM|NOM//flat:name//8 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;I//PP//case//1 utredningen//NN|UTR|SIN|DEF|NOM//obl//12 har//VB|PRS|AKT//aux//12 från//PP//case//11 och//KN//fixed//3 med//PP//fixed//3 den//DT|UTR|SIN|DEF//det//8 14//RG|NOM//nummod//8 november//NN|UTR|SIN|IND|NOM//fixed//3 2017//RG|NOM//nummod//8 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 experter//NN|UTR|PLU|IND|NOM//obl//12 medverkat//VB|SUP|AKT//ROOT//12 ://MID//punct//12
