Till statsrådet Ingela Thalén;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 november//NN|UTR|SIN|IND|NOM//obl//0 2000//RG|NOM//nummod//2 .//MAD//punct//0
Till statsrådet Ingela Thalén;Siv//PM|NOM//ROOT//0 Helmer//PM|NOM//flat:name//0 /Stefan//RG|NOM//case//4 Härmä//PM|NOM//nmod//4 8.1//RG|NOM//nmod//0 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//4 till//PP//case//7 lag//NN|UTR|SIN|IND|NOM//obl//0 om//PP//case//9 ändring//NN|UTR|SIN|IND|NOM//nmod//7 i//PP//case//11 lagen//NN|UTR|SIN|DEF|NOM//nmod//9 (//PAD//punct//13 1962:381//RG|NOM//conj//11 )//PAD//punct//13 om//PP//case//18 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//17 8.2//RG|NOM//nmod//18 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//9 till//PP//case//20 lag//NN|UTR|SIN|IND|NOM//nmod//18 om//PP//case//22 ändring//NN|UTR|SIN|IND|NOM//nmod//20 i//PP//case//24 lagen//NN|UTR|SIN|DEF|NOM//nmod//22 (//PAD//punct//26 1976:380//RG|NOM//nmod//22 )//PAD//punct//26 om//PP//case//30 arbets8.3//AB|AN//nmod//30 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//18 till//PP//case//32 lag//NN|UTR|SIN|IND|NOM//nmod//30 om//PP//case//34 ändring//NN|UTR|SIN|IND|NOM//nmod//32 i//PP//case//36 lagen//NN|UTR|SIN|DEF|NOM//nmod//34 (//PAD//punct//38 1998:674//RG|NOM//nmod//30 )//PAD//punct//38 om//PP//cc//42 inkomst8.4//PAD//advmod//42 Förslaget//NN|NEU|SIN|DEF|NOM//conj//30 till//PP//case//44 lag//NN|UTR|SIN|IND|NOM//nmod//42 om//PP//case//46 ändring//NN|UTR|SIN|IND|NOM//nmod//44 i//PP//case//48 lagen//NN|UTR|SIN|DEF|NOM//nmod//46 (//PAD//punct//50 2000:461//RG|NOM//nmod//46 )//PAD//punct//50 om//PP//case//54 8.5//RG|NOM//nummod//54 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//42 till//PP//case//56 lag//NN|UTR|SIN|IND|NOM//nmod//54 om//PP//case//58 ändring//NN|UTR|SIN|IND|NOM//nmod//56 i//PP//case//60 lagen//NN|UTR|SIN|DEF|NOM//nmod//58 (//PAD//punct//62 2000:798//RG|NOM//appos//54 )//PAD//punct//62 om//PP//case//0

Eftersom frågor rörande bostadstillägg för närvarande bereds inom socialdepartementet lägger vi inte fram något författningsförslag om detta. Övriga frågor;Vår//PS|UTR|SIN|DEF//nmod:poss//1 bedömning//NN|UTR|SIN|IND|NOM//nsubj//2 är//VB|PRS|AKT//ROOT//2 att//SN//mark//7 förslagen//NN|NEU|PLU|DEF|NOM//nsubj//7 sammantaget//PC|PRF|NEU|SIN|IND|NOM//nsubj//7 inte//AB//advmod//7 ger//VB|PRS|AKT//ccomp//2 några//DT|UTR/NEU|PLU|IND//det//10 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//10 kostnader//NN|UTR|PLU|IND|NOM//obj//7 för//PP//case//13 det//DT|NEU|SIN|DEF//det//13 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//7 .//MAD//punct//2
Eftersom frågor rörande bostadstillägg för närvarande bereds inom socialdepartementet lägger vi inte fram något författningsförslag om detta. Övriga frågor;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//16 medför//VB|PRS|AKT//parataxis//2 inte//AB//advmod//16 heller//AB//advmod//16 några//DT|UTR/NEU|PLU|IND//det//21 EG-rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 konsekvenser//NN|UTR|PLU|IND|NOM//obj//16 ,//MID//punct//16 eftersom//SN//mark//26 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//26 endast//AB//advmod//26 berör//VB|PRS|AKT//advcl//16 förmåner//NN|UTR|PLU|IND|NOM//obj//26 från//PP//case//30 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//30 socialförsäkring//NN|UTR|SIN|IND|NOM//nmod//27 för//PP//case//32 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//27 som//HP|-|-|-//nsubj:pass//34 vistas//VB|PRS|SFO//acl:relcl//32 på//PP//case//37 en//DT|UTR|SIN|IND//det//37 institution//NN|UTR|SIN|IND|NOM//obl//34 här//AB//advmod//34 i//PP//case//40 landet//NN|NEU|SIN|DEF|NOM//obl//34 .//MAD//punct//16
Eftersom frågor rörande bostadstillägg för närvarande bereds inom socialdepartementet lägger vi inte fram något författningsförslag om detta. Övriga frågor;De//DT|UTR/NEU|PLU|DEF//det//2 föreslagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 träda//VB|INF|AKT//ROOT//4 i//PP//compound:prt//4 kraft//NN|UTR|SIN|IND|NOM//fixed//5 den//DT|UTR|SIN|DEF//det//9 1//RO|NOM//nummod//9 januari//NN|UTR|SIN|IND|NOM//obl//4 2003//RG|NOM//nummod//9 ,//MID//punct//9 vilket//HP|NEU|SIN|IND//nsubj//13 sammanfaller//VB|PRS|AKT//acl:relcl//9 med//PP//case//15 ikraftträdandet//NN|NEU|SIN|DEF|NOM//obl//13 av//PP//case//19 de//DT|UTR/NEU|PLU|DEF//det//19 reformerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//19 pensionssystemen//NN|NEU|PLU|DEF|NOM//nmod//15 .//MAD//punct//4

1 Förslag till Lag om ändring i lagen (1962:381) om allmän försäkring;Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//fixed//2 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 (//PAD//punct//7 1962:381//RG|NOM//conj//5 )//PAD//punct//7 om//PP//case//11 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//11 försäkring//NN|UTR|SIN|IND|NOM//obl//1 dels//KN//advmod//11  //_SP////12 att//SN//mark//30 10//RG|NOM//nummod//16 kap.//NN|AN//nmod//17 2//RG|NOM//nummod//20 och//KN//cc//17 3//RG|NOM//nummod//17 §//NN|AN//nmod//21 §//NN|AN//nmod//22 lagen//NN|UTR|SIN|DEF|NOM//nsubj//30 (//PAD//punct//24 1962:381//RG|NOM//appos//22 )//PAD//punct//24 om//PP//case//28 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//28 försäkring//NN|UTR|SIN|IND|NOM//nmod//22 skall//VB|PRS|AKT//aux//30 upphöra//VB|INF|AKT//acl//11 att//IE//mark//32 gälla//VB|INF|AKT//advcl//30 ,//MID//punct//41 dels//KN//advmod//41  //_SP////34 att//SN//mark//41 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//41 i//PP//case//39 lagen//NN|UTR|SIN|DEF|NOM//obl//41 skall//VB|PRS|AKT//aux//41 införas//VB|INF|SFO//advcl//1 fyra//RG|NOM//nummod//44 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 paragrafer//NN|UTR|PLU|IND|NOM//nsubj:pass//41 ,//MID//punct//44 7//RG|NOM//nummod//53 a//NN|NEU|SIN|IND|NOM//case//49 kap.//NN|AN//nmod//49 35//RG|NOM//nmod//46 och//KN//cc//49 36//RG|NOM//nummod//49 §//NN|AN//nmod//53 §//NN|AN//nmod//44 samt//KN//cc//53 16//RG|NOM//nummod//56 kap.//NN|AN//nmod//57 20//RG|NOM//nummod//53 och//KN//cc//57 21//RG|NOM//nummod//57 §//NN|AN//nmod//61 §//NN|AN//nmod//53 ,//MID//punct//41 av//PP//case//65 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 lydelse//NN|UTR|SIN|IND|NOM//obl//41 .//MAD//punct//1

1 Förslag till Lag om ändring i lagen (1962:381) om allmän försäkring / 7 a kap. 1;35//RG|NOM//nummod//1 §//NN|AN//ROOT//1
