Ny Administration;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Pensionsadministrationsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Ny Administration;Stockholm//PM|NOM//ROOT//0 2006//RG|NOM//nummod//0


Pehrsson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 20//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//1 2005//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 se//VB|INF|AKT//acl//12 över//PL//case//16 myndighetsstrukturen//NN|UTR|SIN|DEF|NOM//obl//14 för//PP//case//18 administrationen//NN|UTR|SIN|DEF|NOM//obl//14 av//PP//case//22 den//DT|UTR|SIN|DEF//det//22 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 ålderspensionen//NN|UTR|SIN|DEF|NOM//nmod//18 .//MAD//punct//1
Pehrsson;Samma//DT|UTR/NEU|SIN/PLU|IND//det//1 dag//NN|UTR|SIN|IND|NOM//obl//2 förordnade//VB|PRT|AKT//ROOT//2 chefen//NN|UTR|SIN|DEF|NOM//nsubj//2 för//PP//case//5 Socialdepartementet//NN|NEU|SIN|DEF|NOM//nmod//3 generaldirektör//NN|UTR|SIN|IND|NOM//conj//2 Hans-Eric//PM|NOM//nsubj//2 Holmqvist//PM|NOM//flat:name//7 som//KN//mark//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//xcomp//2 .//MAD//punct//2
Pehrsson;Att//IE//mark//16 som//KN//mark//16 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//16 biträda//VB|INF|AKT//ccomp//2 utredningen//NN|UTR|SIN|DEF|NOM//obj//16 förordnades//VB|PRT|SFO//xcomp//16 fr.o.m.//AB|AN//case//22 den//DT|UTR|SIN|DEF//det//22 3//RO|NOM//nummod//22 mars//NN|UTR|SIN|IND|NOM//obl//18 2006//RG|NOM//nummod//22 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//25 Johan//PM|NOM//appos//22 Hellman//PM|NOM//flat:name//25 ,//MID//punct//25 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//29 Liso//PM|NOM//appos//25 Norman//PM|NOM//flat:name//29 ,//MID//punct//29 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//33 Ole//PM|NOM//conj//25 Settergren//PM|NOM//flat:name//33 ,//MID//punct//22 ämnessakkunnige//AB//advmod//41 Sture//PM|NOM//nsubj//36 Wallmon//PM|NOM//flat//37 ,//MID//punct//37 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//41 Lena//PM|NOM//appos//22 Westin//PM|NOM//flat:name//41 och//KN//cc//44 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//45 Mikael//PM|NOM//conj//41 Åsell//PM|NOM//flat:name//45 .//MAD//punct//22
Pehrsson;Att//IE//mark//51 som//KN//mark//51 experter//NN|UTR|PLU|IND|NOM//nsubj//51 biträda//VB|INF|AKT//acl//22 utredningen//NN|UTR|SIN|DEF|NOM//obj//51 förordnades//VB|PRT|SFO//xcomp//16 fr.o.m.//AB|AN//case//57 den//DT|UTR|SIN|DEF//det//57 3//RO|NOM//nummod//57 mars//NN|UTR|SIN|IND|NOM//obl//53 2006//RG|NOM//nummod//57 förbundsekonomen//NN|UTR|SIN|DEF|NOM//nmod//60 Marie//PM|NOM//appos//2 Hosinsky//PM|NOM//flat:name//60 ,//MID//punct//60 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//64 Tomas//PM|NOM//conj//60 Forenius//PM|NOM//flat:name//64 och//KN//cc//67 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//68 Anna//PM|NOM//conj//64 Pauloff//PM|NOM//flat:name//68 .//MAD//punct//2
Pehrsson;Den//DT|UTR|SIN|DEF//det//73 2//RO|NOM//nummod//73 juni//NN|UTR|SIN|IND|NOM//obl//75 2006//RG|NOM//nummod//73 entledigades//VB|PRT|SFO//parataxis//2 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//77 Anna//PM|NOM//nsubj:pass//75 Pauloff//PM|NOM//flat:name//77 och//KN//cc//81 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//81 Lila//PM|NOM//conj//77 Ericsson//PM|NOM//flat:name//81 förordnades//VB|PRT|SFO//xcomp//75 samma//DT|UTR/NEU|SIN/PLU|IND//det//85 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//83 att//IE//mark//88 vara//VB|INF|AKT//cop//88 expert//NN|UTR|SIN|IND|NOM//acl//85 i//PP//case//90 utredningen//NN|UTR|SIN|DEF|NOM//obl//88 .//MAD//punct//2
Pehrsson;Till//PP//case//1 huvudsekreterare//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 utsågs//VB|PRT|SFO//ROOT//4 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//6 Ola//PM|NOM//nsubj//4 Hedin//PM|NOM//flat:name//6 fr.o.m.//AB|AN//case//11 den//DT|UTR|SIN|DEF//det//11 15//RG|NOM//nummod//11 februari//NN|UTR|SIN|IND|NOM//obl//4 2006//RG|NOM//nummod//11 och//KN//cc//16 till//PP//case//15 sekreterare//NN|UTR|SIN|IND|NOM//obl//16 utsågs//VB|PRT|SFO//conj//4 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//18 Richard//PM|NOM//nsubj//16 Tornberg//PM|NOM//flat//18 fr.o.m.//AB|AN//case//23 den//DT|UTR|SIN|DEF//det//23 1//RO|NOM//nummod//23 april//NN|UTR|SIN|IND|NOM//obl//16 2006//RG|NOM//nummod//23 .//MAD//punct//4
Pehrsson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//7 ,//MID//punct//0 som//HP|-|-|-//nsubj//3 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//obj//3 Pensionsadministrationsutredningen//NN|UTR|SIN|DEF|NOM//obj//3 ,//MID//punct//0 överlämnar//VB|PRS|AKT//ROOT//7 härmed//AB//advmod//7 betänkandet//NN|NEU|SIN|DEF|NOM//obj//7 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//11 pension//NN|UTR|SIN|IND|NOM//obj//7 –//RG|NOM//punct//14 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//14 administration//NN|UTR|SIN|IND|NOM//appos//11 (//PAD//punct//14 SOU//PM|NOM//nmod//17 2006:111//RG|NOM//appos//14 )//PAD//punct//14 .//MAD//punct//7
