Välfärdsverksamhet för sjömän;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Sjömansserviceutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet Ulrica Messing;Genom//PP//case//27 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//17 (//PAD//punct//27 dir//NN|AN//appos//27 .//MAD//punct//27
Till statsrådet Ulrica Messing;2004:121//RG|NOM//conj//27 )//PAD//punct//27 förlängdes//VB|PRT|SFO//conj//17 utredningstiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//33 till//PP//case//38 den//DT|UTR|SIN|DEF//det//38 15//RG|NOM//nummod//38 februari//NN|UTR|SIN|IND|NOM//nmod//34 2005//RG|NOM//nummod//38 .//MAD//punct//2
Till statsrådet Ulrica Messing;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//5 Välfärdsverksamhet//NN|UTR|SIN|IND|NOM//obj//3 för//PP//case//7 sjömän//NN|UTR|PLU|IND|NOM//nmod//5 (//PAD//punct//5 SOU//PM|NOM//appos//5 2005:11//RG|NOM//advmod//3 )//PAD//punct//3 .//MAD//punct//3
Till statsrådet Ulrica Messing;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 arbete//NN|NEU|SIN|IND|NOM//nsubj:pass//4 är//VB|PRS|AKT//aux:pass//4 härmed//AB//advmod//4 avslutat//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 .//MAD//punct//4
Till statsrådet Ulrica Messing;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 februari//NN|UTR|SIN|IND|NOM//obl//0 2005//RG|NOM//nummod//2
Till statsrådet Ulrica Messing;Lars//PM|NOM//ROOT//0 Ljung//PM|NOM//flat:name//0 /Svante//RG|NOM//case//3 Eriksson//PM|NOM//nmod//0

1 Utredningens uppdrag;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 ges//VB|PRS|SFO//ROOT//3 först//AB//advmod//3 en//DT|UTR|SIN|IND//det//6 bakgrund//NN|UTR|SIN|IND|NOM//nsubj:pass//3 till//PP//case//8 utredningsuppdraget//NN|NEU|SIN|DEF|NOM//obl//3 (//PAD//punct//8 1.1//RG|NOM//appos//8 )//PAD//punct//3 .//MAD//punct//3
1 Utredningens uppdrag;Därefter//AB//advmod//14 beskrivs//VB|PRS|SFO//parataxis//3 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//16 direktiv//NN|NEU|PLU|IND|NOM//nsubj:pass//14 (//PAD//punct//16 1.2//RG|NOM//appos//16 )//PAD//punct//14 och//KN//cc//21 genomförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//14 (//PAD//punct//21 1.3//RG|NOM//appos//21 )//PAD//punct//21 .//MAD//punct//14
1 Utredningens uppdrag;Slutligen//AB//advmod//27 redogörs//VB|PRS|SFO//parataxis//14 för//PP//case//30 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 utredningsarbete//NN|NEU|SIN|IND|NOM//obl//27 inom//PP//case//32 området//NN|NEU|SIN|DEF|NOM//obl//27 (//PAD//punct//32 1.4//RG|NOM//appos//32 )//PAD//punct//27 samt//KN//cc//38 betänkandets//NN|NEU|SIN|DEF|GEN//nmod:poss//38 disposition//NN|UTR|SIN|IND|NOM//conj//27 (//PAD//punct//38 1.5//RG|NOM//nummod//38 )//PAD//punct//38 .//MAD//punct//3
