Till statsrådet Tobias Billström;Statsrådet//NN|NEU|SIN|DEF|NOM//nsubj//20 Billström//PM|NOM//flat//18 förordade//VB|PRT|AKT//conj//8 den//DT|UTR|SIN|DEF//det//23 6//RO|NOM//nummod//23 oktober//NN|UTR|SIN|IND|NOM//nmod//26 2009//RG|NOM//nummod//25 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//26 Mikael//PM|NOM//obl//20 Cederbratt//PM|NOM//flat//26 (//PAD//punct//26 m//PM|NOM//appos//26 )//PAD//punct//20 .//MAD//punct//8
Till statsrådet Tobias Billström;Fredrick//PM|NOM//conj//8 Federley//PM|NOM//flat//32 (//PAD//punct//33 c//NN|NEU|SIN|IND|NOM//nmod//32 )//PAD//punct//32 ,//MID//punct//8 Anna//PM|NOM//nmod//40 Kinberg//PM|NOM//flat//38 Batra//PM|NOM//conj//8 (//PAD//punct//40 m//PM|NOM//appos//40 )//PAD//punct//8 ,//MID//punct//46 Kalle//PM|NOM//nmod//46 Larsson//PM|NOM//conj//8 (//PAD//punct//46 v//NN|NEU|SIN|IND|NOM//appos//46 )//PAD//punct//46 ,//MID//punct//51 Ulf//PM|NOM//parataxis//2 Nilsson//PM|NOM//flat:name//51 (//PAD//punct//51 fp//PM|NOM//dep//51 )//PAD//punct//51 ,//MID//punct//57 Désirée//PM|NOM//conj//2 Pethrus//PM|NOM//nsubj//57 Engström//PM|NOM//flat:name//58 (//PAD//punct//57 kd//PM|NOM//appos//57 )//PAD//punct//57 ,//MID//punct//64 Maria//PM|NOM//appos//2 Stenberg//PM|NOM//flat:name//64 (//PAD//punct//64 s//PM|NOM//nummod//64 )//PAD//punct//64 samt//KN//cc//70 Göte//PM|NOM//conj//64 Wahlström//PM|NOM//flat:name//70 (//PAD//punct//70 s//NN|AN//nummod//70 )//PAD//punct//70 som//KN//mark//76 ledamöter//NN|UTR|PLU|IND|NOM//acl:relcl//64 i//PP//case//78 kommittén//NN|UTR|SIN|DEF|NOM//nmod//76 .//MAD//punct//2
Till statsrådet Tobias Billström;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 6//RO|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//6 2009//RG|NOM//nummod//4 förordnade//VB|PRT|AKT//ROOT//6 statsrådet//NN|NEU|SIN|DEF|NOM//nsubj//6 Billström//PM|NOM//flat//7 departementssekreterarna//NN|UTR|PLU|DEF|NOM//nmod//10 Stephen//PM|NOM//appos//7 Dippel//PM|NOM//flat:name//10 och//KN//cc//13 Anna//PM|NOM//conj//7 Envall//PM|NOM//flat:name//13 ,//MID//punct//7 rådgivaren//NN|UTR|SIN|DEF|NOM//nmod//17 Esse//PM|NOM//appos//7 Nilsson//PM|NOM//flat//17 ,//MID//punct//17 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 Susanna//PM|NOM//compound//23 Pohl//PM|NOM//compound//23 Söderman//PM|NOM//conj//17 ,//MID//punct//17 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//26 Anna//PM|NOM//nmod//7 Santesson//PM|NOM//flat:name//26 ,//MID//punct//26 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//30 Eva//PM|NOM//appos//7 Tobisson//PM|NOM//flat:name//30 ,//MID//punct//30 verksamhetschefen//NN|UTR|SIN|DEF|NOM//nmod//34 Monika//PM|NOM//conj//7 Wendleby//PM|NOM//flat:name//34 samt//KN//cc//37 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//38 Esbjörn//PM|NOM//conj//34 Åkesson//PM|NOM//flat:name//38 som//KN//mark//41 experter//NN|UTR|PLU|IND|NOM//xcomp//6 i//PP//case//43 kommittén//NN|UTR|SIN|DEF|NOM//nmod//41 .//MAD//punct//6
Till statsrådet Tobias Billström;Genom//PP//case//46 beslut//NN|NEU|SIN|IND|NOM//obl//51 den//DT|UTR|SIN|DEF//det//49 12//RG|NOM//nummod//49 mars//NN|UTR|SIN|IND|NOM//obl//51 2010//RG|NOM//nummod//49 entledigades//VB|PRT|SFO//parataxis//6 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//53 Anna//PM|NOM//nsubj:pass//51 Envall//PM|NOM//flat:name//53 från//PP//case//57 sin//PS|UTR|SIN|DEF//nmod:poss//57 expertfunktion//NN|UTR|SIN|IND|NOM//obl//51 i//PP//case//59 kommittén//NN|UTR|SIN|DEF|NOM//obl//51 och//KN//cc//64 vid//PP//case//63 samma//DT|UTR/NEU|SIN/PLU|IND//det//63 tillfälle//NN|NEU|SIN|IND|NOM//obl//64 förordnades//VB|PRT|SFO//conj//51 i//PP//advmod//64 stället//NN|NEU|SIN|DEF|NOM//fixed//65 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//68 Jens//PM|NOM//nsubj//64 Ölander//PM|NOM//flat:name//68 .//MAD//punct//6
Till statsrådet Tobias Billström;Den//DT|UTR|SIN|DEF//det//2 17//RG|NOM//nummod//2 augusti//NN|UTR|SIN|IND|NOM//obl//4 2009//RG|NOM//nummod//2 anställdes//VB|PRT|SFO//ROOT//4 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//6 Peter//PM|NOM//nsubj:pass//4 Springfeldt//PM|NOM//flat:name//6 som//KN//mark//9 huvudsekreterare//NN|UTR|SIN|IND|NOM//xcomp//4 i//PP//case//11 kommittén//NN|UTR|SIN|DEF|NOM//nmod//9 .//MAD//punct//4
Till statsrådet Tobias Billström;Som//KN//case//14 sekreterare//NN|UTR|SIN|IND|NOM//obl//15 anställdes//VB|PRT|SFO//parataxis//4 den//DT|UTR|SIN|DEF//det//18 15//RG|NOM//nummod//18 oktober//NN|UTR|SIN|IND|NOM//nsubj:pass//15 2009//RG|NOM//nummod//20 Anna//PM|NOM//obl//15 Tillander//PM|NOM//flat:name//20 vars//HS|DEF//nmod:poss//23 anställning//NN|UTR|SIN|IND|NOM//nsubj:pass//30 genom//PP//case//25 beslut//NN|NEU|SIN|IND|NOM//nmod//23 den//DT|UTR|SIN|DEF//det//28 18//RG|NOM//nummod//28 februari//NN|UTR|SIN|IND|NOM//nmod//23 2009//RG|NOM//nummod//28 förlängdes//VB|PRT|SFO//conj//15 .//MAD//punct//4
Till statsrådet Tobias Billström;Den//DT|UTR|SIN|DEF//det//34 4//RO|NOM//nummod//34 januari//NN|UTR|SIN|IND|NOM//obl//36 2009//RG|NOM//nummod//34 anställdes//VB|PRT|SFO//parataxis//4 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//38 Helena//PM|NOM//compound//39 Reitberger//PM|NOM//nsubj:pass//36 som//KN//case//41 sekreterare//NN|UTR|SIN|IND|NOM//xcomp//36 .//MAD//punct//4
Till statsrådet Tobias Billström;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//16 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Kommittén//NN|UTR|SIN|DEF|NOM//obj//4 för//PP//case//9 cirkulär//JJ|POS|UTR|SIN|IND|NOM//amod//9 migration//NN|UTR|SIN|IND|NOM//nmod//6 och//KN//cc//11 utveckling//NN|UTR|SIN|IND|NOM//conj//9 (//PAD//punct//13 CiMU//PM|NOM//appos//11 )//PAD//punct//13 ,//MID//punct//0 överlämnar//VB|PRS|AKT//ROOT//16 härmed//AB//advmod//16 delbetänkandet//NN|NEU|SIN|DEF|NOM//nmod//19 Cirkulär//JJ|POS|UTR|SIN|IND|NOM//nmod:poss//20 migration//NN|UTR|SIN|IND|NOM//obj//16 och//KN//cc//22 utveckling//NN|UTR|SIN|IND|NOM//conj//20 –//RG|NOM//punct//24 Kartläggning//NN|UTR|SIN|IND|NOM//conj//20 av//PP//case//27 cirkulära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 rörelsemönster//NN|NEU|PLU|IND|NOM//nmod//24 och//KN//cc//29 diskussion//NN|UTR|SIN|IND|NOM//conj//27 om//PP//mark//35 hur//HA//advmod//35 migrationens//NN|UTR|SIN|DEF|GEN//nmod:poss//33 utvecklingspotential//NN|UTR|SIN|IND|NOM//nsubj:pass//35 kan//VB|PRS|AKT//aux//35 främjas//VB|INF|SFO//acl//24 (//PAD//punct//37 SOU//PM|NOM//obl//35 2010:40//RG|NOM//nummod//37 )//PAD//punct//37 .//MAD//punct//16
Till statsrådet Tobias Billström;Delbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj//42 innehåller//VB|PRS|AKT//parataxis//16 framför//PP//advmod//42 allt//PN|NEU|SIN|IND|SUB/OBJ//fixed//43 en//DT|UTR|SIN|IND//det//46 kartläggning//NN|UTR|SIN|IND|NOM//obj//42 av//PP//case//49 cirkulär//JJ|POS|UTR|SIN|IND|NOM//amod//49 migration//NN|UTR|SIN|IND|NOM//nmod//46 och//KN//cc//52 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//52 koppling//NN|UTR|SIN|IND|NOM//conj//49 till//PP//case//54 utveckling//NN|UTR|SIN|IND|NOM//nmod//52 .//MAD//punct//42
Till statsrådet Tobias Billström;I//PP//case//59 ett//DT|NEU|SIN|IND//det//59 avslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//59 kapitel//NN|NEU|SIN|IND|NOM//obl//60 drar//VB|PRS|AKT//parataxis//42 kommittén//NN|UTR|SIN|DEF|NOM//amod//62 slutsatser//NN|UTR|PLU|IND|NOM//obj//60 av//PP//case//64 kartläggningen//NN|UTR|SIN|DEF|NOM//nmod//62 och//KN//cc//66 visar//VB|PRS|AKT//conj//60 vilken//HD|UTR|SIN|IND//det//68 inriktning//NN|UTR|SIN|IND|NOM//obj//73 det//DT|NEU|SIN|DEF//det//71 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//71 arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//73 ska//VB|PRS|AKT//aux//73 ges//VB|INF|SFO//ccomp//66 .//MAD//punct//16
