Nya påföljder;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Påföljdsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Nya påföljder;Stockholm//PM|NOM//ROOT//0 2012//RG|NOM//nummod//0

Band 1 – Sammanfattning, författningsförslag och författningskommentar;Förkortningar//NN|UTR|PLU|IND|NOM//ROOT//0
Band 1 – Sammanfattning, författningsförslag och författningskommentar;Sammanfattning//NN|UTR|SIN|IND|NOM//ROOT//0
Band 1 – Sammanfattning, författningsförslag och författningskommentar;Författningsförslag//NN|NEU|SIN|IND|NOM//ROOT//0 1//RG|NOM//nummod//2 Författningskommentar//NN|UTR|PLU|IND|NOM//nmod//0 2//RG|NOM//nummod//4 Uppdraget//NN|NEU|SIN|DEF|NOM//conj//0 och//KN//cc//7 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//7 genomförande//NN|NEU|SIN|IND|NOM//conj//0

Band 2 – Villkorligt fängelse;3//RG|NOM//nummod//3 Påföljdssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 framväxt//NN|UTR|SIN|IND|NOM//nmod//3 4//RG|NOM//nummod//7 Gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 rätt//NN|UTR|SIN|IND|NOM//advmod//6 5//RG|NOM//nummod//7 Ordningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//28 i//PP//case//12 några//DT|UTR/NEU|PLU|IND//det//12 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 europeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 länder//NN|NEU|PLU|IND|NOM//nmod//7 6//RG|NOM//nummod//15 Påföljdssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//15 problem//NN|NEU|PLU|IND|NOM//nmod//12 och//KN//cc//17 brister//NN|UTR|PLU|IND|NOM//conj//15 7//RG|NOM//nummod//20 Allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 utgångspunkter//NN|UTR|PLU|IND|NOM//nmod//7 för//PP//case//23 en//DT|UTR|SIN|IND//det//23 reform//NN|UTR|SIN|IND|NOM//nmod//20 8//RG|NOM//nummod//26 Villkorligt//JJ|POS|NEU|SIN|IND|NOM//amod//26 fängelse//NN|NEU|SIN|IND|NOM//nmod//20 bör//VB|PRS|AKT//aux//28 införas//VB|INF|SFO//ROOT//28 i//PP//case//30 påföljdssystemet//NN|NEU|SIN|DEF|NOM//obl//28 9//RG|NOM//nummod//32 Uppbyggnaden//NN|UTR|SIN|DEF|NOM//obl//28 av//PP//case//35 ett//DT|NEU|SIN|IND//det//35 påföljdssystem//NN|NEU|SIN|IND|NOM//nmod//32 med//PP//case//38 villkorligt//JJ|POS|NEU|SIN|IND|NOM//amod//38 fängelse//NN|NEU|SIN|IND|NOM//nmod//35 10//RG|NOM//nummod//40 Beaktande//NN|NEU|SIN|IND|NOM//appos//35 av//PP//case//42 återfall//NN|NEU|PLU|IND|NOM//nmod//40 i//PP//case//44 brott//NN|NEU|SIN|IND|NOM//nmod//42 11//RG|NOM//nummod//46 Innehållet//NN|NEU|SIN|DEF|NOM//obl//40 i//PP//case//48 tilläggssanktionerna//NN|UTR|PLU|DEF|NOM//nmod//46 till//PP//case//51 villkorligt//JJ|POS|NEU|SIN|IND|NOM//amod//51 fängelse//NN|NEU|SIN|IND|NOM//nmod//52 12//RG|NOM//nummod//53 Hanteringen//NN|UTR|SIN|DEF|NOM//appos//32 av//PP//case//56 bristande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 verkställighet//NN|UTR|SIN|IND|NOM//nmod//53 av//PP//case//58 tilläggssanktionerna//NN|UTR|PLU|DEF|NOM//nmod//56 till//PP//case//61 villkorligt//JJ|POS|NEU|SIN|IND|NOM//amod//61 fängelse//NN|NEU|SIN|IND|NOM//nmod//62 13//RG|NOM//nummod//63 Överlämnande//NN|NEU|SIN|IND|NOM//nmod//32 till//PP//case//65 vård//NN|UTR|SIN|IND|NOM//nmod//32 enligt//PP//case//69 LVM//PM|NOM//nmod//68 14//RG|NOM//nummod//69 Kostnadsansvaret//NN|NEU|SIN|DEF|NOM//nmod//65 för//PP//case//71 vård//NN|UTR|SIN|IND|NOM//nmod//69 och//KN//cc//73 behandling//NN|UTR|SIN|IND|NOM//nmod//76 15//RG|NOM//nummod//75 Brottslighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//76 art//NN|UTR|SIN|IND|NOM//conj//71

Band 3 – Böter, billighetsskäl m.m. och ungdomspåföljder;16//RG|NOM//nummod//1 Böter//NN|UTR|PLU|IND|NOM//ROOT//1 17//RG|NOM//nummod//3 Billighetsskäl//PM|NOM//obl//4 18//RG|NOM//nummod//5 Straffnivåerna//NN|UTR|PLU|DEF|NOM//nsubj//1 i//PP//case//9 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//9 fall//NN|NEU|PLU|IND|NOM//obl//1 19//RG|NOM//nummod//12 Flerfaldig//JJ|POS|UTR|SIN|IND|NOM//amod//12 brottslighet//NN|UTR|SIN|IND|NOM//nmod//13 20//RG|NOM//nummod//17 Gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 rätt//NN|UTR|SIN|IND|NOM//advmod//16 21//RG|NOM//nummod//17 Ordningen//NN|UTR|SIN|DEF|NOM//nsubj//1 i//PP//case//22 några//DT|UTR/NEU|PLU|IND//det//22 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 europeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 länder//NN|NEU|PLU|IND|NOM//nmod//17 22//RG|NOM//nummod//24 Brå//PM|NOM//nmod//22 ://MID//punct//17
Band 3 – Böter, billighetsskäl m.m. och ungdomspåföljder;s//NN|NEU|SIN|IND|GEN//case//27 utvärdering//NN|UTR|SIN|IND|NOM//appos//17 av//PP//case//31 2007//RG|NOM//nummod//30 års//NN|NEU|SIN|IND|GEN//nmod:poss//31 reform//NN|UTR|SIN|IND|NOM//nmod//27 23//RG|NOM//nummod//34 Allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 utgångspunkter//NN|UTR|PLU|IND|NOM//nmod//27 för//PP//case//37 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//37 överväganden//NN|NEU|PLU|IND|NOM//nmod//34 24//RG|NOM//nummod//39 Ungdomsvård//NN|UTR|SIN|IND|NOM//nmod//37 och//KN//cc//41 ungdomstjänst//NN|UTR|SIN|IND|NOM//conj//39 25//RG|NOM//nummod//43 Böter//NN|UTR|PLU|IND|NOM//conj//17 och//KN//cc//48 varningsstraff//NN|NEU|SIN|IND|NOM//nmod//48 26//RG|NOM//nummod//47 Sluten//PC|PRF|UTR|SIN|IND|NOM//amod//48 ungdomsvård//NN|UTR|SIN|IND|NOM//conj//17 27//RG|NOM//nummod//50 Kontaktskyldighet//NN|UTR|SIN|IND|NOM//obl//1 för//PP//case//57 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 och//KN//cc//54 ungdomsövervakning//NN|UTR|SIN|IND|NOM//conj//52 28//RG|NOM//nummod//57 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//57 påföljdsbestämning//NN|UTR|SIN|IND|NOM//nmod//50 efter//PP//case//60 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 ungdomspåföljd//NN|UTR|SIN|IND|NOM//nmod//57 29//RG|NOM//nummod//62 Lagöverträdare//NN|UTR|PLU|IND|NOM//nmod//57 i//PP//case//64 åldersgruppen//NN|UTR|SIN|DEF|NOM//nmod//62  //_SP////64 18–20//RG|NOM//nummod//67 år//NN|NEU|PLU|IND|NOM//nmod//64


