– ett enklare förfarande;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Kamerabevakningsutredningen//PM|NOM//nmod//0
– ett enklare förfarande;Stockholm//PM|NOM//ROOT//0 2019//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 13//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//1 2017//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 analysera//VB|INF|AKT//acl//12 ett//DT|NEU|SIN|IND//det//17 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//17 undantag//NN|NEU|SIN|IND|NOM//obj//14 från//PP//case//19 tillståndsplikten//NN|UTR|SIN|DEF|NOM//obl//14 för//PP//case//21 kamerabevakning//NN|UTR|SIN|IND|NOM//nmod//19 av//PP//case//24 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 transportmedel//NN|NEU|PLU|IND|NOM//nmod//21 och//KN//cc//26 stationer//NN|UTR|PLU|IND|NOM//conj//24 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//34 fick//VB|PRT|AKT//aux//34 även//AB//advmod//32 i//PP//case//32 uppdrag//NN|NEU|SIN|IND|NOM//obl//34 att//IE//mark//34 föreslå//VB|INF|AKT//conj//1 åtgärder//NN|UTR|PLU|IND|NOM//obj//34 för//PP//mark//38 att//IE//mark//38 underlätta//VB|INF|AKT//advcl//34 kamerabevakning//NN|UTR|SIN|IND|NOM//obj//38 i//PP//case//42 brottsbekämpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 syfte//NN|NEU|SIN|IND|NOM//nmod//39 (//PAD//punct//39 dir//NN|AN//appos//39 .//MAD//punct//34
Till statsrådet och chefen för Justitiedepartementet;2017:124//RG|NOM//obl//34 )//PAD//punct//46 .//MAD//punct//53
Till statsrådet och chefen för Justitiedepartementet;Det//DT|NEU|SIN|DEF//det//50 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//53 har//VB|PRS|AKT//aux//53 tidigare//AB|KOM//advmod//53 redovisats//VB|SUP|SFO//conj//34 genom//PP//case//56 delbetänkandet//NN|NEU|SIN|DEF|NOM//det//56 Kamerabevakning//NN|UTR|SIN|IND|NOM//obl//53 i//PP//case//58 brottsbekämpningen//NN|UTR|SIN|DEF|NOM//nmod//56 –//RG|NOM//punct//62 ett//DT|NEU|SIN|IND//det//62 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 förfarande//NN|NEU|SIN|IND|NOM//appos//53 (//PAD//punct//62 SOU//PM|NOM//appos//62 2018:62//RG|NOM//conj//62 )//PAD//punct//53 .//MAD//punct//34
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//6 13//RG|NOM//nummod//6 december//NN|UTR|SIN|IND|NOM//nmod//9 2017//RG|NOM//nummod//8 hovrättslagmannen//NN|UTR|SIN|DEF|NOM//nmod//9 Johan//PM|NOM//dep//3 Sjöö//PM|NOM//flat:name//9 .//MID//punct//3
Till statsrådet och chefen för Justitiedepartementet;Ett//DT|NEU|SIN|IND//det//13 antal//NN|NEU|SIN|IND|NOM//nmod//14 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//16 har//VB|PRS|AKT//aux//16 förordnats//VB|SUP|SFO//parataxis//3 för//PP//mark//19 att//IE//mark//19 biträda//VB|INF|AKT//advcl//16 utredaren//NN|UTR|SIN|DEF|NOM//obj//19 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;De//DT|UTR/NEU|PLU|DEF//det//23 experter//NN|UTR|PLU|IND|NOM//appos//3 som//HP|-|-|-//nsubj//26 har//VB|PRS|AKT//aux//26 arbetat//VB|SUP|AKT//acl:relcl//23 med//PP//case//28 det//DT|NEU|SIN|DEF//det//31 nu//AB//advmod//30 redovisade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//31 uppdraget//NN|NEU|SIN|DEF|NOM//obl//26 är//VB|PRS|AKT//cop//34 juristerna//NN|UTR|PLU|DEF|NOM//nmod//34 Karin//PM|NOM//nsubj//23 Höglund//PM|NOM//flat:name//34 ,//MID//punct//37 Polismyndigheten//NN|UTR|SIN|DEF|NOM//conj//34 och//KN//cc//39 Jenny//PM|NOM//conj//34 Bård//PM|NOM//flat:name//39 ,//MID//punct//42 Datainspektionen//PM|NOM//conj//34 .//MID//punct//34
Till statsrådet och chefen för Justitiedepartementet;Karin//PM|NOM//nsubj:pass//46 Höglund//PM|NOM//flat:name//44 förordnades//VB|PRT|SFO//parataxis//34 från//PP//case//52 och//KN//fixed//47 med//PP//fixed//47 den//DT|UTR|SIN|DEF//det//52 13//RG|NOM//nummod//52 december//NN|UTR|SIN|IND|NOM//obl//46 2017//RG|NOM//nummod//52 och//KN//cc//55 Jenny//PM|NOM//conj//52 Bård//PM|NOM//flat:name//55 från//PP//case//62 och//KN//fixed//57 med//PP//fixed//57 den//DT|UTR|SIN|DEF//det//62 1//RO|NOM//nummod//62 april//NN|UTR|SIN|IND|NOM//nmod//55 2018//RG|NOM//nummod//62 .//MAD//punct//23
