
FoU;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 från//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 ”//PAD//punct//0 Översyn//NN|UTR|SIN|IND|NOM//appos//0 av//PP//case//6 forskning//NN|UTR|SIN|IND|NOM//nmod//4 och//KN//cc//8 utveckling//NN|UTR|SIN|IND|NOM//conj//6 inom//PP//case//10 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//8 ”//RG|NOM//punct//0
Missiv;Nedanstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 personer//NN|UTR|PLU|IND|NOM//nsubj:pass//3 har//VB|PRS|AKT//aux//3 förordnats//VB|SUP|SFO//ROOT//3 av//PP//case//5 chefen//NN|UTR|SIN|DEF|NOM//obl:agent//3 för//PP//case//7 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//5 att//IE//mark//9 ingå//VB|INF|AKT//advcl//3 i//PP//case//11 utredningen//NN|UTR|SIN|DEF|NOM//obl//9 i//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 befattningar//NN|UTR|PLU|IND|NOM//obl//9 som//HP|-|-|-//nsubj:pass//16 anges//VB|PRS|SFO//acl:relcl//14 ://MAD//punct//3
Missiv;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 vid//PP//case//4 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 tillfällen//NN|NEU|PLU|IND|NOM//obl//5 orienterat//VB|SUP|AKT//ROOT//5 företrädare//NN|UTR|SIN|IND|NOM//obj//5 för//PP//case//8 Försvarsberedningen//NN|UTR|SIN|DEF|NOM//nmod//6 om//PP//case//11 arbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//11 fortskridande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//5 samt//KN//cc//13 inhämtat//VB|SUP|AKT//conj//11 synpunkter//NN|UTR|PLU|IND|NOM//obj//13 och//KN//cc//16 underlag//NN|NEU|SIN|IND|NOM//conj//14 genom//PP//case//18 samtal//NN|NEU|PLU|IND|NOM//nmod//16 med//PP//case//21 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//21 befattningshavare//NN|UTR|PLU|IND|NOM//nmod//18 inom//PP//case//23 Försvars-//NN|NEU|-|-|SMS//nmod//21 och//KN//cc//25 Utbildningsdepartementen//NN|UTR|SIN|DEF|NOM//conj//23 .//MAD//punct//5
Missiv;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 besökt//VB|SUP|AKT//ROOT//2 och//KN//cc//4 inhämtat//VB|SUP|AKT//conj//2 underlag//NN|NEU|SIN|IND|NOM//obj//4 från//PP//case//7 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//5 ,//MID//punct//9 ÖCB//PM|NOM//conj//7 ,//MID//punct//11 SRV//PM|NOM//conj//7 ,//MID//punct//13 SPF//PM|NOM//conj//7 ,//MID//punct//15 FMV//PM|NOM//conj//7 ,//MID//punct//7 FOA//PM|NOM//conj//7 ,//MID//punct//19 FFA//PM|NOM//conj//7 och//KN//cc//21 FHS//PM|NOM//conj//7 .//MAD//punct//2
Missiv;Skriftligt//JJ|POS|NEU|SIN|IND|NOM//amod//24 underlag//NN|NEU|SIN|IND|NOM//nsubj:pass//26 har//VB|PRS|AKT//aux//26 framtagits//VB|SUP|SFO//parataxis//2 och//KN//cc//28 överlämnats//VB|SUP|SFO//conj//26 från//PP//case//31 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//31 sida//NN|UTR|SIN|IND|NOM//obl//28 genom//PP//case//34 experternas//NN|UTR|PLU|DEF|GEN//nmod:poss//34 försorg//NN|UTR|SIN|IND|NOM//obl//28 .//MAD//punct//2
Missiv;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 också//AB//advmod//3 besökt//VB|SUP|AKT//ROOT//3 Saab//PM|NOM//obj//3 AB//PM|NOM//flat//4 och//KN//cc//7 Ericsson//PM|NOM//conj//4 Microwave//PM|NOM//compound//9 Systems//PM|NOM//conj//4 AB//PM|NOM//obj//3 samt//KN//cc//12 genomfört//VB|SUP|AKT//conj//3 diskussioner//NN|UTR|PLU|IND|NOM//obj//12 med//PP//case//13 och//KN//cc//16 inhämtat//VB|SUP|AKT//conj//12 underlag//NN|NEU|SIN|IND|NOM//obj//16 från//PP//case//19 ledningsgrupperna//NN|UTR|PLU|DEF|NOM//nmod//17 för//PP//case//24 det//DT|NEU|SIN|DEF//det//24 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 flygtekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 forskningsprogrammet//NN|NEU|SIN|DEF|NOM//nmod//19 (//PAD//punct//26 NFFP//PM|NOM//appos//24 )//PAD//punct//26 samt//KN//cc//30 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 studie//NN|UTR|SIN|IND|NOM//conj//24 rörande//PP//case//34 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 operativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 ledningssystem//NN|NEU|PLU|IND|NOM//nmod//30 för//PP//case//36 försvaret//NN|NEU|SIN|DEF|NOM//nmod//30 (//PAD//punct//3 den//DT|UTR|SIN|DEF//det//40 s.k.//AB|AN//amod//40 DBA-studien//NN|UTR|SIN|DEF|NOM//appos//3 )//PAD//punct//3 .//MAD//punct//3
Missiv;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 haft//VB|SUP|AKT//ROOT//2 ett//DT|NEU|SIN|IND//det//5 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 samarbete//NN|NEU|SIN|IND|NOM//obj//2 med//PP//case//7 Materielförsörjningsutredningen//PM|NOM//nmod//5 ,//MID//punct//11 speciellt//AB|POS//advmod//10 vad//HP|NEU|SIN|IND//nsubj//11 avser//VB|PRS|AKT//conj//2 beskrivningen//NN|UTR|SIN|DEF|NOM//obj//11 av//PP//case//15 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//15 industri//NN|UTR|SIN|IND|NOM//nmod//12 samt//KN//cc//17 förändringsfaktorer//NN|UTR|PLU|IND|NOM//conj//12 av//PP//case//19 betydelse//NN|UTR|SIN|IND|NOM//nmod//17 för//PP//case//23 den//DT|UTR|SIN|DEF//det//23 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//23 utvecklingen//NN|UTR|SIN|DEF|NOM//nmod//17 av//PP//case//25 FoUverksamheten//PM|NOM//nmod//23 inom//PP//case//27 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//23 .//MAD//punct//2
Missiv;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 ,//MID//punct//4 vad//HP|NEU|SIN|IND//nsubj//4 avser//VB|PRS|AKT//ccomp//1 civil//JJ|POS|UTR|SIN|IND|NOM//amod//6 teknikutveckling//NN|UTR|SIN|IND|NOM//obj//4 ,//MID//punct//8 fört//VB|SUP|AKT//conj//1 diskussioner//NN|UTR|PLU|IND|NOM//obj//8 med//PP//case//11 ledningsgruppen//NN|UTR|SIN|DEF|NOM//nmod//9 för//PP//case//14 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 IVA-studie//NN|UTR|PLU|IND|NOM//nmod//11 ://MID//punct//1 ”//PAD//punct//17
Missiv;Forskning//NN|UTR|SIN|IND|NOM//obj//1 och//KN//cc//19 utveckling//NN|UTR|SIN|IND|NOM//conj//17 för//PP//case//21 industri//NN|UTR|SIN|IND|NOM//nmod//19 och//KN//cc//23 försvar//NN|NEU|SIN|IND|NOM//conj//21 ”//PAD//punct//17 .//MAD//punct//1
Missiv;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 redovisar//VB|PRS|AKT//ROOT//1 med//PP//case//4 denna//DT|UTR|SIN|DEF//det//4 delrapport//NN|UTR|SIN|IND|NOM//obl//1 vårt//PS|NEU|SIN|DEF//nmod:poss//6 arbete//NN|NEU|SIN|IND|NOM//obj//1 med//PP//mark//13 att//IE//mark//13 i//PP//case//12 en//DT|UTR|SIN|IND//det//12 första//RO|NOM//amod//12 etapp//NN|UTR|SIN|IND|NOM//obl//13 kartlägga//VB|INF|AKT//acl//6 och//KN//cc//15 analysera//VB|INF|AKT//conj//13 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 process//NN|UTR|SIN|IND|NOM//obj//15 för//PP//case//19 forskning//NN|UTR|SIN|IND|NOM//obl//15 och//KN//cc//21 utveckling//NN|UTR|SIN|IND|NOM//conj//19 inom//PP//case//23 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//21 ,//MID//punct//1 hur//HA//advmod//27 FoU-satsningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//27 nyttiggörs//VB|PRS|SFO//ccomp//1 samt//KN//cc//30 de//DT|UTR/NEU|PLU|DEF//det//30 förändringsfaktorer//NN|UTR|PLU|IND|NOM//conj//27 som//HP|-|-|-//obj//33 vi//PN|UTR|PLU|DEF|SUB//nsubj//33 bedömer//VB|PRS|AKT//acl:relcl//30 ha//VB|INF|AKT//xcomp//33 betydelse//NN|UTR|SIN|IND|NOM//obj//34 för//PP//case//37 styrning//NN|UTR|SIN|IND|NOM//obl//34 ,//MID//punct//39 inriktning//NN|UTR|SIN|IND|NOM//conj//37 och//KN//cc//41 genomförande//NN|NEU|SIN|IND|NOM//conj//37 av//PP//case//43 FoU//NN|AN//nmod//41 för//PP//case//45 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//43 i//PP//case//47 framtiden//NN|UTR|SIN|DEF|NOM//nmod//45 .//MAD//punct//1
Missiv;Delrapporten//NN|UTR|SIN|DEF|NOM//nsubj:pass//50 avslutas//VB|PRS|SFO//parataxis//1 med//PP//case//53 en//DT|UTR|SIN|IND//det//53 probleminventering//NN|UTR|SIN|IND|NOM//obl//50 som//KN//mark//58 grund//NN|UTR|SIN|IND|NOM//fixed//54 för//PP//case//58 fortsatt//PC|PRF|NEU|SIN|IND|NOM//amod//58 arbete//NN|NEU|SIN|IND|NOM//nmod//53 .//MAD//punct//1
