Behandling av personuppgifter vid Myndigheten för arbetsmiljökunskap;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 inrättande//NN|NEU|SIN|IND|NOM//nmod//2 av//PP//case//0
Behandling av personuppgifter vid Myndigheten för arbetsmiljökunskap;Myndigheten//NN|UTR|SIN|DEF|NOM//ROOT//0 för//PP//case//2 arbetsmiljökunskap//NN|UTR|SIN|IND|NOM//nmod//0
Behandling av personuppgifter vid Myndigheten för arbetsmiljökunskap;Stockholm//PM|NOM//ROOT//0 2018//RG|NOM//nummod//0

Till statsrådet tillika chefen för Arbetsmarknadsdepartementet Ylva Johansson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 7//RO|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 2017//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//13 att//IE//mark//13 förbereda//VB|INF|AKT//advcl//7 och//KN//cc//15 genomföra//VB|INF|AKT//conj//13 bildandet//NN|NEU|SIN|DEF|NOM//obj//15 av//PP//case//20 en//DT|UTR|SIN|IND//det//20 ny//JJ|POS|UTR|SIN|IND|NOM//amod//20 myndighet//NN|UTR|SIN|IND|NOM//nmod//16 ://MID//punct//4
Till statsrådet tillika chefen för Arbetsmarknadsdepartementet Ylva Johansson;Myndigheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//29 för//PP//case//24 arbetsmiljökunskap//NN|UTR|SIN|IND|NOM//nmod//22 .//MAD//punct//22
Till statsrådet tillika chefen för Arbetsmarknadsdepartementet Ylva Johansson;Som//KN//case//28 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//28 utredare//NN|UTR|SIN|IND|NOM//obl//29 förordnades//VB|PRT|SFO//parataxis//1 fr.o.m.//AB|AN//mark//41 den//DT|UTR|SIN|DEF//det//33 1//RO|NOM//nummod//33 oktober//NN|UTR|SIN|IND|NOM//nmod//35 2017//RG|NOM//nummod//35 Ewa//PM|NOM//dep//30 Ställdal//PM|NOM//flat:name//35 Eriksson//PM|NOM//flat:name//35 ,//MID//punct//35 bl.a.//AB|AN//advmod//40 tidigare//AB|KOM//advmod//41 generaldirektör//NN|UTR|SIN|IND|NOM//advcl//29 vid//PP//case//43 Forskningsrådet//NN|NEU|SIN|DEF|NOM//obl//41 för//PP//case//45 hälsa//NN|UTR|SIN|IND|NOM//nmod//43 ,//MID//punct//47 arbetsliv//NN|NEU|SIN|IND|NOM//conj//45 och//KN//cc//49 välfärd//NN|UTR|SIN|IND|NOM//conj//45 .//MAD//punct//1
Till statsrådet tillika chefen för Arbetsmarknadsdepartementet Ylva Johansson;I//PP//case//1 uppdraget//NN|NEU|SIN|DEF|NOM//obl//2 ingick//VB|PRT|AKT//ROOT//2 att//SN//mark//9 senast//AB|SUV//case//7 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 mars//NN|UTR|SIN|IND|NOM//obl//9 2018//RG|NOM//nummod//7 lämna//VB|INF|AKT//ccomp//2 förslag//NN|NEU|SIN|IND|NOM//obj//9 till//PP//case//12 författningsändringar//NN|UTR|PLU|IND|NOM//nmod//10 för//PP//case//15 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 tillgång//NN|UTR|SIN|IND|NOM//nmod//12 till//PP//case//18 och//KN//cc//18 arbete//NN|NEU|SIN|IND|NOM//nmod//15 med//PP//case//20 statistik//NN|UTR|SIN|IND|NOM//nmod//18 och//KN//cc//22 databaser//NN|UTR|PLU|IND|NOM//conj//20 .//MAD//punct//2
Till statsrådet tillika chefen för Arbetsmarknadsdepartementet Ylva Johansson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//25 beslutade//VB|PRT|AKT//parataxis//2 därefter//AB//advmod//25 ,//MID//punct//25 den//DT|UTR|SIN|DEF//det//30 1//RO|NOM//nummod//30 mars//NN|UTR|SIN|IND|NOM//obl//25 2018//RG|NOM//nummod//30 ,//MID//punct//30 att//IE//mark//34 förlänga//VB|INF|AKT//acl//30 tiden//NN|UTR|SIN|DEF|NOM//obj//34 för//PP//case//38 denna//DT|UTR|SIN|DEF//det//38 del//NN|UTR|SIN|IND|NOM//obl//34 av//PP//case//40 utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nmod//38 till//PP//case//44 den//DT|UTR|SIN|DEF//det//44 31//RG|NOM//nummod//44 maj//NN|UTR|SIN|IND|NOM//nmod//38 samma//DT|UTR/NEU|SIN/PLU|IND//det//46 år//NN|NEU|SIN|IND|NOM//obl//34 .//MAD//punct//25
Till statsrådet tillika chefen för Arbetsmarknadsdepartementet Ylva Johansson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//49 har//VB|PRS|AKT//aux//53 den//DT|UTR|SIN|DEF//det//52 31//RG|NOM//nummod//52 januari//NN|UTR|SIN|IND|NOM//nsubj//53 redovisat//VB|SUP|AKT//conj//25 underlag//NN|NEU|SIN|IND|NOM//obj//53 för//PP//case//56 anslag//NN|NEU|SIN|IND|NOM//nmod//54 ,//MID//punct//58 resursfördelning//NN|UTR|SIN|IND|NOM//conj//56 ,//MID//punct//60 verksamhetsplan//NN|UTR|SIN|IND|NOM//conj//56 och//KN//cc//62 budget//NN|UTR|SIN|IND|NOM//conj//56 för//PP//case//64 perioden//NN|UTR|SIN|DEF|NOM//obl//53 1//RG|NOM//nummod//64 juni–1//NN|NEU|SIN|DEF|GEN//case//67 december//NN|UTR|SIN|IND|NOM//obl//53 2018//RG|NOM//nummod//67 .//MAD//punct//25
Till statsrådet tillika chefen för Arbetsmarknadsdepartementet Ylva Johansson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//71 har//VB|PRS|AKT//conj//2 vidare//AB|KOM//advmod//71 den//DT|UTR|SIN|DEF//det//75 28//RG|NOM//nummod//75 februari//NN|UTR|SIN|IND|NOM//obj//71 2018//RG|NOM//nummod//75 redovisat//VB|SUP|AKT//conj//71 förslag//NN|NEU|SIN|IND|NOM//obj//77 till//PP//case//80 regleringsbrev//NN|NEU|SIN|IND|NOM//nmod//78 ,//MID//punct//82 instruktionsförordning//NN|UTR|SIN|IND|NOM//conj//80 och//KN//cc//85 en//DT|UTR|SIN|IND//det//85 ändring//NN|UTR|SIN|IND|NOM//conj//80 i//PP//case//89 7//RG|NOM//nummod//88 §//NN|AN//nmod//89 offentlighets-//NN|UTR|-|-|SMS//nmod//85 och//KN//cc//91 sekretessförordningen//NN|UTR|SIN|DEF|NOM//conj//89 (//PAD//punct//93 2009:641//RG|NOM//appos//85 )//PAD//punct//93 samt//KN//cc//96 budgetunderlag//NN|NEU|PLU|IND|NOM//conj//80 för//PP//case//99 åren//NN|NEU|PLU|DEF|NOM//nmod//99 2019–2021//NN|NEU|PLU|IND|NOM//nmod//96 och//KN//cc//101 förslag//NN|NEU|PLU|IND|NOM//conj//99 på//PP//case//103 kompetensprofil//NN|UTR|SIN|IND|NOM//nmod//101 för//PP//case//105 ledamöter//NN|UTR|PLU|IND|NOM//nmod//103 till//PP//case//108 ett//DT|NEU|SIN|IND//det//108 insynsråd//NN|NEU|SIN|IND|NOM//nmod//105 .//MAD//punct//71
