Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 utvärdera//VB|INF|AKT//ROOT//4 den//DT|UTR|SIN|DEF//det//7 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 förvaltningsformen//NN|UTR|SIN|DEF|NOM//obj//4 för//PP//case//10 Svenskhemmet//NN|NEU|SIN|DEF|NOM//nmod//10 Voksenåsen//PM|NOM//nmod//7 .//MAD//punct//4
Svenskhemmet Voksenåsen;Våren//NN|UTR|SIN|DEF|NOM//obl//23 1976//RG|NOM//nummod//21 fattade//VB|PRT|AKT//parataxis//7 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//23 beslut//NN|NEU|SIN|IND|NOM//obj//23 om//PP//mark//28 att//IE//mark//28 överlåta//VB|INF|AKT//advcl//23 driften//NN|UTR|SIN|DEF|NOM//obj//28 på//PP//case//31 ett//DT|NEU|SIN|IND//nmod//29 av//PP//case//34 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//34 staten//NN|UTR|SIN|DEF|NOM//nmod//31 helägt//VB|SUP|AKT//conj//23 norskt//JJ|POS|NEU|SIN|IND|NOM//amod//37 aktiebolag//NN|NEU|SIN|IND|NOM//obj//35 (//PAD//punct//37 prop//NN|UTR|SIN|IND|NOM//appos//37 .//MAD//punct//37
Svenskhemmet Voksenåsen;1976/77.25//RG|NOM//obl//23 ,//MID//punct//41 bet//VB|PRT|AKT//conj//41 .//MAD//punct//41
Svenskhemmet Voksenåsen;1976/77//RG|NOM//conj//23 ://MID//punct//45
Svenskhemmet Voksenåsen;KrU27//PM|NOM//appos//45 ,//MID//punct//47 rskr//PM|NOM//conj//47 .//MID//punct//47
Svenskhemmet Voksenåsen;1976/77:72//RG|NOM//conj//47 )//PAD//punct//47 .//MAD//punct//45
Svenskhemmet Voksenåsen;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//61 med//PP//case//58 den//DT|UTR|SIN|DEF//det//58 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//58 förvaltningsformen//NN|UTR|SIN|DEF|NOM//nmod//54 var//VB|PRT|AKT//cop//61 att//IE//mark//61 få//VB|INF|AKT//conj//23 verksamheten//NN|UTR|SIN|DEF|NOM//obj//61 ekonomiskt//AB|POS//advmod//64 självbärande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//61 och//KN//cc//69 att//IE//mark//69 på//PP//advmod//69 sikt//NN|UTR|SIN|IND|NOM//fixed//67 ge//VB|INF|AKT//conj//61 ett//DT|NEU|SIN|IND//det//72 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//72 överskott//NN|NEU|SIN|IND|NOM//obj//69 att//SN//mark//79 även//AB//advmod//79 den//DT|UTR|SIN|DEF//det//77 ideella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//77 inriktningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//79 kunde//VB|PRT|AKT//aux//79 främjas//VB|INF|SFO//acl//72 inom//PP//case//83 bolagets//NN|NEU|SIN|DEF|GEN//nmod:poss//83 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 ramar//NN|UTR|PLU|IND|NOM//obl//79 .//MAD//punct//61
Svenskhemmet Voksenåsen;Svenskhemmet//NN|NEU|SIN|DEF|NOM//nmod//1 Voksenåsen//PM|NOM//nsubj:pass//5 A//PM|NOM//flat:name//1 ///MID//cc//4 S//NN|NEU|SIN|IND|NOM//nmod//1 bildades//VB|PRT|SFO//ROOT//5 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 januari//NN|UTR|SIN|IND|NOM//nsubj:pass//5 1977//RG|NOM//nummod//8 .//MAD//punct//5
Svenskhemmet Voksenåsen;Bolaget//NN|NEU|SIN|DEF|NOM//nsubj//12 ansvarar//VB|PRS|AKT//parataxis//5 för//PP//case//15 svenskhemmets//NN|NEU|SIN|DEF|GEN//nmod:poss//15 drift//NN|UTR|SIN|IND|NOM//obl//12 utom//PP//case//19 i//PP//case//19 två//RG|NOM//nummod//19 avseenden//NN|NEU|PLU|IND|NOM//obl//12 .//MAD//punct//5
Svenskhemmet Voksenåsen;Byggnaderna//NN|UTR|PLU|DEF|NOM//nsubj:pass//22 förvaltas//VB|PRS|SFO//parataxis//5 av//PP//case//25 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 fastighetsverk//NN|NEU|SIN|IND|NOM//obl:agent//22 ,//MID//punct//25 som//HP|-|-|-//nsubj//28 debiterar//VB|PRS|AKT//acl:relcl//25 bolaget//NN|NEU|SIN|DEF|NOM//iobj//28 en//DT|UTR|SIN|IND//det//32 årlig//JJ|POS|UTR|SIN|IND|NOM//amod//32 lokalhyra//NN|UTR|SIN|IND|NOM//obj//28 enligt//PP//case//35 gängse//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 regler//NN|UTR|PLU|IND|NOM//nmod//32 för//PP//case//39 den//DT|UTR|SIN|DEF//det//39 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 fastighetsförvaltningen//NN|UTR|SIN|DEF|NOM//nmod//35 .//MAD//punct//22
Svenskhemmet Voksenåsen;Hotell-//NN|NEU|-|-|SMS//nsubj:pass//44 och//KN//cc//43 restaurangverksamheten//NN|UTR|SIN|DEF|NOM//conj//41 drivs//VB|PRS|SFO//conj//22 av//PP//case//48 ett//DT|NEU|SIN|IND//det//48 privatägt//PC|PRF|NEU|SIN|IND|NOM//amod//48 bolag//NN|NEU|SIN|IND|NOM//obl:agent//44 ,//MID//punct//48 Voksenåsen//PM|NOM//nmod//51 Hotell//NN|NEU|SIN|IND|NOM//appos//48 A//PM|NOM//flat:name//51 ///MID//cc//54 S.//PM|NOM//conj//51 Enligt//PP//case//56 avtal//NN|NEU|SIN|IND|NOM//nmod//48 mellan//PP//case//60 de//DT|UTR/NEU|PLU|DEF//det//60 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//det//60 bolagen//NN|NEU|PLU|DEF|NOM//nmod//56 skall//VB|PRS|AKT//aux//69 en//DT|UTR|SIN|IND//det//64 viss//JJ|POS|UTR|SIN|IND|NOM//amod//64 del//NN|UTR|SIN|IND|NOM//nsubj//69 av//PP//case//66 vinsten//NN|UTR|SIN|DEF|NOM//nmod//64 i//PP//case//68 hotellrörelsen//NN|UTR|SIN|DEF|NOM//nmod//66 tillfalla//VB|INF|AKT//conj//44 svenskhemmets//NN|NEU|SIN|DEF|GEN//nmod:poss//72 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 verksamhet//NN|UTR|SIN|IND|NOM//obj//69 .//MAD//punct//44
