Kompletterande regler om personuppgiftsbehandling på det arbetsmarknadspolitiska området;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 personuppgiftsbehandling//NN|UTR|SIN|IND|NOM//nmod//2 inom//PP//case//8 den//DT|UTR|SIN|DEF//det//8 arbetsmarknadspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//4 och//KN//cc//11 i//PP//case//11 tillsynsverksamheten//NN|UTR|SIN|DEF|NOM//conj//0 över//PP//case//13 denna//PN|UTR|SIN|DEF|SUB/OBJ//nmod//11
Kompletterande regler om personuppgiftsbehandling på det arbetsmarknadspolitiska området;Stockholm//PM|NOM//ROOT//0 2012//RG|NOM//nummod//0

Till statsrådet Hillevi Engström;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 31//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//obl//1 2011//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utreda//VB|INF|AKT//acl//12 viss//JJ|POS|UTR|SIN|IND|NOM//amod//16 personuppgiftsbehandling//NN|UTR|SIN|IND|NOM//obj//14 vid//PP//case//18 Arbetsförmedlingen//PM|NOM//obl//14 och//KN//cc//20 Inspektionen//NN|UTR|SIN|DEF|NOM//conj//18 för//PP//case//22 arbetslöshetsförsäkringen//NN|UTR|SIN|DEF|NOM//obl//14 samt//KN//cc//25 att//IE//mark//25 klargöra//VB|INF|AKT//conj//1 vilka//HD|UTR/NEU|PLU|IND//det//27 regler//NN|UTR|PLU|IND|NOM//obj//25 som//HP|-|-|-//nsubj//30 bör//VB|PRS|AKT//aux//30 gälla//VB|INF|AKT//acl:relcl//27 och//KN//cc//34 om//SN//mark//34 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//34 finns//VB|PRS|SFO//conj//30 behov//NN|NEU|PLU|IND|NOM//nsubj//34 av//PP//case//38 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//38 regler//NN|UTR|PLU|IND|NOM//nmod//35 för//PP//case//40 behandling//NN|UTR|SIN|IND|NOM//nmod//38 av//PP//case//42 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//40 hos//PP//case//46 de//DT|UTR/NEU|PLU|DEF//det//46 externa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 leverantörer//NN|UTR|PLU|IND|NOM//nmod//42 av//PP//case//48 tjänster//NN|UTR|PLU|IND|NOM//nmod//46 som//HP|-|-|-//nsubj//54 på//PP//case//51 uppdrag//NN|NEU|SIN|IND|NOM//obl//54 av//PP//case//53 Arbetsförmedlingen//PM|NOM//nmod//51 bedriver//VB|PRS|AKT//acl:relcl//46 arbetsmarknadspolitisk//JJ|POS|UTR|SIN|IND|NOM//amod//56 verksamhet//NN|UTR|SIN|IND|NOM//obj//54 eller//KN//cc//59 annan//JJ|POS|UTR|SIN|IND|NOM//amod//59 verksamhet//NN|UTR|SIN|IND|NOM//conj//56 beträffande//PP//case//61 nyanlända//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//59 invandrare//NN|UTR|PLU|IND|NOM//conj//40 ,//MID//punct//62 s.k.//AB|AN//amod//66 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//66 aktörer//NN|UTR|PLU|IND|NOM//conj//62 (//PAD//punct//66 dir//NN|AN//conj//62 .//MAD//punct//62
Till statsrådet Hillevi Engström;2011:23//RG|NOM//obl//34 )//PAD//punct//25 .//MAD//punct//1
Till statsrådet Hillevi Engström;Som//KN//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//6 18//RG|NOM//nummod//6 april//NN|UTR|SIN|IND|NOM//nsubj:pass//3 2011//RG|NOM//nummod//8 lagmannen//NN|UTR|SIN|DEF|NOM//conj//6 ,//MID//punct//6 numera//AB//advmod//11 kammarrättspresidenten//NN|UTR|SIN|DEF|NOM//appos//6 ,//MID//punct//13 Margareta//PM|NOM//conj//6 Åberg//PM|NOM//flat:name//13 .//MAD//punct//3
Till statsrådet Hillevi Engström;Som//KN//mark//1 experter//NN|UTR|PLU|IND|NOM//obl//5 att//IE//mark//3 biträda//VB|INF|AKT//acl//1 utredningen//NN|UTR|SIN|DEF|NOM//obj//3 förordnades//VB|PRT|SFO//ROOT//5 från//PP//case//11 och//KN//cc//11 med//PP//case//11 den//DT|UTR|SIN|DEF//det//11 18//RG|NOM//nummod//11 april//NN|UTR|SIN|IND|NOM//nmod//14 2011//RG|NOM//nummod//14 ämnessakkunnige//VB|PRS|AKT//nmod//14 Anna//PM|NOM//nsubj//5 Byström//PM|NOM//flat:name//14 ,//MID//punct//14 Arbetsmarknadsdepartementet//NN|NEU|SIN|DEF|NOM//conj//14 ,//MID//punct//20 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//20 Karin//PM|NOM//appos//14 Ericsson//PM|NOM//flat:name//20 ,//MID//punct//23 Arbetsförmedlingen//NN|UTR|SIN|DEF|NOM//conj//14 ,//MID//punct//23 juristen//NN|UTR|SIN|DEF|NOM//nmod//26 Anna//PM|NOM//conj//14 Hörnlund//PM|NOM//flat:name//26 ,//MID//punct//26 Datainspektionen//PM|NOM//conj//14 ,//MID//punct//14 chefsjuristen//NN|UTR|SIN|DEF|NOM//conj//14 Lars//PM|NOM//conj//14 Seger//PM|NOM//flat:name//32 ,//MID//punct//14 Inspektionen//NN|UTR|SIN|DEF|NOM//conj//14 för//PP//case//37 arbetslöshetsförsäkringen//NN|UTR|SIN|DEF|NOM//nmod//35 ,//MID//punct//39 t.f//AB|AN//conj//37 .//MAD//punct//14
Till statsrådet Hillevi Engström;chefsjuristen//NN|UTR|SIN|DEF|NOM//obl//5 ,//MID//punct//44 numera//AB//advmod//44 departementssekreteraren//NN|UTR|SIN|DEF|NOM//appos//41 ,//MID//punct//46 Niklas//PM|NOM//conj//41 Wallentin//PM|NOM//flat:name//46 ,//MID//punct//49 Arbetsförmedlingen//NN|UTR|SIN|DEF|NOM//conj//41 .//MAD//punct//5
Till statsrådet Hillevi Engström;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anställdes//VB|PRT|SFO//ROOT//4 från//PP//compound:prt//4 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 18//RG|NOM//nummod//10 april//NN|UTR|SIN|IND|NOM//conj//4 2011//RG|NOM//nummod//12 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//10 ,//MID//punct//10 numera//AB//advmod//15 rådmannen//NN|UTR|SIN|DEF|NOM//appos//10 ,//MID//punct//10 Marie//PM|NOM//dep//22 Georgson//PM|NOM//flat//17 Petrén//PM|NOM//flat//17 .//MAD//punct//17
Till statsrådet Hillevi Engström;Hon//PN|UTR|SIN|DEF|SUB//nsubj:pass//22 entledigades//VB|PRT|SFO//conj//4 den//DT|UTR|SIN|DEF//det//25 19//RG|NOM//nummod//25 juni//NN|UTR|SIN|IND|NOM//obl//22 och//KN//cc//27 ersattes//VB|PRT|SFO//conj//22 från//PP//advmod//27 och//KN//cc//33 med//PP//case//33 den//DT|UTR|SIN|DEF//det//33 13//RG|NOM//nummod//33 juni//NN|UTR|SIN|IND|NOM//obl//27 av//PP//case//37 datarådet//NN|NEU|SIN|DEF|NOM//nmod//37 Agneta//PM|NOM//nmod//37 Runmarker//PM|NOM//nmod//33 som//KN//case//39 sekreterare//NN|UTR|SIN|IND|NOM//nmod//33 i//PP//case//41 utredningen//NN|UTR|SIN|DEF|NOM//nmod//39 .//MAD//punct//33
Till statsrådet Hillevi Engström;Verksjuristen//NN|UTR|SIN|DEF|NOM//appos//33 ,//MID//punct//46 numera//AB//advmod//46 t.f//AB|AN//appos//33 .//MAD//punct//46
