Våld och tvång under internationella militära insatser;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Fredsinsatsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Våld och tvång under internationella militära insatser;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Till statsrådet och chefen för Försvarsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 18//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obl//1 2010//RG|NOM//nummod//4 att//IE//mark//7 tillsätta//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 analysera//VB|INF|AKT//acl//12 regleringen//NN|UTR|SIN|DEF|NOM//obj//14 kring//PP//case//17 användandet//NN|NEU|SIN|DEF|NOM//obl//14 av//PP//case//19 våld//NN|NEU|SIN|IND|NOM//nmod//17 och//KN//cc//21 tvång//NN|NEU|SIN|IND|NOM//conj//19 av//PP//case//24 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 personal//NN|UTR|SIN|IND|NOM//nmod//21 i//PP//case//27 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 freds-//NN|UTR|-|-|SMS//amod//30 och//KN//cc//29 säkerhetsfrämjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//27 insatser//NN|UTR|PLU|IND|NOM//conj//19 .//MAD//punct//4
Till statsrådet och chefen för Försvarsdepartementet;I//PP//case//34 det//DT|NEU|SIN|DEF//det//34 arbetet//NN|NEU|SIN|DEF|NOM//obl//37 ska//VB|PRS|AKT//aux//37 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//37 sammanställa//VB|INF|AKT//conj//1 den//DT|UTR|SIN|DEF//det//42 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//42 och//KN//cc//41 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//39 rätt//NN|UTR|SIN|IND|NOM//obj//37 som//HP|-|-|-//nsubj//45 är//VB|PRS|AKT//cop//45 tillämplig//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//42 .//MAD//punct//49
Till statsrådet och chefen för Försvarsdepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//49 ska//VB|PRS|AKT//aux//49 överväga//VB|INF|AKT//advcl//37 om//SN//mark//52 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 finns//VB|PRS|SFO//advcl//49 ett//DT|NEU|SIN|IND//det//54 behov//NN|NEU|SIN|IND|NOM//nsubj//52 av//PP//case//58 en//DT|UTR|SIN|IND//det//58 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//58 reglering//NN|UTR|SIN|IND|NOM//nmod//54 av//PP//case//62 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//62 våldsrespektive//NN|UTR|SIN|IND|GEN//amod//62 tvångsanvändning//NN|UTR|SIN|IND|NOM//nmod//58 i//PP//case//64 freds-//NN|UTR|-|-|SMS//amod//67 och//KN//cc//66 säkerhetsfrämjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//64 insatser//NN|UTR|PLU|IND|NOM//nmod//62 .//MAD//punct//37
Till statsrådet och chefen för Försvarsdepartementet;Om//SN//mark//71 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//71 kommer//VB|PRS|AKT//advcl//37 fram//PL//advmod//71 till//PP//mark//77 att//SN//mark//77 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//76 reglering//NN|UTR|SIN|IND|NOM//nsubj:pass//77 behövs//VB|PRS|SFO//advcl//71 ska//VB|PRS|AKT//aux//80 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//80 presentera//VB|INF|AKT//xcomp//77 förslag//NN|NEU|SIN|IND|NOM//obj//80 till//PP//case//84 en//DT|UTR|SIN|IND//det//84 sådan//JJ|POS|UTR|SIN|IND|NOM//nmod//81 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//2 18//RG|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 ordföranden//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 i//PP//case//7 Försvarsunderrättelsedomstolen//NN|UTR|SIN|DEF|NOM//nmod//7 Runar//PM|NOM//obl//3 Viksten//PM|NOM//flat:name//7 som//KN//mark//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//xcomp//3 .//MAD//punct//3
Till statsrådet och chefen för Försvarsdepartementet;Som//KN//mark//15 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//15 förordnades//VB|PRT|SFO//advcl//3 den//DT|UTR|SIN|DEF//det//18 21//RG|NOM//nummod//18 december//NN|UTR|SIN|IND|NOM//nmod//20 kammaråklagaren//NN|UTR|SIN|DEF|NOM//nmod//20 Anne-Christine//PM|NOM//obl//15 Maderud//PM|NOM//flat:name//20 ,//MID//punct//20 försvarsjuristen//NN|UTR|SIN|DEF|NOM//nmod//24 Magnus//PM|NOM//appos//20 Sandbu//PM|NOM//flat//24 ,//MID//punct//24 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//28 Mikael//PM|NOM//appos//20 Andersson//PM|NOM//flat:name//28 ,//MID//punct//28 juris//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 doktorn//NN|UTR|SIN|DEF|NOM//nmod//33 Ola//PM|NOM//flat:name//20 Engdahl//PM|NOM//flat:name//33 ,//MID//punct//39 och//KN//cc//39 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//38 Pernilla//PM|NOM//compound//39 Nilsson//PM|NOM//conj//20 .//MAD//punct//3
Till statsrådet och chefen för Försvarsdepartementet;Sekreterare//NN|UTR|SIN|IND|NOM//nsubj//3 åt//PP//case//2 kommittén//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//ROOT//3 fr.o.m.//AB|AN//case//7 den//DT|UTR|SIN|DEF//det//7 18//RG|NOM//nummod//7 november//NN|UTR|SIN|IND|NOM//nmod//11 varit//VB|SUP|AKT//cop//11 juris//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 kandidaten//NN|UTR|SIN|DEF|NOM//nmod//11 Cecilia//PM|NOM//obj//3 Tengroth//PM|NOM//flat:name//11 och//KN//cc//15 juris//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 kandidaten//NN|UTR|SIN|DEF|NOM//nmod//17 Kristina//PM|NOM//nmod//17 Lindvall//PM|NOM//conj//11 .//MAD//punct//11
Till statsrådet och chefen för Försvarsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//obj//3 ,//MID//punct//19 som//HP|-|-|-//nsubj//23 har//VB|PRS|AKT//aux//23 antagit//VB|SUP|AKT//acl:relcl//19 namnet//NN|NEU|SIN|DEF|NOM//nmod//25 Fredsinsatsutredningen//NN|UTR|SIN|DEF|NOM//obj//23 (//PAD//punct//25 Fö//PM|NOM//nmod//28 2010:02//RG|NOM//appos//25 )//PAD//punct//19 ,//MID//punct//3 överlämnar//VB|PRS|AKT//conj//3 nu//AB//advmod//31 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//34 Våld//NN|NEU|SIN|IND|NOM//obj//31 och//KN//cc//36 tvång//NN|NEU|SIN|IND|NOM//conj//34 under//PP//case//40 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 insatser//NN|UTR|PLU|IND|NOM//obl//31 (//PAD//punct//40 SOU//PM|NOM//appos//40 2011:76//RG|NOM//punct//3 )//PAD//punct//3 .//MAD//punct//3
Till statsrådet och chefen för Försvarsdepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//49 är//VB|PRS|AKT//cop//49 härmed//AB//advmod//49 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//3 .//MAD//punct//49
Till statsrådet och chefen för Försvarsdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 november//NN|UTR|SIN|IND|NOM//obl//0 2011//RG|NOM//nummod//0
Till statsrådet och chefen för Försvarsdepartementet;Runar//PM|NOM//ROOT//0 Viksten//PM|NOM//flat:name//0 /Kristina//RG|NOM//case//3 Lindvall//PM|NOM//conj//0
