En allmän översyn av sekretesslagen;3.7//RG|NOM//nummod//2 Några//DT|UTR/NEU|PLU|IND//det//2 begrepp//NN|NEU|PLU|IND|NOM//nsubj//35 och//KN//cc//4 bestämmelser//NN|UTR|PLU|IND|NOM//conj//2 som//HP|-|-|-//nsubj//7 bör//VB|PRS|AKT//aux//7 komma//VB|INF|AKT//acl:relcl//4 till//PP//case//10 3.8//RG|NOM//nmod//10 Sekretessbestämmelser//NN|UTR|PLU|IND|NOM//obl//7 som//HP|-|-|-//nsubj//12 gäller//VB|PRS|AKT//acl:relcl//4 oavsett//AB|POS//advmod//12 hos//PP//case//16 vilken//HP|UTR|SIN|IND//det//16 6.4.3//RG|NOM//nmod//17 Sekretess//NN|UTR|SIN|IND|NOM//nsubj//19 skall//VB|PRS|AKT//aux//19 gälla//VB|INF|AKT//acl:relcl//2 i//PP//case//24 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 den//DT|UTR|SIN|DEF//det//24 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 förvaltningen//NN|UTR|SIN|DEF|NOM//obl//19 för//PP//case//28 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 uttryckligt//AB|POS//advmod//28 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//32 och//KN//cc//30 8.2.3//RG|NOM//conj//28 S//NN|AN//nummod//30 ekretesslagen//NN|UTR|SIN|DEF|NOM//nmod//24 får//VB|PRS|AKT//aux//35 inte//AB//advmod//35 leda//VB|INF|AKT//ROOT//35 till//PP//case//37 inskränkningar//NN|UTR|PLU|IND|NOM//obl//35 i//PP//case//40 parts//NN|UTR|SIN|IND|GEN//nmod:poss//40 rättigheter//NN|UTR|PLU|IND|NOM//nmod//37 enligt//PP//case//42 rättegångsbalken//NN|UTR|SIN|DEF|NOM//nmod//37 när//HA//mark//46 det//DT|NEU|SIN|DEF//det//46 12.7.1//RG|NOM//det//46 Kravet//NN|NEU|SIN|DEF|NOM//obl//35 på//PP//case//49 verksamheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//49 självständighet//NN|UTR|SIN|IND|NOM//nmod//46 i//PP//case//53 förhållande//NN|NEU|SIN|IND|NOM//fixed//50 till//PP//fixed//50 varandra//PN|UTR/NEU|PLU|DEF|OBJ//nmod//49 –//RG|NOM//punct//71 för//PP//mark//71 att//SN//fixed//55 en//DT|UTR|SIN|IND//det//59 sekretessgräns//NN|UTR|SIN|IND|NOM//amod//59 12.7.3//RG|NOM//nmod//60 Sekretessgränserna//NN|UTR|PLU|DEF|NOM//nsubj//71 på//PP//case//62 hälso-//NN|UTR|-|-|SMS//nmod//60 och//KN//cc//64 sjukvårdens//NN|UTR|SIN|DEF|GEN//conj//62 ,//MID//punct//66 socialtjänstens//NN|UTR|SIN|DEF|GEN//conj//62 och//KN//cc//69 skolans//NN|UTR|SIN|DEF|GEN//nmod:poss//69 område//NN|NEU|SIN|IND|NOM//conj//62 skall//VB|PRS|AKT//aux//71 framgå//VB|INF|AKT//acl:relcl//46 12.7.4//RG|NOM//nummod//75 Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//75 skall//VB|PRS|AKT//aux//75 framgå//VB|INF|AKT//ccomp//71 av//PP//case//77 lagen//NN|UTR|SIN|DEF|NOM//obl:agent//75 när//HA//mark//81 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//81 inte//AB//advmod//81 finns//VB|PRS|SFO//advcl//75 någon//DT|UTR|SIN|IND//det//83 sekretessgräns//NN|UTR|SIN|IND|NOM//nsubj//81 mellan//PP//case//86 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//86 verksamheter//NN|UTR|PLU|IND|NOM//nmod//83 som//HP|-|-|-//advmod//81
1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser;4//RG|NOM//nummod//75 §//NN|AN//nsubj//88 I//PP//case//77 lagen//NN|UTR|SIN|DEF|NOM//nmod//75 (//PAD//punct//75 2004//RG|NOM//nummod//75 ://MID//punct//75 xx//NN|AN//appos//75 )//PAD//punct//81 om//PP//case//84 hantering//NN|UTR|SIN|IND|NOM//nmod//75 av//PP//case//87 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//87 handlingar//NN|UTR|PLU|IND|NOM//nmod//84 finns//VB|PRS|SFO//conj//1 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//88 om//PP//case//96 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//95 och//KN//cc//93 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//91 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 organs//NN|NEU|PLU|IND|GEN//nmod:poss//96 hantering//NN|UTR|SIN|IND|NOM//obl//88 av//PP//case//99 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//99 handlingar//NN|UTR|PLU|IND|NOM//nmod//96 ,//MID//punct//101 handläggning//NN|UTR|SIN|IND|NOM//conj//96 vid//PP//case//103 utlämnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//101 av//PP//case//106 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//106 handlingar//NN|UTR|PLU|IND|NOM//nmod//103 ,//MID//punct//108 skyldighet//NN|UTR|SIN|IND|NOM//conj//96 att//IE//mark//110 lämna//VB|INF|AKT//acl//96 ut//PL//compound:prt//110 uppgifter//NN|UTR|PLU|IND|NOM//obj//110 ur//PP//case//114 handlingar//NN|UTR|PLU|IND|NOM//obl//110 och//KN//cc//116 serviceskyldighet//NN|UTR|SIN|IND|NOM//conj//114 .//MAD//punct//1

1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser / 2 kap. Grundläggande begrepp och bestämmelser;utanför//PP//case//2 det//DT|NEU|SIN|DEF//det//2 området//NN|NEU|SIN|DEF|NOM//ROOT//2 .//MAD//punct//2
1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser / 2 kap. Grundläggande begrepp och bestämmelser;Vad//HP|NEU|SIN|IND//dislocated//6 som//HP|-|-|-//nsubj:pass//6 avses//VB|PRS|SFO//acl:relcl//2 med//PP//case//8 sekretessområde//NN|NEU|SIN|IND|NOM//obl//6 framgår//VB|PRS|AKT//conj//6 av//PP//case//12 9//RG|NOM//nummod//12 §//NN|AN//obl//9 .//MAD//punct//2
1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser / 2 kap. Grundläggande begrepp och bestämmelser;Sekretessreglerad//PC|PRF|UTR|SIN|IND|NOM//amod//1 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//7 3//RG|NOM//nummod//3 §//NN|AN//nmod//1 Med//PP//case//6 sekretessreglerad//PC|PRF|UTR|SIN|IND|NOM//amod//6 uppgift//NN|UTR|SIN|IND|NOM//nmod//3 avses//VB|PRS|SFO//ROOT//7 i//PP//case//10 denna//DT|UTR|SIN|DEF//det//10 lag//NN|UTR|SIN|IND|NOM//obl//7 en//DT|UTR|SIN|IND//det//12 uppgift//NN|UTR|SIN|IND|NOM//obj//7 för//PP//case//14 vilken//HP|UTR|SIN|IND//obl//16 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//16 finns//VB|PRS|SFO//acl:relcl//12 en//DT|UTR|SIN|IND//det//18 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj//16 om//PP//case//20 sekretess//NN|UTR|SIN|IND|NOM//nmod//18 .//MAD//punct//7
1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser / 2 kap. Grundläggande begrepp och bestämmelser;Sekretessbelagd//PC|PRF|UTR|SIN|IND|NOM//amod//1 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//7 4//RG|NOM//nummod//3 §//NN|AN//nmod//1 Med//PP//case//6 sekretessbelagd//PC|PRF|UTR|SIN|IND|NOM//amod//6 uppgift//NN|UTR|SIN|IND|NOM//nmod//3 avses//VB|PRS|SFO//ROOT//7 i//PP//case//10 denna//DT|UTR|SIN|DEF//det//10 lag//NN|UTR|SIN|IND|NOM//obl//7 en//DT|UTR|SIN|IND//det//13 sekretessreglerad//PC|PRF|UTR|SIN|IND|NOM//amod//13 uppgift//NN|UTR|SIN|IND|NOM//obj//7 för//PP//case//15 vilken//HD|UTR|SIN|IND//det//16 sekretess//NN|UTR|SIN|IND|NOM//nsubj//17 gäller//VB|PRS|AKT//acl:relcl//13 i//PP//case//21 ett//DT|NEU|SIN|IND//det//21 enskilt//JJ|POS|NEU|SIN|IND|NOM//amod//21 fall//NN|NEU|SIN|IND|NOM//obl//17 .//MAD//punct//7
1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser / 2 kap. Grundläggande begrepp och bestämmelser;Sekretessbrytande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//0 bestämmelse//NN|UTR|SIN|IND|NOM//obj//0 5//RG|NOM//nummod//3 §//NN|AN//obj//0 Med//PP//case//6 sekretessbrytande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 bestämmelse//NN|UTR|SIN|IND|NOM//nmod//3 avses//VB|PRS|SFO//advcl//0 i//PP//case//10 denna//DT|UTR|SIN|DEF//det//10 lag//NN|UTR|SIN|IND|NOM//obl//7 en//DT|UTR|SIN|IND//det//12 bestämmelse//NN|UTR|SIN|IND|NOM//obj//7 som//HP|-|-|-//nsubj//14 innebär//VB|PRS|AKT//acl:relcl//12 att//SN//mark//25 en//DT|UTR|SIN|IND//det//17 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//25 som//HP|-|-|-//nsubj//23 annars//AB//advmod//23 skulle//VB|PRT|AKT//aux//23 ha//VB|INF|AKT//aux//23 varit//VB|SUP|AKT//cop//23 sekretessbelagd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//17 får//VB|PRS|AKT//aux//25 lämnas//VB|INF|SFO//ccomp//14 ut//PL//compound:prt//25 under//PP//case//29 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 förutsättningar//NN|UTR|PLU|IND|NOM//obl//25 .//MAD//punct//0
1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser / 2 kap. Grundläggande begrepp och bestämmelser;Primär//JJ|POS|UTR|SIN|IND|NOM//amod//1 sekretessbestämmelse//NN|UTR|SIN|IND|NOM//nsubj:pass//7 6//RG|NOM//nummod//3 §//NN|AN//nmod//1 Med//PP//case//6 primär//JJ|POS|UTR|SIN|IND|NOM//amod//6 sekretessbestämmelse//NN|UTR|SIN|IND|NOM//nmod//3 avses//VB|PRS|SFO//ROOT//7 i//PP//case//10 denna//DT|UTR|SIN|DEF//det//10 lag//NN|UTR|SIN|IND|NOM//obl//7 en//DT|UTR|SIN|IND//det//12 bestämmelse//NN|UTR|SIN|IND|NOM//obj//7 om//PP//case//14 sekretess//NN|UTR|SIN|IND|NOM//nmod//12 som//HP|-|-|-//obj//19 en//DT|UTR|SIN|IND//det//17 myndighet//NN|UTR|SIN|IND|NOM//nsubj//19 skall//VB|PRS|AKT//aux//19 tillämpa//VB|INF|AKT//acl:relcl//14 på//PP//mark//26 grund//NN|UTR|SIN|IND|NOM//fixed//20 av//PP//fixed//20 att//SN//mark//26 bestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj//26 antingen//KN//cc//26 riktar//VB|PRS|AKT//advcl//19 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//26 direkt//AB|POS//advmod//26 till//PP//case//30 myndigheten//NN|UTR|SIN|DEF|NOM//obl//26 eller//KN//cc//32 omfattar//VB|PRS|AKT//conj//26 en//DT|UTR|SIN|IND//det//35 viss//JJ|POS|UTR|SIN|IND|NOM//amod//35 verksamhet//NN|UTR|SIN|IND|NOM//obj//32 ,//MID//punct//40 ett//DT|NEU|SIN|IND//det//39 visst//JJ|POS|NEU|SIN|IND|NOM//amod//39 slags//NN|NEU|SIN|IND|GEN//nmod:poss//40 ärende//NN|NEU|SIN|IND|NOM//obl//32 eller//KN//cc//43 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 uppgifter//NN|UTR|PLU|IND|NOM//conj//40 som//HP|-|-|-//nsubj//45 finns//VB|PRS|SFO//acl:relcl//43 hos//PP//case//47 myndigheten//NN|UTR|SIN|DEF|NOM//obl//45 .//MAD//punct//7
1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser / 2 kap. Grundläggande begrepp och bestämmelser;Överföringsbestämmelse//NN|UTR|SIN|IND|NOM//nsubj:pass//5 7//RG|NOM//nummod//2 §//NN|AN//obj//0 Med//PP//case//4 överföringsbestämmelse//NN|UTR|SIN|IND|NOM//nmod//2 avses//VB|PRS|SFO//ROOT//5 i//PP//case//8 denna//DT|UTR|SIN|DEF//det//8 lag//NN|UTR|SIN|IND|NOM//obl//5 en//DT|UTR|SIN|IND//det//10 bestämmelse//NN|UTR|SIN|IND|NOM//obj//5 som//HP|-|-|-//nsubj//12 anger//VB|PRS|AKT//acl:relcl//10 att//SN//mark//17 om//SN//mark//17 en//DT|UTR|SIN|IND//det//16 myndighet//NN|UTR|SIN|IND|NOM//nsubj//17 lämnar//VB|PRS|AKT//advcl//30 en//DT|UTR|SIN|IND//det//19 uppgift//NN|UTR|SIN|IND|NOM//obj//17 som//HP|-|-|-//nsubj:pass//22 är//VB|PRS|AKT//aux:pass//22 sekretessreglerad//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//19 där//AB//advmod//22 till//PP//case//27 en//DT|UTR|SIN|IND//det//27 annan//JJ|POS|UTR|SIN|IND|NOM//amod//27 myndighet//NN|UTR|SIN|IND|NOM//obl//22 skall//VB|PRS|AKT//aux//30 sekretessbestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//30 tillämpas//VB|INF|SFO//conj//5 också//AB//advmod//30 hos//PP//case//34 den//DT|UTR|SIN|DEF//det//34 myndigheten//NN|UTR|SIN|DEF|NOM//obl//30 .//MAD//punct//5
1 Förslag till sekretesslag Avd. 1 Allmänna bestämmelser / 2 kap. Grundläggande begrepp och bestämmelser;Sekundär//JJ|POS|UTR|SIN|IND|NOM//amod//1 sekretessbestämmelse//NN|UTR|SIN|IND|NOM//nsubj:pass//7 8//RG|NOM//nummod//3 §//NN|AN//nmod//1 Med//PP//case//6 sekundär//JJ|POS|UTR|SIN|IND|NOM//amod//6 sekretessbestämmelse//NN|UTR|SIN|IND|NOM//nmod//3 avses//VB|PRS|SFO//ROOT//7 i//PP//case//10 denna//DT|UTR|SIN|DEF//det//10 lag//NN|UTR|SIN|IND|NOM//obl//7 en//DT|UTR|SIN|IND//det//12 bestämmelse//NN|UTR|SIN|IND|NOM//obj//7 om//PP//case//14 sekretess//NN|UTR|SIN|IND|NOM//nmod//12 som//HP|-|-|-//obj//19 en//DT|UTR|SIN|IND//det//17 myndighet//NN|UTR|SIN|IND|NOM//nsubj//19 skall//VB|PRS|AKT//aux//19 tillämpa//VB|INF|AKT//acl:relcl//14 på//PP//case//24 grund//NN|UTR|SIN|IND|NOM//fixed//20 av//PP//fixed//20 en//DT|UTR|SIN|IND//det//24 överföringsbestämmelse//NN|UTR|SIN|IND|NOM//obl//19 .//MAD//punct//7
