IT-samhällets estetiska praktik;"Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 är//VB|PRS|AKT//cop//4 för//PP//mark//4 att//IE//mark//4 belysa//VB|INF|AKT//ROOT//4 detta//PN|NEU|SIN|DEF|SUB/OBJ//det//8 ”//PAD//punct//8 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 ”//PM|NOM//obj//4 i//PP//case//10 mötet//NN|NEU|SIN|DEF|NOM//obl//4 mellan//PP//case//12 teknik//NN|UTR|SIN|IND|NOM//nmod//10 och//KN//cc//14 konst//NN|UTR|SIN|IND|NOM//conj//12 som//KN//obj//30 Pelle//PM|NOM//nsubj//30 Ehn//PM|NOM//flat//16 ,//MID//punct//19 professor//NN|UTR|SIN|IND|NOM//appos//16 i//PP//case//21 Konst//NN|UTR|SIN|IND|NOM//nmod//19 ,//MID//punct//23 kultur//NN|UTR|SIN|IND|NOM//conj//21 och//KN//cc//25 kommunikation//NN|UTR|SIN|IND|NOM//conj//21 vid//PP//case//28 Malmö//PM|NOM//nmod//28 Högskola//NN|UTR|SIN|IND|NOM//nmod//21 ,//MID//punct//16 bjudit//VB|SUP|AKT//acl:relcl//14 in//PL//compound:prt//30 till//PP//case//34 ett//DT|NEU|SIN|IND//det//34 samtal//NN|NEU|SIN|IND|NOM//obl//30 –//PAD//punct//37 ett//DT|NEU|SIN|IND//det//37 samtal//NN|NEU|SIN|IND|NOM//appos//4 om//PP//mark//41 det//DT|NEU|SIN|DEF//det//41 ”//PAD//punct//41 nyas//UO//nmod//37 ”//PAD//punct//43 framväxt//NN|UTR|SIN|IND|NOM//conj//41 och//KN//cc//45 drivkrafter//NN|UTR|PLU|IND|NOM//conj//43 ;//MID//punct//37"
IT-samhällets estetiska praktik;"dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//48 form//NN|UTR|SIN|IND|NOM//appos//37 ,//MID//punct//50 funktion//NN|UTR|SIN|IND|NOM//conj//48 och//KN//cc//52 struktur//NN|UTR|SIN|IND|NOM//conj//48 ;//MID//punct//48"
IT-samhällets estetiska praktik;dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//56 kulturella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//56 betydelse//NN|UTR|SIN|IND|NOM//conj//48 och//KN//cc//60 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//60 sociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 önskvärdhet//NN|UTR|SIN|IND|NOM//conj//56 .//MAD//punct//4
IT-samhällets estetiska praktik;Samtalet//NN|NEU|SIN|DEF|NOM//nsubj//63 ägde//VB|PRT|AKT//parataxis//4 rum//NN|NEU|SIN|IND|NOM//compound:prt//63 den//DT|UTR|SIN|DEF//det//67 29//RG|NOM//nummod//67 april//NN|UTR|SIN|IND|NOM//obl//63 1999//RG|NOM//nummod//67 på//PP//case//72 Chalmers//PM|GEN//nmod:poss//72 Tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 Högskola//NN|UTR|SIN|IND|NOM//obl//63 i//PP//case//74 Göteborg//PM|NOM//nmod//72 .//MAD//punct//63
IT-samhällets estetiska praktik;Det//DT|NEU|SIN|DEF//det//3 ”//PAD//punct//0 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 ”//PM|NOM//obl//9 ,//MID//punct//5 säger//VB|PRS|AKT//dep//9 Pelle//PM|NOM//nsubj//5 Ehn//PM|NOM//flat:name//6 ,//MID//punct//5 benämns//VB|PRS|SFO//ROOT//9 i//PP//advmod//9 dag//NN|UTR|SIN|IND|NOM//fixed//10 ofta//AB|POS//advmod//9 ”//RG|NOM//punct//9 den//DT|UTR|SIN|DEF//det//16 tredje//RO|NOM//amod//16 kulturen//NN|UTR|SIN|DEF|NOM//obl//9 ”//PM|NOM//obl//9 ,//MID//punct//9 med//PP//case//22 referens//NN|UTR|SIN|IND|NOM//fixed//19 till//PP//fixed//19 C.//PM|NOM//obl//24 P.//PM|NOM//flat//22 Snows//PM|GEN//nmod:poss//25 analys//NN|UTR|SIN|IND|NOM//nsubj:pass//9 av//PP//case//31 de//DT|UTR/NEU|PLU|DEF//det//30 ”//PM|NOM//punct//30 två//RG|NOM//nummod//30 kulturernas//NN|UTR|PLU|DEF|GEN//nmod:poss//31 ”//PAD//nmod//25 –//PAD//punct//33 konstens//NN|UTR|SIN|DEF|GEN//parataxis//9 och//KN//cc//35 veten-//NN|NEU|-|-|SMS//conj//33
IT-samhällets estetiska praktik;Samtalsledare//NN|UTR|SIN|IND|NOM//nsubj//5 Pelle//PM|NOM//nsubj//0 Ehns//PM|GEN//flat//1 fem//RG|NOM//nummod//4 gäster//NN|UTR|PLU|IND|NOM//obj//0 representerar//VB|PRS|AKT//ROOT//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 roller//NN|UTR|PLU|IND|NOM//obj//5 i//PP//case//9 samtalet//NN|NEU|SIN|DEF|NOM//obl//5 .//MAD//punct//5
IT-samhällets estetiska praktik;Tekniken//NN|UTR|SIN|DEF|NOM//nsubj:pass//12 representeras//VB|PRS|SFO//parataxis//5 av//PP//case//15 Jan-Eric//PM|NOM//nmod//15 Sundgren//PM|NOM//obl:agent//12 ,//MID//punct//17 rektor//NN|UTR|SIN|IND|NOM//conj//15 för//PP//case//21 Chalmers//PM|GEN//nmod:poss//21 Tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 Högskola//NN|UTR|SIN|IND|NOM//nmod//17 i//PP//case//23 Göteborg//PM|NOM//nmod//21 ,//MID//punct//12 konsten//NN|UTR|SIN|DEF|NOM//obj//5 av//PP//case//27 Henning//PM|NOM//nmod//25 Mankell//PM|NOM//flat//27 ,//MID//punct//30 författare//NN|UTR|SIN|IND|NOM//conj//27 och//KN//cc//32 dramatiker//NN|UTR|PLU|IND|NOM//conj//27 .//MID//punct//5
IT-samhällets estetiska praktik;Det//DT|NEU|SIN|DEF//det//36 långa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 perspektivet//NN|NEU|SIN|DEF|NOM//nsubj:pass//40 ,//MID//punct//36 historien//NN|UTR|SIN|DEF|NOM//conj//36 ,//MID//punct//36 representeras//VB|PRS|SFO//parataxis//5 av//PP//case//42 Sven-Eric//PM|NOM//obl:agent//40 Liedman//PM|NOM//flat//42 ,//MID//punct//45 professor//NN|UTR|SIN|IND|NOM//parataxis//5 i//PP//case//47 idé-//NN|UTR|-|-|SMS//nmod//45 och//KN//cc//49 lärdomshistoria//NN|UTR|SIN|IND|NOM//conj//47 vid//PP//case//52 Göteborgs//PM|GEN//nmod:poss//52 Universitet//NN|NEU|SIN|IND|NOM//nmod//45 ,//MID//punct//62 medan//SN//mark//62 framtiden//NN|UTR|SIN|DEF|NOM//nsubj//62 ,//MID//punct//60 det//DT|NEU|SIN|DEF//det//60 möjliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 mötet//NN|NEU|SIN|DEF|NOM//appos//55 ,//MID//punct//60 har//VB|PRS|AKT//conj//5 två//RG|NOM//nummod//64 representanter//NN|UTR|PLU|IND|NOM//obj//62 ://MID//punct//64
IT-samhällets estetiska praktik;Birgitta//PM|NOM//appos//64 Cappelen//PM|NOM//flat:name//66 ,//MID//punct//69 doktorand//NN|UTR|SIN|IND|NOM//conj//66 i//PP//case//71 design//NN|UTR|SIN|IND|NOM//nmod//69 och//KN//cc//74 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 medier//NN|NEU|PLU|IND|NOM//conj//71 ,//MID//punct//66 och//KN//cc//77 Livia//PM|NOM//conj//66 Sunesson//PM|NOM//flat:name//77 ,//MID//punct//66 studerande//NN|UTR|PLU|IND|NOM//acl//66 i//PP//case//82 interaktionsteknologi//NN|UTR|SIN|IND|NOM//nmod//80 ,//MID//punct//66 bägge//PN|UTR/NEU|PLU|DEF|SUB//conj//66 vid//PP//case//86 Konst//NN|UTR|SIN|IND|NOM//nmod//84 ,//MID//punct//88 kultur//NN|UTR|SIN|IND|NOM//conj//86 och//KN//cc//90 kommunikation//NN|UTR|SIN|IND|NOM//conj//88 ,//MID//punct//92 Malmö//PM|NOM//nmod//93 Högskola//NN|UTR|SIN|IND|NOM//conj//86 .//MAD//punct//62
IT-samhällets estetiska praktik;För//PP//mark//97 att//IE//mark//97 markera//VB|INF|AKT//advcl//108 hoppet//NN|NEU|SIN|DEF|NOM//obj//97 mellan//PP//case//101 det//DT|NEU|SIN|DEF//det//101 traditionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//97 och//KN//cc//103 framtiden//NN|UTR|SIN|DEF|NOM//conj//101 ,//MID//punct//108 vill//VB|PRS|AKT//aux//108 Pelle//PM|NOM//nsubj//108 Ehn//PM|NOM//flat//106 ge//VB|INF|AKT//xcomp//5 dessa//DT|UTR/NEU|PLU|DEF//det//113 två//RG|NOM//nummod//112 yngre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//112 deltagare//NN|UTR|PLU|IND|NOM//nmod//113 rollerna//NN|UTR|PLU|DEF|NOM//obj//108 av//PP//case//116 ”//PAD//nmod//116 nördar//NN|UTR|PLU|IND|NOM//nmod//113 ”//PAD//punct//108 .//MAD//punct//5
