kommunal räddningstjänst;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//4 2017//RG|NOM//nummod//3 års//NN|NEU|SIN|IND|GEN//nmod:poss//4 räddningstjänstutredning//NN|UTR|SIN|IND|NOM//nmod//0
Till statsrådet och chefen för Justitiedepartementet;Asp//PM|NOM//nsubj//27 (//PAD//punct//0 S//NN|NEU|SIN|IND|NOM//appos//0 )//PAD//punct//2 ,//MID//punct//5 oppositionsrådet//NN|NEU|SIN|DEF|NOM//conj//0 i//PP//case//8 Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 Götalandsregionen//NN|UTR|SIN|DEF|NOM//nmod//9 Helén//PM|NOM//nmod//5 Eliasson//PM|NOM//flat//9 (//PAD//punct//12 S//NN|NEU|SIN|IND|NOM//appos//9 )//PAD//punct//12 ,//MID//punct//15 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//16 Paula//PM|NOM//conj//0 Holmqvist//PM|NOM//flat//16 (//PAD//punct//19 S//NN|NEU|SIN|IND|NOM//nmod//16 )//PAD//punct//19 ,//MID//punct//22 ledamoten//NN|UTR|SIN|DEF|NOM//conj//16 i//PP//case//24 direktionen//NN|UTR|SIN|DEF|NOM//nmod//22 för//PP//case//26 Räddningstjänsten//NN|UTR|SIN|DEF|NOM//nmod//24 Syd//PM|NOM//ROOT//27 Ulf//PM|NOM//nsubj//27 Nymark//PM|NOM//flat:name//28 (//PAD//punct//31 MP//PM|NOM//obl//27 )//PAD//punct//31 ,//MID//punct//35 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//35 Lotta//PM|NOM//conj//27 Olsson//PM|NOM//flat:name//35 (//PAD//punct//38 M//PM|NOM//appos//35 )//PAD//punct//38 ,//MID//punct//42 numera//AB//advmod//42 kommunalrådet//NN|NEU|SIN|DEF|NOM//obj//27 i//PP//case//45 Sala//PM|NOM//amod//45 kommun//NN|UTR|SIN|IND|NOM//nmod//46 Anders//PM|NOM//nmod//47 Wigelsbo//PM|NOM//nmod//42 (//PAD//punct//49 C//PM|NOM//nmod//47 )//PAD//punct//49 och//KN//cc//52 kommunalrådet//NN|NEU|SIN|DEF|NOM//conj//47 i//PP//case//54 Örkelljunga//PM|NOM//amod//55 kommun//NN|UTR|SIN|IND|NOM//nmod//56 Carina//PM|NOM//nmod//52 Zachau//PM|NOM//flat:name//56 (//PAD//punct//59 M//PM|NOM//nmod//56 )//PAD//punct//59 .//MAD//punct//27
Till statsrådet och chefen för Justitiedepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//1 Fredrik//PM|NOM//nsubj:pass//3 Henriksson//PM|NOM//flat:name//1 anställdes//VB|PRT|SFO//ROOT//3 som//KN//case//5 sekreterare//NN|UTR|SIN|IND|NOM//obl//3 i//PP//case//7 utredningen//NN|UTR|SIN|DEF|NOM//nmod//5 från//PP//advmod//3 och//KN//cc//13 med//PP//fixed//9 den//DT|UTR|SIN|DEF//det//13 7//RO|NOM//nummod//13 juni//NN|UTR|SIN|IND|NOM//conj//3 2017//RG|NOM//nummod//13 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//5 2017//RG|NOM//nummod//5 års//NN|NEU|SIN|IND|GEN//nmod:poss//6 räddningstjänstutredning//NN|UTR|SIN|IND|NOM//obj//2 (//PAD//punct//6 Ju//NN|AN//advmod//9 2017:05//RG|NOM//appos//6 )//PAD//punct//2 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Jan-Åke//PM|NOM//nsubj//4 Björklund//PM|NOM//flat:name//0 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//cop//4 utredare//NN|UTR|SIN|IND|NOM//ROOT//4 och//KN//cc//6 svarar//VB|PRS|AKT//conj//4 för//PP//case//8 innehållet//NN|NEU|SIN|DEF|NOM//obl//6 i//PP//case//10 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//8 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//14 har//VB|PRS|AKT//aux//14 bedrivits//VB|SUP|SFO//parataxis//4 i//PP//case//17 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 samverkan//NN|UTR|SIN|IND|NOM//obl//14 med//PP//case//19 experter//NN|UTR|PLU|IND|NOM//nmod//17 och//KN//cc//21 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//19 men//KN//cc//24 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//24 hindrar//VB|PRS|AKT//conj//14 inte//AB//advmod//24 att//SN//mark//29 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//29 kan//VB|PRS|AKT//aux//29 finnas//VB|INF|SFO//ccomp//24 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//31 uppfattningar//NN|UTR|PLU|IND|NOM//obj//29 i//PP//case//34 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 frågor//NN|UTR|PLU|IND|NOM//nmod//31 .//MAD//punct//14
Till statsrådet och chefen för Justitiedepartementet;En//DT|UTR|SIN|IND//det//38 avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 mening//NN|UTR|SIN|IND|NOM//nsubj:pass//39 utvecklas//VB|PRS|SFO//conj//14 av//PP//case//41 Fredric//PM|NOM//obl:agent//39 Jonsson//PM|NOM//flat:name//41 i//PP//case//46 ett//DT|NEU|SIN|IND//det//46 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//46 yttrande//NN|NEU|SIN|IND|NOM//obl//39 som//HP|-|-|-//nsubj:pass//48 bifogas//VB|PRS|SFO//acl:relcl//46 till//PP//case//50 betänkandet//NN|NEU|SIN|DEF|NOM//obl//48 .//MAD//punct//14
Till statsrådet och chefen för Justitiedepartementet;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//1 En//DT|UTR|SIN|IND//det//6 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//6 räddningstjänst//NN|UTR|SIN|IND|NOM//obj//1  //_SP////6 (//PAD//punct//6 SOU//PM|NOM//appos//6 2018:54//RG|NOM//case//9 )//PAD//punct//6 och//KN//cc//17 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//17 är//VB|PRS|AKT//cop//17 därmed//AB//advmod//17 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2018//RG|NOM//nummod//2
Till statsrådet och chefen för Justitiedepartementet;Jan-Åke//PM|NOM//ROOT//0 Björklund//PM|NOM//flat:name//0 /Fredrik//RG|NOM//flat:name//0 Henriksson//PM|NOM//flat:name//0

