En översyn av överskottsmålet;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Överskottsmålskommittén//NN|UTR|SIN|DEF|NOM//nmod//0
En översyn av överskottsmålet;Stockholm//PM|NOM//ROOT//0 2016//RG|NOM//nummod//0

Till statsrådet Magdalena Andersson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 11//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//1 2015//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//11 parlamentariskt//AB|POS//advmod//10 sammansatt//PC|PRF|UTR|SIN|IND|NOM//amod//11 kommitté//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//13 uppgiften//NN|UTR|SIN|DEF|NOM//nmod//11 att//IE//mark//15 göra//VB|INF|AKT//acl//11 en//DT|UTR|SIN|IND//det//17 översyn//NN|UTR|SIN|IND|NOM//obj//15 av//PP//case//19 målet//NN|NEU|SIN|DEF|NOM//nmod//17 för//PP//case//25 den//DT|UTR|SIN|DEF//det//23 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 sektorns//NN|UTR|SIN|DEF|GEN//nmod:poss//25 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 sparande//NN|NEU|SIN|IND|NOM//nmod//19 (//PAD//punct//25 dir//NN|AN//obl//7 .//MAD//punct//4
Till statsrådet Magdalena Andersson;2015:63//RG|NOM//obl//1 )//PAD//punct//29 .//MAD//punct//1
Till statsrådet Magdalena Andersson;Den//DT|UTR|SIN|DEF//det//34 10//RG|NOM//nummod//34 december//NN|UTR|SIN|IND|NOM//obl//36 2015//RG|NOM//nummod//34 beslutade//VB|PRT|AKT//parataxis//1 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//36 om//PP//case//39 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//36 till//PP//case//41 kommittén//NN|UTR|SIN|DEF|NOM//obl//36 (//PAD//punct//41 dir//NN|AN//appos//41 .//MID//punct//45
Till statsrådet Magdalena Andersson;2015:130//RG|NOM//conj//41 )//PAD//punct//45 .//MAD//punct//1
Till statsrådet Magdalena Andersson;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Överskottsmålskommittén//NN|UTR|SIN|DEF|NOM//obj//2 (//PAD//punct//4 Fi//PM|NOM//appos//4 2015:06//RG|NOM//advmod//6 )//PAD//punct//4 .//MAD//punct//2
Till statsrådet Magdalena Andersson;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 ordförande//NN|UTR|SIN|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 varit//VB|SUP|AKT//ROOT//3 Jens//PM|NOM//nsubj//3 Henriksson//PM|NOM//flat//4 ,//MID//punct//7 vd//NN|AN//conj//4 och//KN//cc//9 koncernchef//NN|UTR|SIN|IND|NOM//conj//4 för//PP//case//11 Folksam//PM|NOM//nmod//9 .//MID//punct//3
Till statsrådet Magdalena Andersson;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 personer//NN|UTR|PLU|IND|NOM//nsubj//17 har//VB|PRS|AKT//aux//17 varit//VB|SUP|AKT//cop//17 ledamöter//NN|UTR|PLU|IND|NOM//parataxis//3 i//PP//case//19 kommittén//NN|UTR|SIN|DEF|NOM//nmod//17 ://MID//punct//17
Till statsrådet Magdalena Andersson;riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//22 Janine//PM|NOM//nsubj//72 Alm//PM|NOM//flat:name//22 Ericson//PM|NOM//flat//22 ,//MID//punct//22 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//27 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//28 Ingrid//PM|NOM//conj//22 Burman//PM|NOM//flat:name//28 ,//MID//punct//22 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//32 Jakob//PM|NOM//conj//22 Forssmed//PM|NOM//flat:name//32 ,//MID//punct//22 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//36 Jörgen//PM|NOM//conj//22 Hellman//PM|NOM//flat:name//36 ,//MID//punct//36 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//40 Ulf//PM|NOM//conj//22 Kristersson//PM|NOM//flat:name//40 ,//MID//punct//43 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//conj//22 Emil//PM|NOM//nsubj//43 Källström//PM|NOM//flat//44 ,//MID//punct//43 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//48 Maria//PM|NOM//conj//22 Malmer//PM|NOM//flat:name//48 Stenergard//PM|NOM//flat//48 ,//MID//punct//48 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//53 Ingela//PM|NOM//conj//22 Nylund//PM|NOM//flat:name//53 Watz//PM|NOM//flat//54 ,//MID//punct//22 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//58 Fredrik//PM|NOM//conj//22 Olovsson//PM|NOM//flat:name//58 ,//MID//punct//22 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//62 Oscar//PM|NOM//conj//22 Sjöstedt//PM|NOM//flat:name//62 och//KN//cc//65 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//66 Erik//PM|NOM//conj//62 Ullenhag//PM|NOM//flat:name//66 .//MAD//punct//22
Till statsrådet Magdalena Andersson;I//PP//case//70 oktober//NN|UTR|SIN|IND|NOM//obl//72 2015//RG|NOM//nummod//70 lämnade//VB|PRT|AKT//parataxis//17 Ingela//PM|NOM//obj//72 Nylund//PM|NOM//flat//73 Watz//PM|NOM//flat//74 sitt//PS|NEU|SIN|DEF//nmod:poss//77 uppdrag//NN|NEU|SIN|IND|NOM//obj//72 som//KN//mark//79 ledamot//NN|UTR|SIN|IND|NOM//acl//77 i//PP//case//81 kommittén//NN|UTR|SIN|DEF|NOM//obl//79 ,//MID//punct//86 och//KN//cc//86 i//PP//advmod//86 stället//NN|NEU|SIN|DEF|NOM//fixed//84 förordnades//VB|PRT|SFO//conj//72 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//88 Susanne//PM|NOM//nsubj//86 Eberstein//PM|NOM//flat:name//88 .//MAD//punct//86
