Genomförande av EU:s barnrättsdirektiv och två andra straffprocessuella frågor;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 straffprocessuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 frågor//NN|UTR|PLU|IND|NOM//nmod//2
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 sitt//PS|NEU|SIN|DEF//nmod:poss//4 slutbetänkande//NN|NEU|SIN|IND|NOM//amod//6 Barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//6 rättigheter//NN|UTR|PLU|IND|NOM//obj//1 i//PP//case//10 ett//DT|NEU|SIN|IND//det//10 straffrättsligt//JJ|POS|NEU|SIN|IND|NOM//amod//10 förfarande//NN|NEU|SIN|IND|NOM//obl//1 m.m.//AB|AN//obj//1
Till statsrådet och chefen för Justitiedepartementet;Genomförande//NN|NEU|SIN|IND|NOM//acl//11 av//PP//case//14 EU//PM|NOM//nmod//12 ://MID//punct//11
Till statsrådet och chefen för Justitiedepartementet;s//NN|NEU|SIN|IND|GEN//nummod//17 barnrättsdirektiv//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//31 två//RG|NOM//nummod//22 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 straffprocessuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//31  //_SP////22 (//PAD//punct//22 SOU//PM|NOM//appos//22 2017:68//RG|NOM//nmod//25 )//PAD//punct//25 .//MAD//punct//22
Till statsrådet och chefen för Justitiedepartementet;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//31 har//VB|PRS|AKT//aux//31 bedrivits//VB|SUP|SFO//conj//17 i//PP//case//34 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 samråd//NN|NEU|SIN|IND|NOM//obl//31 med//PP//case//36 experterna//NN|UTR|PLU|DEF|NOM//nmod//34 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Betänkandet//NN|NEU|SIN|DEF|NOM//nsubj//41 är//VB|PRS|AKT//cop//41 därför//AB//advmod//41 formulerat//PC|PRF|NEU|SIN|IND|NOM//parataxis//1 i//PP//case//43 vi-form//NN|UTR|SIN|IND|NOM//obl//41 .//MAD//punct//41
Till statsrådet och chefen för Justitiedepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//46 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//49 är//VB|PRS|AKT//cop//49 härmed//AB//advmod//49 fullgjort//PC|PRF|NEU|SIN|IND|NOM//conj//41 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Jönköping//PM|NOM//ROOT//0 i//PP//case//2 september//NN|UTR|SIN|IND|NOM//nmod//0 2017//RG|NOM//nummod//2
Till statsrådet och chefen för Justitiedepartementet;Charlotte//PM|NOM//ROOT//0 Brokelind//PM|NOM//flat:name//0 /Johanna//RG|NOM//case//3 Syrén//PM|NOM//obj//0


