Händelseanalyser vid självmord inom hälso- och sjukvården och socialtjänsten;Förslag//NN|NEU|PLU|IND|NOM//ROOT//0 till//PP//case//3 ny//JJ|POS|UTR|SIN|IND|NOM//amod//3 lag//NN|UTR|SIN|IND|NOM//nmod//0
Till statsrådet och chefen för Socialdepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//mark//17 Karin//PM|NOM//nsubj:pass//17 Månsson//PM|NOM//flat:name//15 förordnades//VB|PRT|SFO//parataxis//4 som//KN//case//19 sekreterare//NN|UTR|SIN|IND|NOM//obl//17 fr.o.m.//AB|AN//case//23 den//DT|UTR|SIN|DEF//det//23 1//RO|NOM//nummod//23 januari//NN|UTR|SIN|IND|NOM//obl//17 2010//RG|NOM//nummod//23 .//MAD//punct//4
Till statsrådet och chefen för Socialdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//obj//2 ”//PAD//case//5 Självmordspreventionsutredningen//NN|UTR|SIN|DEF|NOM//nmod//3 ”//PM|NOM//punct//2 .//MAD//punct//2
Till statsrådet och chefen för Socialdepartementet;Den//DT|UTR|SIN|DEF//det//2 18//RG|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//obl//4 2009//RG|NOM//nummod//2 överlämnade//VB|PRT|AKT//ROOT//4 Regeringskansliet//NN|NEU|SIN|DEF|NOM//nsubj//4 (//PAD//punct//5 Socialdepartementet//NN|NEU|SIN|DEF|NOM//appos//5 )//PAD//punct//7 tre//RG|NOM//nummod//10 återrapporteringar//NN|UTR|PLU|IND|NOM//obj//4 av//PP//case//12 regeringsbeslut//NN|NEU|PLU|IND|NOM//nmod//10 för//PP//case//14 beredning//NN|UTR|SIN|IND|NOM//nmod//10 av//PP//case//16 utredningen//NN|UTR|SIN|DEF|NOM//nmod//14 .//MAD//punct//4
Till statsrådet och chefen för Socialdepartementet;Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//19 handlade//VB|PRT|AKT//parataxis//4 om//PP//mark//22 att//IE//mark//22 ta//VB|INF|AKT//advcl//19 fram//PL//compound:prt//22 informationsmaterial//NN|NEU|PLU|IND|NOM//obj//22 som//HP|-|-|-//nsubj//26 syftar//VB|PRS|AKT//acl:relcl//24 till//PP//mark//29 att//IE//mark//29 öka//VB|INF|AKT//advcl//26 kunskapen//NN|UTR|SIN|DEF|NOM//obj//29 dels//KN//advmod//33 om//PP//case//33 självmord//NN|NEU|SIN|IND|NOM//obl//29 i//PP//case//35 befolkningen//NN|UTR|SIN|DEF|NOM//nmod//33 ,//MID//punct//41 dels//KN//advmod//41 om//PP//mark//41 vart//HA//advmod//41 man//PN|UTR|SIN|IND|SUB//nsubj//41 vänder//VB|PRS|AKT//advcl//19 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//41 för//PP//mark//45 att//IE//mark//45 få//VB|INF|AKT//advcl//41 hjälp//NN|UTR|SIN|IND|NOM//obj//45 och//KN//cc//48 stöd//NN|NEU|SIN|IND|NOM//conj//46 (//PAD//punct//41 dnr//PM|NOM//amod//51 S2008/5350//PM|NOM//appos//41 ///MID//cc//53 FH//PM|NOM//conj//51 )//PAD//punct//41 och//KN//cc//56 förslag//NN|NEU|PLU|IND|NOM//conj//19 på//PP//case//58 utbildningsinsatser//NN|UTR|PLU|IND|NOM//nmod//56 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 vård//NN|UTR|SIN|IND|NOM//nmod//58 och//KN//cc//62 omhändertagande//NN|NEU|SIN|IND|NOM//conj//60 av//PP//case//64 personer//NN|UTR|PLU|IND|NOM//nmod//62 med//PP//case//66 självmordsproblematik//NN|UTR|SIN|IND|NOM//nmod//64 (//PAD//punct//19 dnr//NN|AN//appos//19 2008/5349//RG|NOM//obj//68 ///MID//cc//71 FH//PM|NOM//conj//69 )//PAD//punct//68 samt//KN//cc//74 utarbeta//VB|INF|AKT//conj//19 ett//DT|NEU|SIN|IND//det//76 informationsmaterial//NN|NEU|SIN|IND|NOM//obj//74 om//PP//mark//81 hur//HA//advmod//81 man//PN|UTR|SIN|IND|SUB//nsubj//81 kan//VB|PRS|AKT//aux//81 förebygga//VB|INF|AKT//acl//76 självmordsförsök//NN|NEU|SIN|IND|NOM//obj//81 och//KN//cc//84 självmord//NN|NEU|SIN|IND|NOM//conj//82 bland//PP//case//86 skolelever//NN|UTR|PLU|IND|NOM//nmod//84 (//PAD//punct//81 dnr//PM|NOM//amod//89 S2008/5348//NN|AN//obj//81 ///MID//cc//91 FH//PM|NOM//conj//89 )//PAD//punct//81 .//MAD//punct//19
Till statsrådet och chefen för Socialdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 3//RO|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obl//1 2010//RG|NOM//nummod//4 delbetänkandet//NN|NEU|SIN|DEF|NOM//obj//1 ”//PAD//punct//1 Första//RO|NOM//amod//9 hjälpen//NN|UTR|SIN|DEF|NOM//conj//1 i//PP//case//12 psykisk//JJ|POS|UTR|SIN|IND|NOM//amod//12 hälsa//NN|UTR|SIN|IND|NOM//nmod//9 ”//PAD//punct//1 (//PAD//punct//15 SOU//PM|NOM//parataxis//1 2010:31//RG|NOM//nmod//15 )//PAD//punct//15 som//HP|-|-|-//nsubj//19 behandlar//VB|PRS|AKT//acl:relcl//15 de//DT|UTR/NEU|PLU|DEF//det//23 ovan//AB//advmod//22 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//23 tre//RG|NOM//obj//19 överlämnade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 regeringsbesluten//NN|NEU|PLU|DEF|NOM//conj//15 .//MAD//punct//15
Till statsrådet och chefen för Socialdepartementet;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 slutbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//1 ”//PAD//nmod//4 Händelseanalyser//NN|UTR|PLU|IND|NOM//nmod//2 vid//PP//case//6 självmord//NN|NEU|SIN|IND|NOM//nmod//4 inom//PP//case//8 hälso-//NN|UTR|-|-|SMS//nmod//6 och//KN//cc//10 sjukvården//NN|UTR|SIN|DEF|NOM//conj//8 och//KN//cc//12 socialtjänsten//NN|UTR|SIN|DEF|NOM//conj//8 .//MAD//punct//4
Till statsrådet och chefen för Socialdepartementet;Förslag//NN|NEU|PLU|IND|NOM//obj//1 till//PP//case//17 ny//JJ|POS|UTR|SIN|IND|NOM//amod//17 lag//NN|UTR|SIN|IND|NOM//nmod//14 ”//PM|NOM//punct//14 (//PAD//punct//14 SOU//PM|NOM//appos//14 2010:45//RG|NOM//nummod//20 )//PAD//punct//14 .//MAD//punct//1
Till statsrådet och chefen för Socialdepartementet;Stockholm//PM|NOM//ROOT//0 30//RG|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2010//RG|NOM//nummod//2 .//MAD//punct//0


