Överprövning av upphandlingsmål m.m.;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Överprövningsutredningen//PM|NOM//nmod//0
Överprövning av upphandlingsmål m.m.;Stockholm//PM|NOM//ROOT//0 2015//RG|NOM//nummod//0

Till statsrådet Ardalan Shekarabi;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 21//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 2013//RG|NOM//nummod//4 att//IE//mark//7 uppdra//VB|INF|AKT//acl//4 åt//PP//case//11 en//DT|UTR|SIN|IND//det//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//13 se//VB|INF|AKT//acl//4 över//PL//case//15 rättsmedlen//NN|UTR|SIN|DEF|NOM//obl//13 i//PP//case//17 upphandlingslagstiftningen//NN|UTR|SIN|DEF|NOM//obl//13 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;Den//DT|UTR|SIN|DEF//det//21 1//RO|NOM//nummod//21 januari//NN|UTR|SIN|IND|NOM//nsubj:pass//23 2014//RG|NOM//nummod//21 förordnades//VB|PRT|SFO//parataxis//1 f.d.//JJ|AN//amod//25 kammarrättslagmannen//NN|UTR|SIN|DEF|NOM//nmod//26 Christer//PM|NOM//nsubj:pass//23 Sjödin//PM|NOM//flat:name//26 som//KN//case//30 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//30 utredare//NN|UTR|SIN|IND|NOM//xcomp//23 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;Den//DT|UTR|SIN|DEF//det//2 3//RO|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2014//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 experter//NN|UTR|PLU|IND|NOM//xcomp//4 att//IE//mark//8 biträda//VB|INF|AKT//advcl//4 utredningen//NN|UTR|SIN|DEF|NOM//iobj//8 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//11 Charlotte//PM|NOM//obj//8 Brunlid//PM|NOM//flat:name//11 ,//MID//punct//14 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//15 Åsa//PM|NOM//obj//8 Edman//PM|NOM//flat:name//15 ,//MID//punct//19 ämnessakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//19 Jonatan//PM|NOM//appos//8 Wahlberg//PM|NOM//flat:name//19 ,//MID//punct//19 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//23 Eva//PM|NOM//appos//19 Zawiska-Önnertson//PM|NOM//flat:name//23 ,//MID//punct//19 lagmannen//NN|UTR|SIN|DEF|NOM//nmod//27 Birgitta//PM|NOM//appos//19 Holmgren//PM|NOM//flat:name//27 ,//MID//punct//27 juristen//NN|UTR|SIN|DEF|NOM//nmod//31 Ulrica//PM|NOM//conj//19 Dyrke//PM|NOM//flat:name//31 ,//MID//punct//34 kammarrättsrådet//NN|NEU|SIN|DEF|NOM//nmod//35 Gunilla//PM|NOM//dep//19 Ericsson//PM|NOM//flat:name//35 ,//MID//punct//19 processrådet//NN|NEU|SIN|DEF|NOM//nmod//39 Daniel//PM|NOM//conj//19 Johansson//PM|NOM//flat:name//39 ,//MID//punct//19 avtalscontroller//VB|PRS|AKT//parataxis//4 Martin//PM|NOM//nsubj//42 Magnusson//PM|NOM//flat//43 ,//MID//punct//43 affärsjuristen//NN|UTR|SIN|DEF|NOM//nmod//47 Pernilla//PM|NOM//appos//43 Samuelsson//PM|NOM//flat//47 ,//MID//punct//47 förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//51 Magnus//PM|NOM//appos//43 Ljung//PM|NOM//flat:name//51 ,//MID//punct//54 juristen//NN|UTR|SIN|DEF|NOM//conj//51 och//KN//cc//56 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//57 Anna//PM|NOM//conj//51 Ekberg//PM|NOM//flat:name//57 samt//KN//cc//61 juristen//NN|UTR|SIN|DEF|NOM//nmod//61 Olof//PM|NOM//conj//51 Erixon//PM|NOM//flat:name//61 .//MAD//punct//4
Till statsrådet Ardalan Shekarabi;Den//DT|UTR|SIN|DEF//det//66 3//RO|NOM//nummod//66 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//68 2014//RG|NOM//nummod//66 förordnades//VB|PRT|SFO//parataxis//4 professorn//NN|UTR|SIN|DEF|NOM//nmod//70 Torbjörn//PM|NOM//nsubj:pass//68 Andersson//PM|NOM//flat:name//70 som//KN//mark//73 expert//NN|UTR|SIN|IND|NOM//xcomp//68 att//IE//mark//75 biträda//VB|INF|AKT//acl//73 utredningen//NN|UTR|SIN|DEF|NOM//obj//75 .//MAD//punct//4
Till statsrådet Ardalan Shekarabi;Åsa//PM|NOM//nsubj:pass//80 Edman//PM|NOM//nsubj:pass//80 entledigades//VB|PRT|SFO//parataxis//4 fr.o.m.//AB|AN//case//84 den//DT|UTR|SIN|DEF//det//84 16//RG|NOM//nummod//84 december//NN|UTR|SIN|IND|NOM//obl//80 2014//RG|NOM//nummod//84 .//MAD//punct//4
Till statsrådet Ardalan Shekarabi;Kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//1 Åse//PM|NOM//nmod//2 Nevhage//PM|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 varit//VB|SUP|AKT//cop//5 anställd//PC|PRF|UTR|SIN|IND|NOM//ROOT//5 som//KN//case//7 sekreterare//NN|UTR|SIN|IND|NOM//obl//5 fr.o.m.//AB|AN//case//11 den//DT|UTR|SIN|DEF//det//11 13//RG|NOM//nummod//11 januari//NN|UTR|SIN|IND|NOM//obl//5 2014//RG|NOM//nummod//11 .//MAD//punct//5
Till statsrådet Ardalan Shekarabi;Överprövningsutredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//4 Överprövning//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//6 upphandlingsmål//NN|NEU|SIN|IND|NOM//nmod//4 m.m.//AB|AN//conj//6 (//PAD//punct//4 SOU//PM|NOM//appos//4 2015:12//RG|NOM//nummod//9 )//PAD//punct//4 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//4 är//VB|PRS|AKT//aux//4 därmed//AB//advmod//4 avslutat//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 .//MAD//punct//4
