Utredningens bakgrund och uppdrag;Miljökvalitetsmålet//NN|NEU|SIN|DEF|NOM//nmod//2 Giftfri//JJ|POS|UTR|SIN|IND|NOM//amod//2 miljö//NN|UTR|SIN|IND|NOM//ROOT//2
Utredningens bakgrund och uppdrag;Nyproducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 varor//NN|UTR|PLU|IND|NOM//nsubj//33 som//HP|-|-|-//nsubj:pass//27 introduceras//VB|PRS|SFO//acl:relcl//25 på//PP//case//29 marknaden//NN|UTR|SIN|DEF|NOM//obl//27 är//VB|PRS|AKT//cop//33 i//PP//advmod//33 huvudsak//NN|UTR|SIN|IND|NOM//fixed//31 fria//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//8 från//PP//case//40 ://MID//punct//38
Utredningens bakgrund och uppdrag;av//PP//case//37 människan//NN|UTR|SIN|DEF|NOM//obl//38 framställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//40 organiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 ämnen//NN|NEU|PLU|IND|NOM//obl//33 som//HP|-|-|-//nsubj//43 är//VB|PRS|AKT//cop//43 långlivade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//40 och//KN//cc//45 bioackumulerbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//43 samt//KN//cc//47 ämnen//NN|NEU|PLU|IND|NOM//conj//43 som//HP|-|-|-//nsubj//49 ger//VB|PRS|AKT//acl:relcl//47 upphov//NN|NEU|SIN|IND|NOM//obj//49 till//PP//case//53 dessa//DT|UTR/NEU|PLU|DEF//det//53 ämnen//NN|NEU|PLU|IND|NOM//obl//49 ,//MID//punct//53 av//PP//case//56 människan//NN|UTR|SIN|DEF|NOM//obl//57 framställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//58 ämnen//NN|NEU|PLU|IND|NOM//obj//49 som//HP|-|-|-//nsubj//61 är//VB|PRS|AKT//cop//61 cancerframkallande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//58 ,//MID//punct//63 arvsmassepåverkande//NN|NEU|SIN|IND|NOM//conj//61 och//KN//cc//65 hormonstörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//61 –//PAD//punct//68 inklusive//PP//case//68 fortplantningsstörande//NN|NEU|SIN|IND|NOM//conj//61 ,//MID//punct//70 kvicksilver//NN|NEU|SIN|IND|NOM//conj//68 ,//MID//punct//72 kadmium//NN|NEU|SIN|IND|NOM//conj//68 ,//MID//punct//74 bly//NN|NEU|SIN|IND|NOM//conj//68 och//KN//cc//77 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//77 föreningar//NN|UTR|PLU|IND|NOM//conj//68 .//MAD//punct//8
Utredningens bakgrund och uppdrag;Metaller//NN|UTR|PLU|IND|NOM//nsubj:pass//1 används//VB|PRS|SFO//ROOT//1 i//PP//case//4 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//4 tillämpningar//NN|UTR|PLU|IND|NOM//obl//1 att//SN//mark//8 metallerna//NN|UTR|PLU|DEF|NOM//nsubj//8 inte//AB//advmod//8 kommer//VB|PRS|AKT//acl//4 ut//PL//compound:prt//8 i//PP//case//11 miljön//NN|UTR|SIN|DEF|NOM//obl//8 i//PP//case//14 en//DT|UTR|SIN|IND//det//14 omfattning//NN|UTR|SIN|IND|NOM//nmod//11 som//HP|-|-|-//nsubj//16 medför//VB|PRS|AKT//acl:relcl//14 att//SN//mark//23 miljö//NN|UTR|SIN|IND|NOM//nsubj//23 och//KN//cc//20 människors//NN|UTR|PLU|IND|GEN//conj//18 hälsa//NN|UTR|SIN|IND|NOM//conj//18 kan//VB|PRS|AKT//aux//23 komma//VB|INF|AKT//ccomp//16 till//PP//case//25 skada//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//1
Utredningens bakgrund och uppdrag;Av//PP//case//1 människan//NN|UTR|SIN|DEF|NOM//obl//2 framställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 organiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 ämnen//NN|NEU|PLU|IND|NOM//nsubj//10 som//HP|-|-|-//nsubj//7 är//VB|PRS|AKT//cop//7 långlivade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//4 och//KN//cc//9 bioackumulerbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//7 förekommer//VB|PRS|AKT//ROOT//10 i//PP//case//12 produktionsprocesser//NN|UTR|PLU|IND|NOM//obl//10 endast//AB//advmod//17 om//SN//mark//17 företaget//NN|NEU|SIN|DEF|NOM//nsubj//17 kan//VB|PRS|AKT//aux//17 visa//VB|INF|AKT//advcl//10 att//IE//mark//23 hälsa//VB|INF|AKT//nsubj//23 eller//KN//cc//21 miljö//NN|UTR|SIN|IND|NOM//conj//19 inte//AB//advmod//23 kommer//VB|PRS|AKT//ccomp//17 till//PP//case//25 skada//NN|UTR|SIN|IND|NOM//obl//23 .//MID//punct//10
Utredningens bakgrund och uppdrag;Tillstånd//NN|NEU|SIN|IND|NOM//conj//10 och//KN//cc//29 villkor//NN|NEU|PLU|IND|NOM//conj//27 enligt//PP//case//31 miljöbalken//NN|UTR|SIN|DEF|NOM//obl//10 är//VB|PRS|AKT//cop//33 utformade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//10 så//AB//mark//39 att//SN//fixed//34 denna//DT|UTR|SIN|DEF//det//37 riktlinje//NN|UTR|SIN|IND|NOM//nsubj:pass//39 kan//VB|PRS|AKT//aux//39 säkerställas//VB|INF|SFO//advcl//33 .//MAD//punct//10 ”//RG|NOM//punct//10
Utredningens bakgrund och uppdrag;Kemikalieutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 första//RO|NOM//amod//2 uppdrag//NN|NEU|SIN|IND|NOM//ROOT//2 ...//MAD//punct//2
Utredningens bakgrund och uppdrag;Kemikalieutredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 (//PAD//punct//0 M1998:09//PM|NOM//appos//0 )//PAD//punct//2 tillsattes//VB|PRT|SFO//ROOT//4 för//PP//mark//7 att//IE//mark//7 föreslå//VB|INF|AKT//advcl//4 hur//HA//advmod//15 de//DT|UTR/NEU|PLU|DEF//det//11 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 riktlinjerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//15 inom//PP//case//13 kemikaliepolitiken//NN|UTR|SIN|DEF|NOM//nmod//11 skall//VB|PRS|AKT//aux//15 genomföras//VB|INF|SFO//ccomp//7 (//PAD//punct//17 se//VB|IMP|AKT//parataxis//4 dir//NN|AN//obj//17 .//MAD//punct//17
Utredningens bakgrund och uppdrag;1998:91//RG|NOM//advmod//17 )//PAD//punct//17 .//MID//punct//4
Utredningens bakgrund och uppdrag;Dessa//DT|UTR/NEU|PLU|DEF//det//24 förslag//NN|NEU|PLU|IND|NOM//nsubj//25 presenterade//VB|PRT|AKT//parataxis//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//25 den//DT|UTR|SIN|DEF//det//29 5//RO|NOM//nummod//29 juni//NN|UTR|SIN|IND|NOM//obj//25 2000//RG|NOM//nummod//29 i//PP//case//33 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//33 Varor//NN|UTR|PLU|IND|NOM//obl//25 utan//PP//case//35 faror//NN|UTR|PLU|IND|NOM//nmod//33 –//RG|NOM//punct//37 Förslag//NN|NEU|PLU|IND|NOM//conj//4 till//PP//case//39 genomförande//NN|NEU|SIN|IND|NOM//nmod//37 av//PP//case//42 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 riktlinjer//NN|UTR|PLU|IND|NOM//nmod//39 inom//PP//case//44 kemikaliepolitiken//NN|UTR|SIN|DEF|NOM//nmod//37 (//PAD//punct//44 SOU//PM|NOM//appos//44 2000:53//RG|NOM//punct//37 )//PAD//punct//37 .//MAD//punct//4
Utredningens bakgrund och uppdrag;Betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//52 har//VB|PRS|AKT//aux//52 remissbehandlats//VB|SUP|SFO//conj//4 och//KN//cc//56 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 ställningstaganden//NN|NEU|PLU|IND|NOM//nsubj:pass//56 förväntas//VB|PRS|SFO//conj//52 i//PP//case//58 början//NN|UTR|SIN|DEF|NOM//obl//56 av//PP//case//61 år//NN|NEU|SIN|IND|NOM//nmod//61 2001//RG|NOM//nmod//58 .//MAD//punct//52 ....//MID//punct//52
