– bättre nytta och ökad säkerhet;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 översyn//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 djursjukdata//NN|NEU|PLU|IND|NOM//nmod//4
– bättre nytta och ökad säkerhet;Stockholm//PM|NOM//ROOT//0 2005//RG|NOM//nummod//0

Till statsrådet och chefen för Jordbruksdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 17//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 2004//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//obl//7 undersöka//VB|INF|AKT//xcomp//1 och//KN//cc//15 redovisa//VB|INF|AKT//conj//13 djursjukdataregistret//NN|NEU|SIN|DEF|NOM//nsubj//17 fungerar//VB|PRS|AKT//conj//1 i//PP//advmod//17 dag//NN|UTR|SIN|IND|NOM//fixed//18 .//MAD//punct//1
Till statsrådet och chefen för Jordbruksdepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//22 innefattade//VB|PRT|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//24 redovisning//NN|UTR|SIN|IND|NOM//obj//22 av//PP//case//27 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 brister//NN|UTR|PLU|IND|NOM//nmod//24 i//PP//case//29 djursjukdata//NN|NEU|PLU|IND|NOM//nmod//27 ,//MID//punct//33 liksom//PP//case//33 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//33 orsaker//NN|UTR|PLU|IND|NOM//appos//24 och//KN//cc//35 följder//NN|UTR|PLU|IND|NOM//conj//33 för//PP//case//38 registrets//NN|NEU|SIN|DEF|GEN//nmod:poss//38 användbarhet//NN|UTR|SIN|IND|NOM//nmod//35 .//MAD//punct//22
Till statsrådet och chefen för Jordbruksdepartementet;Med//PP//case//43 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//40 i//PP//fixed//40 redovisningen//NN|UTR|SIN|DEF|NOM//obl//46 skulle//VB|PRT|AKT//aux//46 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//46 föreslå//VB|INF|AKT//conj//22 hur//HA//advmod//50 bristerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//50 kunde//VB|PRT|AKT//aux//50 åtgärdas//VB|INF|SFO//ccomp//46 ,//MID//punct//54 för//PP//mark//54 att//IE//mark//54 uppnå//VB|INF|AKT//advcl//50 ett//DT|NEU|SIN|IND//det//62 väl//AB|POS//advmod//57 fungerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 ,//MID//punct//59 kostnadsneutralt//JJ|POS|NEU|SIN|IND|NOM//conj//57 och//KN//cc//61 kostnadseffektivt//JJ|POS|NEU|SIN|IND|NOM//conj//57 registreringssystem//NN|NEU|SIN|IND|NOM//obj//54 för//PP//case//64 sjukdoms-//NN|UTR|-|-|SMS//nmod//62 och//KN//cc//66 läkemedelsövervakning//NN|UTR|SIN|IND|NOM//conj//64 på//PP//case//68 djurområdet//NN|NEU|SIN|DEF|NOM//obl//54 .//MAD//punct//22
Till statsrådet och chefen för Jordbruksdepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//72 skulle//VB|PRT|AKT//aux//72 beräkna//VB|INF|AKT//conj//22 kostnaderna//NN|UTR|PLU|DEF|NOM//obj//72 för//PP//case//76 de//DT|UTR/NEU|PLU|DEF//det//76 åtgärder//NN|UTR|PLU|IND|NOM//nmod//73 som//HP|-|-|-//nsubj:pass//78 föreslås//VB|PRS|SFO//acl:relcl//76 ,//MID//punct//97 både//KN//cc//97 för//PP//case//83 det//DT|NEU|SIN|DEF//det//83 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//97 och//KN//cc//87 för//PP//case//87 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//87 näringsidkare//NN|UTR|PLU|IND|NOM//conj//83 samt//KN//cc//89 föreslå//VB|INF|AKT//conj//83 finansiering//NN|UTR|SIN|IND|NOM//obj//89 av//PP//case//94 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 åtgärder//NN|UTR|PLU|IND|NOM//nmod//90 ,//MID//punct//83 liksom//AB//advmod//97 beakta//VB|INF|AKT//conj//72 de//DT|UTR/NEU|PLU|DEF//det//100 administrativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//100 konsekvenserna//NN|UTR|PLU|DEF|NOM//obj//97 för//PP//case//102 näringsidkarna//NN|UTR|PLU|DEF|NOM//nmod//100 (//PAD//punct//100 dir//NN|AN//appos//100 .//MAD//punct//100
Till statsrådet och chefen för Jordbruksdepartementet;2004:82//RG|NOM//obl//97 )//PAD//punct//106 .//MAD//punct//22
Till statsrådet och chefen för Jordbruksdepartementet;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//4 av//PP//case//3 bemyndigandet//NN|NEU|SIN|DEF|NOM//nmod//1 förordnade//VB|PRT|AKT//ROOT//4 chefen//NN|UTR|SIN|DEF|NOM//nsubj//4 för//PP//case//7 Jordbruksdepartementet//NN|NEU|SIN|DEF|NOM//nmod//5 samma//DT|UTR/NEU|SIN/PLU|IND//det//9 dag//NN|UTR|SIN|IND|NOM//nmod//11 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//11 Inger//PM|NOM//obl//4 Andersson//PM|NOM//flat:name//11 ,//MID//punct//15 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 livsmedelsverk//NN|NEU|SIN|IND|NOM//nsubj:pass//27 ,//MID//punct//15 som//KN//case//19 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//19 utredare//NN|UTR|SIN|IND|NOM//appos//15 .//MAD//punct//15
Till statsrådet och chefen för Jordbruksdepartementet;Avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//22 Mikael//PM|NOM//appos//15 Cullberg//PM|NOM//flat:name//22 ,//MID//punct//25 Fiskeriverket//PM|NOM//conj//22 ,//MID//punct//22 förordnades//VB|PRT|SFO//advcl//4 som//KN//case//29 sekreterare//NN|UTR|SIN|IND|NOM//obl//27 till//PP//case//31 utredningen//NN|UTR|SIN|DEF|NOM//obl//27 från//PP//case//35 den//DT|UTR|SIN|DEF//det//35 1//RO|NOM//nummod//35 oktober//NN|UTR|SIN|IND|NOM//nmod//31 2004//RG|NOM//nummod//35 .//MAD//punct//4
Till statsrådet och chefen för Jordbruksdepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//41 Märit//PM|NOM//nmod//40 Bergendahl//PM|NOM//nmod//38 förordnades//VB|PRT|SFO//parataxis//4 som//KN//mark//43 utredningssekreterare//NN|UTR|PLU|IND|NOM//xcomp//41 från//PP//case//47 den//DT|UTR|SIN|DEF//det//47 1//RO|NOM//nummod//47 april//NN|UTR|SIN|IND|NOM//nmod//43 2005//RG|NOM//nummod//47 .//MAD//punct//41
