Till Statsrådet Maj–Inger Klingvall ;Kartläggningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 redovisas//VB|PRS|SFO//conj//1 i//PP//case//21 departementspromemorian//NN|UTR|SIN|IND|NOM//obl//19 (//PAD//punct//19 Ds//PM|NOM//nummod//24 1997:6//RG|NOM//appos//19 )//PAD//punct//24 Stöd//NN|NEU|SIN|IND|NOM//conj//19 i//PP//case//28 föräldraskapet//NN|NEU|SIN|DEF|NOM//obl//26 .//MAD//punct//1
Till Statsrådet Maj–Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//32 har//VB|PRS|AKT//aux//32 hämtat//VB|SUP|AKT//conj//1 in//PL//compound:prt//32 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 underlag//NN|NEU|SIN|IND|NOM//obj//32 bl//PP//case//37 a//NN|NEU|SIN|IND|NOM//nmod//35 genom//PP//case//39 möten//NN|NEU|PLU|IND|NOM//obl//32 med//PP//case//41 företrädare//NN|UTR|PLU|IND|NOM//nmod//39 för//PP//case//44 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 professioner//NN|UTR|PLU|IND|NOM//nmod//41 och//KN//cc//46 institutioner//NN|UTR|PLU|IND|NOM//conj//44 .//MAD//punct//1
Till Statsrådet Maj–Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//50 har//VB|PRS|AKT//aux//50 träffat//VB|SUP|AKT//conj//1 grupper//NN|UTR|PLU|IND|NOM//obj//50 av//PP//case//53 barn//NN|NEU|PLU|IND|NOM//nmod//51 och//KN//cc//55 ungdomar//NN|UTR|PLU|IND|NOM//conj//53 vid//PP//case//58 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//58 tillfällen//NN|NEU|PLU|IND|NOM//obl//50 och//KN//cc//60 anordnat//VB|SUP|AKT//conj//58 möten//NN|NEU|PLU|IND|NOM//conj//58 med//PP//case//63 representanter//NN|UTR|PLU|IND|NOM//nmod//61 för//PP//case//65 invandrarorganisationer//NN|UTR|PLU|IND|NOM//nmod//63 ,//MID//punct//67 handikapporganisationer//NN|UTR|PLU|IND|NOM//conj//65 ,//MID//punct//69 studieförbund//NN|NEU|PLU|IND|NOM//conj//65 och//KN//cc//71 frivilligorganisationer//NN|UTR|PLU|IND|NOM//conj//65 .//MAD//punct//50
Till Statsrådet Maj–Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//75 har//VB|PRS|AKT//aux//75 haft//VB|SUP|AKT//conj//50 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//77 överläggningar//NN|UTR|PLU|IND|NOM//obj//75 med//PP//case//79 företrädare//NN|UTR|PLU|IND|NOM//nmod//77 för//PP//case//81 Barnombudsmannen//NN|UTR|SIN|DEF|NOM//nmod//79 ,//MID//punct//83 Socialstyrelsen//NN|UTR|SIN|DEF|NOM//conj//81 ,//MID//punct//85 Folkhälsoinstitutet//NN|NEU|SIN|DEF|NOM//conj//81 ,//MID//punct//88 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//88 Kommunförbundet//NN|NEU|SIN|DEF|NOM//conj//81 ,//MID//punct//90 Landstingsförbundet//PM|NOM//conj//81 samt//KN//cc//94 Riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//94 tvärpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//94 barngrupp//NN|UTR|SIN|IND|NOM//conj//81 ..//MID//punct//75 Kontakter//NN|UTR|PLU|IND|NOM//nsubj:pass//99 har//VB|PRS|AKT//aux//99 även//AB//advmod//99 tagits//VB|SUP|SFO//conj//75 under//PP//advmod//99 hand//NN|UTR|SIN|IND|NOM//fixed//100 med//PP//case//103 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//obl//99 ,//MID//punct//105 Ungdomsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//103 ,//MID//punct//107 Brottsförebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//108 Rådet//NN|NEU|SIN|DEF|NOM//conj//103 och//KN//cc//111 några//DT|UTR/NEU|PLU|IND//det//111 högskolor//NN|UTR|PLU|IND|NOM//conj//108 .//MAD//punct//75
Till Statsrådet Maj–Inger Klingvall ;Vidare//AB|KOM//advmod//119 har//VB|PRS|AKT//aux//119 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//116 ordförande//NN|UTR|SIN|IND|NOM//nsubj//119 och//KN//cc//118 kansli//NN|NEU|SIN|IND|NOM//conj//116 genomfört//VB|SUP|AKT//conj//1 ett//DT|NEU|SIN|IND//det//121 tvådagars//NN|UTR|SIN|IND|GEN//nmod:poss//122 besök//NN|NEU|SIN|IND|NOM//obj//119 i//PP//case//124 Norge//PM|NOM//nmod//122 den//DT|UTR|SIN|DEF//det//127 2–3//RO|NOM//amod//127 juni//NN|UTR|SIN|IND|NOM//obl//119 1997//RG|NOM//nummod//127 för//PP//mark//131 att//IE//mark//131 studera//VB|INF|AKT//advcl//119 den//DT|UTR|SIN|DEF//det//134 norska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//134 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//135 satsning//NN|UTR|SIN|IND|NOM//obj//131 på//PP//case//139 ett//DT|NEU|SIN|IND//det//139 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//139 föräldrahandledningsprogram//NN|NEU|SIN|IND|NOM//obl//131 .//MAD//punct//1
Till Statsrådet Maj–Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 valt//VB|SUP|AKT//ROOT//2 att//IE//mark//4 ersätta//VB|INF|AKT//xcomp//2 begreppet//NN|NEU|SIN|DEF|NOM//nmod//6 föräldrautbildning//NN|UTR|SIN|IND|NOM//obj//4 med//PP//case//9 begreppet//NN|NEU|SIN|DEF|NOM//nmod//9 stöd//NN|NEU|SIN|IND|NOM//obl//4 i//PP//case//11 föräldraskapet//NN|NEU|SIN|DEF|NOM//nmod//9 .//MAD//punct//2
Till Statsrådet Maj–Inger Klingvall ;Med//PP//case//14 stöd//NN|NEU|SIN|IND|NOM//obl//17 i//PP//case//16 föräldraskapet//NN|NEU|SIN|DEF|NOM//nmod//14 avser//VB|PRS|AKT//conj//2 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//17 den//DT|UTR|SIN|DEF//det//20 kunskap//NN|UTR|SIN|IND|NOM//obj//17 och//KN//cc//23 det//DT|NEU|SIN|DEF//det//23 stöd//NN|NEU|SIN|IND|NOM//conj//20 som//HP|-|-|-//obj//27 samhället//NN|NEU|SIN|DEF|NOM//nsubj//27 kan//VB|PRS|AKT//aux//27 förmedla//VB|INF|AKT//acl:relcl//23 till//PP//case//29 föräldrar//NN|UTR|PLU|IND|NOM//obl//27 för//PP//mark//32 att//IE//mark//32 utveckla//VB|INF|AKT//advcl//27 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//34 kompetens//NN|UTR|SIN|IND|NOM//obj//32 och//KN//cc//36 stärka//VB|INF|AKT//conj//32 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//38 trygghet//NN|UTR|SIN|IND|NOM//obj//36 i//PP//case//40 föräldrarollen//NN|UTR|SIN|DEF|NOM//obl//36 alltifrån//PP//case//42 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//40 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//44 väntar//VB|PRS|AKT//acl:relcl//42 barn//NN|NEU|PLU|IND|NOM//obj//44 och//KN//cc//50 under//PP//case//50 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//50 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//50 uppväxttid//NN|UTR|SIN|IND|NOM//conj//45 .//MAD//punct//2
Till Statsrådet Maj–Inger Klingvall ;Föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 betänkande//NN|NEU|SIN|IND|NOM//nsubj//2 innehåller//VB|PRS|AKT//ROOT//2 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 överväganden//NN|NEU|PLU|IND|NOM//obj//2 och//KN//cc//6 förslag//NN|NEU|PLU|IND|NOM//conj//4 angående//PP//case//8 utformningen//NN|UTR|SIN|DEF|NOM//nmod//6 av//PP//case//10 föräldrautbildningen//NN|UTR|SIN|DEF|NOM//nmod//8 och//KN//cc//13 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 verksamheter//NN|UTR|PLU|IND|NOM//conj//10 som//HP|-|-|-//nsubj//16 kan//VB|PRS|AKT//aux//16 fungera//VB|INF|AKT//acl:relcl//13 som//KN//mark//18 stöd//NN|NEU|SIN|IND|NOM//xcomp//16 för//PP//case//20 föräldrar//NN|UTR|PLU|IND|NOM//nmod//18 i//PP//case//23 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//23 föräldraskap//NN|NEU|SIN|IND|NOM//obl//16 .//MAD//punct//2
Till Statsrådet Maj–Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 om//PP//case//2 föräldrautbildning//NN|UTR|SIN|IND|NOM//nmod//0 överlämnar//VB|PRS|AKT//ROOT//3 härmed//AB//advmod//3 sitt//PS|NEU|SIN|DEF//nmod:poss//6 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//3 (//PAD//punct//6 SOU//PM|NOM//nmod//9 1997:161//RG|NOM//appos//6 )//PAD//punct//9 3T¶D//NN|NEU|SIN|IND|NOM//obj//3 I//PP//case//13 F¶R¤LDRASKAPET//NN|AN//nmod//11 .//MAD//punct//3
Till Statsrådet Maj–Inger Klingvall ;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//18 är//VB|PRS|AKT//aux:pass//18 därmed//AB//advmod//18 avslutat//PC|PRF|NEU|SIN|IND|NOM//parataxis//3 .//MAD//punct//18
