2.2 Närmare om den nuvarande räddningstjänst- ;3.2//RG|NOM//ROOT//0 Av//PP//case//2 statsmakterna//NN|UTR|PLU|DEF|NOM//nmod//0 fastlagda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 utgångspunkter//NN|UTR|PLU|IND|NOM//nmod//0 för//PP//case//8 3.3//RG|NOM//nummod//8 Särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//8 utgångspunkter//NN|UTR|PLU|IND|NOM//nmod//4 med//PP//case//14 hänsyn//NN|UTR|SIN|IND|NOM//fixed//9 till//PP//fixed//9 kommunal//NN|UTR|SIN|IND|NOM//amod//13 4.3//RG|NOM//nmod//14 Ledningsfunktionen//NN|UTR|SIN|DEF|NOM//nmod//4 i//PP//case//17 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//17 räddningstjänst//NN|UTR|SIN|IND|NOM//nmod//14 och//KN//cc//20 5.3//RG|NOM//nmod//20 Fördelningen//NN|UTR|SIN|DEF|NOM//conj//4 av//PP//case//22 tillsynsansvaret//NN|NEU|SIN|DEF|NOM//nmod//20 mellan//PP//case//24 kommunen//NN|UTR|SIN|DEF|NOM//nmod//22 ,//MID//punct//28 5.4//RG|NOM//nmod//28 Geografisk//JJ|POS|UTR|SIN|IND|NOM//amod//28 avgränsning//NN|UTR|SIN|IND|NOM//conj//20 mellan//PP//case//34 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 och//KN//cc//32 5.5//RG|NOM//conj//30 Ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 konsekvenser//NN|UTR|PLU|IND|NOM//nmod//28 för//PP//case//36 stat//NN|UTR|SIN|IND|NOM//nmod//34 och//KN//cc//38 kommun//NN|UTR|SIN|IND|NOM//conj//36 av//PP//case//42 det//PN|NEU|SIN|DEF|SUB/OBJ//det//41 6.2//RG|NOM//nmod//42 Anläggningar//NN|UTR|PLU|IND|NOM//nmod//34 där//HA//advmod//45 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//45 innebär//VB|PRS|AKT//acl:relcl//42 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//47 fara//NN|UTR|SIN|IND|NOM//obj//45 ,//MID//punct//28 6.3//RG|NOM//nummod//50 Förhållandet//NN|NEU|SIN|DEF|NOM//nmod//0 mellan//PP//case//52 räddningstjänstlagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//50 och//KN//cc//55 annan//JJ|POS|UTR|SIN|IND|NOM//amod//55 lagstiftning//NN|UTR|SIN|IND|NOM//conj//52 när//HA//case//60 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//56 gäller//VB|PRS|AKT//fixed//56 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//60 7.3//RG|NOM//nmod//61 Ansvarsförhållanden//NN|NEU|PLU|IND|NOM//nmod//50 vid//PP//case//65 ett//DT|NEU|SIN|IND//det//65 första//RO|NOM//amod//65 omhändertagande//NN|NEU|SIN|IND|NOM//nmod//50 av//PP//case//69 8.3//RG|NOM//nummod//68 RUFF-utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//69 rapport//NN|UTR|SIN|IND|NOM//nmod//65 och//KN//cc//71 principdiskussio-ner//NN|UTR|SIN|IND|NOM//conj//69
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser; //_SP////95 Åtgärder//NN|UTR|PLU|IND|NOM//appos//90 som//HP|-|-|-//nsubj//99 syftar//VB|PRS|AKT//acl:relcl//97 till//PP//mark//102 att//IE//mark//102 förebygga//VB|INF|AKT//advcl//99 olyckor//NN|UTR|PLU|IND|NOM//obj//102 samt//KN//cc//105 åtgärder//NN|UTR|PLU|IND|NOM//conj//103 för//PP//mark//108 att//IE//mark//108 förhindra//VB|INF|AKT//advcl//102 eller//KN//cc//110 begränsa//VB|INF|AKT//conj//108 skador//NN|UTR|PLU|IND|NOM//obj//110 till//PP//case//115 följd//NN|UTR|SIN|IND|NOM//fixed//112 av//PP//case//115 olyckor//NN|UTR|PLU|IND|NOM//obl//110 .//MAD//punct//16
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;Räddningstjänst//NN|UTR|SIN|IND|NOM//nsubj:pass//35 ://MID//punct//0
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser; //_SP////1 De//DT|UTR/NEU|PLU|DEF//det//4 räddningsinsatser//NN|UTR|PLU|IND|NOM//appos//0 som//HP|-|-|-//obj//10 staten//NN|UTR|SIN|DEF|NOM//nsubj//10 eller//KN//cc//8 kommunerna//NN|UTR|PLU|DEF|NOM//conj//6 skall//VB|PRS|AKT//aux//10 svara//VB|INF|AKT//acl:relcl//4 för//PP//compound:prt//10 vid//PP//case//13 olyckor//NN|UTR|PLU|IND|NOM//obl//10 och//KN//cc//16 överhängande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 fara//NN|UTR|SIN|IND|NOM//conj//10 för//PP//case//18 olyckor//NN|UTR|PLU|IND|NOM//obl//16 för//PP//mark//21 att//IE//mark//21 hindra//VB|INF|AKT//advcl//16 och//KN//cc//23 begränsa//VB|INF|AKT//conj//21 skador//NN|UTR|PLU|IND|NOM//obj//23 på//PP//case//26 människor//NN|UTR|PLU|IND|NOM//obl//23 eller//KN//cc//28 egendom//NN|UTR|SIN|IND|NOM//conj//26 eller//KN//cc//31 i//PP//case//31 miljön//NN|UTR|SIN|DEF|NOM//conj//26 .//MAD//punct//4
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;Till//PP//case//34 räddningstjänst//NN|UTR|SIN|IND|NOM//obl//35 hänförs//VB|PRS|SFO//ROOT//35 också//AB//advmod//35 räddningsinsatser//NN|UTR|PLU|IND|NOM//nsubj:pass//35 som//HP|-|-|-//nsubj:pass//39 görs//VB|PRS|SFO//acl:relcl//37 enligt//PP//case//43 4//RG|NOM//nummod//42 kap.//NN|AN//nmod//43 2//RG|NOM//obl//39 –//NN|AN//punct//43 6//RG|NOM//nummod//46 §//NN|AN//nmod//47 §//NN|AN//nmod//43 utan//PP//mark//52 att//SN//mark//52 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 har//VB|PRS|AKT//aux//52 inträffat//VB|SUP|AKT//advcl//39 någon//DT|UTR|SIN|IND//det//54 olycka//NN|UTR|SIN|IND|NOM//obj//52 eller//KN//cc//56 föreligger//VB|PRS|AKT//conj//52 överhängande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//58 fara//NN|UTR|SIN|IND|NOM//obj//56 för//PP//case//61 en//DT|UTR|SIN|IND//det//61 olycka//NN|UTR|SIN|IND|NOM//nmod//58 .//MAD//punct//35
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;Skyldighet//NN|UTR|SIN|IND|NOM//nsubj//9 för//PP//case//2 staten//NN|UTR|SIN|DEF|NOM//nmod//0 eller//KN//cc//4 kommun//NN|UTR|SIN|IND|NOM//conj//2 att//IE//mark//6 göra//VB|INF|AKT//acl//0 en//DT|UTR|SIN|IND//det//8 räddningsinsats//NN|UTR|SIN|IND|NOM//obj//6 föreligger//VB|PRS|AKT//ROOT//9 endast//AB//advmod//9 ,//MID//punct//9 om//SN//mark//24 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//24 med//PP//case//17 hänsyn//NN|UTR|SIN|IND|NOM//fixed//14 till//PP//fixed//14 behovet//NN|NEU|SIN|DEF|NOM//obl//24 av//PP//case//21 ett//DT|NEU|SIN|IND//det//21 snabbt//JJ|POS|NEU|SIN|IND|NOM//amod//21 ingripande//NN|NEU|SIN|IND|NOM//nmod//17 ,//MID//punct//17 det//DT|NEU|SIN|DEF//nsubj//24 hotade//PC|PRF|UTR/NEU|SIN|DEF|NOM//advcl//9 intressets//NN|NEU|SIN|DEF|GEN//nmod:poss//26 vikt//NN|UTR|SIN|IND|NOM//obj//24 ,//MID//punct//26 kostnaderna//NN|UTR|PLU|DEF|NOM//conj//26 för//PP//case//30 insatsen//NN|UTR|SIN|DEF|NOM//nmod//28 och//KN//cc//32 omständigheterna//NN|UTR|PLU|DEF|NOM//conj//26 i//PP//advmod//36 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//33 är//VB|PRS|AKT//cop//36 påkallat//PC|PRF|NEU|SIN|IND|NOM//obl//9 att//SN//mark//41 staten//NN|UTR|SIN|DEF|NOM//nsubj//41 eller//KN//cc//40 kommunen//NN|UTR|SIN|DEF|NOM//conj//38 svarar//VB|PRS|AKT//csubj//36 för//PP//case//43 insatsen//NN|UTR|SIN|DEF|NOM//obl//41 .//MAD//punct//9
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;4//RG|NOM//nummod//46 §//NN|AN//nsubj//61  //_SP////46 Kommunerna//NN|UTR|PLU|DEF|NOM//conj//46 och//KN//cc//52 de//DT|UTR/NEU|PLU|DEF//det//52 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 myndigheter//NN|UTR|PLU|IND|NOM//conj//46 som//HP|-|-|-//nsubj//54 svarar//VB|PRS|AKT//acl:relcl//52 för//PP//case//56 verksamhet//NN|UTR|SIN|IND|NOM//obl//54 enligt//PP//case//59 denna//DT|UTR|SIN|DEF//det//59 lag//NN|UTR|SIN|IND|NOM//obl//54 skall//VB|PRS|AKT//aux//61 se//VB|INF|AKT//parataxis//9 till//PL//compound:prt//61 att//SN//mark//65 verksamheterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//65 samordnas//VB|PRS|SFO//ccomp//61 .//MAD//punct//61
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//70 skall//VB|PRS|AKT//aux//70 också//AB//advmod//70 samarbeta//VB|INF|AKT//parataxis//61 med//PP//case//72 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//70 som//HP|-|-|-//nsubj:pass//74 berörs//VB|PRS|SFO//acl:relcl//72 .//MAD//punct//70
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;5//RG|NOM//nummod//77 §//NN|AN//obl//70  //_SP////77 Kommunen//NN|UTR|SIN|DEF|NOM//conj//77 och//KN//cc//83 de//DT|UTR/NEU|PLU|DEF//det//83 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 myndigheter//NN|UTR|PLU|IND|NOM//conj//79 ,//MID//punct//83 som//HP|-|-|-//nsubj//86 svarar//VB|PRS|AKT//acl:relcl//83 för//PP//case//88 räddningstjänst//NN|UTR|SIN|IND|NOM//obl//86 ,//MID//punct//91 skall//VB|PRS|AKT//aux//91 se//VB|INF|AKT//conj//61 till//PL//compound:prt//91 att//SN//mark//95 allmänheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//95 upplyses//VB|PRS|SFO//ccomp//91 om//PP//case//98 vilken//HD|UTR|SIN|IND//det//98 beredskap//NN|UTR|SIN|IND|NOM//obl//95 för//PP//case//100 räddningsinsatser//NN|UTR|PLU|IND|NOM//nmod//98 som//HP|-|-|-//nsubj:pass//102 upprätthålls//VB|PRS|SFO//acl:relcl//100 .//MAD//punct//61
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;Vidare//AB|KOM//advmod//107 skall//VB|PRS|AKT//aux//107 upplysning//NN|UTR|SIN|IND|NOM//nsubj:pass//107 lämnas//VB|INF|SFO//parataxis//61 i//PP//case//110 erforderlig//JJ|POS|UTR|SIN|IND|NOM//amod//110 utsträckning//NN|UTR|SIN|IND|NOM//obl//107 om//PP//mark//118 hur//HA//advmod//113 varning//NN|UTR|SIN|IND|NOM//nsubj//118 och//KN//cc//115 information//NN|UTR|SIN|IND|NOM//conj//113 till//PP//case//117 allmänheten//NN|UTR|SIN|DEF|NOM//nmod//115 sker//VB|PRS|AKT//advcl//107 vid//PP//case//121 allvarliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//121 olyckor//NN|UTR|PLU|IND|NOM//obl//118 .//MAD//punct//61

