Frågor och svar;2014-06-26//RG|NOM//ROOT//0
Svar:; //_SP////30 Samtidigt//AB//advmod//33 finns//VB|PRS|SFO//parataxis//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//33 inget//DT|NEU|SIN|IND//det//36 stöd//NN|NEU|SIN|IND|NOM//nsubj//33 för//PP//mark//41 att//SN//mark//41  //_SP////38 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//41 näringsidkare//NN|UTR|PLU|IND|NOM//advcl//33 än//KN//mark//43 i//PP//advcl//41 dag//NN|UTR|SIN|IND|NOM//fixed//43 skulle//VB|PRT|AKT//aux//46 följa//VB|INF|AKT//conj//6 ARN//PM|NOM//obj//46 ://MID//punct//46 s//PM|GEN//nummod//50 beslut//NN|NEU|SIN|IND|NOM//obj//6 om//SN//mark//53 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//53 gjordes//VB|PRT|SFO//advcl//6 bindande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//53 .//MAD//punct//6
Svar:;?//MID//punct//1
Svar:;ARN//PM|NOM//ROOT//1 ://MID//punct//1 s//NN|AN//nummod//4 handläggningstider//NN|UTR|PLU|IND|NOM//nsubj:pass//6 ska//VB|PRS|AKT//aux//6 kortas//VB|INF|SFO//acl:relcl//1 genom//PP//case//9 förbättrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//9 handläggningsrutiner//NN|UTR|PLU|IND|NOM//obl//6 och//KN//cc//12 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//12 resurser//NN|UTR|PLU|IND|NOM//conj//9 .//MAD//punct//1
Svar:;?//MID//punct//2
Svar:;ARN//PM|NOM//nsubj//2 får//VB|PRS|AKT//ROOT//2 i//PP//mark//6 uppgift//NN|UTR|SIN|IND|NOM//fixed//3 att//IE//mark//6 hjälpa//VB|INF|AKT//advcl//2 konsumenter//NN|UTR|PLU|IND|NOM//obj//6 och//KN//cc//9 näringsidkare//NN|UTR|PLU|IND|NOM//conj//7 att//IE//mark//11 komma//VB|INF|AKT//advcl//6 överens//PL//compound:prt//11 om//PP//mark//18 hur//HA//advmod//18 en//DT|UTR|SIN|IND//det//16 tvist//NN|UTR|SIN|IND|NOM//nsubj:pass//18 ska//VB|PRS|AKT//aux//18 lösas//VB|INF|SFO//ccomp//11 .//MAD//punct//2
Svar:;?//MID//punct//3
Svar:;ARN//PM|NOM//nsubj//3 ska//VB|PRS|AKT//aux//3 ge//VB|INF|AKT//ROOT//3 mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 information//NN|UTR|SIN|IND|NOM//obj//3 till//PP//compound:prt//3 ,//MID//punct//3 och//KN//cc//9 ha//VB|INF|AKT//conj//3 mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 dialog//NN|UTR|SIN|IND|NOM//obj//9 med//PP//case//9 ,//MID//punct//14 näringslivet//NN|NEU|SIN|DEF|NOM//obl//9 för//PP//mark//17 att//SN//mark//17 näringsidkare//NN|UTR|PLU|IND|NOM//advcl//9 ska//VB|PRS|AKT//aux//19 få//VB|INF|AKT//conj//3 ytterligare//AB|KOM//advmod//21 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//22 förtroende//NN|NEU|SIN|IND|NOM//obj//19 för//PP//case//24 ARN//PM|NOM//obl//19 och//KN//cc//26 följa//VB|INF|AKT//conj//19 nämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 rekommendationer//NN|UTR|PLU|IND|NOM//obj//26 i//PP//case//32 ännu//AB//advmod//31 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 utsträckning//NN|UTR|SIN|IND|NOM//obl//26 än//KN//advmod//32 i//PP//advmod//32 dag//NN|UTR|SIN|IND|NOM//fixed//34 .//MAD//punct//3
Svar:;?//MID//punct//3
Svar:;Näringsidkare//NN|UTR|PLU|IND|NOM//nsubj//3 blir//VB|PRS|AKT//aux:pass//3 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//3 att//IE//mark//5 informera//VB|INF|AKT//acl//3 konsumenter//NN|UTR|PLU|IND|NOM//obj//5 om//PP//case//9 vilken//HD|UTR|SIN|IND//det//9 tvistlösningsnämnd//NN|UTR|SIN|IND|NOM//obl//5 som//HP|-|-|-//obj//13 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//13 kan//VB|PRS|AKT//aux//13 vända//VB|INF|AKT//acl:relcl//9 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//13 till//PP//compound:prt//13 för//PP//mark//18 att//IE//mark//18 få//VB|INF|AKT//advcl//13 tvister//NN|UTR|PLU|IND|NOM//obj//18 prövade//VB|PRT|AKT//parataxis//3 .//MAD//punct//3
Svar:;Fråga//NN|UTR|SIN|IND|NOM//dislocated//12 2//RG|NOM//nummod//0 ://MID//punct//0
